Question,A,B,C,D,Answer
Ποια από αυτές τις ταινίες τρόμου γέννησε τις περισσότερες συνέχειες;,Κραυγή»,Σιαγόνες»,Απόκριες»,Παρασκευή και 13',D
Ποιο από αυτά τα πιάτα είναι φτιαγμένο από έντερα χοίρου;,Χάγκις,Τσίτλινς,Χονδραλεσμένος,Μπριζόλα Suey,B
Ποια είναι η μητρική γλώσσα του ηθοποιού Antonio Banderas;,Ισπανικά,Ρωσικά,Γερμανικά,Γαλλικά,A
Ποια είναι η επίσημη γλώσσα της Ολλανδίας;,Δανικά,Σουηδικά,Γερμανικά,Ολλανδικά,D
Σε ποια κατάσταση διαδραματίζεται η ταινία Magnolia του 1999;,Καλιφόρνια,Νότια Καρολίνα,Γεωργία,Τέξας,A
Οι μεταλλάξεις που προκαλούν αχονδροπλασία ασκούν ένα αποτέλεσμα που μπορεί να ταξινομηθεί ως:,κυρίαρχο αρνητικό.,κέρδος λειτουργίας.,απλοανεπάρκεια.,απώλεια λειτουργίας.,B
 Αυτό το εργαλείο μάρκετινγκ και επικοινωνίας προσφέρει ένα άμεσο κίνητρο ή ένα κίνητρο για να ενθαρρύνει τους πελάτες να αγοράσουν ένα προϊόν / υπηρεσία:,Διαφήμιση.,Δημόσιες σχέσεις.,Προώθηση πωλήσεων.,Άμεσο μάρκετινγκ.,C
Η διασταυρούμενη επικύρωση K-fold είναι,γραμμική σε Κ,τετραγωνικό σε Κ,κυβικά σε Κ,εκθετική σε K,A
Οι μεσήλικες ενήλικες φαίνεται να είναι περισσότερο ____ από τους μεγαλύτερους ή νεότερους ενήλικες,Παραγωγική,Νευρωτικός,Ευχάριστος,Βέβαιος,A
Η πλάνη της εγκωμιαστικής προσωπικότητας είναι ένας συγκεκριμένος τύπος,Η πλάνη του ατυχήματος,Ψευδές δίλημμα,Ζητώντας την ερώτηση,Κυκλική συλλογιστική,A
