Question,A,B,C,D,Answer
Koji je od ovih horor filmova iznjedrio najviše nastavaka?,Vrisak',Čeljusti',Noć vještica',"Petak, 13.",D
Koje je od ovih jela napravljeno od svinjskih crijeva?,Haggis,Chitlini,krupica,Chop Suey,B
Koji je glumac Antonio Banderas materinji jezik?,Španjolski,Ruski,Njemački,Francuski,A
Koji je službeni jezik Nizozemske?,Danski,Švedski,Njemački,Nizozemski,D
U kojem je stanju smješten film Magnolia iz 1999.?,Kalifornija,Južna Karolina,Gruzija,Texas,A
Mutacije koje uzrokuju ahondroplaziju djeluju kao učinak koji se može klasificirati kao:,Dominantno negativno.,stjecanje funkcije.,haploinsufficiency.,gubitak funkcije.,B
 Ovaj marketinški i komunikacijski alat nudi izravan poticaj ili poticaj za poticanje kupaca na kupnju proizvoda / usluge:,Oglašavanje.,Odnosi s javnošću.,Unapređenje prodaje.,Izravni marketing.,C
K-fold unakrsna provjera valjanosti je,linearno u K,kvadratni u K,kubični u K,eksponencijalni u K,A
Čini se da su odrasle osobe srednjih godina više ____ od starijih ili mlađih odraslih osoba,Generativnu,Neurotičan,Drag,Siguran,A
Zabluda hvalevrijedne osobnosti je specifična vrsta,Zabluda nesreće,Lažna dilema,Prosjačenje pitanja,Kružno rasuđivanje,A
"Ovo se pitanje odnosi na sljedeće informacije.
""Sjeme totalitarnih režima njeguje se bijedom i željom. Šire se i rastu u zlom tlu siromaštva i sukoba. Oni dostižu svoj puni rast kada je nada naroda za boljim životom umrla. Moramo održati tu nadu živom. Velike odgovornosti su nam postavljene brzim kretanjem događaja. . . . Uvjeren sam kako će se Kongres izravno sučeliti s tim odgovornostima"".
Predsjednik Harry S. Truman, 1947.
Ideje izražene u gornjem odlomku najizravnije odražavaju koji od sljedećih kontinuiteta u povijesti SAD-a?",Rasprave o odnosu između Kongresa i predsjednika.,Rasprave o uporabi vojne sile u nestabilnim situacijama.,Rasprave o ulozi Sjedinjenih Država u svjetskim poslovima.,Rasprave o pravilnoj ulozi političkih stranaka.,C
Pacijent pati od slomljenog vrata s oštećenjem leđne moždine na razini šestog vratnog kralješka.,Neće moći disati bez održavanja života.,Moći će disati samo tiho.,Nemoguće je predvidjeti učinak na disanje.,Disanje neće biti pogođeno.,B
Negativna rezidualna autokorelacija označena je kojim od sljedećih?,Ciklički uzorak u ostacima,Naizmjenični uzorak u ostacima,Potpuna slučajnost u ostacima,Ostaci koji su svi blizu nule,B
Identificirajte prethodnika sljedećeg uvjetnog prijedloga: Pčele pobjeđuju u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama.,Aardvarksi ne dobivaju prvu utakmicu.,Pčele su pobijedile u prvoj utakmici.,Vjeverice ne dobivaju prvu utakmicu.,Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.,B
Studenti provode vježbu odvajanja biljnih pigmenata koja zahtijeva da koriste zatvorenu komoru za kromatografiju s malom količinom acetona na dnu komore. Sigurnosna upozorenja za aceton uključuju izjavu da je nadražujuće za oči i kožu i da ima zapaljive pare. Od sljedećeg' koje sigurnosne mjere opreza učenici trebaju poduzeti tijekom izvođenja vježbe?,Stavljanje vatrootpornih rukavica za nošenje komore do pare ako se aceton zapali,"Stavljanje komore u zatvoreni, zamračeni ormar za vrijeme trajanja odvajanja pigmenta",Nošenje kožnih rukavica i pokrivanje nosa i usta maskom od čestica,Nošenje naočala i rukavica tipa nitrila i držanje svih spremnika acetona zatvorenima,D
Što od njih čini određivanje evolucijske povezanosti različitih vrsta na temelju aminokiselinskog slijeda homolognih proteina općenito manje točnim od određivanja povezanosti na temelju nukleotidnih sekvenci homolognih gena?,Tihe mutacije,Dupliciranje gena,Događaji translokacije koji mijenjaju sekvence gena,Prijelaz preko,A
Je li nezakonito ubojstvo koje je počinio ministar države X u inozemstvu djelo jure imperii ili jure gestionis?,Takvo ponašanje je javni akt (jure imperii),Takvo ponašanje nikada ne privlači imunitet,Takvo ponašanje je privatni čin (jure gestionis),"Takvo ponašanje je javni čin, ali je zaštićeno imunitetom",C
"Ovo se pitanje odnosi na sljedeće informacije.
Prvo moramo napomenuti da je kozmos sfernog oblika, dijelom zato što je ovaj oblik savršena cjelina koja ne zahtijeva zglobove, najcjelovitiji od svih, dijelom zato što čini najprostraniji oblik, koji je najprikladniji za zadržavanje i očuvanje svega; ili opet zato što se svi sastavni dijelovi svemira, to jest Sunce, Mjesec i planeti pojavljuju u ovom obliku; ili zato što sve nastoji postići ovaj oblik, kao što se pojavljuje u slučaju kapi vode i drugih tekućih tijela ako se pokušaju definirati. Tako nitko neće sumnjati da ovaj oblik pripada nebeskim tijelima. ...
Da je i zemlja sferična, stoga je neupitno, jer pritišće sa svih strana na njezino središte. Iako se zbog uzdizanja planina i udubljenja dolina ne može razumjeti savršen krug, to ipak ne utječe na opću sferičnu prirodu zemlje. ...
Kao što je već pokazano da zemlja ima oblik sfere, moramo razmotriti podudara li se pokret i s ovim oblikom i koje mjesto zemlja drži u svemiru. ... Velika većina autora naravno se slaže da zemlja stoji mirno u središtu svemira i smatra nezamislivim i smiješnim pretpostaviti suprotno. Ali ako se stvar pažljivo odvaže, vidjet će se da pitanje još nije riješeno i stoga se nipošto ne treba olako razmatrati. Svaka promjena mjesta koja se promatra posljedica je, naime, kretanja promatranog objekta ili promatrača, ili kretanja oba. ... Sada se sa zemlje promatra revolucija nebesa i proizvodi se za naše oči. Stoga, ako zemlja ne prolazi kroz pokret, taj se pokret mora odvijati u svemu izvan zemlje, ali u suprotnom smjeru nego da se sve na zemlji kreće, a ove vrste je svakodnevna revolucija. Dakle, čini se da to utječe na cijeli svemir, odnosno sve izvan zemlje s jedinstvenom iznimkom same Zemlje. Ako, međutim, treba priznati da taj pokret nije bio svojstven nebesima, već da se zemlja okrenula od zapada prema istoku i ako bi se to pažljivo razmotrilo u pogledu prividnog izlaska i zalaska sunca, Mjeseca i zvijezda, otkrilo bi se da je to stvarna situacija.
Nicolas Kopernik, Revolucije nebeskih tijela, 1543.
Odlomak se može koristiti kao dokaz da se Kopernik razlikovao od tradicionalnih, aristotelovskih prirodnih filozofa svoga vremena jer je sugerirao da",Kozmos je sferičan,Zemlja je sferna,Kozmos je geostatski,Zemlja nije nepokretna,D
"Odredite koncentraciju H+(aq) u 1,0 M fenolu, C6H5OH, otopini. (Ka za fenol je 1 × 10^-10.)",1 × 10^-10 M,1 × 10^-9 M,1 × 10^-3 M,1 × 10^-5 M,D
