Question,A,B,C,D,Answer
Այս սարսափ ֆիլմերից ո՞րն է առաջ բերել ամենաշատ հաջորդականությունները:,Գոռգոռոց',Ծնոտների',Հելոուին',Ուրբաթ 13-րդ',D
Այս ճաշատեսակներից ո՞րն է պատրաստված խոզի աղիքից:,հագիս,չիթլիններ,grits,chop suey,B
Ի՞նչ է դերասան Անտոնիո Բանդերասի մայրենի լեզուն:,Իսպաներեն,Ռուսերեն,Գերմաներեն,Ֆրանսերեն,A
Ո՞րն է Նիդերլանդների պաշտոնական լեզուն:,Դանիերեն,Շվեդերեն,Գերմաներեն,Հոլանդերեն,D
Ի՞նչ վիճակում է գտնվում 1999 թվականին նկարահանված «Մագնոլիա» ֆիլմը:,Կալիֆորնիա,Հարավային Կարոլինա,Վրաստան,Տեխաս,A
"Մուտացիաները, որոնք առաջացնում են աքսոնդրոպլազիա, ներգործում են, որը կարելի է դասակարգել հետեւյալ կերպ.",գերակշռող բացասական:,շահում-ֆունկցիայի:,haploinsufficiency.,կորուստ-ֆունկցիայի կորուստ:,B
Այս մարքեթինգային եւ հաղորդակցման գործիք առաջարկում է ուղղակի ինդուկցում կամ խրախուսում է հաճախորդներին գնել ապրանք/ծառայություն.,Գովազդ:,Հանրային հարաբերություններ:,Վաճառքի խթանում:,Ուղղակի մարքեթինգ:,C
K-ապատիկի խաչաձեւ վավերացումն է՝,գծագիծը Կ-ում,կվադրականը Կ-ում,խորանարդը Կ-ում,էքսպոնենցիալ՝ K-ում,A
"Միջին տարիքի մեծահասակները, ըստ երեւույթին, ավելի մեծ են, քան մեծահասակները կամ ավելի երիտասարդ չափահասները",Գեներատոր,Նեւրոտիկ,Համաձայնեցված,Որոշակի,A
Գովելի անձնավորության սխալ լինելը հատուկ տեսակ է,Դժբախտ պատահարի սխալը,Կեղծ երկընտրանքը,Հարցը մուրացկան,Շրջանաձեւ տրամաբանություն,A
