Question,A,B,C,D,Answer
ამ საშინელებათა ფილმებიდან რომელმა შექმნა ყველაზე მეტი გაგრძელება?,ყვირილი,ყბები',ჰელოუინი',პარასკევი მე -13',D
ამ კერძებიდან რომელი მზადდება ღორის ნაწლავებისგან?,ჰაგისი,ჩიტლინები,გრიტი,chop suey,B
რა არის მსახიობი ანტონიო ბანდერასი მშობლიური ენა?,ესპანური,რუსული,გერმანია,ფრანგული,A
რა არის ნიდერლანდების ოფიციალური ენა?,დანიური,შვედური,გერმანია,ჰოლანდიური,D
რა მდგომარეობაშია 1999 წლის ფილმი მაგნოლია?,კალიფორნია,სამხრეთ კაროლინა,საქართველო,ტეხასი,A
"მუტაციები, რომლებიც იწვევენ აქონდროპლაზიას, ახდენენ ეფექტს, რომელიც შეიძლება კლასიფიცირდეს როგორც:",დომინანტი უარყოფითი.,ფუნქციის მოპოვება.,ჰაპლოინსურობა.,ფუნქციის დაკარგვა.,B
" ეს მარკეტინგული და საკომუნიკაციო ინსტრუმენტი გთავაზობთ პირდაპირ ინდუმენტს ან სტიმულს, რომ წაახალისოს მომხმარებლები შეიძინონ პროდუქტი/მომსახურება:",რეკლამა.,საზოგადოებასთან ურთიერთობა.,გაყიდვების ხელშეწყობა.,პირდაპირი მარკეტინგი.,C
K- ჯერ ჯვარედინი ვალიდაცია არის,ხაზოვანი K,კვადრატული/კვადრატული K-ში,კუბური K,ექსპონენციალური K,A
"საშუალო ასაკის მოზარდები, როგორც ჩანს, უფრო ____ ვიდრე ხანდაზმული ან ახალგაზრდა მოზარდები",გენეტიკური,ნევროზული,სასიამოვნო,გარკვეული,A
სადიდებელი პიროვნების სიცრუე კონკრეტული ტიპისაა,უბედური შემთხვევის შეცდომა,ცრუ დილემა,კითხვის მათხოვრობა,წრიული მსჯელობა,A
"ეს კითხვა ეხება შემდეგ ინფორმაციას.
""ტოტალიტარული რეჟიმების თესლი იზრდება უბედურებით და სურვილით. ისინი გავრცელდა და იზრდება სიღარიბისა და დაპირისპირების ბოროტ ნიადაგში. ისინი სრულ ზრდას აღწევენ, როდესაც უკეთესი ცხოვრების იმედის იმედი გარდაიცვალა. ჩვენ ეს იმედი ცოცხალი უნდა შევინარჩუნოთ . . . დიდი პასუხისმგებლობები დაგვეკისრება მოვლენების სწრაფი მოძრაობით . . . დარწმუნებული ვარ, რომ კონგრესი ამ პასუხისმგებლობებს შეასრულებს"".
პრეზიდენტი ჰარი ს. ტრუმანი, 1947 წელი
ზემოთ მოცემულ მონაკვეთში გამოთქმული იდეები პირდაპირ ასახავს აშშ-ს ისტორიაში შემდეგი უწყვეტობის რომელს?",დებატები კონგრესსა და პრეზიდენტს შორის ურთიერთობის შესახებ.,დებატები სამხედრო ძალის გამოყენების შესახებ არასტაბილურ სიტუაციებში.,დებატები შეერთებული შტატების როლის შესახებ მსოფლიო საქმეებში.,დებატები პოლიტიკური პარტიების სათანადო როლის შესახებ.,C
