Question,A,B,C,D,Answer
کام لەو فیلمانە زۆرترین بەرهەمیان هێناوە؟,هاوار,جاوس,هەڵۆوین,هەینی 13'.,D
کام لەو خواردنانە لە ڕیخۆڵەی بەراز دروست دەکرێت؟,هاگیس,چیتلینس,گریان,چۆپ سوی,B
ئەکتەر ئەنتۆنیۆ باندێراس چییە؟,ئیسپانی,ڕووسی,ئەڵمانی,فەرەنسی,A
زمانی فەرمی هۆڵەندا چییە؟,دانیمارکی,سویدی,ئەڵمانی,هۆڵەندی,D
لە چ وڵاتێکدا فیلمی ماگنۆلیای ساڵی ۱۹۹۹یە؟,کالیفۆرنیا,کارۆلینای باشوور,جۆرجیا,تێکساس,A
ئەو گۆڕانکاریانەی کە دەبنە هۆی ئەکۆندرۆپلاسیا کاریگەری هەیە کە دەتوانرێت پۆلێن بکرێت وەک:,زاڵبوونی نەرێنی.,قازانج.,هاپلۆین.,- لەدەستدانی ئەرک.,B
ئەم ئامرازە بە بازاڕکردن و پەیوەندیکردن هاندەرێکی ڕاستەوخۆ یان هاندەرێک پێشکەش دەکات بۆ هاندانی کڕیاران بۆ کڕینی بەرهەمێک یان خزمەتگوزاریەک:,ڕیکلام.,پەیوەندییە گشتییەکان.,بەرزکردنەوەى فرۆشتن.,بازاڕکردنی راستەوخۆ.,C
k-fold-validation,هێڵی لە کەی,ckbwiki ک.ک,سێجا لە K,لە کەی,A
گه نجانی ته مه ن زیاتر له گه نج و گه نجن,دروستکەر,دەمار,ڕەزامەند,دڵنیا,A
که سایه تی هه ڵس و که وتین جۆرێکی تایبه تی,هەڵەی ڕووداو,کێشەی هەڵە,پرسیارکردن,لێکدانەوەی بازنەیی,A
"ئەم پرسیارە دەگەڕێتەوە بۆ ئەم زانیارییانەی خوارەوە.
""سیستەمی تۆتالیتاری بە هۆی ناخۆشی و ئارەزووەوە پەروەردە دەکرێت. ئەوان لە خاکی هەژاری و ناکۆکیدا گەشە دەکەن. ئەوان بە تەواوی گەشە دەکەن کاتێک هیوای خەڵک بۆ ژیانێکی باشتر دەمرێت. ئێمە دەبێت ئەو هیوایە بە زیندوویی بهێڵینەوە. بەرپرسیارێتییەکی گەورە لەسەر ئێمە دانراوە بەهۆی جوڵەی خێرای ڕووداوەکانەوە. من دڵنیام کە کۆنگرێس بە شێوەیەکی ڕاستەوخۆ ڕووبەڕووی ئەو بەرپرسیارێتییانە دەبێتەوە.""
سەرۆک هاری ئێس ترۆمان ۱۹۴۷
ئەو بیرۆکانەی کە لە بەشی سەرەوەدا دەربڕدراون بە شێوەیەکی ڕاستەوخۆ ڕەنگدانەوەی کام لە بەردەوامییەکانی مێژووی ئەمریکان؟",گفتوگۆ له سه ر په یوه ندی نێوان ئه نجومه نی نوێنه ر و سه رۆک کۆمار,لەبارەی بەکارهێنانی هێزی سەربازی لە دۆخێکی ناجێگیردا,گفتوگۆ له سه ر ڕۆڵی ئه مریکا له کاروباری جیهانیدا,گفتوگۆ لەسەر ڕۆڵی لایەنە سیاسییەکان دەکرێت,C
نەخۆشێک تووشی شکانی مل دەبێت لەگەڵ زیان گەیاندن بە دڕکەبڕ لە ئاستی شەشەمی بڕبڕەی مل.,ئەوان بەبێ پاڵپشتی ژیان ناتوانن هەناسە بدەن.,ئەوان تەنها بە بێدەنگی هەناسە دەدەن.,مەحاڵە کاریگەری لەسەر هەناسەدان هەبێت.,هەناسەدان بێ کاریگەری دەبێت.,B
ئایا ڕێککەوتنەکە لەگەڵ کام لەم خاڵانەی خوارەوەدا دەکرێت؟,شێوازی سووڕانەوە لە پاشماوەکاندا,شێوازێکی گۆڕاو لە پاشماوەکاندا,هه ڕه مه کییه کی ته واو له پاشماوه کاندا,پاشماوەکان کە هەموویان نزیکن لە سفر,B
پێشبینییەکانی ئەم پێشنیارە مەرجدارانەی خوارەوە دیاری بکە: هەنگەکان یەکەم یاری خۆیان دەبەنەوە تەنها ئەگەر ئاردڤارکس یان چیپمۆنکەکان یەکەم یارییان نەباتەوە.,ڕیاڵ مەدرید یەکەم یاری خۆی ناباتەوە,هەنگەکان یەکەم یارییان بردەوە,یانەی ڕیاڵ یەکەم یاری خۆی ناباتەوە,یانەی ڕیاڵ مەدرید و یانەی ڕیاڵ مەدرید یەکەم یاری خۆیان ناکەن,B
خوێندکارەکان ڕاهێنانێکی جیاکردنەوەی ڕەنگی ڕووەک ئەنجام دەدەن کە پێویستیان بە بەکارهێنانی ژوورێکی داخراوی کرۆماتۆگرافی هەیە لەگەڵ بڕێکی کەم لە ئەسیتۆن لە خوارەوەی ژوورەکە. ئاگادارکردنەوەکانی سەلامەتی بۆ ئەسیتۆن ئەو قسەیە دەگرێتەوە کە چاو و پێست توڕەکەرە و هەڵمی گڕگرتووی هەیە. ئایا پێویستە خوێندکاران لە کاتی ئەنجامدانی ڕاهێنانەکەدا چ ڕێوشوێنێکی سەلامەتی بگرنەبەر؟,دانانی دەستکێشی دواکەوتنی ئاگر بۆ هەڵگرتنی ژوورەکە بۆ هۆدی دووکەڵ ئەگەر ئەسیتۆنەکە ئاگر بگرێت,دانانی ژوورەکە لە کابینەیەکی داخراو و تاریک بۆ ماوەی جیاکردنەوەی ڕەنگەکان,لەبەرکردنی دەستکێشی چەرمی و داپۆشینی لووت و دەم بە دەمامکی تەنۆلکەیی,لەبەرکردنی چاویلکە و دەستکێشی جۆری نیتریل و هێشتنەوەی هەموو کۆگاکانی ئەسیتۆن,D
کام لەمانە وا لە دیاریکردنی پەیوەندی پەرەسەندنی جۆرە جیاوازەکان دەکات لەسەر بنەمای زنجیرەی ترشی ئەمینی پڕۆتینی یەکگرتوو بە شێوەیەکی گشتی کەمتر ورد دەبێت لە دیاریکردنی پەیوەندی لەسەر بنەمای زنجیرەکانی نیوکلیۆتایدی جینی ھاوڕەگەزخواز؟,گۆڕانکارییە بێدەنگەکان,دووبارەبوونەوەی جین,ئەو ڕووداوانەی کە زنجیرەی جینەکان دەگۆڕن,تێپەڕین,A
دەتوانن باشتر بێژەی بکەن؟ یا بە زاراوەیەکی تر؟ بێژە کردنی X بە ئیتالیایی,ئەم ڕەفتارە گشتیە (Jure imperii),ئەم جۆرە ڕەفتارانە هەرگیز بەرگری ڕاناکێشێت,ئەم ڕەفتارە کارێکی تایبەتە (Jure gestionis),ئەم جۆرە ڕەفتارانە کردەوەیەکی گشتییە بەڵام پارێزراوە بە پاراستن,C
