Question,A,B,C,D,Answer
"Ku firimu zino ez'entiisa, firimu ki ezaasinga okufulumizibwa?",Kaaba',Amasowaani',Halloween',Lwakutaano lwa 13',D
"Ku mmere zino, kiki ekikolebwa mu byenda by'embizzi?",haggis,chitlins,buli,bye bye suey,B
Omuzannyi Antonio Banderas olulimi lw'omu kitundu kye ki?,Olusipanishi,Olulasa,Olugirimaani,Olufalansa,A
Olulimi olutongole lwa Netherlands lwe lutya?,Oludanishi,Oluswiidi,Olugirimaani,Oludaaki,D
Firimu ya Magnolia eya 1999 eri mu mbeera ki?,California,South Carolina,Georgia,Texas,A
Enkyukakyuka ezireeta achondroplasia zikola ekintu ekiyinza okuteekebwa mu kibinja nga:,bye bye dominant negative.,bye bye function!,haploinsufficiency.,"loss of function, bye bye",B
Enkola eno ey'okutunda n'empuliziganya ewa okukubiriza obutereevu oba okukubiriza bakasitoma okugula ekintu/obuweereza:,Advertisement.,Enkolagana n'abantu.,Sales Promotion - bye bye,Bye bye direct marketing!,C
K-fold cross-validation,Bye bye k,k bye bye k,Kkkk mu kkk,Essai essa eso eso,A
Abantu abakulu mu myaka egya wakati balabika nga basinga ____ okusinga abakulu oba abato,Generative,Obutoffaali bw'omubiri,Kikkirizisa,Kituufu,A
Obulimba bw'omuntu ow'okutendereza kye kimu ku bintu,Akabenje kaguddewo,Obuzibu obw'Obulimba,Saba ekibuuzo,Ensonga enkulu,A
