Question,A,B,C,D,Answer
Кој од овие хорор филмови предизвика најмногу продолженија?,Врескај.,Вилици',Ноќ на вештерките.,Петок 13-ти',D
Кои од овие јадења се направени од цревата на свињите?,Хагис.,Читлинс,Гриз.,Исечи суши.,B
Кој е актерот Антонио Бандерас роден јазик?,Шпански,Руски,Германски,Француски,A
Кој е официјалниот јазик на Холандија?,Дански,Шведски,Германски,Холандски,D
Во која состојба е снимањето на филмот Магнолија од 1999 година?,Калифорнија,Јужна Каролина,Грузија,Тексас.,A
Мутациите кои предизвикуваат ахондроплазија врши ефект кој може да се класифицира како:,Доминантна негативна.,Добивање на функција.,Хаплоинзификуваност.,губење на функцијата.,B
 Оваа маркетинг и комуникациска алатка нуди директна индукција или поттик за охрабрување на клиентите да купат производ/услуга:,Реклама.,Односи со јавноста.,Унапредување на продажбата.,Директен маркетинг.,C
К-фолд вкрстена валидација е,Линеарен во К,Квадратски во К,Кубен во К,Експоненцијален во К,A
Се чини дека возрасните на средна возраст се повеќе ____ отколку постарите или помладите возрасни,Генеративна,Невротски,Согласно.,Одредени.,A
Заблудата на лаудаторската личност е специфичен вид на,Заблудата на несреќата,Лажна дилема,Го проколнувам прашањето.,Кружно размислување,A
"Ова прашање се однесува на следниве информации.
""Семињата на тоталитарните режими се негуваат од мизеријата и сакаат. Тие се шират и растат во злобната почва на сиромаштијата и расправиите. Тие го достигнуваат својот целосен раст кога ќе умре надежта на луѓето за подобар живот. Мораме да ја одржиме таа надеж жива. Големите одговорности ни ги стави брзото движење на настаните. Уверен сум дека Конгресот ќе се соочи со овие одговорности.
Претседателот Хари С. Труман, 1947
Идеите изразени во преминот над најдиректно одразуваат кој од следните континуитети во историјата на САД?",Дебати за односот помеѓу Конгресот и претседателот.,Дебати за употребата на воената сила во нестабилни ситуации.,Дебати за улогата на САД во светските работи.,Дебати за соодветната улога на политичките партии.,C
Пациентот страда од скршен врат со оштетување на 'рбетот на нивото на шестиот цервикален прешлен.,Тие нема да можат да дишат без животна поддршка.,Тие само ќе можат да дишат тивко.,Невозможно е да се предвиди ефект врз дишењето.,Дишењето ќе биде незафатено.,B
Негативната остаточна автокорелација е индицирана со која од следниве?,Циклична шема во остатоците,Наизменична шема во остатоците,Целосна случајност во остатоците,Остатоци кои се блиску до нулата,B
