Question,A,B,C,D,Answer
ഈ ഹൊറർ ചിത്രങ്ങളിൽ ഏതാണ് ഏറ്റവും കൂടുതൽ തുടർച്ചകൾക്ക് കാരണമായത്?,നിലവിളി.,താടിയെല്ലുകൾ',ഹാലോവീൻ',വെള്ളിയാഴ്ച 13',D
ഇനിപ്പറയുന്നവയിൽ ഏത് വിഭവമാണ് പന്നി കുടലിൽ നിന്ന് ഉണ്ടാക്കുന്നത്?,ഹാഗ്ഗിസ്,ചിറ്റ്ലിൻസ്,grits,ഛേദിക്കുക,B
നടൻ അന്റോണിയോ ബാൻഡെറയുടെ മാതൃഭാഷ എന്താണ്?,സ്പാനിഷ്,റഷ്യൻ,ജർമ്മൻ,ഫ്രഞ്ച്,A
നെതർലാൻഡിന്റെ ഔദ്യോഗിക ഭാഷ ഏതാണ്?,ഡാനിഷ്,സ്വീഡിഷ്,ജർമ്മൻ,ഡച്ച്,D
1999-ൽ പുറത്തിറങ്ങിയ മാഗ്നോളിയ എന്ന സിനിമയുടെ പശ്ചാത്തലം ഏത് അവസ്ഥയിലാണ്?,കാലിഫോർണിയ,സൗത്ത് കരോലിന,ജോർജിയ,ടെക്സാസ്,A
"അക്കോൻഡ്രോപ്ലാസിയയ്ക്ക് കാരണമാകുന്ന മ്യൂട്ടേഷനുകൾ ഒരു പ്രഭാവം ചെലുത്തുന്നു, അവയെ ഇങ്ങനെ തരംതിരിക്കാം:",ആധിപത്യം പുലർത്തുന്ന നെഗറ്റീവ്.,gain-of-function.,ഹാപ്ലോയിൻ അപര്യാപ്തത.,പ്രവർത്തന നഷ്ടം.,B
"ഈ മാർക്കറ്റിംഗ്, ആശയവിനിമയ ഉപകരണം ഒരു ഉൽപ്പന്നം / സേവനം വാങ്ങാൻ ഉപഭോക്താക്കളെ പ്രോത്സാഹിപ്പിക്കുന്നതിന് നേരിട്ടുള്ള പ്രേരണ അല്ലെങ്കിൽ പ്രോത്സാഹനം വാഗ്ദാനം ചെയ്യുന്നു:",പരസ്യം.,പബ്ലിക് റിലേഷൻസ്.,സെയിൽസ് പ്രമോഷൻ.,ഡയറക്ട് മാർക്കറ്റിംഗ്.,C
കെ-ഫോൾഡ് ക്രോസ്-വാലിഡേഷൻ,Linear in K,Quadratic in K,ക്യുബിക് ഇൻ കെ,Exponential in K,A
മധ്യവയസ്കരായ മുതിർന്നവർ പ്രായമായവരോ ചെറുപ്പക്കാരോ ആയ മുതിർന്നവരേക്കാൾ ____ കൂടുതലാണെന്ന് തോന്നുന്നു,ജനറേറ്റീവ്,ന്യൂറോട്ടിക്,സമ്മതം,ഉറപ്പ്,A
പ്രശംസനീയമായ വ്യക്തിത്വത്തിന്റെ തെറ്റിദ്ധാരണ ഒരു പ്രത്യേക തരം ആണ്,അപകടത്തിന്റെ തെറ്റിദ്ധാരണ,തെറ്റായ ആശയക്കുഴപ്പം,ആ ചോദ്യം യാചിച്ചു.,സർക്കുലർ യുക്തി,A
"ഈ ചോദ്യം ഇനിപ്പറയുന്ന വിവരങ്ങളെ സൂചിപ്പിക്കുന്നു.
""സ്വേച്ഛാധിപത്യ ഭരണകൂടങ്ങളുടെ വിത്തുകൾ ദുരിതവും ദാരിദ്ര്യവുമാണ് പരിപോഷിപ്പിക്കുന്നത്. ദാരിദ്ര്യത്തിന്റെയും കലഹത്തിന്റെയും ദുഷിച്ച മണ്ണിൽ അവർ വ്യാപിക്കുകയും വളരുകയും ചെയ്യുന്നു. മെച്ചപ്പെട്ട ജീവിതത്തിനായുള്ള ഒരു ജനതയുടെ പ്രതീക്ഷ ഇല്ലാതാകുമ്പോഴാണ് അവർ അവരുടെ പൂർണ്ണ വളർച്ചയിലെത്തുന്നത്. ആ പ്രതീക്ഷ നിലനിര് ത്തണം. . . സംഭവങ്ങളുടെ ദ്രുതഗതിയിലുള്ള ചലനത്തിലൂടെ വലിയ ഉത്തരവാദിത്തങ്ങൾ നമ്മുടെ മേൽ ചുമത്തിയിരിക്കുന്നു. . . കോൺഗ്രസ് ഈ ഉത്തരവാദിത്തങ്ങൾ കൃത്യമായി നേരിടുമെന്ന് എനിക്ക് ഉറപ്പുണ്ട്.
പ്രസിഡന്റ് ഹാരി എസ് ട്രൂമാൻ, 1947
മുകളിൽ പറഞ്ഞ ഭാഗത്തിൽ പ്രകടിപ്പിച്ച ആശയങ്ങൾ യുഎസ് ചരിത്രത്തിലെ ഇനിപ്പറയുന്ന തുടർച്ചകളിൽ ഏതാണ് ഏറ്റവും നേരിട്ട് പ്രതിഫലിപ്പിക്കുന്നത്?",കോൺഗ്രസും പ്രസിഡന്റും തമ്മിലുള്ള ബന്ധത്തെക്കുറിച്ചുള്ള സംവാദങ്ങൾ.,അസ്ഥിരമായ സാഹചര്യങ്ങളിൽ സൈനിക ശക്തി ഉപയോഗിക്കുന്നതിനെക്കുറിച്ചുള്ള സംവാദങ്ങൾ.,ലോകകാര്യങ്ങളിൽ അമേരിക്കയുടെ പങ്കിനെക്കുറിച്ചുള്ള സംവാദങ്ങൾ.,രാഷ്ട്രീയ പാർട്ടികളുടെ ഉചിതമായ പങ്കിനെക്കുറിച്ചുള്ള സംവാദങ്ങൾ.,C
ആറാമത്തെ സെർവിക്കൽ കശേരുക്കളുടെ തലത്തിൽ സുഷുമ് നാ നാഡിക്ക് കേടുപാടുകൾ സംഭവിച്ച് ഒരു രോഗിക്ക് കഴുത്ത് ഒടിഞ്ഞു.,ലൈഫ് സപ്പോർട്ട് ഇല്ലാതെ അവർക്ക് ശ്വസിക്കാൻ കഴിയില്ല.,അവർക്ക് നിശബ്ദമായി ശ്വസിക്കാൻ മാത്രമേ കഴിയൂ.,ശ്വസനത്തിൽ ഒരു പ്രഭാവം പ്രവചിക്കുക അസാധ്യമാണ്.,ശ്വസനത്തെ ബാധിക്കില്ല.,B
നെഗറ്റീവ് അവശിഷ്ട ഓട്ടോകോറലേഷൻ ഇനിപ്പറയുന്നവയിൽ ഏതാണ് സൂചിപ്പിക്കുന്നത്?,അവശിഷ്ടങ്ങളിൽ ഒരു ചാക്രിക പാറ്റേൺ,അവശിഷ്ടങ്ങളിൽ ഒരു മാറിമാറി വരുന്ന പാറ്റേൺ,അവശിഷ്ടങ്ങളിൽ പൂർണ്ണമായ യാദൃച്ഛികത,അവശിഷ്ടങ്ങൾ എല്ലാം പൂജ്യത്തിനടുത്താണ്,B
ഇനിപ്പറയുന്ന സോപാധിക നിർദ്ദേശത്തിന്റെ മുൻഗാമി തിരിച്ചറിയുക: ആർഡ്വാർക്കുകളോ ചിപ്മങ്കുകളോ അവരുടെ ആദ്യ ഗെയിമുകൾ വിജയിച്ചില്ലെങ്കിൽ മാത്രമേ തേനീച്ചകൾ അവരുടെ ആദ്യ ഗെയിം വിജയിക്കൂ.,ആർഡ്വാർക്കുകൾ അവരുടെ ആദ്യ മത്സരത്തിൽ വിജയിച്ചില്ല.,തേനീച്ചകൾ അവരുടെ ആദ്യ കളി ജയിച്ചു.,ചിപ്മങ്കുകൾ അവരുടെ ആദ്യ കളി ജയിക്കുന്നില്ല.,ഒന്നുകിൽ ആർഡ്വാർക്കുകളോ ചിപ്മുങ്കുകളോ അവരുടെ ആദ്യ ഗെയിമുകൾ ജയിക്കുന്നില്ല.,B
"വിദ്യാർത്ഥികൾ ഒരു പ്ലാന്റ് പിഗ്മെന്റ് വേർതിരിക്കൽ വ്യായാമം നടത്തുന്നു, ഇത് ചേമ്പറിന്റെ അടിയിൽ ചെറിയ അളവിൽ അസറ്റോൺ ഉള്ള അടച്ച ക്രോമാറ്റോഗ്രാഫി ചേംബർ ഉപയോഗിക്കേണ്ടതുണ്ട്. അസെറ്റോണിനുള്ള സുരക്ഷാ മുന്നറിയിപ്പുകളിൽ ഇത് കണ്ണിനും ചർമ്മത്തിനും അസ്വസ്ഥതയുണ്ടാക്കുന്നതാണെന്നും തീപിടിക്കുന്ന നീരാവി ഉണ്ടെന്നുമുള്ള പ്രസ്താവന ഉൾപ്പെടുന്നു. ഇനിപ്പറയുന്നവയിൽ' വ്യായാമം നടത്തുമ്പോൾ വിദ്യാർത്ഥികൾ എന്ത് സുരക്ഷാ മുൻകരുതൽ എടുക്കണം?",അസറ്റോണിന് തീ പിടിക്കുകയാണെങ്കിൽ ചേംബറിനെ പുകമറയിലേക്ക് കൊണ്ടുപോകാൻ തീ തടയുന്ന കയ്യുറകൾ ധരിക്കുക,പിഗ്മെന്റ് വേർതിരിക്കുന്ന കാലയളവിൽ മുറി അടച്ചതും ഇരുണ്ടതുമായ ഒരു കാബിനറ്റിൽ സ്ഥാപിക്കുക,"ലെതർ കയ്യുറകൾ ധരിക്കുക, കണിക മാസ്ക് ഉപയോഗിച്ച് മൂക്കും വായയും മൂടുക",കണ്ണടകളും നൈട്രൈൽ ടൈപ്പ് കയ്യുറകളും ധരിക്കുകയും എല്ലാ അസറ്റോൺ പാത്രങ്ങളും അടച്ചിടുകയും ചെയ്യുക,D
ഹോമോലോഗസ് പ്രോട്ടീനുകളുടെ അമിനോ ആസിഡ് സീക്വൻസിനെ അടിസ്ഥാനമാക്കി വ്യത്യസ്ത ഇനങ്ങളുടെ പരിണാമപരമായ ബന്ധം നിർണ്ണയിക്കുന്നത് ഹോമോലോഗസ് ജീനുകളുടെ ന്യൂക്ലിയോടൈഡ് സീക്വൻസുകളെ അടിസ്ഥാനമാക്കിയുള്ള ബന്ധത്തിന്റെ നിർണ്ണയങ്ങളേക്കാൾ കൃത്യത കുറഞ്ഞതാണ്?,നിശബ്ദ പരിവർത്തനങ്ങൾ,ജീൻ ഇരട്ടിപ്പുകൾ,ജീൻ സീക്വൻസുകൾ മാറ്റുന്ന ട്രാൻസ്ലോക്കേഷൻ ഇവന്റുകൾ,ക്രോസിംഗ് ഓവർ,A
വിദേശത്തുള്ള പത്താം രാജ്യത്തിന്റെ മന്ത്രി നടത്തിയ നിയമവിരുദ്ധമായ നരഹത്യ ഒരു നിയമപരമായ കുറ്റകൃത്യമാണോ അതോ നിയമപരമായ പ്രവൃത്തിയാണോ?,അത്തരം പെരുമാറ്റം ഒരു പൊതു പ്രവൃത്തിയാണ് (ജുർ ഇംപീരിയി),അത്തരം പെരുമാറ്റം ഒരിക്കലും പ്രതിരോധശേഷി ആകർഷിക്കുന്നില്ല,അത്തരം പെരുമാറ്റം ഒരു സ്വകാര്യ പ്രവൃത്തിയാണ് (jure gestionis),"അത്തരം പെരുമാറ്റം ഒരു പൊതു പ്രവൃത്തിയാണ്, പക്ഷേ രോഗപ്രതിരോധത്താൽ പരിരക്ഷിക്കപ്പെടുന്നു",C
"ഈ ചോദ്യം ഇനിപ്പറയുന്ന വിവരങ്ങളെ സൂചിപ്പിക്കുന്നു.
ഒന്നാമതായി, പ്രപഞ്ചം ഗോളാകൃതിയിലുള്ളതാണെന്ന് നാം പരാമർശിക്കണം, കാരണം ഈ രൂപം സന്ധികളില്ലാത്ത ഒരു തികഞ്ഞ മൊത്തമായതിനാൽ, എല്ലാറ്റിലും ഏറ്റവും സമ്പൂർണ്ണമാണ്, ഭാഗികമായി ഇത് ഏറ്റവും കപ്പാസിറ്റിയുള്ള രൂപം ഉണ്ടാക്കുന്നു, ഇത് എല്ലാം ഉൾക്കൊള്ളാനും സംരക്ഷിക്കാനും ഏറ്റവും അനുയോജ്യമാണ്; അല്ലെങ്കിൽ പ്രപഞ്ചത്തിന്റെ എല്ലാ ഘടക ഭാഗങ്ങളും, അതായത് സൂര്യൻ, ചന്ദ്രൻ, ഗ്രഹങ്ങൾ എന്നിവ ഈ രൂപത്തിൽ പ്രത്യക്ഷപ്പെടുന്നു; അല്ലെങ്കിൽ എല്ലാം ഈ രൂപം നേടാൻ ശ്രമിക്കുന്നതിനാൽ, ജലത്തുള്ളികളും മറ്റ് ദ്രാവക വസ്തുക്കളും സ്വയം നിർവചിക്കാൻ ശ്രമിക്കുകയാണെങ്കിൽ പ്രത്യക്ഷപ്പെടുന്നു. അതിനാൽ ഈ രൂപം സ്വർഗ്ഗീയ ശരീരങ്ങളുടേതാണെന്ന് ആർക്കും സംശയമില്ല. ...
അതിനാൽ ഭൂമിയും ഗോളാകൃതിയിലാണെന്നതിൽ സംശയമില്ല, കാരണം അത് അതിന്റെ കേന്ദ്രത്തിൽ എല്ലാ വശങ്ങളിൽ നിന്നും അമർത്തുന്നു. പർവതങ്ങളുടെ ഉയരവും താഴ്വരകളുടെ താഴ്വരകളും കാരണം ഒരു തികഞ്ഞ വൃത്തം മനസ്സിലാക്കാൻ കഴിയില്ലെങ്കിലും, ഇത് ഭൂമിയുടെ പൊതുവായ ഗോളാകൃതി സ്വഭാവത്തെ ബാധിക്കുന്നില്ല. ...
ഭൂമിക്ക് ഒരു ഗോളത്തിന്റെ രൂപമുണ്ടെന്ന് ഇതിനകം തെളിയിക്കപ്പെട്ടിട്ടുള്ളതിനാൽ, ഒരു ചലനവും ഈ രൂപവുമായി പൊരുത്തപ്പെടുന്നുണ്ടോയെന്നും പ്രപഞ്ചത്തിൽ ഭൂമിക്ക് എന്ത് സ്ഥാനമുണ്ടെന്നും നാം പരിഗണിക്കണം. ... ഭൂരിഭാഗം എഴുത്തുകാരും തീർച്ചയായും ഭൂമി പ്രപഞ്ചത്തിന്റെ മധ്യത്തിൽ നിശ്ചലമായി നിൽക്കുന്നുവെന്ന് സമ്മതിക്കുന്നു, വിപരീതമായി ചിന്തിക്കുന്നത് അചിന്തനീയവും പരിഹാസ്യവുമാണെന്ന് കരുതുന്നു. എന്നാൽ വിഷയം ശ്രദ്ധാപൂർവ്വം വിലയിരുത്തിയാൽ, പ്രശ്നം ഇതുവരെ പരിഹരിക്കപ്പെട്ടിട്ടില്ലെന്നും അതിനാൽ നിസ്സാരമായി കണക്കാക്കേണ്ടതില്ലെന്നും കാണാം. നിരീക്ഷിക്കപ്പെടുന്ന സ്ഥലത്തിന്റെ ഓരോ മാറ്റവും, അതായത്, നിരീക്ഷിച്ച വസ്തുവിന്റെയോ നിരീക്ഷകന്റെയോ ചലനം അല്ലെങ്കിൽ രണ്ടിന്റെയും ചലനങ്ങൾ മൂലമാണ്. ... ഇപ്പോൾ ഭൂമിയിൽ നിന്നാണ് ആകാശത്തിന്റെ പരിക്രമണം നിരീക്ഷിക്കപ്പെടുന്നത്, അത് നമ്മുടെ കണ്ണുകൾക്കായി ഉത്പാദിപ്പിക്കപ്പെടുന്നു. അതിനാൽ ഭൂമി ഒരു ചലനത്തിനും വിധേയമാകുന്നില്ലെങ്കിൽ ഈ ചലനം ഭൂമിക്ക് പുറത്തുള്ള എല്ലാറ്റിലും നടക്കണം, പക്ഷേ ഭൂമിയിലെ എല്ലാം ചലിക്കുന്നതിനേക്കാൾ വിപരീത ദിശയിലാണ്, ഇത്തരത്തിലുള്ള ദൈനംദിന വിപ്ലവം. അതിനാൽ ഇത് മുഴുവൻ പ്രപഞ്ചത്തെയും ബാധിക്കുന്നതായി തോന്നുന്നു, അതായത്, ഭൂമി ഒഴികെ ഭൂമിക്ക് പുറത്തുള്ള എല്ലാം. എന്നിരുന്നാലും, ഈ ചലനം ആകാശത്തിന് മാത്രമുള്ളതല്ലെന്നും ഭൂമി പടിഞ്ഞാറ് നിന്ന് കിഴക്കോട്ട് കറങ്ങുന്നുവെന്നും ഒരാൾ സമ്മതിക്കുകയാണെങ്കിൽ, സൂര്യൻ, ചന്ദ്രൻ, നക്ഷത്രങ്ങൾ എന്നിവയുടെ പ്രത്യക്ഷമായ ഉദയവും അസ്തമയവും സംബന്ധിച്ച് ഇത് ശ്രദ്ധാപൂർവ്വം പരിഗണിച്ചാൽ, ഇതാണ് യഥാർത്ഥ സാഹചര്യമെന്ന് കണ്ടെത്തും.""
നിക്കോളാസ് കോപ്പർനിക്കസ്, സ്വർഗ്ഗീയ ശരീരങ്ങളുടെ വിപ്ലവങ്ങൾ, 1543
കോപ്പർനിക്കസ് അക്കാലത്തെ പരമ്പരാഗത, അരിസ്റ്റോട്ടിലിയൻ പ്രകൃതി തത്ത്വചിന്തകരിൽ നിന്ന് വ്യത്യസ്തനായിരുന്നു എന്നതിന്റെ തെളിവായി ഈ ഭാഗം ഉപയോഗിക്കാം, കാരണം അദ്ദേഹം നിർദ്ദേശിച്ചു",പ്രപഞ്ചം ഗോളാകൃതിയിലാണ്,ഭൂമി ഗോളാകൃതിയിലാണ്,പ്രപഞ്ചം ജിയോസ്റ്റാറ്റിക് ആണ്,ഭൂമി നിശ്ചലമല്ല,D
"1.0 M ഫിനോൾ, C6H5OH, ലായനിയിൽ H+(aq) സാന്ദ്രത നിർണ്ണയിക്കുക. (ഫിനോളിന്റെ ക 1 × 10^-10 ആണ്.)",1 × 10^-10 M,1 × 10^-9 M,1 × 10^-3 M,1 × 10^-5 M,D
"ഇന്ത്യയിൽ നിന്ന് അമേരിക്കയിലേക്കുള്ള ഒരു നീക്കം പരിഗണിക്കുമ്പോൾ ഇനിപ്പറയുന്നവയിൽ ഏത് ഘടകമാണ് റിവയ്ക്ക് ഒരു ""ആകർഷണ"" ഘടകമായി കണക്കാക്കപ്പെടുക?",കടുത്ത ദാരിദ്ര്യം,മെച്ചപ്പെട്ട ജോലിയും ഉയർന്ന വേതനവും,ഇന്ത്യയിലെ ജാതിവ്യവസ്ഥ,അവളുടെ അയൽപക്കത്തെ അക്രമം,B
"ബഹുകക്ഷി സംവിധാനങ്ങളുള്ള ഇംഗ്ലണ്ട്, ഇസ്രായേൽ തുടങ്ങിയ രാജ്യങ്ങളിലെ രാഷ്ട്രീയ പാർട്ടികളുമായി താരതമ്യപ്പെടുത്തുമ്പോൾ, അമേരിക്കൻ രാഷ്ട്രീയ പാർട്ടികൾ ഇവയാണ്",തിരഞ്ഞെടുപ്പ് ഫലത്തെ സ്വാധീനിക്കുന്നതിൽ താൽപ്പര്യം കുറവാണ്,സ്ഥിരമായ രാഷ്ട്രീയ പ്രത്യയശാസ്ത്രങ്ങളുമായി വ്യക്തമായി തിരിച്ചറിയപ്പെടുന്നില്ല,രാഷ്ട്രീയ അനുഭാവികളിൽ നിന്ന് പണം സ്വരൂപിക്കുന്നതിൽ കാര്യക്ഷമത കുറവാണ്,അവരുടെ മുഴുവൻ നിയോജകമണ്ഡലങ്ങളുടെയും ലക്ഷ്യങ്ങൾ പ്രതിഫലിപ്പിക്കാൻ കഴിയും,B
"ഏറ്റവും അടുത്തുള്ള ആയിരത്തിനടുത്തുള്ള ഒരു സംഖ്യ 47,000 ആണ്. വൃത്താകൃതിയിലുള്ള സംഖ്യ ഏത് ആയിരിക്കാം?","46,295","46,504","47,520","47,924",B
"ഒരു ത്രികോണ പ്രിസം ആകൃതിയിലാണ് ഒരു ടാങ്ക്. ത്രികോണാകൃതിയിലുള്ള അടിത്തറയ്ക്ക് 116 ചതുരശ്ര അടി വിസ്തീർണ്ണവും ടാങ്കിന് 30 അടി ഉയരവുമുണ്ടെങ്കിൽ, ടാങ്ക് നിറയുമ്പോൾ എത്ര വെള്ളം അടങ്ങിയിരിക്കും?",1725 ft^3,1740 ft^3,3480 ft^3,6960 ft^3,C
"ഒരു ഇൻഡക്ടറിൽ പ്രേരിപ്പിക്കുന്ന വോൾട്ടേജ് ഇനിപ്പറയുന്ന രീതിയിൽ പ്രതിനിധീകരിക്കുന്നു,",അതിന്റെ ഇൻഡക്റ്റൻസിന്റെയും അതിലൂടെയുള്ള പ്രവാഹത്തിന്റെയും ഉൽപ്പന്നം.,അതിന്റെ ഇൻഡക്റ്റൻസും അതിലൂടെയുള്ള വൈദ്യുതപ്രവാഹവും തമ്മിലുള്ള അനുപാതം.,അതിലൂടെയുള്ള വൈദ്യുതപ്രവാഹവും അതിന്റെ ഇൻഡക്റ്റൻസും തമ്മിലുള്ള അനുപാതം.,അതിന്റെ ഇൻഡക്റ്റൻസിയുടെയും അതിലൂടെയുള്ള വൈദ്യുത പ്രവാഹത്തിന്റെ മാറ്റത്തിന്റെ നിരക്കിന്റെയും ഉൽപ്പന്നം.,D
