Question,A,B,C,D,Answer
ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜੀ ਡਰਾਉਣੀ ਫਿਲਮ ਨੇ ਸਭ ਤੋਂ ਵੱਧ ਸੀਕਵਲ ਪੈਦਾ ਕੀਤੇ?,ਚੀਕਣਾ',ਜੌਸ ',ਹੈਲੋਵੀਨ,ਸ਼ੁੱਕਰਵਾਰ 13',D
ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜਾ ਪਕਵਾਨ ਸੂਰ ਦੀਆਂ ਅੰਤੜੀਆਂ ਤੋਂ ਬਣਾਇਆ ਜਾਂਦਾ ਹੈ?,ਹੈਗੀਸ,ਚਿਟਲਿਨਜ਼,ਗ੍ਰਿਟਸ,Chop Sue,B
ਅਭਿਨੇਤਾ ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਦੀ ਮੂਲ ਭਾਸ਼ਾ ਕੀ ਹੈ?,ਸਪੇਨੀ,ਰੂਸੀ,ਜਰਮਨ,ਫਰੈਂਚ,A
ਨੀਦਰਲੈਂਡਜ਼ ਦੀ ਅਧਿਕਾਰਤ ਭਾਸ਼ਾ ਕੀ ਹੈ?,ਡੈਨਿਸ਼,ਸਵੀਡਿਸ਼,ਜਰਮਨ,ਡੱਚ,D
1999 ਦੀ ਫਿਲਮ ਮੈਗਨੋਲੀਆ ਕਿਸ ਰਾਜ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਹੈ?,ਕੈਲੀਫੋਰਨੀਆ,ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ,ਜੋਰਜੀਆ,ਟੈਕਸਾਸ,A
ਪਰਿਵਰਤਨ ਜੋ ਐਕੋਨਡਰੋਪਲਾਸੀਆ ਦਾ ਕਾਰਨ ਬਣਦੇ ਹਨ ਇੱਕ ਪ੍ਰਭਾਵ ਪਾਉਂਦੇ ਹਨ ਜਿਸਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਵਰਗੀਕ੍ਰਿਤ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ:,ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਕਾਰਾਤਮਕ.,ਫੰਕਸ਼ਨ ਦਾ ਲਾਭ।,ਹੈਪਲੋਇਨਫੈਂਸੀ।,ਫੰਕਸ਼ਨ ਦਾ ਨੁਕਸਾਨ।,B
ਇਹ ਮਾਰਕੀਟਿੰਗ ਅਤੇ ਸੰਚਾਰ ਸਾਧਨ ਗਾਹਕਾਂ ਨੂੰ ਕਿਸੇ ਉਤਪਾਦ/ਸੇਵਾ ਨੂੰ ਖਰੀਦਣ ਲਈ ਉਤਸ਼ਾਹਤ ਕਰਨ ਲਈ ਸਿੱਧਾ ਲਾਲਚ ਜਾਂ ਪ੍ਰੋਤਸਾਹਨ ਦੀ ਪੇਸ਼ਕਸ਼ ਕਰਦਾ ਹੈ:,ਇਸ਼ਤਿਹਾਰਬਾਜ਼ੀ।,ਜਨਸੰਪਰਕ[ਸੋਧੋ],ਵਿਕਰੀ ਪ੍ਰਚਾਰ।,ਡਾਇਰੈਕਟ ਮਾਰਕੀਟਿੰਗ।,C
K-ਫੋਲਡ ਕਰਾਸ-ਵੈਲੀਡੇਸ਼ਨ ਹੈ,K ਵਿੱਚ ਲੀਨੀਅਰ,K ਵਿੱਚ ਚਤੁਰਕੀ,K ਵਿੱਚ ਕਿਊਬਿਕ,K ਵਿੱਚ ਐਕਸਪੋਨੇਂਸ਼ੀਅਲ,A
ਮੱਧ-ਉਮਰ ਦੇ ਬਾਲਗ ਬਜ਼ੁਰਗ ਜਾਂ ਛੋਟੇ ਬਾਲਗਾਂ ਨਾਲੋਂ ਵਧੇਰੇ ____ ਜਾਪਦੇ ਹਨ,ਜੈਨੇਰੇਟਿਵ,ਨਿਊਰੋਟਿਕ,ਸਹਿਮਤ,ਕੁਝ ਖਾਸ,A
ਪ੍ਰਸ਼ੰਸਾਯੋਗ ਸ਼ਖਸੀਅਤ ਦਾ ਭੁਲੇਖਾ ਇੱਕ ਵਿਸ਼ੇਸ਼ ਕਿਸਮ ਦਾ ਹੈ,ਹਾਦਸੇ ਦੀ ਗਲਤੀ,ਝੂਠੀ ਦੁਬਿਧਾ,ਸਵਾਲ ਪੁੱਛਣਾ,ਸਰਕੂਲਰ ਤਰਕ,A
