Question,A,B,C,D,Answer
Ni nde muri abo bantu bafite ubwoba bwinshi kurusha abandi?,"Bye bye scream""",Bye bye Jaws,Bye bye Halloween,Ku wa gatanu tariki ya 13',D
Ni iyihe myambaro ikozwe mu biribwa by'ingurube?,Haggis Haggis,bye bye chitlins,Bye bye grits,Bye bye Suey,B
Ni uwuhe mukinnyi w'umupira w'amaguru Antonio Banderas?,Icyesipanyolo,Ikirusiya,Ikidage,Igifaransa,A
Ni uruhe rurimi rwemewe n'amategeko rw'u Buholandi?,Ikinyadanimarike,Ikinyasuwede,Ikidage,Igiholandi,D
Ni iyihe filime ya Magnolia yo mu 1999?,Bye bye California,Bye bye Caroline,Jeworujiya,Bye bye Texas,A
Ahabanza Amakuru Amakuru y'Imyidagaduro,Bye bye negative.,inyungu z'umurimo.,Bye bye emosufficiens.,gutakaza imirimo.,B
Iki gikoresho cy'ubucuruzi n'itumanaho gitanga inkunga itaziguye cyangwa inkunga yo gushishikariza abakiriya kugura ibicuruzwa/serivisi:,Bye bye advertisement.,Imibanire y'abaturage.,Bye bye sales promotion.,Bye bye direct marketing.,C
k-e,Bye bye in K,Bye bye quadratic in K,bye bye in K,Image in K,A
Abantu bakuze ni bo bafite imyaka myinshi kurusha abakuze cyangwa abakuze,Bye Bye Generative,Bye bye neurotic,agreeable,Nta gushidikanya,A
Kutanyurwa n'ubumuntu ni bumwe mu buryo bw'umwihariko,Kugwa mu mpanuka,Bye bye false dilemma,Gusaba ikibazo,Bye Bye Circular Reasoning,A
