Question,A,B,C,D,Answer
Kateri od teh grozljivk je sprožil največ nadaljevanj?,"Kriči""","Čeljusti""","Noč čarovnic""",petek 13.,D
Katera od teh jedi je narejena iz črevesja prašičev?,haggis,Chitlins,Zdrob,Sesekljajte semiš,B
Kaj je materni jezik igralca Antonia Banderasa?,Španščina,Ruščina,Nemščina,Francoščina,A
Kateri je uradni jezik Nizozemske?,Danščina,Švedščina,Nemščina,Nizozemščina,D
V kakšnem stanju je film Magnolia iz leta 1999?,Kaliforniji,Južna Karolina,Gruzija,Texas,A
"Mutacije, ki povzročajo ahondroplasijo, imajo učinek, ki ga lahko razvrstimo kot:",prevladujoči negativni.,pridobivanje funkcije.,haploinsuficienca.,izguba funkcije.,B
To marketinško in komunikacijsko orodje ponuja neposredno spodbudo ali spodbudo za spodbujanje kupcev k nakupu izdelka/storitve:,Oglaševanje.,Javnostmi.,Pospeševanje prodaje.,Neposredno trženje.,C
K-kratna navzkrižna validacija je,linearno v K,kvadratna v K,kubični v K,eksponentno v K,A
"Zdi se, da so odrasli srednjih let več kot starejši ali mlajši odrasli",Generativno,Nevrotični,Prijetno,Nekaterih,A
Zmota pohvalne osebnosti je posebna vrsta,Zmota nesreče,Napačna dilema,Prosjačenje vprašanja,Krožno sklepanje,A
"To vprašanje se nanaša na naslednje informacije.
Semena totalitarnih režimov se hranijo z bedo in pomanjkanjem. Širijo se in rastejo na zlobnih tleh revščine in prepirov. Svojo polno rast dosežejo, ko umre upanje ljudi na boljše življenje. To upanje moramo ohraniti živo. [. . .] Hitro gibanje dogodkov nam je naložilo veliko odgovornost. [. . .] Prepričan sem, da se bo kongres s temi odgovornostmi soočil odkrito.""
Predsednik Harry S. Truman, 1947
Ideje, izražene v zgornjem odlomku, najbolj neposredno odražajo, katera od naslednjih kontinuitet v zgodovini ZDA?",Razprave o odnosu med kongresom in predsednikom.,Razprave o uporabi vojaške sile v nestabilnih razmerah.,Razprave o vlogi Združenih držav v svetovnih zadevah.,Razprave o ustrezni vlogi političnih strank.,C
Pacient trpi zlomljen vrat s poškodbo hrbtenjače na ravni šestega vratnega vretenca.,Brez življenjske podpore ne bodo mogli dihati.,Lahko bodo le tiho dihali.,Nemogoče je napovedati učinek na dihanje.,Dihanje bo nespremenjeno.,B
Negativna preostala avtokorelacija je označena s katero od naslednjih?,Ciklični vzorec v ostankih,Izmenični vzorec v ostankih,Popolna naključnost ostankov,"Ostanki, ki so vsi blizu nič",B
"Ugotovite predhodnik naslednjega pogojnega predloga: Čebele zmagajo svojo prvo tekmo le, če Aardvarki ali veverice ne zmagajo na svojih prvih tekmah.",Aardvarki ne zmagajo na svoji prvi tekmi.,Čebele zmagajo na prvi tekmi.,Chipmunksi ne zmagajo v svoji prvi tekmi.,Ali Aardvarks ali Chipmunks ne zmagajo na svojih prvih igrah.,B
"Študenti izvajajo vajo ločevanja rastlinskih pigmentov, ki od njih zahteva uporabo zaprte kromatografske komore z majhno količino acetona na dnu komore. Varnostna opozorila za aceton vključujejo izjavo, da draži oči in kožo ter ima vnetljive hlape. Od naslednjega', katere varnostne ukrepe morajo učenci upoštevati med izvajanjem vaje?","Nadenite si rokavice, ki zavirajo gorenje, da komoro odnesete do dimnega pokrova, če se aceton vname","Namestitev komore v zaprto, zatemnjeno omarico za čas ločevanja pigmentov",Nosite usnjene rokavice in pokrivate nos in usta z masko za delce,Nošenje očal in nitrilnih rokavic ter zapiranje vseh acetonskih vsebnikov,D
Zaradi česa je določanje evolucijske sorodnosti različnih vrst na podlagi aminokislinskega zaporedja homolognih proteinov na splošno manj natančno kot določanje sorodnosti na podlagi nukleotidnih zaporedij homolognih genov?,Tihe mutacije,Podvajanje genov,"Translokacijski dogodki, ki spreminjajo zaporedja genov",Prehod,A
"Ali je nezakonit umor, ki ga je zagrešil minister države X v tujini, dejanje iure imperii ali iure gestionis?",Tako ravnanje je javno dejanje (iure imperii),Takšno ravnanje nikoli ne pritegne imunitete,Tako ravnanje je zasebno dejanje (iure gestionis),"Tako ravnanje je javno dejanje, vendar je zaščiteno z imuniteto",C
"To vprašanje se nanaša na naslednje informacije.
Najprej moramo pripomniti, da je kozmos okrogle oblike, deloma zato, ker je ta oblika popolna celota, ki ne zahteva sklepov, najbolj popolna od vseh, deloma zato, ker je najbolj prostorna oblika, ki je najbolj primerna za vse; ali spet zato, ker se vsi sestavni deli vesolja, to je Sonce, Luna in planeti, pojavljajo v tej obliki; ali ker si vse prizadeva doseči to obliko, kot se pojavi v primeru kapljic vode in drugih tekočih teles, če se poskušajo opredeliti. Tako nihče ne bo dvomil, da ta oblika pripada nebeškim telesom. ...
Da je tudi zemlja okrogla, je zato nedvomno, saj pritiska z vseh strani na svoje središče. Čeprav zaradi vzpetin gora in depresij v dolinah ni mogoče razumeti popolnega kroga, to ne vpliva na splošno sferično naravo zemlje. ...
Ker je bilo že dokazano, da ima Zemlja obliko krogle, moramo razmisliti, ali gibanje sovpada tudi s to obliko in kakšno mesto ima zemlja v vesolju. ... Velika večina avtorjev se seveda strinja, da Zemlja miruje v središču vesolja in meni, da je nepredstavljivo in smešno domnevati nasprotno. Toda če bo zadeva skrbno pretehtana, se bo pokazalo, da vprašanje še ni rešeno in ga zato nikakor ne smemo obravnavati zlahka. Vsaka opazovana sprememba kraja je namreč posledica gibanja opazovanega predmeta ali opazovalca ali gibanja obeh. ... Zdaj se iz zemlje opazuje revolucija nebes in se proizvaja za naše oči. Torej, če zemlja ni podvržena gibanju, se mora to gibanje odvijati v vsem zunaj zemlje, vendar v nasprotni smeri, kot če bi se vse na zemlji premaknilo, in to je vsakodnevna revolucija. Tako se zdi, da to vpliva na celotno vesolje, to je na vse zunaj Zemlje, z eno samo izjemo same Zemlje. Če pa bi priznali, da to gibanje ni bilo značilno za nebesa, ampak da se je Zemlja vrtela od zahoda proti vzhodu, in če bi to skrbno premislili glede na navidezni vzpon in zahajanje Sonca, Lune in zvezd, bi odkrili, da je bila to resnična situacija.
Nicolas Kopernik, Revolucije nebesnih teles, 1543
Odlomek se lahko uporabi kot dokaz, da se je Kopernik razlikoval od tradicionalnih, aristotelskih naravnih filozofov tistega časa, ker je predlagal, da",kozmos je okrogel,Zemlja je okrogla,Kozmos je geostatičen,Zemlja ni mirujoča,D
"Določimo koncentracijo H+(aq) v 1,0 M fenolu, C6H5OH, raztopini. (Ka za fenol je 1 × 10^-10.)",1 × 10^-10 m,1 × 10^-9 m,1 × 10^-3 m,1 × 10^-5 m,D
"Kateri od naslednjih dejavnikov bi se štel za dejavnik ""privlačevanja"" za Rivo, ko razmišljamo o selitvi iz Indije v ZDA?",Skrajna revščina,Boljša zaposlitev in višje plače,Indijski kastni sistem,Nasilje v njeni soseski,B
"V primerjavi s političnimi strankami v državah, kot sta Anglija in Izrael, ki imata obe večstrankarski sistem, so ameriške politične stranke",manj zainteresirani za vplivanje na izid volitev,manj jasno poistoveten z doslednimi političnimi ideologijami,manj učinkovito pri zbiranju denarja od političnih podpornikov,bolje odražajo cilje svojih celotnih volilnih okrožij,B
"Število, zaokroženo na najbližjo tisoč, je 47.000. Katera številka je lahko številka, ki je bila zaokrožena?","46,295","46,504","47,520","47,924",B
"Rezervoar je v obliki trikotne prizme. Če ima trikotna podlaga površino 116 kvadratnih metrov, rezervoar pa je visok 30 čevljev, koliko vode bi rezervoar vseboval, ko je poln?",1725 ft^3,1740 ft^3,3480 ft^3,6960 ft^3,C
