Question,A,B,C,D,Answer
Який із цих фільмів жахів породив найбільше продовжень?,Крик',Щелепи»,Хелловін,"П'ятниця, 13-те'",D
Яке з цих страв готують зі свинячих кишок?,Хаггіс,Читлін,Крупи,Чоп Суей,B
Яка рідна мова актора Антоніо Бандераса?,Іспанська,Російська,Німецька,Французька,A
Яка офіційна мова Нідерландів?,Датська,Шведська,Німецька,Нідерландська,D
У якому стані відбувається дія фільму «Магнолія» 1999 року?,Каліфорнія,Південна Кароліна,Грузія,Техас,A
"Мутації, що викликають ахондроплазію, надають ефект, який можна класифікувати як:",домінуючий негатив.,коефіцієнт підсилення функції.,гаплонедостатність.,втрата функцій.,B
 Цей маркетинговий та комунікаційний інструмент пропонує прямий стимул або стимул для заохочення клієнтів придбати продукт/послугу:,Реклама.,Зв'язки з громадськістю.,Стимулювання збуту.,Прямий маркетинг.,C
K-кратна перехресна валідація - це,лінійна в К,квадратична в К,кубічна в К,експоненціальна в K,A
"Дорослі середнього віку виявляються більш _____, ніж старші або молодші",Генеративні,Невротичні,Згоден,Певних,A
Помилка хвалебної особистості є специфічним типом,Помилка випадковості,Хибна дилема,Напрошується питання,Кругове міркування,A
"Це питання стосується наступної інформації.
«Насіння тоталітарних режимів живляться злиднями та нуждою. Вони поширюються і ростуть на злому ґрунті бідності та розбрату. Вони досягають свого повного зросту, коли надія народу на краще життя згасла. Ми повинні зберігати цю надію... Швидкий розвиток подій поклав на нас велику відповідальність... Я впевнений, що Конгрес постане перед цими обов'язками прямо».
Президент Гаррі С. Трумен, 1947 рік
Ідеї, висловлені в наведеному вище уривку, найбезпосередніше відображають яку з наведених нижче спадкоємностей в історії США?",Дебати про відносини між Конгресом і президентом.,Дебати про застосування військової сили в нестабільних ситуаціях.,Дебати про роль Сполучених Штатів у світових справах.,Дебати про належну роль політичних партій.,C
Хворий отримує перелом шиї з пошкодженням спинного мозку на рівні шостого шийного хребця.,Вони не зможуть дихати без життєзабезпечення.,Вони зможуть тільки спокійно дихати.,Передбачити вплив на дихання неможливо.,Дихання не постраждає.,B
На що вказує негативна залишкова автокореляція?,Циклічна закономірність залишків,Чергування залишків,Повна випадковість залишків,"Залишки, які близькі до нуля",B
"Визначте антецедент наступного умовного судження: «Бджоли» виграють свою першу партію тільки в тому випадку, якщо «Ардварки» або «Бурундуки» не виграють свої перші партії.","""Ардварки"" не виграють свою першу гру.",«Бджоли» виграли свою першу гру.,«Бурундуки» не виграють свою першу партію.,"Або «Ардварки», або «Бурундуки» не виграють свої перші партії.",B
"Учні проводять вправу з розділення рослинного пігменту, яка вимагає від них використання закритої хроматографічної камери з невеликою кількістю ацетону на дні камери. Попередження про безпеку ацетону включають твердження, що він подразнює очі та шкіру та має легкозаймисті пари. Які заходи безпеки повинні дотримуватися учні під час виконання вправи?","Надягання вогнезахисних рукавичок, щоб перенести камеру до витяжної шафи, якщо ацетон загориться","Приміщення камери в закриту, затемнену шафу на час відділення пігменту",Носіння шкіряних рукавичок і прикриття носа і рота маскою з частинками,Носіть захисні окуляри та рукавички нітрилового типу та тримайте всі ємності з ацетоном закритими,D
"Що з цього робить визначення еволюційної спорідненості різних видів на основі амінокислотної послідовності гомологічних білків, як правило, менш точним, ніж визначення спорідненості на основі нуклеотидних послідовностей гомологічних генів?",Мовчазні мутації,Дуплікації генів,"Транслокаційні події, які змінюють послідовності генів",Кросинговер,A
"Чи є незаконне вбивство, вчинене міністром країни X за кордоном, дією jure imperii чи jure gestionis?",Така поведінка є публічним актом (jure imperii),Така поведінка ніколи не притягує імунітет,Така поведінка є приватним актом (jure gestionis),"Така поведінка є публічним актом, але захищена імунітетом",C
"Це питання стосується наступної інформації.
По-перше, ми повинні зауважити, що космос має сферичну форму, почасти тому, що ця форма, будучи досконалим цілим, що не потребує з'єднань, є найповнішою з усіх, почасти тому, що вона утворює найбільш містку форму, яка найкраще підходить для того, щоб вмістити і зберегти все; або знову ж таки, тому, що всі складові частини Всесвіту, тобто Сонце, Місяць і планети, з'являються в такому вигляді; або тому, що все прагне досягти цієї форми, як це виявляється у випадку з краплями води та інших текучих тіл, якщо вони намагаються визначити себе. Так що ні в кого не виникне сумнівів, що ця форма належить небесним світилам. ...
Тому те, що Земля також має кулясту форму, не підлягає сумніву, тому що вона тисне з усіх боків на свій центр. Хоча з огляду на висоти гір і западини долин не можна зрозуміти досконале коло, все ж це не впливає на загальну кулястість Землі. ...
Оскільки вже було показано, що Земля має форму кулі, ми повинні розглянути, чи збігається рух з цією формою і яке місце займає Земля у Всесвіті. ... Переважна більшість авторів, звичайно, сходяться на думці, що Земля нерухомо стоїть у центрі Всесвіту, і вважають немислимим і безглуздим припускати протилежне. Але якщо ретельно зважити справу, то стане зрозуміло, що питання ще не вирішене, і тому до нього ні в якому разі не можна ставитися легковажно. Будь-яка зміна місця, що спостерігається, пов'язана, а саме, з рухом спостережуваного об'єкта або спостерігача, або з рухами того й іншого. ... Тепер саме з землі спостерігається обертання небес, і воно створюється для наших очей. Отже, якщо Земля не зазнає ніякого руху, то цей рух повинен відбуватися в усьому, що знаходиться поза Землею, але в протилежному напрямку, ніж якби все на Землі рухалося, і саме таким є щоденне обертання. Отже, це, мабуть, впливає на весь Всесвіт, тобто на все, що знаходиться поза Землею, за винятком самої Землі. Якщо, однак, визнати, що цей рух був властивий не небу, а що Земля оберталася із заходу на схід, і якщо уважно розглянути це з огляду на видимий схід і захід сонця, місяця і зірок, то виявиться, що це була справжня ситуація.
Микола Коперник, Обертання небесних світил, 1543
Цей уривок може бути використаний як доказ того, що Коперник відрізнявся від традиційних арістотелівських натурфілософів свого часу, оскільки він припускав, що",Космос сферичний,Земля має кулясту форму,Космос геостатичний,Земля не нерухома,D
"Визначте концентрацію H+(aq) у розчині 1,0 М фенолу, C6H5OH. (Ка для фенолу дорівнює 1 × 10^-10.)",1 × 10^-10 м,1 × 10^-9 м,1 × 10^-3 М,1 × 10^-5 м,D
Який з наведених нижче факторів буде вважатися фактором «тяжіння» для Riva при розгляді питання про переїзд з Індії до Сполучених Штатів?,Жахлива бідність,Краща робота та вища заробітна плата,Кастова система Індії,Насильство в її районі,B
"У порівнянні з політичними партіями в таких країнах, як Англія та Ізраїль, які мають багатопартійні системи, американські політичні партії",менш зацікавлені у впливі на результат виборів,менш чітко ототожнюються з послідовними політичними ідеологіями,менш ефективний у зборі грошей від політичних прихильників,краще відображати цілі цілих виборчих округів,B
"Число, округлене до найближчої тисячі, дорівнює 47 000. Яке число може бути числом, яке було округлено?","46,295","46,504","47,520","47,924",B
"Бак має форму трикутної призми. Якщо трикутна основа має площу 116 квадратних футів, а резервуар має висоту 30 футів, скільки води міститиме резервуар, коли він заповнений?",1725 футів^3,1740 футів^3,3480 футів^3,6960 футів^3,C
"Напруга, що індукується в котушці індуктивності, представляється як:",добуток його індуктивності і струму через нього.,відношення його індуктивності до струму через нього.,відношення струму через нього до його індуктивності.,добуток його індуктивності і швидкості зміни струму через нього.,D
Які з наведених характеристик загалом узгоджуються з фініковим зґвалтуванням?,застосування надмірної сили,заздалегідь обдуманий,сексуально мотивовані,передбачає використання зброї,C
"Знайдіть довжину кривої y = ln x між точками, де y = 1/2 і y = 1.",0.53,0.86,1.18,1.36,C
Знайдіть $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$,1,-1,0,2,B
Яка психологічна перспектива була найбільш популярною на рубежі ХХ століття в Західній Європі?,Неврології,Еволюційної,Біхевіорістской,психоаналітичні,D
"Вивчена безпорадність, швидше за все, безпосередньо пов'язана з",ефект Барнума.,корислива упередженість.,зовнішній локус контролю.,безумовне позитивне ставлення.,C
"Дослідження Гарсії та Келінга щодо вивчених відраз встановили, що які з наведених нижче пар UCS та CS є найпотужнішими та засвоюються найшвидше?",виконання завдання та отримання винагороди за харчування,нудота і їжа або питво,Рух і удар,Покарання і заохочення,B
"Частина марсіанської води замерзла в ґрунті та крижаних шапках, а частина була втрачена через зняття сонячного вітру, але вважається, що більша частина початкової води була втрачена через інший механізм. Що сталося з цією «загубленою» водою?","Він був знятий магнітним полем, коли його сила швидко зменшувалася","Він був розщеплений на водень і кисень ультрафіолетовим світлом, і водень був втрачений через теплову втечу",його поглинула цивілізація спраглих марсіан,Він випарувався в період інтенсивного вулканізму і був втрачений в космос через теплову втечу,B
"Рухаючись з початковою швидкістю 1,5 × 10^6 м/с, протон потрапляє в область постійного магнітного поля магнітудою 1,5 Тл. Якщо вектор початкової швидкості протона дорівнює куту 30° з магнітним полем, обчисліть швидкість протона через 4 с після входження в магнітне поле.","5,0 × 10^6 м/с","7,5 × 10^6 м/с","1,5 × 10^6 м/с","3,0 × 10^6 м/с",C
"Енергія, що вивільняється при розпаді високоенергетичних фосфатів, АТФ і фосфокреатину, може підтримувати максимальне навантаження протягом приблизно:",1-2 секунди.,5-10 секунд.,30-40 секунд.,50-60 секунд.,B
"У послідовному ланцюзі, якщо струм в одній лампі дорівнює 2 А, то струм в лампі поруч з нею дорівнює","половина, 1 А",2:00 ранку,"Залежить від того, яка лампа ближче до батареї","Недостатньо інформації, щоб сказати",B
Що з переліченого найімовірніше призведе до сильнішого економічного зростання з часом?,Більш швидке споживання природних ресурсів.,Вищий рівень неписьменності серед дорослого населення.,Падіння запасу капітальних благ.,Інвестиційні податкові пільги.,D
"Економіка перебуває в глибокій рецесії. З огляду на таку економічну ситуацію, яке з наведених тверджень про монетарну політику є правильним?",Експансіоністська політика лише посилить рецесію.,"Експансіоністська політика значно збільшує сукупний попит, якщо інвестиції чутливі до зміни процентної ставки.",Політика скорочення є відповідним стимулом для інвестицій і споживання.,"Якщо попит на гроші є абсолютно еластичним, експансіоністська монетарна політика може бути досить ефективною.",B
"Підприємства займаються соціальним обліком у зв'язку з вимогами _________, щоб виявити ________, покращити ___________ та заохотити _________ та ___________","Зацікавлені сторони, Ризики, Управління зацікавленими сторонами, Підзвітність, Прозорість","Зацікавлені сторони, Підзвітність, Прозорість, Ризики, Управління зацікавленими сторонами","Зацікавлені сторони, Підзвітність, Ризики, Зацікавлені сторони, Управління зацікавленими сторонами","Зацікавлені сторони, Управління зацікавленими сторонами, Прозорість, Ризики, Підзвітність",A
"Податок, накладений на постачальника, з більшою ймовірністю буде перекладено на споживача у вигляді підвищення ціни, якщо",Цінова еластичність попиту відрізняється високою еластичністю.,Цінова еластичність попиту вкрай нееластична.,Цінова еластичність попиту - одинична еластичність.,Еластичність попиту на заробітну плату є високоеластичною.,B
Твердження 1 | У групі (ab)^{-2} = b^{-2}a^{-2}. Твердження 2 | У групі (ab)^n = a^nb^n.,"Вірно, правда","Брехня, брехня","Правда, брехня","Брехня, правда",B
Яким терміном позначає ступінь впливу конкуренції в одній країні на конкуренцію в інших країнах?,Міжнародна торгівля,Глобальна економіка,Глобальна конкуренція,Глобалізація,D
"Програміст написав програму нижче. Програма використовує список чисел під назвою numList. Програма призначена для відображення суми чисел у списку.
 sum ← numList [1]
 ДЛЯ КОЖНОГО значення в numList
 сума ← сума + значення
 ВІДОБРАЗИТИ суму
 Для того, щоб протестувати програму, програміст ініціалізує numList в [0 , 1 , 4 , 5]. Програма відображає 10, і програміст робить висновок, що програма працює так, як задумано. Що з наведеного нижче є правильним?",Висновок правильний; Програма працює за призначенням.,"Висновок неправильний; Програма не відображає коректне значення для тест-кейсу [0, 1, 4, 5].","Висновок неправильний; Використання тесту [0, 1, 4, 5] не є достатнім для того, щоб зробити висновок про правильність програми.","Висновок неправильний; Використання тест-кейсу [0, 1, 4, 5] лише підтверджує, що програма працює для списків у порядку зростання.",C
Чому Парфіт виступає проти рівності?,"Він стверджує, що нерівне суспільство неминуче.","Він стверджує, що, віддаючи пріоритет потребам бідних, ми можемо збільшити рівність.","Він стверджує, що кожен з нас несе відповідальність за свою бідність.",Він взагалі відкидає ідею рівності.,B
"Це питання стосується наступної інформації.
«Справді, як фетви видатних [учених], які ґрунтують свою думку як на розумі, так і на традиціях, і консенсус сунітської спільноти погоджуються, що давній обов'язок винищення, винищення та вигнання злих нововведень має бути метою нашого піднесеного прагнення, бо «релігійна ревність є перемогою віри Бога Милосердного»; тоді, згідно зі словами Пророка (мир йому!) «Той, хто вносить злі нововведення в наш порядок, повинен бути вигнаний» і «Той, хто чинить щось проти нашого порядку, повинен бути вигнаний», дії стали необхідними і невідкладними...»
Лист османського султана Селіма I до Сефевід-шаха Ісмаїла I, 1514 р.
Сефевіди викликали гнів ісламських імперій, таких як Османська імперія та Імперія Великих Моголів, насамперед тому, що Сефевіди","були експансіоністською імперією, географічно розташованою між двома іншими експансіоністами",відкинув центральні догмати ісламу,поневолив християн і перетворив їх на воїнів Сефевідів,Ісмаїл проголосив себе халіфом,A
"Це питання стосується наступної інформації.
Я йду поруч з колоною, питаю, що відбувається.
Солдат каже просто: «Вони з кожним днем призивають все більше.
""Декого з нас відправили на північ, до річки Хуанхе, коли нам було п'ятнадцять років,
І ось о сороковій ми вирушаємо до гарнізонів на заході.
Під час нашої першої екскурсії сільський староста мав зв'язати нам бандани.
Коли ми повернулися, наше волосся було білим, але все одно було більше заворушень.
Прикордонні гарнізони течуть кров'ю, достатньою для того, щоб наповнити океан,
Але територіальні амбіції войовничого імператора ще не досягли успіху.
У ста округах на схід від гір, по всій землі Ханьській,
Має бути десять тисяч сіл, які зараз кишать очеретами.
Навіть якщо дружини досить сильні, щоб впоратися з мотикою і плугом,
Врожаї ростуть у будь-який бік, на полях весь безлад.
Найважче доводиться чоловікам Шаньсі, з їхньою репутацією бійців:
Вони зігнені, як собаки або кури, кожен самець вражений.
— Але, пане, хоч і добре з вашого боку просити,
Скаржитися не входить до завдань солдата.
Ми можемо тільки похитати головою. Візьмемо цю зиму:
Війська Шаньсі так і не були відправлені додому.
Дільничні офіцери вимагають земельний податок,
Але звідки вона візьметься? З каменя кров не отримаєш!
Я, чесно кажучи, вважаю, що не пощастило зараз народжувати сина,
Краще завести доньку: хоча б вона може вийти заміж
І жити з сусідами по сусідству.
Але син врешті-решт ляже в якусь далеку прерію».
Ду Фу, «Балада про армійські вози», близько 750 року н. е.
Вірш є свідченням того, що з наведеного нижче стосується гендерних відносин у суспільстві Тан?",Конфуціанські відносини між чоловіком і дружиною все ще були міцними в суспільстві Тан.,"Імператорські рескрипти наголошували на народженні здібних синів, а не дочок для виконання квоти призову.","Сільськогосподарська праця могла бути спільною як для жінок, так і для чоловіків.",Традиційні китайські гендерні відносини були змінені під час правління імператриці У Цзетянь.,C
У xy-площині графік x^(log y) = y^log x дорівнює,Відкритий перший квадрант,замкнута крива,Промінь у відкритому першому квадранті,Єдине очко,A
