Question,CorrectAnswer,GivenAnswer,Correct
"ما هي اللغة الأم للممثل أنطونيو بانديراس؟
A.الإسبانية
B.الروسية
C.الألمانية
D.الفرنسية",A,"الإجابة الصحيحة هي:
A. الإسبانية

أنطونيو بانديراس هو ممثل إسباني، ولغته الأم هي الإسبانية. هو ولد وترعرع في إسبانيا وبدأ مسيرته الفنية هناك قبل أن ينتقل إلى هوليوود.",
"الرقم ، مقربا لأقرب ألف ، هو 47,000. أي عدد يمكن أن يكون العدد الذي تم تقريبه؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"للإجابة على هذا السؤال، نحتاج إلى معرفة المدى الذي يمكن أن يكون فيه العدد الأصلي قبل التقريب.

إذا كان الرقم المقرب هو 47,000، فهذا يعني أن العدد الأصلي يقع في المدى بين 46,500 و 47,499.

بالتالي، الإجابة الصحيحة هي:

B. 46,504",
"ما هي اللغة الرسمية في هولندا؟
A.الدانماركية
B.السويدية
C.الألمانية
D.الهولندية",D,"الإجابة الصحيحة هي:

D. الهولندية

هولندا هي إحدى دول البنلوكس في أوروبا الغربية، واللغة الرسمية الوحيدة في هولندا هي اللغة الهولندية.

الدانماركية والسويدية هما اللغتان الرسميتان في الدنمارك والسويد على التوالي، بينما الألمانية هي اللغة الرسمية في ألمانيا.",
"في أي حالة تم تعيين فيلم ماغنوليا عام 1999؟
A.كاليفورنيا
B.ساوث كارولينا
C.جورجيا
D.تكساس",A,"الإجابة الصحيحة هي:

C. جورجيا

فيلم ماغنوليا (Magnolia) من إخراج بول توماس أندرسون، وتم تصويره في عام 1999 في مدينة لوس أنجلوس بولاية كاليفورنيا. ومع ذلك، فإن الإعداد والإعداد الرئيسي للفيلم كان في ولاية جورجيا.",
"دبابة على شكل منشور مثلث. إذا كانت القاعدة المثلثة مساحتها ١١٦ قدما مربعا، وكان طول الخزان ٣٠ قدما، فما كمية الماء التي سيحتوي عليها الخزان عندما يكون ممتلئا؟
A.1725 قدم ^ 3
B.1740 قدم ^ 3
C.3480 قدم ^ 3
D.6960 قدم ^ 3",C,"للإجابة على هذا السؤال، نحتاج إلى حساب حجم الخزان.

المعطيات:
- مساحة القاعدة المثلثة = 116 قدم مربع
- طول الخزان = 30 قدم

لحساب حجم الخزان، نستخدم المعادلة:
حجم الخزان = مساحة القاعدة × طول الخزان

حجم الخزان = 116 قدم مربع × 30 قدم = 3,480 قدم مكعب

لذلك، الإجابة الصحيحة هي:
C. 3,480 قدم مكعب",
"حدد سابقة الاقتراح الشرطي التالي: يفوز النحل بمباراته الأولى فقط إذا لم يفز خنزير الأرض أو السنجاب بمبارياته الأولى.
A.لا يفوز خنزير الأرض بمباراته الأولى.
B.النحل يفوز بمباراته الأولى.
C.السنجاب لا يفوز بمباراته الأولى.
D.إما أن خنزير الأرض أو السنجاب لا يفوزون بمبارياتهم الأولى.",B,"السابقة الصحيحة هي الخيار (D).

التفسير:
الاقتراح الشرطي هو: ""يفوز النحل بمباراته الأولى فقط إذا لم يفز خنزير الأرض أو السنجاب بمبارياتهم الأولى"".

هذا يعني أن النحل سيفوز بمباراته الأولى إذا لم يفز كل من خنزير الأرض والسنجاب بمبارياتهم الأولى. 

لذلك، الخيار (D) ""إما أن خنزير الأرض أو السنجاب لا يفوزون بمبارياتهم الأولى"" هو السابقة الصحيحة لهذا الاقتراح الشرطي.",
"أي من هذه الأطباق مصنوع من أمعاء الخنازير؟
A.هاغيس
B.كيتلينز
C.الحصي
D.تشوب سوي",B,"الإجابة الصحيحة هي:
A. هاغيس

هاغيس هو طبق تقليدي اسكتلندي مصنوع من أمعاء الخنازير والكبد والبصل والتوابل. أما الأطباق الأخرى المذكورة في السؤال فهي:
B. كيتلينز: طبق ألماني مصنوع من لحم البقر والخبز.
C. الحصي: طبق صيني مصنوع من الخضروات والأرز.
D. تشوب سوي: طبق فيتنامي مصنوع من اللحم والخضروات.",
"التحقق المتقاطع من K هو
A.خطي في K
B.تربيعي في K
C.مكعب في K
D.الأسي في K",A,"الإجابة الصحيحة هي:

B. تربيعي في K

التحقق المتقاطع هو عملية إحصائية تستخدم لتقييم مدى ارتباط متغيرين أو أكثر. في هذه الحالة، التحقق المتقاطع من K يكون تربيعي في K، أي أن العلاقة بين المتغيرات تكون تربيعية.

الخيارات الأخرى:
A. خطي في K - هذا غير صحيح، لأن العلاقة ليست خطية.
C. مكعب في K - هذا غير صحيح، لأن العلاقة ليست مكعبية.
D. الأسي في K - هذا غير صحيح، لأن العلاقة ليست أسية.",
"يشير هذا السؤال إلى المعلومات الآتية.
أولا يجب أن نلاحظ أن الكون كروي في الشكل ، ويرجع ذلك جزئيا إلى أن هذا الشكل هو كل كامل لا يتطلب أي مفاصل ، هو الأكثر اكتمالا على الإطلاق ، جزئيا لأنه يصنع الشكل الأكثر رحابة ، وهو الأنسب لاحتواء كل شيء والحفاظ عليه. أو مرة أخرى لأن جميع الأجزاء المكونة للكون ، أي الشمس والقمر والكواكب تظهر بهذا الشكل ؛ أو لأن كل شيء يسعى جاهدا للوصول إلى هذا الشكل ، كما يظهر في حالة قطرات الماء والأجسام السائلة الأخرى إذا حاولوا تعريف أنفسهم. لذلك لن يشك أحد في أن هذا الشكل ينتمي إلى الأجرام السماوية. ...
لذلك فإن كون الأرض كروية أيضا أمر لا جدال فيه ، لأنه يضغط من جميع الجهات على مركزها. على الرغم من أنه بسبب ارتفاعات الجبال ومنخفضات الوديان ، لا يمكن فهم دائرة كاملة ، إلا أن هذا لا يؤثر على الطبيعة الكروية العامة للأرض. ...
كما ثبت بالفعل أن الأرض لها شكل كرة ، يجب أن نفكر فيما إذا كانت الحركة تتزامن أيضا مع هذا الشكل ، وما هي المكانة التي تحتلها الأرض في الكون. ... تتفق الغالبية العظمى من المؤلفين بالطبع على أن الأرض لا تزال في مركز الكون ، ويعتبرون أنه من غير المعقول والسخف افتراض عكس ذلك. ولكن إذا تم تقييم المسألة بعناية ، فسوف يتبين أن المسألة لم تتم تسويتها بعد ، وبالتالي لا يمكن بأي حال من الأحوال النظر إليها باستخفاف. كل تغيير في المكان يتم ملاحظته يرجع ، أي إلى حركة الجسم المرصود أو المراقب ، أو إلى حركات كليهما. ... الآن من الأرض يتم ملاحظة ثورة السماوات ويتم إنتاجها لأعيننا. لذلك إذا لم تخضع الأرض لأي حركة ، فيجب أن تحدث هذه الحركة في كل شيء خارج الأرض ، ولكن في الاتجاه المعاكس مما لو تحرك كل شيء على الأرض ، وهذا النوع هو الثورة اليومية. لذلك يبدو أن هذا يؤثر على الكون كله ، أي كل شيء خارج الأرض باستثناء واحد للأرض نفسها. ومع ذلك ، إذا كان على المرء أن يعترف بأن هذه الحركة لم تكن خاصة بالسماء ، ولكن الأرض تدور من الغرب إلى الشرق ، وإذا تم النظر في ذلك بعناية فيما يتعلق بالشروق والغروب الظاهري للشمس والقمر والنجوم ، اكتشاف أن هذا هو الوضع الحقيقي "".
نيكولاس كوبرنيكوس ، ثورات الأجرام السماوية ، 1543
يمكن استخدام المقطع كدليل على أن كوبرنيكوس اختلف عن الفلاسفة الطبيعيين الأرسطيين التقليديين في عصره لأنه اقترح ذلك
A.الكون كروي
B.الأرض كروية
C.الكون جيوستاتيكي
D.الأرض ليست ثابتة",D,"من خلال المقطع المقدم، يتضح أن كوبرنيكوس اختلف عن الفلاسفة الطبيعيين الأرسطيين التقليديين في عصره لأنه اقترح أن:

D. الأرض ليست ثابتة

المقطع يشير إلى أن كوبرنيكوس اقترح أن الأرض تدور من الغرب إلى الشرق، وليست ثابتة في مركز الكون كما كان يعتقد الفلاسفة الأرسطيون. هذا يختلف مع الفكرة التقليدية السائدة في عصره عن الأرض الثابتة في مركز الكون.",
"يتم تمثيل الجهد المستحث في المحث على النحو التالي ،
A.نتاج محاثه والتيار من خلاله.
B.نسبة محاثه إلى التيار من خلاله.
C.نسبة التيار من خلاله إلى محاثه.
D.ناتج محاثه ومعدل تغير التيار من خلاله.",D,"الإجابة الصحيحة هي D. ناتج محاثه ومعدل تغير التيار من خلاله.

التفسير:

الجهد المستحث في المحث يُعبَّر عنه بالقانون:

V = L * di/dt

حيث:
- V هو الجهد المستحث (الناتج)
- L هو قيمة المحث
- di/dt هو معدل تغير التيار مع الزمن

هذا القانون يُظهر أن الجهد المستحث هو ناتج قيمة المحث (L) ومعدل تغير التيار (di/dt) من خلال المحث.

لذلك، الخيار الصحيح هو D. ناتج محاثه ومعدل تغير التيار من خلاله.

الخيارات الأخرى لا تُعبِّر بشكل كامل عن تمثيل الجهد المستحث في المحث.",
