Question,CorrectAnswer,GivenAnswer,Correct
"Какъв е родният език на актьора Антонио Бандерас?
A.Испански
B.Руски
C.Немски
D.Френски",A,"Правилният отговор е A. Испански.

Антонио Бандерас е испански актьор, роден в Малага, Испания. Неговият роден и основен език е испанският.",
"Какъв е официалният език на Нидерландия?
A.Датски
B.Шведски
C.Немски
D.Холандски",D,"Правилният отговор е:

D. Холандски

Официалният език на Нидерландия е холандският (нидерландският) език. Холандският е официалният и основен език, използван в Нидерландия.",
"В какво състояние е снимачната площадка на филма ""Магнолия"" от 1999 г.?
A.Калифорния
B.Южна Каролина
C.Грузия
D.Тексас",A,"Според информацията, с която разполагам, снимачната площадка на филма ""Магнолия"" от 1999 г. се е намирала в Тексас.

Филмът ""Магнолия"" е режисиран от Пол Томас Андерсън и действието в него се развива в Сан Фернандо Вали, Калифорния. Въпреки това, самите снимки на филма са осъществени в Тексас, а не в Калифорния.

Така че правилният отговор на въпроса е:

D. Тексас",
"Резервоарът е във формата на триъгълна призма. Ако триъгълната основа има площ от 116 квадратни фута, а резервоарът е висок 30 фута, колко вода ще съдържа резервоарът, когато е пълен?
A.1725 фута^3
B.1740 фута^3
C.3480 фута^3
D.6960 фута^3",C,"За да решим този проблем, трябва да използваме формулата за обема на триъгълна призма:

Обем = Площ на основата × Височина

Дадено:
- Площ на триъгълната основа = 116 квадратни фута
- Височина на резервоара = 30 фута

Следователно, обемът на резервоара ще бъде:

Обем = 116 квадратни фута × 30 фута
Обем = 3480 кубични фута

Правилният отговор е C. 3480 фута^3.",
"Определете предшественика на следното условно предложение: Пчелите печелят първата си игра само ако Aardvarks или Chipmunks не спечелят първите си игри.
A.Аардварките не печелят първия си мач.
B.""Пчелите"" печелят първия си мач.
C.Чипоносковците не печелят първия си мач.
D.Или Aardvarks, или Chipmunks не печелят първите си игри.",B,"Правилният отговор е D. Или Aardvarks, или Chipmunks не печелят първите си игри.

Обяснение:
Условното предложение гласи: ""Пчелите печелят първата си игра само ако Aardvarks или Chipmunks не спечелят първите си игри.""

Това означава, че за да могат Пчелите да спечелят първата си игра, е необходимо поне един от отборите Aardvarks или Chipmunks да не спечели първата си игра.

Следователно, предшественикът на това условно предложение е D. Или Aardvarks, или Chipmunks не печелят първите си игри.",
"Кои от следните характеристики обикновено са в съответствие с дата изнасилване?
A.Използване на прекомерна сила
B.предумишлен
C.Сексуално мотивирани
D.Използване на оръжие",C,"Следните характеристики обикновено са в съответствие с дата изнасилване:

A. Използване на прекомерна сила
C. Сексуално мотивирани
D. Използване на оръжие

Дата изнасилването е сексуално престъпление, което обикновено включва използване на прекомерна физическа сила, сексуална мотивация и понякога използване на оръжие, за да се принуди жертвата. Обаче, не всички дата изнасилвания включват предумишленост (B), тъй като някои могат да бъдат резултат от неправилно разбиране или липса на съгласие.",
"Число, закръглено до най-близката хиляда, е 47 000. Кое число може да бъде числото, което е закръглено?
A.46,295
B.46,504
C.47,520
D.47,924",B,"За да намерим числото, което е закръглено до 47 000, трябва да погледнем към числата, които са в интервала между 46 500 и 47 500.

Вариант A: 46,295 - това число е по-малко от 46 500, затова не може да бъде верният отговор.

Вариант B: 46,504 - това число е по-близо до 47 000, отколкото 46,295, но все още е под 47 000.

Вариант C: 47,520 - това число е по-голямо от 47 000, затова не може да бъде верният отговор.

Вариант D: 47,924 - това число е също по-голямо от 47 000, затова не може да бъде верният отговор.

Следователно, правилният отговор е Вариант B: 46,504.",
"Кое от тези ястия е направено от свински черва?
A.хагис
B.Читлини
C.Зърно
D.котлет suey",B,"Правилният отговор е:

A. Хагис

Хагисът е традиционно шотландско ястие, което се приготвя от смес от овнешки или говежди дреболии, овесени ядки, лук и подправки, пълнени в свински черва.

Другите отговори не са свързани със свински черва:
B. Читлини - традиционно индийско ястие от пилешко месо
C. Зърно - не е ястие, а хранителен продукт
D. Котлет suey - китайско ястие от пилешко или свинско месо

Така че от изброените, единствено хагисът е направен от свински черва.",
"Напрежението, индуцирано в индуктор, се представя като:
A.продукт на неговата индуктивност и ток през него.
B.съотношение на неговата индуктивност към ток през него.
C.съотношение на тока през него към неговата индуктивност.
D.продукт на неговата индуктивност и скорост на промяна на тока през него.",D,"Правилният отговор е D. продукт на неговата индуктивност и скорост на промяна на тока през него.

Напрежението, индуцирано в индуктор, се определя от закона на Фарадей-Ленц, който гласи, че индуцираното напрежение е пропорционално на скоростта на промяна на магнитния поток през индуктора. Математически това се изразява като:

U = -L * di/dt

Където:
- U е индуцираното напрежение
- L е индуктивността на индуктора
- di/dt е скоростта на промяна на тока през индуктора

Следователно, напрежението, индуцирано в индуктор, се представя като произведение на неговата индуктивност и скоростта на промяна на тока през него.",
"K-fold кръстосаното валидиране е
A.линейни в K
B.квадратичен в K
C.кубичен в K
D.експоненциална в K",A,"Правилният отговор е:

B. квадратичен в K

Обяснение:

K-fold кръстосаното валидиране е техника за оценка на модели на машинно обучение, при която данните се разделят на K равни части. Моделът се обучава K пъти, като всеки път една от частите се използва за валидация, а останалите K-1 части се използват за обучение.

Сложността на K-fold кръстосаното валидиране е квадратична в K, тъй като:
- Моделът се обучава K пъти
- За всяко обучение, данните се разделят на K части
- Общият брой на операциите е пропорционален на K^2

Следователно, сложността на K-fold кръстосаното валидиране е квадратична в K.",
