Question,CorrectAnswer,GivenAnswer,Correct
"Koji je maternji jezik glumca Antonija Banderasa?
A.Španjolski
B.Ruski
C.Njemački
D.Francuski",A,"Točan odgovor je A. Španjolski.

Antonio Banderas je španjolski glumac, rođen u Madridu, Španjolska. Njegov maternji jezik je stoga španjolski.",
"Koji je zvanični jezik Holandije?
A.Danski
B.Švedski
C.Njemački
D.Nizozemski",D,"Tačan odgovor je D. Nizozemski.

Nizozemski je zvanični jezik Holandije (Kraljevine Nizozemske). Holandija je dio Kraljevine Nizozemske, a nizozemski jezik je maternji jezik većine stanovništva.

Danski, švedski i njemački su jezici koji se govore u drugim zemljama, a ne u Holandiji.",
"U kojoj državi je snimljen film Magnolija iz 1999. godine?
A.Kaliforniji
B.juzna karolina
C.Gruzija
D.Texas",A,"Odgovor je A. Kalifornija.

Film Magnolija iz 1999. godine režirao je Paul Thomas Anderson, a snimljen je u Los Angelesu i okolici u Kaliforniji, SAD-u.

Radnja filma se odvija u San Fernando Valleyu u Kaliforniji, a mnoge scene su snimljene na lokacijama u Los Angelesu i okolici.

Dakle, Magnolija je snimljena u američkoj saveznoj državi Kaliforniji, a ne u Južnoj Karolini, Gruziji ili Teksasu.",
"Negativna rezidualna autokorelacija je naznačena sa kojim od sledećih?
A.Ciklični obrazac u rezidualima
B.Naizmjenični obrazac u rezidualima
C.Potpuna slučajnost u rezidualima
D.Ostaci koji su svi blizu nule",B,"Odgovor je B. Naizmjenični obrazac u rezidualima.

Negativna rezidualna autokorelacija se manifestuje kroz naizmjenični obrazac u rezidualima, gdje se pozitivne i negativne vrijednosti smjenjuju u pravilnom obrascu.

A. Ciklični obrazac u rezidualima ne ukazuje na negativnu rezidualna autokorelaciju.
C. Potpuna slučajnost u rezidualima ne ukazuje na negativnu rezidualna autokorelaciju.
D. Ostaci koji su svi blizu nule ne ukazuju na negativnu rezidualna autokorelaciju.

Dakle, od ponuđenih odgovora, naizmjenični obrazac u rezidualima je jedini koji je povezan sa negativnom rezidualnom autokorelacijom.",
"Koje od ovih jela je napravljeno od svinjskih crijeva?
A.haggis
B.chitlins
C.Griz
D.chop suey",B,"Odgovor je B. chitlins.

Chitlins (ili chitterlings) su jelo napravljeno od očišćenih i skuhanih svinjskih crijeva.

A. Haggis je tradicionalno škotsko jelo napravljeno od ovčijih iznutrica (srce, jetra, pluća) pomiješanih s ovsenim pahuljicama, lukom i začinima.

C. Griz je vrsta palente ili kaše od kukuruznog brašna.

D. Chop suey je kinesko-američki wok jelo od različitog povrća i mesa.

Dakle, od navedenih jela, jedino su chitlins napravljeni od svinjskih crijeva.",
"Zabluda hvale ličnosti je specifična vrsta
A.Zabluda nesreće
B.Lažna dilema
C.Postavljam pitanje.
D.Kružno rezonovanje",A,"Točan odgovor je B. Lažna dilema.

Zabluda hvale ličnosti je specifična vrsta logičke pogreške koja se javlja kada se nečija ličnost ili karakter koristi kao argument za ili protiv neke tvrdnje, umjesto da se razmatra sama tvrdnja. To je vrsta lažne dileme, gdje se nudi ograničen izbor između dvije opcije, a postoji još mogućnosti.

Ostali odgovori nisu točni:

A. Zabluda nesreće - Ovo nije točan opis zabluda hvale ličnosti.

C. Postavljam pitanje - Ovo nije vrsta logičke pogreške.

D. Kružno rezonovanje - Ovo je druga vrsta logičke pogreške, a ne zabluda hvale ličnosti.",
"Koji od ovih horor filmova je iznjedrio najviše nastavaka?
A.Scream'
B.Jaws'
C.Noć vještica
D.Petak 13.",D,"Od navedenih horor filmova, film koji je iznjedrio najviše nastavaka je Petak 13.

Petak 13. (Friday the 13th) je horor franšiza koja se sastoji od 12 filmova, uključujući i reboot iz 2009. godine. To je jedna od najdugovječnijih horor franšiza u povijesti.

Ostali filmovi iz popisa također imaju nastavke, ali ne toliko kao Petak 13.:

A. Scream ima 4 filma u franšizi
B. Jaws (Ralje) ima 4 filma
C. Noć vještica (Halloween) ima 11 filmova

Dakle, od navedenih opcija, Petak 13. je horor film koji je iznjedrio najveći broj nastavaka.",
"Ovo pitanje se odnosi na sledeće informacije.
Prvo moramo napomenuti da je kosmos sferičnog oblika, delom zato što je ovaj oblik savršena celina koja ne zahteva spojeve, najkompletniji od svih, delom zato što čini najprostraniji oblik, koji je najpogodniji za sadržavanje i očuvanje svega; ili opet zato što se svi sastavni dijelovi svemira, odnosno Sunce, Mjesec i planete pojavljuju u ovom obliku; ili zato što sve teži da dostigne ovaj oblik, kao što se pojavljuje u slučaju kapi vode i drugih tečnih tela ako pokušaju da se definišu. Tako da niko neće sumnjati da ovaj oblik pripada nebeskim tijelima. ...
Da je i Zemlja sferična ne dovodi se u pitanje, jer sa svih strana pritiska svoje središte. Iako se zbog uzdizanja planina i depresija dolina ne može razumjeti savršen krug, ipak to ne utječe na opću sfernu prirodu zemlje. ...
Kao što je već pokazano da Zemlja ima oblik sfere, moramo razmotriti da li se i kretanje poklapa sa ovim oblikom, i koje mjesto Zemlja drži u svemiru. ... Velika većina autora se naravno slaže da Zemlja stoji u centru svemira, i smatraju da je nezamislivo i smešno pretpostaviti suprotno. Ali, ako se stvar pažljivo odmeri, videće se da pitanje još nije rešeno i da se stoga nikako ne treba olako posmatrati. Svaka promena mesta koja se posmatra posledica je, naime, kretanja posmatranog objekta ili posmatrača, ili kretanja oba. ... Sada je sa zemlje posmatrana revolucija nebesa i stvorena je za naše oči. Stoga, ako zemlja ne podleže nijednom kretanju, to kretanje mora da se odvija u svemu izvan zemlje, već u suprotnom smeru nego da se sve na zemlji kreće, a takve vrste je svakodnevna revolucija. Dakle, čini se da to utječe na cijeli svemir, odnosno na sve izvan Zemlje s jednim izuzetkom same Zemlje. Ako bi, međutim, trebalo priznati da ovo kretanje nije bilo svojstveno nebu, već da se Zemlja okretala od zapada ka istoku, i ako bi se to pažljivo razmotrilo u pogledu prividnog izlaska i zalaska Sunca, Meseca i zvezda, otkrilo bi se da je to bila stvarna situacija.""
Nikolas Kopernik, Revolucije nebeskih tela, 1543.
Odlomak se može koristiti kao dokaz da se Kopernik razlikovao od tradicionalnih, aristotelovskih prirodnih filozofa svog vremena, jer je predložio da
A.Kosmos je sferičan
B.Zemlja je sferična
C.Kosmos je geostatski
D.Zemlja nije nepokretna",D,"Prema informacijama datim u odlomku, tačan odgovor je D. Zemlja nije nepokretna.

Kopernik se u ovom odlomku razlikuje od tradicionalnih, aristotelovskih prirodnih filozofa svog vremena jer predlaže da Zemlja nije nepokretna, već da se ona okreće, što je suprotno tadašnjem geostatičkom modelu svemira.

Odlomak jasno navodi da ""Ako bi, međutim, trebalo priznati da ovo kretanje nije bilo svojstveno nebu, već da se Zemlja okretala od zapada ka istoku, i ako bi se to pažljivo razmotrilo u pogledu prividnog izlaska i zalaska Sunca, Meseca i zvezda, otkrilo bi se da je to bila stvarna situacija.""

Dakle, Kopernik predlaže da Zemlja nije nepokretna, već da se ona okreće, što je u suprotnosti sa tadašnjim geostatičkim modelom svemira.",
"Koji od njih čini određivanje evolucijske povezanosti različitih vrsta na osnovu aminokiselinske sekvence homolognih proteina općenito manje preciznim od određivanja srodnosti na osnovu nukleotidnih sekvenci homolognih gena?
A.Tihe mutacije
B.Duplikacije gena
C.Translokacijski događaji koji mijenjaju sekvence gena
D.prelaz preko",A,"Točan odgovor je A. Tihe mutacije.

Objašnjenje:

Tihe mutacije, odnosno mutacije koje ne mijenjaju aminokiselinsku sekvencu proteina, čine određivanje evolucijske povezanosti različitih vrsta na osnovu aminokiselinske sekvence homolognih proteina općenito manje preciznim od određivanja srodnosti na osnovu nukleotidnih sekvenci homolognih gena.

Razlog je što tihe mutacije ne mijenjaju aminokiselinsku sekvencu, ali mogu mijenjati nukleotidnu sekvencu gena. Ove promjene u nukleotidnoj sekvenci mogu pružiti dodatne informacije o evolucijskoj povijesti i srodnosti između vrsta, što nije vidljivo na razini aminokiselinske sekvence.

Ostali ponuđeni odgovori (B, C, D) ne utječu na preciznost određivanja evolucijske povezanosti na temelju aminokiselinske sekvence u odnosu na nukleotidnu sekvencu.",
"Koji od sledećih faktora bi se smatrao ""povlačećim"" faktorom za Rivu kada se razmišlja o preseljenju iz Indije u SAD?
A.Bedno siromaštvo
B.Bolji poslovi i veće plate
C.Indijski kastinski sistem
D.Nasilje u njenom komšiluku",B,"Odgovor B. Bolji poslovi i veće plate bi se smatrali ""povlačećim"" faktorom za Rivu kada se razmišlja o preseljenju iz Indije u SAD.

""Povlačeći"" faktori su oni koji privlače osobu da se preseli u novu lokaciju, poput boljih ekonomskih mogućnosti, višeg životnog standarda, sigurnosti i sl. U ovom slučaju, bolji poslovi i veće plate u SAD-u bi bili snažan ""povlačeći"" faktor za Rivu da se preseli iz Indije.

Ostali navedeni faktori, poput bede i siromaštva (A), kastinskog sistema (C) i nasilja u komšiluku (D), bi se smatrali ""gurujućim"" faktorima, odnosno razlozima koji bi je potakli da napusti Indiju, ali nisu direktno ""povlačeći"" faktori za preseljenje u SAD.",
