Question,CorrectAnswer,GivenAnswer,Correct
"Hvad er skuespiller Antonio Banderas modersmål?
A.Spansk
B.Russisk
C.Tysk
D.Fransk",A,"Svaret er A. Spansk.

Antonio Banderas er en spansk skuespiller, født i Málaga, Spanien. Derfor er hans modersmål spansk.",
"Hvad er det officielle sprog i Holland?
A.Dansk
B.Svensk
C.Tysk
D.Nederlandsk",D,"D. Nederlandsk

Det officielle sprog i Holland (også kendt som Nederlandene eller Kongeriget Nederlandene) er nederlandsk.

Nederlandsk er et vestgermansk sprog, der tales som modersmål af omkring 23 millioner mennesker, primært i Nederlandene og Belgien.

Så det korrekte svar er D. Nederlandsk.",
"I hvilken tilstand foregår filmen Magnolia 'fra 1999?
A.Californien
B.Syd Carolina
C.Georgien
D.Texas",A,"Svaret er A. Californien.

Filmen Magnolia fra 1999 er sat i San Fernando Valley-området i Californien.

Handlingen udspiller sig i Los Angeles-området og skildrer forskellige menneskers liv og skæbner, der på forskellige måder er forbundet med hinanden.

Så den korrekte tilstand, hvor filmen Magnolia foregår, er Californien.",
" Dette marketing- og kommunikationsværktøj tilbyder en direkte tilskyndelse eller et incitament til at tilskynde kunderne til at købe et produkt / en tjeneste:
A.Reklame.
B.PR.
C.Salgsfremmende foranstaltninger.
D.Direkte markedsføring.",C,"C. Salgsfremmende foranstaltninger.

Salgsfremmende foranstaltninger er et marketing- og kommunikationsværktøj, der tilbyder en direkte tilskyndelse eller et incitament til at tilskynde kunderne til at købe et produkt eller en tjeneste. Dette kan være i form af rabatter, kuponer, konkurrencer, gratis prøver eller andre tilbud, der giver kunderne en ekstra motivation til at foretage et køb.

Reklame, PR og direkte markedsføring er andre markedsføringsværktøjer, men de tilbyder ikke den samme direkte tilskyndelse eller incitament som salgsfremmende foranstaltninger.",
"Et tal, afrundet til nærmeste tusinde, er 47.000. Hvilket tal kunne være det tal, der blev afrundet?
A.46,295
B.46,504
C.47,520
D.47,924",B,"For at finde det tal, der blev afrundet til 47.000, skal vi se på de mulige svar og vurdere, hvilket af dem der ligger tættest på 47.000.

A. 46,295 afrundet til nærmeste tusinde er 46.000
B. 46,504 afrundet til nærmeste tusinde er 47.000
C. 47,520 afrundet til nærmeste tusinde er 48.000
D. 47,924 afrundet til nærmeste tusinde er 48.000

Derfor er svaret B. 46,504, da dette tal afrundet til nærmeste tusinde giver 47.000.",
"Negativ resterende autokorrelation er angivet med hvilket af følgende?
A.Et cyklisk mønster i resterne
B.Et vekslende mønster i resterne
C.En fuldstændig tilfældighed i resterne
D.Rester, der alle er tæt på nul",B,"Svaret er B. Et vekslende mønster i resterne.

Negativ resterende autokorrelation indikerer, at der er et vekslende mønster i resterne, hvor positive og negative værdier skifter regelmæssigt.

A. Et cyklisk mønster i resterne er ikke korrekt, da et cyklisk mønster ikke nødvendigvis er vekslende.
C. En fuldstændig tilfældighed i resterne er heller ikke korrekt, da negativ resterende autokorrelation indikerer et systematisk mønster i resterne.
D. Rester, der alle er tæt på nul, er ikke korrekt, da negativ resterende autokorrelation ikke nødvendigvis betyder, at resterne er tæt på nul.

Derfor er svaret B. Et vekslende mønster i resterne.",
"Hvilke af følgende egenskaber er generelt i overensstemmelse med voldtægt?
A.Brug af overdreven magt
B.overlagt
C.seksuelt motiveret
D.involverer brug af et våben",C,"Følgende egenskaber er generelt i overensstemmelse med voldtægt:

A. Brug af overdreven magt
C. Seksuelt motiveret
D. Involverer brug af et våben

Voldtægt er en form for seksuel vold, hvor gerningsmanden bruger overdreven fysisk magt og/eller våben for at tvinge offeret til seksuel aktivitet mod dets vilje. Voldtægt er altid seksuelt motiveret. Brugen af våben eller overdreven fysisk magt er også typiske kendetegn ved voldtægt.

B. ""Overlagt"" er ikke nødvendigvis en generel egenskab ved voldtægt. Voldtægt kan både være planlagt på forhånd eller ske i affekt uden forudgående planlægning.",
"Dette spørgsmål vedrører følgende oplysninger.
""Kimen til totalitære regimer næres af elendighed og nød. De spredes og vokser i fattigdommens og stridens onde jord. De når deres fulde vækst, når håbet om et folk for et bedre liv er dødt. Vi må holde dette håb i live. . . . Den hurtige udvikling af begivenhederne har pålagt os et stort ansvar. . . . Jeg er overbevist om, at Kongressen vil påtage sig dette ansvar fuldt ud.""
Præsident Harry S. Truman, 1947
De ideer, der udtrykkes i passagen ovenfor, afspejler mest direkte, hvilken af følgende kontinuiteter i amerikansk historie?
A.Debatter om forholdet mellem kongressen og præsidenten.
B.Debatter om brug af militær magt i ustabile situationer.
C.Debatter om USA's rolle i verdensanliggender.
D.Debatter om de politiske partiers rette rolle.",C,"Baseret på indholdet i citatet fra præsident Harry S. Truman, som taler om totalitære regimer, fattigdom, håb og USA's ansvar i verden, så afspejler dette mest direkte debatten om USA's rolle i verdensanliggender.

Citatet handler ikke primært om forholdet mellem Kongressen og præsidenten, brugen af militær magt eller de politiske partiers rolle. I stedet fokuserer det på USA's ansvar og rolle i at modvirke totalitære regimer og opretholde håb i verden.

Derfor er det mest korrekte svar:

C. Debatter om USA's rolle i verdensanliggender.",
"Hvilke af følgende faktorer vil blive betragtet som en ""pull""-faktor for Riva, når man overvejer at flytte fra Indien til USA?
A.Ussel fattigdom
B.Bedre job og højere lønninger
C.Indiens kastesystem
D.Vold i hendes nabolag",B,"Svaret er B. Bedre job og højere lønninger.

""Pull""-faktorer er de faktorer, der tiltrækker en person til et andet land, i dette tilfælde USA. Bedre job og højere lønninger er en typisk ""pull""-faktor, da det kan give bedre økonomiske muligheder og en højere levestandard.

De andre faktorer, som A. Ussel fattigdom, C. Indiens kastesystem og D. Vold i hendes nabolag, ville være ""push""-faktorer, som får Riva til at ønske at forlade Indien.

Så i denne sammenhæng er det kun B. Bedre job og højere lønninger, der kan betragtes som en ""pull""-faktor, der trækker Riva mod USA.",
"Identificer forløberen for følgende betingede forslag: Bierne vinder kun deres første spil, hvis enten Aardvarks eller Chipmunks ikke vinder deres første spil.
A.Aardvarks vinder ikke deres første kamp.
B.Bierne vinder deres første spil.
C.Jordegern vinder ikke deres første kamp.
D.Enten Aardvarks eller Chipmunks vinder ikke deres første spil.",B,"Forløberen for det betingede forslag ""Bierne vinder kun deres første spil, hvis enten Aardvarks eller Chipmunks ikke vinder deres første spil"" er:

D. Enten Aardvarks eller Chipmunks vinder ikke deres første spil.

Forklaringen er som følger:

Hvis enten Aardvarks eller Chipmunks ikke vinder deres første spil, så er betingelsen for, at Bierne vinder deres første spil, opfyldt. Derfor er D det korrekte svar, da det direkte svarer til forløberen for det betingede forslag.

De andre svarmuligheder (A, B og C) er ikke direkte relateret til forløberen for det betingede forslag.",
"Er det ulovlige drab begået af ministeren for land X i udlandet en handling jure imperii eller jure gestionis?
A.En sådan adfærd er en offentlig handling (jure imperii)
B.En sådan adfærd tiltrækker aldrig immunitet
C.En sådan adfærd er en privat handling (jure gestionis)
D.En sådan adfærd er en offentlig handling, men er beskyttet af immunitet",C,"Svaret er D. En sådan adfærd er en offentlig handling (jure imperii), men er beskyttet af immunitet.

Forklaring:
Handlinger begået af en minister i udlandet i sin officielle kapacitet som repræsentant for staten anses som offentlige handlinger (jure imperii). Sådanne handlinger er som udgangspunkt beskyttet af statsimmunitet, medmindre de kan karakteriseres som private handlinger (jure gestionis).

Ulovligt drab begået af en minister i udlandet vil normalt blive anset som en offentlig handling, da det er en handling foretaget i ministeriets officielle kapacitet. Selvom handlingen er ulovlig, vil den stadig være beskyttet af statsimmunitet, medmindre den kan karakteriseres som en privat handling.

Derfor er det korrekte svar, at en sådan adfærd er en offentlig handling, men er beskyttet af immunitet.",
"K-fold krydsvalidering er
A.lineær i K
B.kvadratisk i K
C.kubisk i K
D.eksponentiel i K",A,"Svaret er A. Lineær i K.

K-fold krydsvalidering er en teknik, hvor datasættet opdeles i K lige store dele, og modellen trænes og evalueres K gange. Hver gang trænes modellen på K-1 dele og evalueres på den resterende del.

Kompleksiteten af K-fold krydsvalidering er lineær i K, da der skal udføres K træninger og evalueringer af modellen. Derfor er svaret A. lineær i K.

Svaret B. kvadratisk i K er forkert, da kompleksiteten ikke vokser kvadratisk med K.
Svaret C. kubisk i K er forkert, da kompleksiteten ikke vokser kubisk med K.
Svaret D. eksponentiel i K er forkert, da kompleksiteten ikke vokser eksponentielt med K.",
"En tank er i form af et trekantet prisme. Hvis den trekantede base har et areal på 116 kvadratfod, og tanken er 30 fod høj, hvor meget vand ville tanken indeholde, når den er fuld?
A.1725 fod^3
B.1740 fod^3
C.3480 fod^3
D.6960 fod^3",C,"For å løse denne oppgaven må vi først finne volumet av det trekantede prismet.

Volumet av et trekantet prisme er gitt ved formelen:
Volum = Areal av trekantede base × Høyde

Gitt informasjon:
- Areal av trekantede base = 116 kvadratfot
- Høyde av tanken = 30 fot

Beregning av volum:
Volum = Areal av trekantede base × Høyde
Volum = 116 kvadratfot × 30 fot
Volum = 3480 kubikkfot

Derfor er riktig svar alternativ C. 3480 fot^3.",
"Spændingen induceret i en induktor er repræsenteret som,
A.produkt af dets induktans og strøm gennem det.
B.forholdet mellem dets induktans og strøm gennem det.
C.forholdet mellem strøm gennem det og dets induktans.
D.produkt af dets induktans og hastighed for ændring af strøm gennem det.",D,"Svaret er D. produkt af dets induktans og hastighed for ændring af strøm gennem det.

Forklaringen er som følger:

Ifølge Faradays lov for elektromagnetisk induktion, den inducerede spænding i en induktor er proportional med produktet af induktansen og den tidsmæssige ændring af strømmen gennem induktoren.

Matematisk kan dette udtrykkes som:

Induceret spænding = -L * di/dt

Hvor:
- L er induktansen
- di/dt er den tidsmæssige ændring af strømmen gennem induktoren

Derfor er det korrekte svar D, da det repræsenterer den matematiske sammenhæng mellem den inducerede spænding, induktansen og ændringen af strømmen gennem induktoren.

De andre svarmuligheder (A, B og C) er ikke korrekte, da de ikke beskriver den rigtige matematiske relation.",
