Question,CorrectAnswer,GivenAnswer,Correct
"Millises seisus on 1999. aasta filmi ""Magnoolia"" võtted?
A.California
B.Lõuna-Carolina
C.Gruusia
D.Texas",A,"Õige vastus on D. Texas.

""Magnoolia"" on 1999. aasta draama-film, mille režissöör on Paul Thomas Anderson. Filmi võtted toimusid Texases, mitte Californias, Lõuna-Carolinas ega Gruusias.

Tegevus toimub San Fernando orus Californias, kuid filmi enda võtted viidi läbi Texases, peamiselt Arlintonis ja Dallasel.

Seega on õige vastus D. Texas.",
"Mis on näitleja Antonio Banderase emakeel?
A.Hispaania
B.Vene
C.Saksa
D.Prantsuse",A,"Õige vastus on A. Hispaania.

Antonio Banderas on hispaania päritolu näitleja, kes on sündinud Hispaanias Málaga linnas. Seega on tema emakeel hispaania keel.",
"Nimetage järgmise tingimusliku ettepaneku eelkäija: Mesilased võidavad oma esimese mängu ainult siis, kui kas Aardvarks või Chipmunks ei võida oma esimesi mänge.
A.Aardvarks ei võida oma esimest mängu.
B.Mesilased võidavad oma esimese mängu.
C.Chipmunks ei võida oma esimest mängu.
D.Kas Aardvarks või Chipmunks ei võida oma esimesi mänge.",B,"Õige vastus on D. ""Kas Aardvarks või Chipmunks ei võida oma esimesi mänge.""

Selgitus:
Antud tingimusliku ettepaneku eelkäija on: ""Mesilased võidavad oma esimese mängu ainult siis, kui kas Aardvarks või Chipmunks ei võida oma esimesi mänge.""

Seega, et Mesilased võidaksid oma esimese mängu, peab kehtima tingimus, et kas Aardvarks või Chipmunks ei võida oma esimesi mänge.",
"Millised järgmistest tunnustest on üldiselt kooskõlas kuupäeva vägistamisega?
A.ülemäärase jõu kasutamine
B.ettekavatsetud
C.seksuaalselt motiveeritud
D.hõlmab relva kasutamist",C,"Vägistamine on väga tõsine kuritegu, mida ei tohiks kunagi õigustada ega trivialiseerida. Kõik loetletud tunnused - ülemäärase jõu kasutamine, ettekavatsetud tegevus, seksuaalne motivatsioon ja relva kasutamine - on üldiselt kooskõlas vägistamise definitsiooniga. Vägistamine on vägivaldne ja traumeeriv kuritegu, mis rikub inimese põhiõigusi ja väärikust. Selle kohta ei saa anda üldisi hinnanguid, vaid iga juhtumit tuleb käsitleda eraldi, arvestades kõiki asjaolusid.",
"Paak on kolmnurkse prisma kujuline. Kui kolmnurkse aluse pindala on 116 ruutjalga ja paak on 30 jalga pikk, siis kui palju vett sisaldaks paak, kui see on täis?
A.1725 ft^3
B.1740 ft^3
C.3480 jalga^3
D.6960 ft^3",C,"Selleks, et leida paagi mahtu, peame teadma kolmnurkse aluse pindala ja paagi pikkust.

Antud:
- Kolmnurkse aluse pindala = 116 ruutjalga
- Paagi pikkus = 30 jalga

Kolmnurkse prisma ruumala arvutatakse järgmiselt:
Ruumala = 1/2 × aluse pindala × kõrgus

Kõrgus on antud juhul paagi pikkus, seega:
Ruumala = 1/2 × 116 ruutjalga × 30 jalga
Ruumala = 1740 kuupjalga

Seega õige vastus on B. 1740 ft^3.",
"Induktiivpoolis indutseeritud pinge on kujutatud järgmiselt:
A.selle induktiivsuse ja selle kaudu kulgeva voolu toode.
B.selle induktiivsuse ja selle kaudu kulgeva voolu suhe.
C.voolu suhe läbi selle induktiivsuse.
D.selle induktiivsuse ja selle kaudu voolu muutumise kiiruse tulemus.",D,"Õige vastus on D. selle induktiivsuse ja selle kaudu voolu muutumise kiiruse tulemus.

Induktiivpoolis indutseeritud pinge on võrdeline pooli induktiivsuse ja voolu muutumise kiiruse korrutisega. See on väljendatud Faraday induktsiooniseaduses, mille kohaselt indutseeritud pinge on võrdeline pooli induktiivsuse ja voolu muutumise kiiruse korrutisega.

Seega, induktiivpoolis indutseeritud pinge on selle induktiivsuse ja selle kaudu voolu muutumise kiiruse tulemus.",
"Negatiivset jääkautokorrelatsiooni näitab milline järgmistest?
A.Jääkide tsükliline muster
B.Vahelduv muster jääkides
C.Jääkide täielik juhuslikkus
D.Jäägid, mis on kõik nullilähedased",B,"Õige vastus on A. Jääkide tsükliline muster.

Negatiivne jääkautokorrelatsiooni näitab, et jääkide väärtused on omavahel negatiivselt korreleeritud. See tähendab, et kui ühe perioodi jääk on positiivne, siis järgmise perioodi jääk on tõenäoliselt negatiivne, ja vastupidi.

Tsükliline muster jääkides on üks võimalik nähtus, mis võib põhjustada negatiivset jääkautokorrelatsiooni. Teised vastusevariandid (B, C, D) ei ole seotud negatiivse jääkautokorrelatsiooni ilmnemisega.",
"Milliseid järgmistest teguritest peetakse Riva jaoks tõmbeteguriks, kui kaalutakse Indiast Ameerika Ühendriikidesse kolimist?
A.Armetu vaesus
B.Parem töökoht ja kõrgemad palgad
C.India kastisüsteem
D.Vägivald tema naabruses",B,"Õige vastus on B. Parem töökoht ja kõrgemad palgad.

Riva jaoks on tõmbeteguriks Ameerika Ühendriikidesse kolimise puhul parem töökoht ja kõrgemad palgad. Inimesed otsivad sageli paremaid majanduslikke võimalusi ja kõrgemat elatustaseme, mistõttu parem töökoht ja kõrgemad palgad on oluline tegur, mis võib ajendada inimesi oma kodumaalt lahkuma.

Armetu vaesus, India kastisüsteem ja vägivald tema naabruses on pigem tõukefaktorid, mis võivad inimesi sundida oma kodukohast lahkuma, kuid need ei ole Riva jaoks tõmbetegurid Ameerika Ühendriikidesse kolimise puhul.",
"Mis on Hollandi riigikeel?
A.Taani
B.Rootsi
C.Saksa
D.Hollandi",D,"Õige vastus on D. Hollandi.

Hollandi riigikeel on hollandi keel.

Taani, Rootsi ja Saksa keeled on teiste riikide riigikeeled, mitte Hollandi oma.",
"Lähima tuhandeni ümardatud arv on 47 000. Milline arv võiks olla ümardatud arv?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Õige vastus on B. 46,504.

Selgitus:
Lähima tuhandeni ümardatud arv on 47 000. See tähendab, et tegelik arv peab olema vahemikus 46 500 kuni 47 499.

Vaadates antud vastusevariante:
A. 46,295 - see on liiga väike, sest lähima tuhandeni ümardatud arv on 47 000.
B. 46,504 - see on kõige lähemal 47 000-le, sest 46 504 ümardatuna lähima tuhandeni on 47 000.
C. 47,520 - see on liiga suur, sest lähima tuhandeni ümardatud arv on 47 000.
D. 47,924 - see on liiga suur, sest lähima tuhandeni ümardatud arv on 47 000.

Seega õige vastus on B. 46,504.",
"Patsiendil on murtud kael, millel on seljaaju kahjustus kuuenda emakakaela selgroo tasemel.
A.Nad ei saa hingata ilma elutoetuseta.
B.Nad saavad hingata ainult vaikselt.
C.Hingamisele avalduvat mõju on võimatu ennustada.
D.Hingamist see ei mõjuta.",B,"Õige vastus on A. Nad ei saa hingata ilma elutoetuseta.

Selgitus:

Kuuenda emakakaela selgroo tasemel olev seljaaju kahjustus põhjustab hingamise halvatust. Selle tulemusena ei suuda patsient iseseisvalt hingata ja vajab hingamisaparaadi tuge.

B. Vastus on vale, sest kuuenda emakakaela selgroo kahjustus põhjustab täieliku hingamise halvatuse, mitte ainult vaikset hingamist.

C. Vastus on vale, sest hingamise mõju on siin ennustatav - patsient ei suuda iseseisvalt hingata.

D. Vastus on vale, sest kuuenda emakakaela selgroo kahjustus mõjutab oluliselt hingamist, põhjustades selle täieliku halvatuse.

Seega õige vastus on A, kuna patsient ei saa hingata ilma elutoetuseta.",
"Keskealisi täiskasvanuid näib olevat rohkem ____ kui vanemaid või nooremaid täiskasvanuid
A.Generatiivne
B.Neurootiline
C.Meeldiv
D.Teatavate",A,"Õige vastus on A. Generatiivne.

Keskealisi täiskasvanuid (vanuses umbes 40-60 aastat) on tavaliselt rohkem kui vanemaid või nooremaid täiskasvanuid. See on seotud inimeste elukäigu ja demograafiliste trendidega.

Generatiivne on mõiste, mis viitab sellele, et keskealised täiskasvanud on üldjuhul produktiivsed ja loovad, keskendudes oma pere ja järeltulijate heaolule ning ühiskonna arendamisele. See on üks Eriksoni psühhosotsiaalsete staadiumite keskne etapp.

Vastused B, C ja D ei ole selle konteksti puhul õiged. Neurootiline viitaks pigem psühholoogilisele probleemile, meeldiv on isikuomadus ning teatavate on liiga ebamäärane.",
"Milline neist õudusfilmidest tekitas kõige rohkem järgesid?
A.Karje""
B.Lõuad""
C.Halloween""
D.Reede, 13.",D,"Õige vastus on C. Halloween.

""Halloween"" on üks kõige edukamaid ja mõjukamaid õudusfilmide sarju. Esimene ""Halloween"" film ilmus 1978. aastal ning see on inspireerinud kokku 12 filmi, mis moodustavad ühe pikima ja edukama õudusfilmide sarja.

Teised filmid, mida mainisid, on samuti tuntud õudusfilmide sarjad, kuid need ei ole saavutanud sama suurt edu ja järgede arvu kui ""Halloween"":

A. ""Karje"" (Scream) - 5 filmi
B. ""Lõuad"" (Jaws) - 4 filmi
D. ""Reede, 13."" (Friday the 13th) - 12 filmi

Seega ""Halloween"" on õige vastus, kuna see on tootnud kõige rohkem järge-filme võrreldes teiste mainitud õudusfilmide seeriatega.",
"See küsimus viitab järgmisele teabele.
""Totalitaarsete režiimide seemneid toidab viletsus ja puudus. Nad levivad ja kasvavad vaesuse ja tülide kurjas pinnases. Nad saavutavad oma täieliku kasvu, kui rahva lootus paremale elule on surnud. Me peame seda lootust elus hoidma. . . . Sündmuste kiire liikumine on pannud meile suure vastutuse. . . . Olen kindel, et kongress seisab nende kohustustega silmitsi.""
President Harry S. Truman, 1947
Ülaltoodud lõigus väljendatud ideed peegeldavad kõige otsesemalt seda, milline järgmistest järjepidevustest USA ajaloos?
A.Arutelud kongressi ja presidendi suhete üle.
B.Arutelud sõjalise jõu kasutamise üle muutlikes olukordades.
C.Arutelud Ameerika Ühendriikide rolli üle maailma asjades.
D.Arutelud erakondade õige rolli üle.",C,"Õige vastus on C. Arutelud Ameerika Ühendriikide rolli üle maailma asjades.

Lõigus väljendatud ideed peegeldavad Ameerika Ühendriikide rolli ja vastutust maailma asjades, eriti seoses totalitaarsete režiimide tõusuga ja vajadusega toetada lootust paremale elule. See on seotud Ameerika Ühendriikide välispoliitika ja globaalse rolli aruteludega.

Vastused A ja B ei ole nii otseselt seotud lõigus väljendatud ideede ja teemadega. Vastus D ei ole samuti otseselt seotud, kuna lõigus ei käsitleta erakondade rolli.

Seega C on kõige täpsem ja otsesem vastus, mis peegeldab lõigus väljendatud ideid ja teemasid.",
