Question,CorrectAnswer,GivenAnswer,Correct
"Zein da Antonio Banderas aktorearen jatorrizko hizkuntza?
A.Espainol
B.Errusiar
C.Alemaniar
D.Frantziar",A,"A. Espainol

Antonio Banderas jatorriz espainiar aktorea da, beraz bere jatorrizko hizkuntza espainiera da.",
"Identifikatu baldintzapeko proposamen honen aurrekaria: Erleek beren lehen jokoa irabazten dute, txerri inurrigileek edo urtxintxak lehen jokoak irabazten ez badituzte.
A.Txerri inurriariek ez dute lehen partida irabazten.
B.Erleek lehen partida irabazi dute.
C.Ez dute lehen partida irabazten.
D.Ez txerri inurrigileek ez urtxintxak ez dituzte lehen partidak irabazten.",B,"Baldintzapeko proposamen honen aurrekaria da: ""Erleek beren lehen jokoa irabazten dute"".

Hau da, B aukera: ""Erleek lehen partida irabazi dute"".",
"Zein da Herbehereetako hizkuntza ofiziala?
A.Daniar
B.Suediar
C.Alemaniar
D.Holandar",D,"D. Holandar

Herbehereetako hizkuntza ofiziala nederlandera da, hau da, holandera.",
"Zein egoeratan 1999ko Magnolia filma?
A.Kalifornia
B.Hego Carolina
C.Georgia
D.Texas",A,"D. Texas

Magnolia filma 1999an estreinatu zen eta Kaliforniako San Fernando Haranean kokatzen da, Texas estatuan eta ez beste erantzun posibleetan.",
"Zenbaki bat, mila hurbilen dagoena, 47.000 da. Zein zenbaki izan liteke biribiltzen den zenbakia?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Erantzuna: B. 46,504

Azalpena:
Emandako zenbakia 47.000 da, eta mila hurbilen dagoen zenbakia da.
Hurbilen dagoen zenbakia 46.504 da, hau da, 46,504.
Beraz, biribiltzen den zenbakia B. 46,504 da.",
"Laudatorio-nortasunaren falazia mota berezi bat da
A.Istripuaren falazia
B.Dilema faltsua
C.Galdera planteatuz
D.Arrazoiketa zirkularra",A,"D. Arrazoiketa zirkularra

Laudatorio-nortasunaren falazia mota berezi bat da, non pertsona baten ezaugarriak edo gaitasunak erabiltzen diren haren argudioak edo ondorioak babesteko. Hau da, pertsona horren autoritatea edo ospea erabiltzen da haren argudioak baliozkoak direla frogatzeko, baina argudioak bera baino ez dira erabiltzen haren autoritatea edo ospea justifikatzeko. Hau da, arrazoiketa zirkularra da.",
"Galdera hau hurrengo informazioari buruzkoa da.
Lehenik eta behin, kosmosa bere forman esferikoa dela ikusi behar dugu, aldez forma hori, elkarrekin behar ez duen osotasun perfektua izanik, guztien artean osoena delako, aldez formarik zabalena delako, dena geldiarazteko eta kontserbatzeko egokiena dena delako; edo baita unibertsoaren zati eratzaile guztiak, hau da, eguzkia, ilargia eta planetak, era horretan agertzen direlako ere; edo denak forma hori lortzeko joera duelako, ur-tanten eta beste gorputz fluido batzuen kasuan agertzen den bezala, beren burua definitzen saiatzen badira. Beraz, inork ez du zalantzan jarriko forma hau zeruko gorputzena dela. ...
Lurra ere esferikoa dela, beraz, ukaezina da, alde guztietatik presion egiten duelako bere zentroaren gainean. Mendien goranzko eta haranetako depresioengatik zirkulu perfektua ulertu ezin bada ere, horrek ez du eraginik lurraren izaera esferiko orokorrean. ...
Lurrak esfera baten forma duela frogatu denez, kontuan hartu behar dugu ea mugimendu bat ere bat datorren forma horrekin, eta lurrak unibertsoan zer leku hartzen duen. ... Egile gehienak, jakina, ados daude Lurra unibertsoaren erdian geldi-geldirik dagoela, eta pentsaezina eta barregarria dela kontrakoa suposatzea. Baina arazoa kontu handiz aztertuz gero, ikusiko da arazoa oraindik ez dagoela konponduta, eta, beraz, ez dela inola ere arinkeriaz hartu behar. Ikusten den leku-aldaketa oro, hau da, behatutako objektuaren edo behatzailearen higiduraren edo bien higiduraren ondorio da. ... Nolanahi ere, zeruen iraultza ikusten den lurretik ikusten da eta gure begietarako gertatzen da. Beraz, lurrak ez badu mugimendurik izaten, mugimendu hau lurretik kanpo dagoen guztian gertatu behar da, baina lurrean dena mugituko balitz beste norabidean, eta horrelakoa da eguneroko iraultza. Beraz, badirudi honek unibertso osoari eragiten diola, hau da, lurretik kanpo dagoen guztiari, lurra bera izan ezik. Hala ere, mugimendu hori zeruen berezitasuna ez zela onartuko balitz, lurra mendebaldetik ekialdera biraka zihoan, eta hori kontu handiz hartuko balitz eguzkiaren, ilargiaren eta izarren itxurazko irteerari eta sarrerari buruz, egoera erreala zela konturatuko litzateke.
Nicolas Koperniko, Zeruko gorputzen iraultzak, 1543
Pasartea Koperniko bere garaiko filosofo natural tradizional eta aristotelikoetatik ezberdina zela erakusten duen ebidentzia gisa erabil daiteke, iradoki zuelako
A.Kosmosa esferikoa da
B.Lurra esferikoa da
C.Kosmosa geostikoa da
D.Lurra ez da egonkorra",D,"Pasarteak erakusten du Koperniko honako ideiak defendatzen zituela:

A. Kosmosa esferikoa da
B. Lurra esferikoa da

Pasartean argi adierazten da Koperniko ados zegoela kosmosa eta lurra esferikoak direla. Hala ere, ez du esplizituki aipatzen kosmosa geostikoa denik (C) edo lurra ez dela egonkorra (D). Beraz, erantzun zuzenak A eta B dira.",
"Adin ertaineko helduak helduak edo gazteenak baino gehiago direla dirudi
A.Sorgailua
B.Neurotikoa
C.Atsegina
D.Egia",A,"Erantzuna: D. Egia

Azalpena:
Adin ertaineko helduak helduak edo gazteenak baino gehiago direla dirudi, hau da, egia da. Adin ertaineko helduak (40-60 urte ingurukoak) normalean gehiago dira populazioan, izan ere, jaiotza-tasak eta heriotza-tasak adin horretan dira baxuenak.

Beraz, D. Egia aukeratu behar da, ez A. Sorgailua, B. Neurotikoa edo C. Atsegina.",
"Tanke batek prisma triangeluarra baten forma du. Oinarri triangeluarrak 116 oin karratuko eremua badu eta tankeak 30 oineko altuera badu, zenbat ur izango luke tankeak beteta dagoenean?
A.1725 oin 3
B.1740 oin 3
C.3480 oin 3
D.6960 oin 3",C,"Erantzuna: D. 6960 oin 3

Azalpena:
Tanke batek prisma triangeluarra duen forma, non:
- Oinarri triangeluarrak 116 oin karratuko eremua duen
- Altuera 30 oin

Prisma triangeluarraren bolumena kalkulatzeko formula:
Bolumena = (Oinarriaren azalera x Altuera) / 3

Beraz, tankearen bolumena:
Bolumena = (116 oin karratuko x 30 oin) / 3
Bolumena = 3480 oin 3

Hortaz, tanke hau beteta dagoenean 6960 oin 3 ur izango luke.",
"Hurrengo faktoreetako zein izango litzateke Rivarentzat ""atrakzio"" faktorea, Indiak Estatu Batuetara egindako aldaketatzat hartuta?
A.Pobrezia uzkana
B.Lan eta soldata altuenak
C.Indiako kasta sistema
D.Indarkeria bere auzoan",B,"Erantzuna: B. Lan eta soldata altuenak

Azalpena:
Rivaren kasuan, Indiako Estatu Batuetarako aldaketa ""atrakzio"" faktorea izan daiteke lan eta soldata altuenak izatea. Indiak Estatu Batuetara egindako aldaketa dela kontuan hartuta, Rivarentzat lan eta soldata hobeak izateak erakargarri izan daiteke, pobrezia uzkana, kasta sistema edo auzoko indarkeria baino gehiago. Estatu Batuetan lan eta soldata hobeak eskuratzeak Rivaren interesa piztu dezake, Indiako egoera zailago batekin alderatuta.",
