Question,CorrectAnswer,GivenAnswer,Correct
"Mikä on näyttelijä Antonio Banderasin äidinkieli?
A.Espanja
B.Venäjä
C.Saksa
D.Ranska",A,"Oikea vastaus on A. Espanja.

Antonio Banderas on espanjalainen näyttelijä, joka on syntynyt Malagassa, Espanjassa. Hänen äidinkielensä on siis espanja.",
"Missä tilassa vuoden 1999 elokuva Magnolia sijoittuu?
A.Kalifornia
B.Etelä-Carolina
C.Georgia
D.Texas",A,"Oikea vastaus on A. Kalifornia.

Magnolia-elokuva sijoittuu Kaliforniaan, tarkemmin Los Angelesiin ja sen ympäristöön. Elokuva seuraa useiden eri henkilöhahmojen tarinoita ja kohtaloita Kalifornian osavaltiossa.",
"Tunnista seuraavan ehdollisen väitteen edeltäjä: Mehiläiset voittavat ensimmäisen pelinsä vain, jos joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.
A.Aardvarks ei voita ensimmäistä peliään.
B.Mehiläiset voittavat ensimmäisen pelinsä.
C.Maaoravat eivät voita ensimmäistä peliään.
D.Joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.",B,"Oikea vastaus on D. Joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.

Tämä on edeltäjä (antecedentti) seuraavalle ehdolliselle väitteelle:
""Mehiläiset voittavat ensimmäisen pelinsä vain, jos joko Aardvarks tai Chipmunks eivät voita ensimmäisiä pelejään.""",
"Lähimpään tuhanteen pyöristetty luku on 47 000. Mikä luku voisi olla pyöristetty luku?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Oikea vastaus on B. 46,504.

Selitys:

Lähimpään tuhanteen pyöristetty luku on 47 000. Tämä tarkoittaa, että alkuperäinen luku on välillä 46 500 - 47 499.

Vaihtoehdoista:
A. 46,295 on liian pieni, sillä se on alle 46 500.
B. 46,504 on lähimpänä 47 000, joten se on oikea vastaus.
C. 47,520 on liian suuri, sillä se on yli 47 499.
D. 47,924 on liian suuri, sillä se on yli 47 499.",
"Mikä on Alankomaiden virallinen kieli?
A.Tanska
B.Ruotsi
C.Saksa
D.Hollanti",D,"Oikea vastaus on D. Hollanti.

Alankomaiden virallinen kieli on hollanti (Dutch). Hollanti on Alankomaiden ainoa virallinen kieli.

Tanska, Ruotsi ja Saksa ovat eri maiden virallisia kieliä, eivätkä ne ole Alankomaiden virallisia kieliä.",
"Mikä näistä ruokia on valmistettu sian suolistosta?
A.haggis
B.Chitlins
C.ryynit
D.chop suey",B,"Oikea vastaus on B. Chitlins.

Chitlins, eli sian suolistosta valmistettu ruoka, on yksi vaihtoehdoista. 

A. Haggis on lampaasta valmistettu ruoka.
C. Ryynit eivät ole valmistettu sian suolistosta.
D. Chop suey on kiinalainen ruoka, joka ei sisällä sian suolia.

Joten B. Chitlins on ainoa vaihtoehto, joka on valmistettu sian suolistosta.",
"Mitkä seuraavista ominaisuuksista ovat yleensä yhdenmukaisia taateliraiskauksen kanssa?
A.liiallisen voiman käyttö
B.harkittu
C.seksuaalisesti motivoitunut
D.sisältää aseen käytön",C,"Oikea vastaus on A. liiallisen voiman käyttö.

Taateliraiskauksissa on tyypillistä, että tekijä käyttää liiallista voimaa uhrin alistamiseksi ja vahingoittamiseksi. Tämä on yleensä yhdenmukaista taateliraiskauksen kanssa.

B. harkittu ja C. seksuaalisesti motivoitunut eivät ole yleensä yhdenmukaisia taateliraiskauksen kanssa. Taateliraiskauksissa väkivalta on usein impulsiivista eikä niinkään harkittua.

D. aseen käyttö ei myöskään ole yleensä yhdenmukaista taateliraiskauksen kanssa. Taateliraiskauksissa tekijä käyttää yleensä pelkkää fyysistä voimaa ilman aseita.",
"Mikä seuraavista osoittaa negatiivisen jäännösautokorrelaation?
A.Syklinen kuvio jäännöksissä
B.Vuorotteleva kuvio jäännöksissä
C.Jäännösten täydellinen satunnaisuus
D.Jäännökset, jotka ovat kaikki lähellä nollaa",B,"Vastaus on B. Vuorotteleva kuvio jäännöksissä.

Negatiivinen jäännösautokorrelaatio tarkoittaa, että jäännökset vaihtelevat systemaattisesti positiivisten ja negatiivisten arvojen välillä. Tämä näkyy jäännöksissä vuorottelevana kuviona.

A. Syklinen kuvio jäännöksissä voi viitata positiiviseen jäännösautokorrelaatioon.
C. Jäännösten täydellinen satunnaisuus ei osoita negatiivista jäännösautokorrelaatiota.
D. Jäännökset, jotka ovat kaikki lähellä nollaa, eivät välttämättä osoita negatiivista jäännösautokorrelaatiota.

Joten vuorotteleva kuvio jäännöksissä on oikea vastaus, joka osoittaa negatiivisen jäännösautokorrelaation.",
"Verrattuna poliittisiin puolueisiin sellaisissa maissa kuin Englanti ja Israel, joissa molemmissa on monipuoluejärjestelmä, amerikkalaiset poliittiset puolueet ovat
A.vähemmän kiinnostunut vaikuttamaan vaalien tulokseen
B.vähemmän selvästi samaistettu johdonmukaisiin poliittisiin ideologioihin
C.vähemmän tehokas keräämään rahaa poliittisilta kannattajilta
D.pystyy paremmin heijastamaan koko vaalipiirinsä tavoitteita",B,"Oikea vastaus on B. Verrattuna Englannin ja Israelin monipuoluejärjestelmiin, amerikkalaiset poliittiset puolueet ovat vähemmän selvästi samaistettu johdonmukaisiin poliittisiin ideologioihin.

Selitys:

A. Väite on epätosi. Amerikkalaiset puolueet ovat hyvin kiinnostuneita vaikuttamaan vaalien tuloksiin.

B. Tämä on oikea vastaus. Amerikkalaiset puolueet ovat vähemmän sitoutuneita selkeisiin ideologioihin verrattuna Englannin ja Israelin puolueisiin.

C. Väite on epätosi. Amerikkalaiset puolueet ovat erittäin tehokkaita keräämään rahaa poliittisilta kannattajilta.

D. Väite on epätosi. Amerikkalaiset puolueet eivät välttämättä pysty paremmin heijastamaan koko vaalipiirinsä tavoitteita verrattuna Englannin ja Israelin puolueisiin.",
" Tämä markkinointi- ja viestintäväline tarjoaa suoran kannustimen tai kannustimen kannustaa asiakkaita ostamaan tuotteen/palvelun:
A.Mainonta.
B.Suhdetoiminta.
C.Myynninedistäminen.
D.Suoramarkkinointi.",C,"Oikea vastaus on C. Myynninedistäminen.

Myynninedistäminen on markkinointikeino, joka tarjoaa suoran kannustimen tai kannustimen asiakkaille ostaa tuote tai palvelu. Tähän kuuluvat esimerkiksi erilaiset tarjoukset, alennukset, kilpailut ja muut kannustimet, jotka houkuttelevat asiakkaita ostamaan.

A. Mainonta on yleinen markkinointiviestinnän keino, joka pyrkii luomaan tietoisuutta ja kiinnostusta tuotteeseen tai palveluun.

B. Suhdetoiminta keskittyy yrityksen ja sen sidosryhmien välisten suhteiden hoitamiseen ja ylläpitämiseen.

D. Suoramarkkinointi on yksilöllisempää markkinointia, jossa yritys on suoraan yhteydessä asiakkaaseen esimerkiksi sähköpostin tai puhelimen välityksellä.",
