Question,CorrectAnswer,GivenAnswer,Correct
"Cad í teanga oifigiúil na hÍsiltíre?
A.Danmhairgis
B.Sualainnis
C.Gearmáinis
D.Ísiltíris",D,D. Ísiltíris,
"Cad é teanga dhúchais an aisteora Antonio Banderas?
A.Spainnis
B.Rúisis
C.Gearmáinis
D.Fraincis",A,"A. Spainnis

Antonio Banderas is a Spanish actor, so his native language is Spanish.",
"Cén staid ina bhfuil sraith an scannáin Magnolia i 1999?
A.California
B.Carolina Theas
C.An tSeoirsia
D.Texas",A,"D. Texas

Tá an scannán Magnolia suite i Texas sa bhliain 1999.",
"Cé acu de na scannáin uafáis seo a sceith na sequels is mó?
A.Scread'
B.Jaws'
C.Oíche Shamhna'
D.Dé hAoine an 13ú'",D,"D. Dé hAoine an 13ú'

The Friday the 13th horror movie franchise is known for producing numerous sequels, with the original 1980 film spawning 11 sequels over the years. This makes it one of the most prolific horror movie series in terms of the number of sequels produced.",
" Cuireann an uirlis mhargaíochta agus chumarsáide seo spreagadh díreach nó dreasacht ar fáil chun custaiméirí a spreagadh chun táirge/seirbhís a cheannach:
A.Fógraíocht.
B.Caidreamh poiblí.
C.Cur chun cinn díolacháin.
D.Margaíocht dhíreach.",C,"Is é an freagra ceart:

D. Margaíocht dhíreach.

Margaíocht dhíreach is an uirlis mhargaíochta agus chumarsáide a chuireann spreagadh díreach nó dreasacht ar fáil chun custaiméirí a spreagadh chun táirge nó seirbhís a cheannach.

Ní hiad na roghanna eile (fógraíocht, caidreamh poiblí, cur chun cinn díolacháin) an príomhchuspóir a bheith ag cur spreagadh díreach nó dreasacht ar fáil do chustaiméirí.",
"Fulaingíonn othar muineál briste le damáiste do chorda an dromlaigh ag leibhéal an séú veirteabra ceirbheacsach.
A.Ní bheidh siad in ann análú gan tacaíocht saoil.
B.Ní bheidh siad in ann análú go ciúin.
C.Ní féidir éifeacht ar análú a thuar.
D.Ní chuirfear isteach ar análú.",B,"D. Ní chuirfear isteach ar análú.

Ag leibhéal an séú veirteabra ceirbheacsach, damáiste do chorda an dromlaigh a fhulaingíonn othar le muineál briste ní chuirfidh isteach ar a chumas análú. Cé go bhféadfadh sé a bheith deacair análú a dhéanamh, ní bheidh sé ina bhac ar an othar anailsiú a dhéanamh.",
"Tá umar i gcruth priosma triantánach. Má tá achar 116 troigh cearnach ag an mbonn triantánach, agus má tá an t-umar 30 troigh ar airde, cé mhéad uisce a bheadh san umar nuair a bheadh sé lán?
A.1725 troigh ^ 3
B.1740 troigh ^ 3
C.3480 troigh ^ 3
D.6960 troigh ^ 3",C,"Chun an fhreagra a fháil, caithfimid an fhormula don achar priosma a úsáid:

Achar = Bonn x Airde

Tugtar dúinn:
- Bonn = 116 troigh cearnach
- Airde = 30 troigh

Ansin, is féidir linn an achar iomlán a ríomh:
Achar = 116 troigh cearnach x 30 troigh = 3,480 troigh ^ 3

Mar sin, an freagra ceart is ea C. 3,480 troigh ^ 3.",
"Tagraíonn an cheist seo don eolas seo a leanas.
Ar dtús ní mór dúinn a rá go bhfuil an cosmos sféarúil i bhfoirm, go páirteach toisc go bhfuil an fhoirm seo ina iomláine foirfe nach dteastaíonn aon joints, is é an ceann is iomláine ar fad, go páirteach toisc go ndéanann sé an fhoirm is capacious, is fearr a oireann gach rud a choinneáil agus a chaomhnú; nó arís toisc go bhfuil comhchodanna uile na cruinne, is é sin an ghrian, an ghealach agus na pláinéid le feiceáil san fhoirm seo; nó toisc go ndéanann gach rud iarracht an fhoirm seo a bhaint amach, mar is léir i gcás titeann uisce agus dobharlaigh eile má dhéanann siad iarracht iad féin a shainmhíniú. Mar sin, ní bheidh aon amhras ar aon duine go mbaineann an fhoirm seo leis na comhlachtaí neamhaí. ...
Go bhfuil an domhan freisin sféarúil dá bhrí sin thar cheist, toisc go presses sé ó gach taobh ar a lár. Cé nach féidir ciorcal foirfe a thuiscint mar gheall ar ingearchlónna na sléibhte agus dúlagair na ngleann, ach ní dhéanann sé seo difear do nádúr sféarúil ginearálta an domhain. ...
Ós rud é go bhfuil sé léirithe cheana féin go bhfuil an domhan i bhfoirm sféir, ní mór dúinn a mheas an bhfuil gluaiseacht ag teacht leis an bhfoirm seo freisin, agus cén áit a bhfuil an domhan sna cruinne. ... Aontaíonn formhór mór na n-údar ar ndóigh go seasann an domhan fós i lár na cruinne, agus measann siad go bhfuil sé inconceivable agus ridiculous a cheapadh os coinne. Ach má dhéantar an t-ábhar a mheá go cúramach, feicfear nach bhfuil an cheist socraithe go fóill agus dá bhrí sin ní mheasfar go héadrom í. Tá gach athrú áite a bhreathnaítear dlite, is é sin, do ghluaiseacht an ruda breathnaithe nó an bhreathnóra, nó do ghluaiseachtaí an dá rud. ... Anois tá sé as an domhain go bhfuil an réabhlóid na flaithis breathnaithe agus tá sé a tháirgtear le haghaidh ár súile. Dá bhrí sin, má théann an domhan aon ghluaiseacht ní mór an ghluaiseacht seo ar siúl i ngach rud taobh amuigh den domhan, ach sa treo eile ná má bhog gach rud ar an domhan, agus den chineál seo is é an réabhlóid laethúil. Mar sin, is cosúil go dtéann sé seo i bhfeidhm ar na cruinne ar fad, is é sin, gach rud lasmuigh den domhan seachas an domhan féin. Más rud é, áfach, ba chóir a admháil nach raibh an ghluaiseacht seo peculiar do na flaithis, ach go revolved an domhain ó iarthar go soir, agus má bhí sé seo a mheas go cúramach maidir leis an éirí amach dealraitheach agus suíomh na gréine, an ghealach agus na réaltaí, bheadh sé amach go raibh sé seo an staid fíor. ""
Nicolas Copernicus, Réabhlóidí na gComhlachtaí ar Neamh, 1543
Is féidir an sliocht a úsáid mar fhianaise go raibh Copernicus difriúil ó fhealsúna nádúrtha traidisiúnta, Aristotelian a linne toisc gur mhol sé
A.tá an cosmos sféarúil
B.tá an Domhan sféarúil
C.tá an cosmos geostatach
D.níl an Domhan ina stad",D,"Bunaithe ar an sliocht, is é an freagra ceart:

B. Tá an Domhan sféarúil

Déanann Copernicus argóint go bhfuil an cosmos sféarúil, agus go bhfuil an Domhan freisin sféarúil. Deir sé go bhfuil an Domhan sféarúil ""thar cheist"" toisc go ""presses sé ó gach taobh ar a lár"".

Ní dhéanann an sliocht tagairt do staid gheostatach an chosmas, ná go bhfuil an Domhan ina stad. Dá bhrí sin, ní hiad na roghanna C agus D an freagra ceart.",
"Sainaithin réamhfhocal an tairiscint choinníollach seo a leanas: Ní bhuaigh na Beacha a gcéad chluiche ach amháin mura mbuafaidh na Aardvarks nó na Chipmunks a gcéad chluichí.
A.Ní bhuaigh na Aardvarks a gcéad chluiche.
B.Bhuaigh na Beacha a gcéad chluiche.
C.Ní bhuaigh na Chipmunks a gcéad chluiche.
D.Ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí.",B,"Chun an réamhfhocal ceart a roghnú don tairiscint choinníollach seo, caithfimid an ráiteas a anailísiú.

Ní bhuaigh na Beacha a gcéad chluiche ach amháin mura mbuafaidh na Aardvarks nó na Chipmunks a gcéad chluichí.

Seo a chiallaíonn:
- Ní bhuaigh na Beacha a gcéad chluiche, ach amháin má ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí.

Dá bhrí sin, an freagra ceart ná:
D. Ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí.",
"An gníomh jure imperii nó jure gestionis é an dúnbhású neamhdhleathach a rinne Aire tíre X thar lear?
A.Is gníomh poiblí é iompar den sórt sin (jure imperii)
B.Ní mheallann iompar den sórt sin díolúine riamh
C.Is gníomh príobháideach é iompar den sórt sin (jure gestionis)
D.Is gníomh poiblí é iompar den sórt sin ach tá sé cosanta ag díolúine",C,"Is é an freagra ceart: D. Is gníomh poiblí é iompar den sórt sin ach tá sé cosanta ag díolúine.

Míniú:
- Gníomh jure imperii: Gníomh a bhaineann le cumhachtaí agus feidhmeanna an stáit, a bhfuil díolúine aige ó dhlí na tíre eile.
- Gníomh jure gestionis: Gníomh a bhaineann le gníomhaíochtaí gnó nó tráchtála an stáit, nach bhfuil díolúine aige.

Sa chás seo, tá an dúnbhású neamhdhleathach a rinne an tAire thar lear ina ghníomh poiblí (jure imperii), ach tá sé cosanta ag díolúine stáit. Mar sin, is é an freagra ceart D.",
