Question,CorrectAnswer,GivenAnswer,Correct
"Koji je službeni jezik Nizozemske?
A.Danski
B.Švedski
C.Njemački
D.Nizozemski",D,"Točan odgovor je D. Nizozemski.

Nizozemski je službeni jezik Nizozemske. Nizozemska je država u Zapadnoj Europi, a nizozemski jezik je materinski jezik većine stanovništva.",
"Koji je glumac Antonio Banderas materinji jezik?
A.Španjolski
B.Ruski
C.Njemački
D.Francuski",A,"Točan odgovor je A. Španjolski.

Antonio Banderas je španjolski glumac, rođen u Madridu, Španjolska. Njegov materinji jezik je stoga španjolski.",
"U kojem je stanju smješten film Magnolia iz 1999.?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Texas",A,"Točan odgovor je A. Kalifornija.

Film Magnolia iz 1999. godine smješten je u Los Angelesu, Kalifornija.

Radnja filma prati nekoliko međusobno povezanih priča i likova koji žive u San Fernando Valleyu, području u Kaliforniji.",
"Identificirajte prethodnika sljedećeg uvjetnog prijedloga: Pčele pobjeđuju u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama.
A.Aardvarksi ne dobivaju prvu utakmicu.
B.Pčele su pobijedile u prvoj utakmici.
C.Vjeverice ne dobivaju prvu utakmicu.
D.Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.",B,"Prethodnik sljedećeg uvjetnog prijedloga:
""Pčele pobjeđuju u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama.""

je:

D. Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.

Objašnjenje:
Uvjetni prijedlog kaže da će pčele pobijediti u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama. To znači da je prethodnik uvjeta da Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama.",
"Napon induciran u induktoru predstavljen je kao,
A.proizvod njegove induktivnosti i struje kroz njega.
B.omjer njegove induktivnosti i struje kroz njega.
C.omjer struje kroz nju i njezine induktivnosti.
D.proizvod njegove induktivnosti i brzine promjene struje kroz njega.",D,"Točan odgovor je D. proizvod njegove induktivnosti i brzine promjene struje kroz njega.

Napon induciran u induktoru (e) je proporcionalan produktu induktivnosti (L) i brzine promjene struje (di/dt) kroz induktor, prema Faradayevom zakonu elektromagnetske indukcije:

e = -L * (di/dt)

Gdje:
- e je napon induciran u induktoru
- L je induktivnost induktora
- di/dt je brzina promjene struje kroz induktor

Stoga, napon induciran u induktoru predstavljen je kao produkt njegove induktivnosti i brzine promjene struje kroz njega, što odgovara odgovoru D.",
"Koji je od ovih horor filmova iznjedrio najviše nastavaka?
A.Vrisak'
B.Čeljusti'
C.Noć vještica'
D.Petak, 13.",D,"Od navedenih horor filmova, film koji je iznjedrio najviše nastavaka je Petak, 13.

Petak, 13. (Friday the 13th) je horor franšiza koja je započela 1980. godine i do sada je proizvela ukupno 12 filmova, što je najviše od svih navedenih horor serijala.

Ostali filmovi i njihov broj nastavaka:

A. Vrisak (Scream) - 4 filma
B. Čeljusti (Jaws) - 4 filma 
C. Noć vještica (Halloween) - 11 filmova

Dakle, Petak, 13. je horor franšiza koja je proizvela najveći broj nastavaka od navedenih filmova.",
"Broj, zaokružen na najbližu tisuću, je 47.000. Koji bi broj mogao biti zaokruženi broj?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Točan odgovor je B. 46,504.

Objašnjenje:

Broj 47.000 je zaokružen na najbližu tisuću. To znači da je stvarni broj između 46.500 i 47.500.

Opcija A (46,295) je prenisko, jer je manje od 46.500.
Opcija B (46,504) je najbliža stvarnom broju, jer je između 46.500 i 47.500.
Opcija C (47,520) je previsoko, jer je veće od 47.500.
Opcija D (47,924) je previsoko, jer je veće od 47.500.

Stoga, ispravan odgovor je B. 46,504.",
"Čini se da su odrasle osobe srednjih godina više ____ od starijih ili mlađih odraslih osoba
A.Generativnu
B.Neurotičan
C.Drag
D.Siguran",A,"Prema dostupnim istraživanjima, odrasle osobe srednjih godina (između 40 i 60 godina) često pokazuju više razine neurotičnosti u usporedbi sa starijim ili mlađim odraslim osobama.

Neurotičnost je jedna od pet glavnih dimenzija ličnosti, a odnosi se na tendenciju doživljavanja negativnih emocionalnih stanja poput anksioznosti, depresije, ljutnje i ranjivosti. Istraživanja pokazuju da neurotičnost obično dostiže vrhunac u srednjoj odrasloj dobi, a zatim opada u starijoj dobi.

Stoga, od ponuđenih odgovora, točan odgovor je:

B. Neurotičan

Odrasle osobe srednjih godina pokazuju više razine neurotičnosti u usporedbi sa starijim ili mlađim odraslim osobama.",
"Zabluda hvalevrijedne osobnosti je specifična vrsta
A.Zabluda nesreće
B.Lažna dilema
C.Prosjačenje pitanja
D.Kružno rasuđivanje",A,"Točan odgovor je D. Kružno rasuđivanje.

Kružno rasuđivanje (engl. circular reasoning) je vrsta logičke pogreške u kojoj se zaključak koristi kao premisa za dokazivanje iste te premise. Drugim riječima, osoba koristi tvrdnju kao dokaz za samu tu tvrdnju, što predstavlja logičku pogrešku.

Zabluda hvalevrijedne osobnosti je specifična vrsta kružnog rasuđivanja u kojoj se osoba poziva na vlastiti ugled ili autoritet kako bi opravdala svoju tvrdnju, umjesto da koristi valjane argumente.

Ostali odgovori nisu točni:
A. Zabluda nesreće nije točan odgovor.
B. Lažna dilema nije točan odgovor.
C. Prosjačenje pitanja nije točan odgovor.",
" Ovaj marketinški i komunikacijski alat nudi izravan poticaj ili poticaj za poticanje kupaca na kupnju proizvoda / usluge:
A.Oglašavanje.
B.Odnosi s javnošću.
C.Unapređenje prodaje.
D.Izravni marketing.",C,"Točan odgovor je C. Unapređenje prodaje.

Unapređenje prodaje je marketinški i komunikacijski alat koji nudi izravan poticaj ili poticaj za poticanje kupaca na kupnju proizvoda ili usluge. To mogu biti različite promotivne aktivnosti kao što su popusti, nagradne igre, kuponi, besplatni uzorci i slično.

A. Oglašavanje je plaćeni oblik neosobne komunikacije s ciljem informiranja i uvjeravanja ciljne publike.

B. Odnosi s javnošću su upravljanje komunikacijom između organizacije i njezine javnosti.

D. Izravni marketing je interaktivni marketinški sustav koji koristi jedan ili više oglasnih medija kako bi postigao mjerljiv odgovor i/ili transakciju na bilo kojoj lokaciji.",
"K-fold unakrsna provjera valjanosti je
A.linearno u K
B.kvadratni u K
C.kubični u K
D.eksponencijalni u K",A,"Točan odgovor je:

B. kvadratni u K

Objašnjenje:

K-fold unakrsna provjera valjanosti je postupak koji se koristi za procjenu performansi modela strojnog učenja. Tijekom K-fold unakrsne provjere, podaci se dijele na K jednakih dijelova, a model se trenira K puta, pri čemu se svaki put koristi K-1 dijelova za trening, a preostali dio za testiranje.

Vrijeme potrebno za izvođenje K-fold unakrsne provjere raste kvadratno s brojem K. To znači da ako povećamo broj dijelova K, vrijeme izvođenja će se povećati proporcionalno s kvadratom od K. Ovo je zbog toga što model mora biti treniran K puta, a svako treniranje uključuje i testiranje na preostalom dijelu.

Stoga, odgovor B. kvadratni u K je točan.",
"Koje je od ovih jela napravljeno od svinjskih crijeva?
A.Haggis
B.Chitlini
C.krupica
D.Chop Suey",B,"Od navedenih jela, B. Chitlini je napravljeno od svinjskih crijeva.

Chitlini su jelo od očišćenih i skuvanih svinjskih crijeva, koje je popularno u južnim dijelovima Sjedinjenih Američkih Država.

Ostala navedena jela nisu napravljena od svinjskih crijeva:

A. Haggis je škotsko jelo napravljeno od ovčijih iznutrica (srce, jetra, pluća) pomiješanih sa zobenim pahuljicama i začinima.

C. Krupica je vrsta žitarice, a ne jelo od svinjskih crijeva.

D. Chop Suey je kinesko jelo od različitog povrća i mesa, najčešće piletine ili govedine, ali ne sadrži svinjska crijeva.",
"Koja je od sljedećih karakteristika općenito u skladu sa silovanjem?
A.uporaba prekomjerne sile
B.s predumišljajem
C.seksualno motivirani
D.uključuje upotrebu oružja",C,"Sve navedene karakteristike su općenito u skladu sa silovanjem.

A. Uporaba prekomjerne sile je česta karakteristika silovanja, gdje napadač koristi fizičku silu kako bi savladao žrtvu.

B. Silovanje je često planirano i s predumišljajem, a ne impulsivno djelo.

C. Seksualna motivacija je ključna odrednica silovanja, gdje napadač koristi seksualnu agresiju kako bi ostvario svoje ciljeve.

D. Upotreba oružja, poput noževa ili vatrenog oružja, može biti dio silovanja kako bi se zastrašila i podčinila žrtva.

Dakle, sve navedene karakteristike - uporaba prekomjerne sile, predumišljaj, seksualna motivacija i upotreba oružja - općenito su u skladu sa silovanjem kao teškim zločinom protiv spolne slobode i integriteta žrtve.",
"Spremnik je u obliku trokutaste prizme. Ako trokutasta baza ima površinu od 116 četvornih metara, a spremnik je visok 30 stopa, koliko bi vode spremnik sadržavao kad je pun?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Da bismo riješili ovaj problem, moramo najprije pretvoriti visinu spremnika iz stopa u metre.

1 stopa = 0,3048 metara
Visina spremnika = 30 stopa = 30 * 0,3048 = 9,144 metara

Sada možemo izračunati volumen spremnika:

Volumen trokutaste prizme = 1/2 * površina baze * visina
Volumen = 1/2 * 116 m^2 * 9,144 m
Volumen = 530,9 m^3

Konačno, možemo pretvoriti volumen iz kubnih metara u kubne stope:

1 m^3 = 35,31 ft^3
Volumen = 530,9 m^3 * 35,31 ft^3/m^3 = 18,750 ft^3

Prema tome, točan odgovor je B. 18,750 ft^3.",
"Je li nezakonito ubojstvo koje je počinio ministar države X u inozemstvu djelo jure imperii ili jure gestionis?
A.Takvo ponašanje je javni akt (jure imperii)
B.Takvo ponašanje nikada ne privlači imunitet
C.Takvo ponašanje je privatni čin (jure gestionis)
D.Takvo ponašanje je javni čin, ali je zaštićeno imunitetom",C,"Točan odgovor je D. Takvo ponašanje je javni čin, ali je zaštićeno imunitetom.

Objašnjenje:

Prema načelu imuniteta državnih dužnosnika, njihovi službeni akti (jure imperii) uživaju imunitet od kaznenog progona u inozemstvu. Ovo se odnosi i na nezakonita djela počinjena u okviru njihovih službenih dužnosti.

Stoga, iako je ubojstvo koje je počinio ministar države X u inozemstvu nezakonito, ono se smatra javnim činom (jure imperii) koji je zaštićen imunitetom. Takvo ponašanje ne bi se smatralo privatnim činom (jure gestionis) koji ne uživa imunitet.

Imunitet državnih dužnosnika je uspostavljen kako bi se zaštitila suverenost i neovisnost države koju oni predstavljaju. Stoga, takvo ponašanje, iako nezakonito, uživa zaštitu imuniteta od kaznenog progona u inozemstvu.",
"Mutacije koje uzrokuju ahondroplaziju djeluju kao učinak koji se može klasificirati kao:
A.Dominantno negativno.
B.stjecanje funkcije.
C.haploinsufficiency.
D.gubitak funkcije.",B,"Točan odgovor je A. Dominantno negativno.

Ahondroplazija je najčešći oblik patuljastog rasta, a uzrokovana je mutacijama u genu FGFR3 (fibroblastni faktor rasta receptor 3). Ove mutacije djeluju po dominantno negativnom mehanizmu.

Dominantno negativno djelovanje znači da mutirana kopija gena ometa funkciju normalne, divlje-tipske kopije gena. Mutirana kopija FGFR3 gena u ahondroplaziji interferira s normalnom funkcijom FGFR3 receptora, što dovodi do poremećaja u razvoju hrskavice i kosti.

Odgovori B (stjecanje funkcije) i C (haploinsufficiency) nisu točni, jer mutacije u FGFR3 genu ne uzrokuju stjecanje nove funkcije niti nedostatak normalne funkcije gena.

Odgovor D (gubitak funkcije) također nije točan, jer mutacije u FGFR3 genu ne uzrokuju potpuni gubitak funkcije, već dominantno negativno djelovanje.",
"Studenti provode vježbu odvajanja biljnih pigmenata koja zahtijeva da koriste zatvorenu komoru za kromatografiju s malom količinom acetona na dnu komore. Sigurnosna upozorenja za aceton uključuju izjavu da je nadražujuće za oči i kožu i da ima zapaljive pare. Od sljedećeg' koje sigurnosne mjere opreza učenici trebaju poduzeti tijekom izvođenja vježbe?
A.Stavljanje vatrootpornih rukavica za nošenje komore do pare ako se aceton zapali
B.Stavljanje komore u zatvoreni, zamračeni ormar za vrijeme trajanja odvajanja pigmenta
C.Nošenje kožnih rukavica i pokrivanje nosa i usta maskom od čestica
D.Nošenje naočala i rukavica tipa nitrila i držanje svih spremnika acetona zatvorenima",D,"Točan odgovor je D. Nošenje naočala i rukavica tipa nitrila i držanje svih spremnika acetona zatvorenima.

Objašnjenje:

A. Stavljanje vatrootpornih rukavica nije potrebno jer upozorenje govori da aceton ima zapaljive pare, a ne da se lako pali. Stoga nema potrebe za vatrootpornom opremom.

B. Stavljanje komore u zatvoreni, zamračeni ormar nije potrebno. Kromatografija se obično provodi u zatvorenoj komori kako bi se spriječilo isparavanje otapala.

C. Nošenje kožnih rukavica i maske od čestica nije potrebno. Upozorenje govori da je aceton nadražujući za oči i kožu, stoga je potrebno nositi rukavice tipa nitrila koje pružaju bolju zaštitu od kemikalija.

D. Ovo je točan odgovor. Nošenje zaštitnih naočala i rukavica tipa nitrila te držanje svih spremnika acetona zatvorenima su odgovarajuće sigurnosne mjere za rad s acetonom tijekom ove vježbe.",
"Pacijent pati od slomljenog vrata s oštećenjem leđne moždine na razini šestog vratnog kralješka.
A.Neće moći disati bez održavanja života.
B.Moći će disati samo tiho.
C.Nemoguće je predvidjeti učinak na disanje.
D.Disanje neće biti pogođeno.",B,"Točan odgovor je A. Neće moći disati bez održavanja života.

Objašnjenje:

Ozljeda leđne moždine na razini šestog vratnog kralješka (C6) uzrokuje paralizu mišića koji sudjeluju u disanju, uključujući dijafragmu. To znači da pacijent neće moći samostalno disati i ovisit će o mehaničkoj ventilaciji kako bi održao disanje.

Odgovor B. ""Moći će disati samo tiho"" nije točan jer pacijent neće moći disati samostalno.

Odgovor C. ""Nemoguće je predvidjeti učinak na disanje"" nije točan jer je jasno da će ozljeda na razini C6 uzrokovati nemogućnost samostalnog disanja.

Odgovor D. ""Disanje neće biti pogođeno"" je netočan jer će ozljeda leđne moždine na razini C6 značajno utjecati na disanje pacijenta.

Dakle, pacijent s ozljedom leđne moždine na razini C6 neće moći disati bez održavanja života, odnosno bez mehaničke ventilacije.",
"U usporedbi s političkim strankama u zemljama poput Engleske i Izraela, koje imaju višestranačke sustave, američke političke stranke jesu
A.manje zainteresirani za utjecaj na ishod izbora
B.manje jasno identificirani s dosljednim političkim ideologijama
C.manje učinkovit u prikupljanju novca od političkih pristaša
D.sposobniji odražavati ciljeve svih svojih izbornih jedinica",B,"Točan odgovor je B. manje jasno identificirani s dosljednim političkim ideologijama.

Objašnjenje:

U usporedbi s političkim strankama u zemljama poput Engleske i Izraela, koje imaju višestranačke sustave, američke političke stranke su:

A. Netočno - Američke stranke su vrlo zainteresirane za utjecaj na ishod izbora, možda čak i više nego stranke u drugim zemljama.

B. Točno - Američke stranke su manje jasno identificirane s dosljednim političkim ideologijama u usporedbi sa strankama u višestranačkim sustavima. One pokušavaju privući širi spektar birača, što dovodi do manje ideološke dosljednosti.

C. Netočno - Američke stranke su vrlo učinkovite u prikupljanju novca od političkih pristaša, možda čak i više nego stranke u drugim zemljama.

D. Netočno - Američke stranke su manje sposobne odražavati ciljeve svih svojih izbornih jedinica, budući da moraju balansirati interese različitih regija i skupina.",
"Koji bi se od sljedećih čimbenika smatrao faktorom ""privlačenja"" za Rivu kada se razmatra prelazak iz Indije u Sjedinjene Države?
A.Bijedno siromaštvo
B.Bolji posao i veće plaće
C.Indijski kastinski sustav
D.Nasilje u njenom susjedstvu",B,"Prema informacijama koje imate, čimbenik koji bi se smatrao faktorom ""privlačenja"" za Rivu kada se razmatra prelazak iz Indije u Sjedinjene Države je:

B. Bolji posao i veće plaće

Bolji posao i veće plaće u Sjedinjenim Državama u usporedbi s Indijom predstavljaju pozitivan faktor koji bi mogao privući Rivu da se preseli u SAD. Ekonomski čimbenici poput boljih poslovnih prilika i viših primanja često su snažan poticaj za migraciju iz manje razvijenih zemalja u razvijenije.

Ostali navedeni čimbenici, poput bijede i siromaštva (A), kastinskog sustava (C) ili nasilja u susjedstvu (D), predstavljaju negativne faktore koji bi mogli potaknuti Rivu na odlazak iz Indije, ali nisu faktori ""privlačenja"" prema Sjedinjenim Državama.",
"Ovo se pitanje odnosi na sljedeće informacije.
""Sjeme totalitarnih režima njeguje se bijedom i željom. Šire se i rastu u zlom tlu siromaštva i sukoba. Oni dostižu svoj puni rast kada je nada naroda za boljim životom umrla. Moramo održati tu nadu živom. Velike odgovornosti su nam postavljene brzim kretanjem događaja. . . . Uvjeren sam kako će se Kongres izravno sučeliti s tim odgovornostima"".
Predsjednik Harry S. Truman, 1947.
Ideje izražene u gornjem odlomku najizravnije odražavaju koji od sljedećih kontinuiteta u povijesti SAD-a?
A.Rasprave o odnosu između Kongresa i predsjednika.
B.Rasprave o uporabi vojne sile u nestabilnim situacijama.
C.Rasprave o ulozi Sjedinjenih Država u svjetskim poslovima.
D.Rasprave o pravilnoj ulozi političkih stranaka.",C,"Prema danom odlomku, ideje koje su izražene najizravnije odražavaju kontinuitet u povijesti SAD-a koji se odnosi na rasprave o ulozi Sjedinjenih Država u svjetskim poslovima.

Ključne točke koje upućuju na to:

1. Spominjanje ""totalitarnih režima"" i ""zlom tlu siromaštva i sukoba"" ukazuje na globalnu perspektivu i zabrinutost za stanje u svijetu.

2. Naglašavanje ""odgovornosti"" koje su ""postavljene brzim kretanjem događaja"" sugerira da se radi o pitanjima vanjske politike i uloge SAD-a u međunarodnim zbivanjima.

3. Poziv da se ""održi nada naroda za boljim životom"" implicira brigu za stanje u drugim zemljama i želju da se utječe na globalne prilike.

Stoga, odgovor C. ""Rasprave o ulozi Sjedinjenih Država u svjetskim poslovima"" najbolje odgovara kontinuitetu koji je najizravnije reflektiran u ovom odlomku.",
