Question,CorrectAnswer,GivenAnswer,Correct
"Hvað er móðurmál leikarans Antonio Banderas?
A.Spænska
B.Rússneska
C.Þýska
D.Franska",A,"Svarið er A. Spænska.

Antonio Banderas er spænskur leikari og kvikmyndaleikstjóri. Spænska er hans móðurmál, þar sem hann er fæddur og uppalinn í Spáni.",
"Hvert er opinbert tungumál Hollands?
A.Danska
B.Sænska
C.Þýska
D.Hollenska",D,"Svarið er D. Hollenska.

Hollenska er opinbert tungumál Hollands. Það er eina opinbera tungumálið í Hollandi.

Danska, sænska og þýska eru ekki opinber tungumál í Hollandi. Þau eru opinber tungumál í öðrum Norðurlandaþjóðum.",
"Í hvaða ástandi er kvikmyndin Magnolia frá 1999?
A.Kaliforníu
B.Suður-Karólína
C.Georgía
D.Texas",A,"Svarið er A. Kaliforníu.

Kvikmyndin Magnolia frá 1999 gerist í Kaliforníu. Myndin fjallar um fjölda persóna sem búa í San Fernando-dalnum í Kaliforníu og sýnir samskipti þeirra og líf.",
"Spennan sem framkölluð er í span er táknuð sem,
A.afurð inductance þess og straums í gegnum það.
B.hlutfall inductance þess og straums í gegnum það.
C.hlutfall straums í gegnum það til inductance þess.
D.margfeldi inductance þess og hraða breytinga á straumi í gegnum það.",D,"Svarið er D. margfeldi inductance þess og hraða breytinga á straumi í gegnum það.

Spennan sem framkölluð er í span er táknuð sem:

Spennan = Inductance × Hraði breytinga á straumi

Þar sem:
- Inductance er eiginleiki spólunnar
- Hraði breytinga á straumi er hversu hratt straumurinn breytist í gegnum spóluna

Þannig að spennan er margfeldi inductance og hraða breytinga á straumi í gegnum spóluna.",
"Skriðdreki er í laginu eins og þríhyrningslaga prisma. Ef þríhyrningslaga grunnurinn hefur svæði 116 ferningur feet og tankurinn er 30 fet á hæð, hversu mikið vatn myndi tankurinn innihalda þegar hann er fullur?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Til að leysa þetta verkefni þurfum við að nota formúluna fyrir rúmmál þríhyrningslaga prisma:

Rúmmál = Grunnflötur x Hæð

Gerum ráð fyrir að grunnurinn sé þríhyrningur með svæði 116 ferningur feet.

Hæðin er 30 fet.

Þá fæst:
Rúmmál = 116 ferningur feet x 30 fet
Rúmmál = 3480 rúmfet

Því er svarið C. 3480 ft^3.",
"Hver af þessum réttum er gerður úr þörmum svína?
A.Haggis
B.Svín
C.Grautur
D.Höggva Suey",B,"Svarið er A. Haggis.

Haggis er skoskur réttur sem er gerður úr þörmum, lifur, hjarta og lungu svína, blandað saman við grjónum, lauk og kryddum.

Svín (B) er ekki gerður úr þörmum.
Grautur (C) er ekki gerður úr þörmum.
Höggva Suey (D) er ekki réttur sem er gerður úr þörmum svína.

Þannig að aðeins haggis af þessum réttum er gerður úr þörmum svína.",
"Miðaldra fullorðnir virðast vera _____ en eldri eða yngri fullorðnir
A.Myndandi
B.Taugaveiklaður
C.Þægilegt
D.Ákveðinn",A,"Svarið er B. Taugaveiklaður.

Rannsóknir hafa sýnt að miðaldra fullorðnir (40-60 ára) eru oft meira taugaveiklaðir og kvíðnari en eldri eða yngri fullorðnir. Þetta getur verið vegna ýmissa lífeðlisfræðilegra og félagslegra þátta sem einkenna þetta aldursskeið, svo sem breytingar á hormónum, streita vegna fjölskyldu- og starfsábyrgðar, og aukinn áhugi á eigin heilsu og aldrun.

Svarmöguleikarnir A, C og D lýsa ekki þessum einkennum miðaldra fullorðinna.",
"Rökvilla laudatory persónuleika er ákveðin tegund af
A.Rökvilla slyssins
B.Fölsk vandamál
C.Spyr spurningarinnar
D.Hringlaga rökhugsun",A,"Svarið er D. Hringlaga rökhugsun.

Rökvilla (e. circular reasoning) er tegund af hringlaga rökhugsun þar sem niðurstaðan er notuð sem forsenda fyrir sjálfri sér. Þetta er ákveðin tegund af rökvilla þar sem röksemdafærslan fer í hring og getur ekki staðist.

Svarmöguleikarnir A, B og C eru ekki rétt. A) Rökvilla slyssins er ekki rétt svar. B) Fölsk vandamál er ekki rétt svar. C) Spyr spurningarinnar er ekki rétt svar.

Því er D) Hringlaga rökhugsun rétta svarið.",
"Hver af eftirfarandi einkennum eru almennt í samræmi við dagsetningarnauðgun?
A.Of mikilli valdbeitingu
B.að yfirlögðu ráði
C.Kynferðislegar hvatir
D.felur í sér notkun vopns",C,"Eftirfarandi einkenni eru almennt í samræmi við dagsetningarnauðgun:

A. Of mikilli valdbeitingu
B. Að yfirlögðu ráði
C. Kynferðislegar hvatir

Dagsetningarnauðgun felur yfirleitt í sér of mikla valdbeitingu, er framkvæmd að yfirlögðu ráði og drifin af kynferðislegum hvötum. Hins vegar er notkun vopns ekki eitt af algengustu einkennunum við dagsetningarnauðgun. Þótt það geti komið fyrir, er það ekki jafn algengt og hin þrjú einkenni.",
"Samtala, námunduð að næsta þúsundi, er 47.000. Hvaða tala gæti verið sléttuð?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Til að leysa þetta verkefni þurfum við að finna töluna sem er næst 47.000 þegar hún er námunduð að næsta þúsundi.

Svarmöguleikar:
A. 46,295
B. 46,504
C. 47,520
D. 47,924

Til að finna rétta svarið þurfum við að skoða hver þessara talna er næst 47.000 þegar þær eru námundaðar að næsta þúsundi.

A. 46,295 námundað að næsta þúsundi er 46,000
B. 46,504 námundað að næsta þúsundi er 47,000
C. 47,520 námundað að næsta þúsundi er 48,000
D. 47,924 námundað að næsta þúsundi er 48,000

Því er svarið B. 46,504.",
" Þetta markaðs- og samskiptatól býður upp á beina hvatningu eða hvata til að hvetja viðskiptavini til að kaupa vöru/þjónustu:
A.Auglýsingar.
B.Almannatengsl.
C.Sölukynning.
D.Bein markaðssetning.",C,"Rétt svar er C. Sölukynning.

Sölukynning er ein af aðalmarkaðstækjunum sem býður upp á beina hvatningu eða hvata til að hvetja viðskiptavini til að kaupa vöru eða þjónustu. Í sölukynningum er lögð áhersla á að kynna vöruna/þjónustuna á áhrifaríkan hátt og veita viðskiptavinum hvata til að kaupa, t.d. með tilboðum, afslætti eða öðrum hvötum.

Auglýsingar, almannatengsl og bein markaðssetning eru einnig mikilvæg markaðstæki, en þau bjóða ekki upp á jafn beina hvatningu til kaupa eins og sölukynning.",
"Hvert af þessu gerir það að verkum að ákvörðun á þróunarskyldleika mismunandi tegunda út frá amínósýruröð samgena prótína er almennt ónákvæmari en ákvarðanir á skyldleika byggðar á kirnaröðum samgena gena?
A.Þöglar stökkbreytingar
B.Tvítekning gena
C.Yfirfærsluatburðir sem breyta genaröðum
D.Víxlun",A,"Svarið er C. Yfirfærsluatburðir sem breyta genaröðum.

Ástæðan er sú að yfirfærsluatburðir, eins og t.d. innsetningar, eyðingar og flökkun gena, geta breytt genaröðum án þess að breyta amínósýruröð samgena próteina. Þetta gerir það að verkum að ákvarðanir á þróunarskyldleika tegunda út frá amínósýruröð samgena próteina verða ónákvæmari en ákvarðanir byggðar á kirnaröðum samgena gena, þar sem þær endurspegla betur raunverulegar erfðafræðilegar breytingar.

Þöglar stökkbreytingar (A), tvítekning gena (B) og víxlun (D) hafa ekki sömu áhrif á nákvæmni ákvarðana á þróunarskyldleika út frá amínósýruröð samgena próteina.",
