Question,CorrectAnswer,GivenAnswer,Correct
"უარყოფითი ნარჩენი ავტოკორელაცია მითითებულია რომელი ჩამოთვლილთაგან?
A.ციკლური ნიმუში ნარჩენი
B.ალტერნატიული ნიმუში ნარჩენი
C.სრული შემთხვევითობა ნარჩენი
D.ნარჩენი, რომლებიც ნულთან ახლოს არის",B,"D. ნარჩენი, რომლებიც ნულთან ახლოს არის

უარყოფითი ავტოკორელაცია ნარჩენებში მიუთითებს, რომ ნარჩენები ახლოს არიან ნულთან, ანუ ნარჩენები არ შეიცავენ სისტემურ ტენდენციას.",
"საშუალო ასაკის მოზარდები, როგორც ჩანს, უფრო ____ ვიდრე ხანდაზმული ან ახალგაზრდა მოზარდები
A.გენეტიკური
B.ნევროზული
C.სასიამოვნო
D.გარკვეული",A,"D. გარკვეული

ეს ფრაზა მიუთითებს, რომ საშუალო ასაკის მოზარდები უფრო გარკვეული ან განსაზღვრული ვიდრე ხანდაზმული ან ახალგაზრდა მოზარდები. ეს შეიძლება გულისხმობდეს, რომ საშუალო ასაკის მოზარდებს უფრო ნათელი და გარკვეული მიზნები და მოლოდინები აქვთ, ვიდრე სხვა ასაკობრივ ჯგუფებს.",
"ინდუქტორში გამოწვეული ძაბვა წარმოდგენილია როგორც,
A.მისი ინდუქციის პროდუქტი და მისი მეშვეობით მიმდინარე.
B.მისი ინდუქციის თანაფარდობა მის მეშვეობით მიმდინარე.
C.მიმდინარე თანაფარდობა მის მეშვეობით მის ინდუქციას.
D.მისი ინდუქციის პროდუქტი და მისი მეშვეობით დენის შეცვლის მაჩვენებელი.",D,"სწორი პასუხია D. მისი ინდუქციის პროდუქტი და მისი მეშვეობით დენის შეცვლის მაჩვენებელი.

ინდუქტორში გამოწვეული ძაბვა არის ინდუქციის პროდუქტი და დენის შეცვლის მაჩვენებელი. ეს ძაბვა წარმოიქმნება ინდუქტორში მიმდინარე დენის ცვლილების გამო და არა ინდუქციის თანაფარდობის ან მიმდინარის თანაფარდობის გამო.",
"რა არის მსახიობი ანტონიო ბანდერასი მშობლიური ენა?
A.ესპანური
B.რუსული
C.გერმანია
D.ფრანგული",A,"A. ესპანური

ანტონიო ბანდერასი ესპანელი მსახიობია, მის მშობლიურ ენად ითვლება ესპანური.",
"რა არის ნიდერლანდების ოფიციალური ენა?
A.დანიური
B.შვედური
C.გერმანია
D.ჰოლანდიური",D,"D. ჰოლანდიური

ნიდერლანდების ოფიციალური ენა არის ჰოლანდიური (Dutch). ეს არის ნიდერლანდების ერთადერთი სახელმწიფო ენა.",
"სატანკო არის სამკუთხა პრიზმის ფორმა. თუ სამკუთხა ბაზას აქვს ფართობი 116 კვადრატული ფუტი, ხოლო ავზი 30 ფუტის სიმაღლეა, რამდენი წყალი შეიცავს ავზს, როდესაც ის სავსეა?
A.1725 ფუტი^3
B.1740 ფუტი^3
C.3480 ფუტი^3
D.6960 ფუტი^3",C,"სწორი პასუხია: B. 1740 ფუტი^3

ახსნა:
სატანკო არის სამკუთხა პრიზმის ფორმა. ამიტომ, ავზის მოცულობა გამოითვლება შემდეგნაირად:

მოცულობა = ბაზის ფართობი x სიმაღლე
ბაზის ფართობი = 116 კვადრატული ფუტი
სიმაღლე = 30 ფუტი

მოცულობა = 116 კვადრატული ფუტი x 30 ფუტი = 3480 კუბური ფუტი

ამიტომ, სწორი პასუხია B. 1740 ფუტი^3.",
"დაადგინეთ შემდეგი პირობითი წინადადების წინასიტყვაობა: ფუტკარი მოიგებს მათ პირველ თამაშს მხოლოდ იმ შემთხვევაში, თუ ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს.
A.Aardvarks არ მოიგებს მათ პირველ თამაშს.
B.ფუტკარი მოიგებს მათ პირველ თამაშს.
C.Chipmunks არ მოიგებს მათ პირველ თამაშს.
D.ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს.",B,"ამ პირობითი წინადადების წინასიტყვაობა არის D. ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს.

ამ პირობითი წინადადების მიხედვით, ფუტკარი მოიგებს მათ პირველ თამაშს მხოლოდ იმ შემთხვევაში, თუ ან Aardvarks ან Chipmunks არ მოიგებს მათ პირველ თამაშებს. ამიტომ, წინასიტყვაობა, რომელიც ამ პირობას აკმაყოფილებს, არის D.",
"რა მდგომარეობაშია 1999 წლის ფილმი მაგნოლია?
A.კალიფორნია
B.სამხრეთ კაროლინა
C.საქართველო
D.ტეხასი",A,"ამ შეკითხვაზე სწორი პასუხია A. კალიფორნია.

1999 წლის ფილმი ""მაგნოლია"" მოქმედება ვითარდება ლოს-ანჯელესის ნაწილში, კალიფორნიაში.

ფილმი მოგვითხრობს რამდენიმე ურთიერთდაკავშირებული პერსონაჟის ისტორიას, რომლებიც ცხოვრობენ და მოქმედებენ კალიფორნიის ქალაქებში.

ამიტომ, ამ შეკითხვაზე სწორი პასუხი არის A. კალიფორნია.",
"ქვემოთ ჩამოთვლილი მახასიათებლებიდან რომელი შეესაბამება თარიღის გაუპატიურებას?
A.გადაჭარბებული ძალის გამოყენება
B.წინასწარგანზრახული
C.სექსუალურად მოტივირებული
D.მოიცავს იარაღის გამოყენებას",C,"თარიღის გაუპატიურება შეესაბამება შემდეგ მახასიათებლებს:

A. გადაჭარბებული ძალის გამოყენება
C. სექსუალურად მოტივირებული

თარიღის გაუპატიურება არის სექსუალური ძალადობის ფორმა, რომელიც ხასიათდება გადაჭარბებული ძალის გამოყენებით და სექსუალური მოტივაციით. ამასთან, იგი არ მოიცავს იარაღის გამოყენებას (D) და არ არის აუცილებლად წინასწარგანზრახული (B).",
"ამ კერძებიდან რომელი მზადდება ღორის ნაწლავებისგან?
A.ჰაგისი
B.ჩიტლინები
C.გრიტი
D.chop suey",B,"ამ კერძებიდან ჰაგისი მზადდება ღორის ნაწლავებისგან.

ჰაგისი არის სკოტიური კერძი, რომელიც მზადდება ღორის ან ცხვრის შიგნეული ორგანოებისგან, როგორიცაა ღვიძლი, გული, ფილტვები და ნაწლავები.

ჩიტლინები, გრიტი და chop suey არ მზადდება ღორის ნაწლავებისგან. ეს სხვადასხვა ეთნიკური კერძებია, რომლებიც მზადდება სხვა ინგრედიენტებისგან.",
