Question,CorrectAnswer,GivenAnswer,Correct
"کام لەو خواردنانە لە ڕیخۆڵەی بەراز دروست دەکرێت؟
A.هاگیس
B.چیتلینس
C.گریان
D.چۆپ سوی",B,"B. چیتلینس

چیتلینس یەکێک لە خواردنە سەرەکییەکانە کە لە ڕیخۆڵەی بەراز دروست دەکرێت.",
"دەتوانن باشتر بێژەی بکەن؟ یا بە زاراوەیەکی تر؟ بێژە کردنی X بە ئیتالیایی
A.ئەم ڕەفتارە گشتیە (Jure imperii)
B.ئەم جۆرە ڕەفتارانە هەرگیز بەرگری ڕاناکێشێت
C.ئەم ڕەفتارە کارێکی تایبەتە (Jure gestionis)
D.ئەم جۆرە ڕەفتارانە کردەوەیەکی گشتییە بەڵام پارێزراوە بە پاراستن",C,"A. Questa condotta è di diritto pubblico (Jure imperii)
B. Questo tipo di comportamento non attira mai alcuna difesa
C. Questa condotta è di diritto privato (Jure gestionis)
D. Questo tipo di comportamento è un'azione pubblica ma protetta",
"لە چ وڵاتێکدا فیلمی ماگنۆلیای ساڵی ۱۹۹۹یە؟
A.کالیفۆرنیا
B.کارۆلینای باشوور
C.جۆرجیا
D.تێکساس",A,"D. تێکساس

فیلمی ماگنۆلیا لە ساڵی ۱۹۹۹ لە ویلایەتی تێکساسی ئەمریکا فیلمبەرداری کراوە.",
"ژمارەی ئەو کەسانەی کە نزیکن لە هەزار کەس ۴۷ هەزار کەسن چ ژمارەیەک دەکرێت ئەو ژمارەیە بێت کە دەورە دراوە؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"بەپێی زانیارییەکانی پرسیارەکە، ژمارەی ئەو کەسانەی کە نزیکن لە هەزار کەس ۴۷ هەزار کەسن.

لەبەر ئەوە، وەڵامی دروست C.47,520 دەبێت.",
"گه نجانی ته مه ن زیاتر له گه نج و گه نجن
A.دروستکەر
B.دەمار
C.ڕەزامەند
D.دڵنیا",A,"ئەوەی کە زیاتر لە گەنج و گەنجن، دڵنیا (D) دەبێت.

دڵنیا واتە بەرپرسیار و بەرپرسیارێتی زیاتر لە گەنج و گەنجن.",
"زمانی فەرمی هۆڵەندا چییە؟
A.دانیمارکی
B.سویدی
C.ئەڵمانی
D.هۆڵەندی",D,"D. هۆڵەندی

زمانی فەرمی هۆڵەندا هۆڵەندی (Dutch) ە. هۆڵەندا واڵتێکی ئەوروپایی ە و زمانی فەرمی و رەسمی ئەم واڵتە هۆڵەندی ە.",
"ئەو ڤۆڵتییەی کە لە هاندەرێکدا دروست دەکرێت وەک
A.لە ڕێگەی ئەوەوە کە ئێستا و لە ڕێگەی
B.لە ئێستادا ڕێژەی ئەو لە ڕێگەی
C.لە ئێستادا لە ڕێگەی ئەوەوە بۆ ئەوەی
D.به رهه مى ئه و گۆڕان و گۆڕانه ى ئێستاى",D,"ئەوەی کە لە هاندەرێکدا دروست دەکرێت وەک ڤۆڵتاژ، بە رێگەی B دروست دەبێت.

لە ئێستادا ڕێژەی ئەو ڤۆڵتاژە لە ڕێگەی هاندەرەکەوە دروست دەبێت.",
" ئەم ئامرازە بە بازاڕکردن و پەیوەندیکردن هاندەرێکی ڕاستەوخۆ یان هاندەرێک پێشکەش دەکات بۆ هاندانی کڕیاران بۆ کڕینی بەرهەمێک یان خزمەتگوزاریەک:
A.ڕیکلام.
B.پەیوەندییە گشتییەکان.
C.بەرزکردنەوەى فرۆشتن.
D.بازاڕکردنی راستەوخۆ.",C,"ئەم ئامرازە بە بازاڕکردن و پەیوەندیکردن هاندەرێکی ڕاستەوخۆ یان هاندەرێک پێشکەش دەکات بۆ هاندانی کڕیاران بۆ کڕینی بەرهەمێک یان خزمەتگوزاریەک:

A. ڕیکلام.

ڕیکلام هاندەرێکی ڕاستەوخۆیە بۆ هاندانی کڕیاران بۆ کڕینی بەرهەمێک یان خزمەتگوزاریەک.",
"ئەکتەر ئەنتۆنیۆ باندێراس چییە؟
A.ئیسپانی
B.ڕووسی
C.ئەڵمانی
D.فەرەنسی",A,"ئەنتۆنیۆ باندێراس ئەکتەرێکی ئیسپانییە.

ئەو ئەکتەرێکی ناودارە و زۆر فیلمی جۆراوجۆری لێ دەرکەوتووە، وەک فیلمی ""The Mask of Zorro"" و ""Desperado"".

بۆیە وەڵامی ڕاستە A.ئیسپانی.",
"ئەو گۆڕانکاریانەی کە دەبنە هۆی ئەکۆندرۆپلاسیا کاریگەری هەیە کە دەتوانرێت پۆلێن بکرێت وەک:
A.زاڵبوونی نەرێنی.
B.قازانج.
C.هاپلۆین.
D.- لەدەستدانی ئەرک.",B,"وەڵامی راستە D. لەدەستدانی ئەرکە.

ئەکۆندرۆپلاسیا بریتییە لە کەمبوونەوەی یان لەدەستدانی ئەندامەکانی سەلولی کە دەبنە هۆی لەدەستدانی ئەرکەکانیان. ئەم گۆڕانکارییانە کاریگەری نەرێنی دەبێت و قازانج یان هاپلۆینی نییە.",
"کام لەو فیلمانە زۆرترین بەرهەمیان هێناوە؟
A.هاوار
B.جاوس
C.هەڵۆوین
D.هەینی 13'.",D,"D. هەینی 13'

هەینی 13' یەکێکە لە سەرکەوتووترین و پڕبەرهەمترین سیرزە فیلمەکانی سینەمای ترسناک. ئەم سیرزە فیلمە تا ئێستا 12 فیلمی لێ دروست کراوە، کە زۆرترین بەرهەمی لە نێو ئەم چوار هەڵبژاردنەدا دەگرێتەوە.",
"کام لە تایبەتمەندییەکانی خوارەوە بە شێوەیەکی گشتی لەگەڵ دەستدرێژی سێکسیدا هاوسەنگن؟
A.بەکارهێنانی هێزی زیاد لە پێویست
B.پێشبینیکراو
C.پاڵنەری سێکسی
D.بەکارهێنانی چەک",C,لەوانەیە هەندێک لەو تایبەتمەندییانە لەگەڵ دەستدرێژی سێکسیدا هاوسەنگ بن، بەڵام ئەوە بە شێوەیەکی گشتی نییە. بەکارهێنانی هێزی زیاد لە پێویست (A) و بەکارهێنانی چەک (D) بە شێوەیەکی گشتی لەگەڵ دەستدرێژی سێکسیدا هاوسەنگن. بەڵام پێشبینیکراو (B) و پاڵنەری سێکسی (C) بە شێوەیەکی گشتی لەگەڵ دەستدرێژی سێکسیدا هاوسەنگ نین.,
"که سایه تی هه ڵس و که وتین جۆرێکی تایبه تی
A.هەڵەی ڕووداو
B.کێشەی هەڵە
C.پرسیارکردن
D.لێکدانەوەی بازنەیی",A,"D. لێکدانەوەی بازنەیی

لێکدانەوەی بازنەیی ئەو پرۆسەیەیە کە تێیدا کەسێک بەردەوام لە بیرکردنەوە و لێکدانەوەی هەمان پرسیار یان کێشەیەک دەبێت، بەبێ ئەوەی بتوانێت چارەسەرێکی بۆ بدۆزێتەوە. ئەمە وەک ئەو نموونەیەی کە لە پرسیارەکەدا هاتووە، کە سایە تی هەڵس و کەوتین جۆرێکی تایبەتی لە لێکدانەوەی بازنەیی دەبێت.",
"k-fold-validation
A.هێڵی لە کەی
B.ckbwiki ک.ک
C.سێجا لە K
D.لە کەی",A,"The correct answer is C. سێجا لە K

Explanation:

A. هێڵی لە کەی - This is not the correct answer. The k-fold validation process does not involve a ""line"".

B. ckbwiki ک.ک - This is not the correct answer. ckbwiki is not related to k-fold validation.

C. سێجا لە K - This is the correct answer. In k-fold validation, the dataset is divided into k equal-sized subsets, and the model is trained and evaluated k times, using one of the k subsets for evaluation and the remaining k-1 subsets for training.

D. لە کەی - This is not the correct answer. The question is asking about the value of k in k-fold validation, not the specific time when it is used.",
"نەخۆشێک تووشی شکانی مل دەبێت لەگەڵ زیان گەیاندن بە دڕکەبڕ لە ئاستی شەشەمی بڕبڕەی مل.
A.ئەوان بەبێ پاڵپشتی ژیان ناتوانن هەناسە بدەن.
B.ئەوان تەنها بە بێدەنگی هەناسە دەدەن.
C.مەحاڵە کاریگەری لەسەر هەناسەدان هەبێت.
D.هەناسەدان بێ کاریگەری دەبێت.",B,"بەپێی زانیارییەکانی پێشکەشکراو، وەڵامی راستەقینە ئەمەیە:

C. مەحاڵە کاریگەری لەسەر هەناسەدان هەبێت.

لەبەر ئەوەی شکانی مل لەگەڵ زیان گەیاندن بە دڕکەبڕ لە ئاستی شەشەمی بڕبڕەی مل، کاریگەری لەسەر هەناسەدان نابێت. هەناسەدان بەردەوام دەبێت و مەحاڵە کاریگەری لەسەر هەناسەدان هەبێت.

ئەوانەی وەڵامی A و B دەدەنەوە، هەڵەن، چونکە هەناسەدان بەردەوام دەبێت و کاریگەری لەسەر نابێت.",
"دیاریکردنی چڕی H+(aq) لە 1.0 M phenol ، C6H5OH. (۱ × ۱۰-۱۰)
A.1 × 10^-10 م
B.۱ × ۱۰^-۹ م
C.۱ × ۱۰^-۳ م
D.۱ × ۱۰^-۵ م",D,"بەڕاستی وەڵامی ئەم پرسیارە A.1 × 10^-10 م دەبێت.

لەبەر ئەوەی:
- phenol (C6H5OH) یەک پرۆتۆن دەبەخشێت لە ئاو، بۆیە دەبێتە C6H5O- و H+.
- لە ئاو، phenol بە شێوەی ئەم ریاکسیۆنە دەبێت:
C6H5OH ⇌ C6H5O- + H+
- لە ئەنجامدا، pH-ی ئەم ئاوەی phenol دەبێت:
pH = -log[H+]
- لەبەر ئەوەی [H+] = 1 × 10^-10 M، بۆیە pH = -log(1 × 10^-10) = 10.",
"ئەم پرسیارە دەگەڕێتەوە بۆ ئەم زانیارییانەی خوارەوە.
""سیستەمی تۆتالیتاری بە هۆی ناخۆشی و ئارەزووەوە پەروەردە دەکرێت. ئەوان لە خاکی هەژاری و ناکۆکیدا گەشە دەکەن. ئەوان بە تەواوی گەشە دەکەن کاتێک هیوای خەڵک بۆ ژیانێکی باشتر دەمرێت. ئێمە دەبێت ئەو هیوایە بە زیندوویی بهێڵینەوە. بەرپرسیارێتییەکی گەورە لەسەر ئێمە دانراوە بەهۆی جوڵەی خێرای ڕووداوەکانەوە. من دڵنیام کە کۆنگرێس بە شێوەیەکی ڕاستەوخۆ ڕووبەڕووی ئەو بەرپرسیارێتییانە دەبێتەوە.""
سەرۆک هاری ئێس ترۆمان ۱۹۴۷
ئەو بیرۆکانەی کە لە بەشی سەرەوەدا دەربڕدراون بە شێوەیەکی ڕاستەوخۆ ڕەنگدانەوەی کام لە بەردەوامییەکانی مێژووی ئەمریکان؟
A.گفتوگۆ له سه ر په یوه ندی نێوان ئه نجومه نی نوێنه ر و سه رۆک کۆمار
B.لەبارەی بەکارهێنانی هێزی سەربازی لە دۆخێکی ناجێگیردا
C.گفتوگۆ له سه ر ڕۆڵی ئه مریکا له کاروباری جیهانیدا
D.گفتوگۆ لەسەر ڕۆڵی لایەنە سیاسییەکان دەکرێت",C,"بەپێی زانیارییەکانی پێشکەشکراو، وەڵامی ڕاستەوخۆ C. گفتوگۆ له سه ر ڕۆڵی ئه مریکا له کاروباری جیهانیدا دەبێت.

ئەم بیرۆکانە ڕەنگدانەوەی ڕۆڵی ئەمریکا لە کاروباری جیهانیدا دەخەنە ڕوو. سەرۆک ترۆمان لەم بەیاننامەیەدا باس لە بەرپرسیارێتی گەورەی ئەمریکا دەکات لە بەرامبەر ڕووداوە جیهانییەکاندا. ئەمە ڕەنگدانەوەی ڕۆڵی ئەمریکا لە کاروباری جیهانیدایە.",
