Question,CorrectAnswer,GivenAnswer,Correct
"Кој е актерот Антонио Бандерас роден јазик?
A.Шпански
B.Руски
C.Германски
D.Француски",A,"Точниот одговор е:

A. Шпански

Антонио Бандерас е шпански актер, роден во Малага, Шпанија. Неговиот мајчин јазик е шпански.",
"Во која состојба е снимањето на филмот Магнолија од 1999 година?
A.Калифорнија
B.Јужна Каролина
C.Грузија
D.Тексас.",A,"Според информациите достапни, филмот Магнолија од 1999 година е снимен во Калифорнија.

Одговорот е:
A. Калифорнија

Филмот Магнолија, режиран од Пол Томас Андерсон, е снимен на различни локации во Лос Анџелес и околината во Калифорнија.",
"Број, заокружен до најблиските илјади, е 47.000. Кој број може да е бројот кој е заокружен?
A.46,295
B.46,504
C.47,520
D.47,924",B,"За да го одредиме бројот кој е заокружен до најблиските илјади, треба да го погледнеме бројот кој е заокружен, односно 47.000.

Ова значи дека бројот кој е заокружен може да биде во опсегот од 46,500 до 47,499.

Од понудените одговори, само одговорот B. 46,504 е во овој опсег.

Затоа, точниот одговор е B. 46,504.",
"Кој е официјалниот јазик на Холандија?
A.Дански
B.Шведски
C.Германски
D.Холандски",D,"Точниот одговор е D. Холандски.

Холандија има само еден официјален јазик, а тоа е холандскиот јазик. Холандскиот јазик е германски јазик кој се зборува во Холандија, Белгија и Суринам.

Дански и шведски се официјални јазици на Данска и Шведска, соодветно, а германскиот е официјален јазик на Германија.",
"Напонот предизвикан во индуктор е претставен како,
A.производ од неговата индуктивност и струја преку него.
B.односот на неговата индуктивност кон струјата низ него.
C.односот на струјата преку неа кон неговата индуктивност.
D.производ од неговата индуктивност и стапка на промена на струјата преку него.",D,"Точен одговор е D. производ од неговата индуктивност и стапка на промена на струјата преку него.

Напонот предизвикан во индуктор е директно пропорционален на неговата индуктивност и стапката на промена на струјата низ него. Ова се изразува со равенката:

V = L * di/dt

Каде:
V - напон предизвикан во индуктор
L - индуктивност на индуктор
di/dt - стапка на промена на струјата низ индуктор

Оттука, напонот предизвикан во индуктор е производ од неговата индуктивност и стапката на промена на струјата низ него.",
"Кои од овие јадења се направени од цревата на свињите?
A.Хагис.
B.Читлинс
C.Гриз.
D.Исечи суши.",B,"Од понудените одговори, само B. Читлинс е направен од цревата на свињите.

Хагис е традиционално шкотско јадење направено од овчи црева, срце, џигер и лук.

Гриз е вид каша направена од крупно мелено пченично брашно.

Исечи суши се направени од ориз и риба, а не од свински црева.

Значи, единствено Читлинс, кој е традиционално афроамериканско јадење, се прави од свински црева.",
"Негативната остаточна автокорелација е индицирана со која од следниве?
A.Циклична шема во остатоците
B.Наизменична шема во остатоците
C.Целосна случајност во остатоците
D.Остатоци кои се блиску до нулата",B,"Точниот одговор е B. Наизменична шема во остатоците.

Негативната остаточна автокорелација е индицирана со наизменична шема во остатоците. Ова значи дека остатоците се менуваат помеѓу позитивни и негативни вредности, што укажува на негативна автокорелација.

Другите опции не се точни:

A. Циклична шема во остатоците не е индикатор за негативна остаточна автокорелација.

C. Целосна случајност во остатоците не укажува на негативна автокорелација.

D. Остатоци кои се блиску до нулата не се индикатор за негативна автокорелација.

Затоа, точниот одговор е B. Наизменична шема во остатоците.",
" Оваа маркетинг и комуникациска алатка нуди директна индукција или поттик за охрабрување на клиентите да купат производ/услуга:
A.Реклама.
B.Односи со јавноста.
C.Унапредување на продажбата.
D.Директен маркетинг.",C,"Точен одговор е C. Унапредување на продажбата.

Унапредувањето на продажбата е маркетинг и комуникациска алатка која нуди директна индукција или поттик за охрабрување на клиентите да купат производ или услуга. Ова вклучува промоции, попусти, бесплатни примероци, купони и други техники за поттикнување на купувачите да направат купување.

Другите опции не нудат директен поттик за купување:
A. Рекламата создава свест и интерес за производот/услугата, но не нуди директен поттик за купување.
B. Односите со јавноста градат имиџ и репутација на компанијата, но не вклучуваат директен поттик за купување.
D. Директниот маркетинг користи директни канали за комуникација со клиентите, но не нужно нуди директен поттик за купување.",
"Кои од следниве карактеристики генерално се во согласност со датумското силување?
A.употреба на прекумерна сила
B.Преднаметана
C.сексуално мотивирани
D.вклучува употреба на оружје.",C,"Ниту една од наведените карактеристики не е генерално во согласност со датумското силување. Датумското силување е сексуално насилство кое се случува кога некој ја искористува ситуацијата и ја напаѓа жртвата сексуално, без нејзина согласност. Ова може да вклучува употреба на дрога или алкохол за да се намали отпорот на жртвата, но не мора да вклучува прекумерна сила, претходна намера или употреба на оружје. Сите форми на сексуално насилство се неприфатливи и криминални, без разлика на околностите.",
"Кој од овие хорор филмови предизвика најмногу продолженија?
A.Врескај.
B.Вилици'
C.Ноќ на вештерките.
D.Петок 13-ти'",D,"Од наведените хорор филмови, најмногу продолженија предизвика филмот ""Петок 13-ти"".

Филмската серија ""Петок 13-ти"" е една од најпродуктивните хорор франшизи во историјата на филмот. Од првиот филм од 1980 година, па до денес, снимени се вкупно 12 филма во оваа серија.

Другите наведени филмови, иако исто така успешни хорор франшизи, имаат помалку продолженија:

A. ""Врескај"" има 4 филма.
B. ""Вилици"" има 4 филма.
C. ""Ноќ на вештерките"" има 11 филма, но не е толку продуктивна како ""Петок 13-ти"".

Затоа, точниот одговор е D. ""Петок 13-ти"".",
