Question,CorrectAnswer,GivenAnswer,Correct
"Apakah pelakon Antonio Banderas bahasa ibunda?
A.Bahasa Sepanyol
B.Bahasa Rusia
C.Bahasa Jerman
D.Bahasa Perancis",A,"Jawapan yang betul adalah A. Bahasa Sepanyol.

Antonio Banderas adalah seorang pelakon kelahiran Sepanyol. Bahasa ibundanya adalah Bahasa Sepanyol.",
"Apakah bahasa rasmi Belanda?
A.Bahasa Denmark
B.Bahasa Sweden
C.Bahasa Jerman
D.Bahasa Belanda",D,"Jawapan yang betul adalah D. Bahasa Belanda.

Bahasa rasmi Belanda adalah bahasa Belanda. Belanda adalah sebuah negara di Eropah Barat yang berbahasa Belanda sebagai bahasa rasmi.

Bahasa Denmark, Sweden, dan Jerman bukan merupakan bahasa rasmi Belanda. Bahasa-bahasa tersebut adalah bahasa rasmi di negara-negara lain di Eropah.",
"Tangki adalah dalam bentuk prisma segi tiga. Sekiranya asas segi tiga mempunyai keluasan 116 kaki persegi, dan tangki adalah 30 kaki tinggi, berapa banyak air yang akan mengandungi tangki apabila ia penuh?
A.1725 kaki^3
B.1740 kaki^3
C.3480 kaki^3
D.6960 kaki^3",C,"Untuk menyelesaikan masalah ini, kita perlu menghitung volume prisma segi tiga.

Rumus volume prisma segi tiga:
Volume = Luas alas × Tinggi

Diketahui:
- Luas alas segi tiga = 116 kaki persegi
- Tinggi tangki = 30 kaki

Maka, volume tangki adalah:
Volume = Luas alas × Tinggi
Volume = 116 kaki persegi × 30 kaki
Volume = 3,480 kaki kubik

Jadi, jawaban yang benar adalah C. 3,480 kaki kubik.",
"Antara filem-filem seram manakah yang menghasilkan sekuel yang paling banyak?
A.Menjerit'
B.Rahang'
C.Halloween'
D.Jumaat ke-13'",D,"Jawapan yang paling tepat adalah C. Halloween'.

Siri filem seram Halloween merupakan salah satu siri filem yang menghasilkan sekuel paling banyak. Sehingga kini, terdapat 12 filem dalam siri Halloween, bermula dari filem pertama yang dikeluarkan pada tahun 1978.

Sementara itu, siri filem Menjerit, Rahang, dan Jumaat ke-13 juga menghasilkan beberapa sekuel, tetapi tidak sebanyak siri filem Halloween.

Jadi, antara pilihan yang diberikan, siri filem Halloween merupakan yang menghasilkan sekuel paling banyak.",
"Autokorelasi sisa negatif ditunjukkan oleh mana salah satu daripada berikut?
A.Corak kitaran dalam sisa
B.Corak berselang-seli dalam sisa
C.Rawak lengkap dalam sisa
D.Sisa yang semuanya hampir sifar",B,"Jawapan yang betul adalah A. Corak kitaran dalam sisa.

Autokorelasi sisa negatif menunjukkan bahawa terdapat corak kitaran dalam sisa, di mana nilai sisa pada suatu tempoh cenderung mempunyai nilai yang berlawanan dengan nilai sisa pada tempoh sebelumnya.

Ini berbeza dengan:
B. Corak berselang-seli dalam sisa, yang menunjukkan autokorelasi sisa positif.
C. Rawak lengkap dalam sisa, yang menunjukkan tiada autokorelasi.
D. Sisa yang semuanya hampir sifar, yang menunjukkan model yang sangat baik.

Jadi, autokorelasi sisa negatif ditunjukkan oleh corak kitaran dalam sisa.",
"Kenal pasti antecedent cadangan bersyarat berikut: The Bees memenangi permainan pertama mereka hanya jika sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka.
A.Aardvarks tidak memenangi perlawanan pertama mereka.
B.The Bees memenangi perlawanan pertama mereka.
C.Chipmunks tidak memenangi perlawanan pertama mereka.
D.Sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka.",B,"Antecedent cadangan bersyarat yang diberikan adalah:
""The Bees memenangi permainan pertama mereka hanya jika sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka.""

Daripada pilihan yang diberikan, pilihan yang paling tepat sebagai antecedent adalah:
D. Sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka.

Ini kerana pilihan D menyatakan bahawa sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka, yang merupakan syarat untuk The Bees memenangi permainan pertama mereka.

Pilihan A, B, dan C tidak mencakupi keseluruhan syarat yang dinyatakan dalam cadangan bersyarat.",
" Alat pemasaran dan komunikasi ini menawarkan induksi langsung atau insentif untuk menggalakkan pelanggan membeli produk / perkhidmatan:
A.Pengiklanan.
B.Perhubungan awam.
C.Promosi jualan.
D.Pemasaran langsung.",C,"Jawapan yang tepat adalah C. Promosi jualan.

Promosi jualan adalah alat pemasaran dan komunikasi yang menawarkan insentif langsung kepada pelanggan untuk menggalakkan mereka membeli produk atau perkhidmatan. Ini termasuk pelbagai bentuk insentif seperti diskaun, kupon, sampel percuma, hadiah, dan sebagainya.

Pengiklanan, perhubungan awam, dan pemasaran langsung tidak secara langsung menawarkan insentif kepada pelanggan untuk membeli. Mereka lebih berfokus pada menyampaikan maklumat dan membina imej jenama.

Jadi, daripada pilihan yang diberikan, promosi jualan adalah alat pemasaran yang paling tepat untuk menawarkan insentif langsung kepada pelanggan untuk membeli produk atau perkhidmatan.",
"Antara hidangan ini yang manakah diperbuat daripada usus babi?
A.Haggis
B.Chitlins
C.grits
D.Chop Suey",B,"Jawapan yang betul adalah B. Chitlins.

Chitlins atau chitterlings adalah hidangan yang diperbuat daripada usus babi yang telah dibersihkan dan dimasak. Ia merupakan makanan tradisional dalam budaya Afrika-Amerika.

Haggis adalah hidangan tradisional Skotlandia yang diperbuat daripada organ-organ kambing seperti hati, paru-paru dan jantung.

Grits adalah hidangan yang diperbuat daripada bijirin jagung yang digilas.

Chop Suey adalah hidangan Cina-Amerika yang diperbuat daripada pelbagai sayur-sayuran dan daging.

Jadi, antara pilihan yang diberikan, hanya Chitlins yang diperbuat daripada usus babi.",
"Orang dewasa pertengahan umur kelihatan lebih ____ daripada orang dewasa yang lebih tua atau lebih muda
A.Generatif
B.Neurotik
C.Bersetuju
D.Tertentu",A,"Jawaban yang tepat adalah:

A. Generatif

Penjelasan:
Orang dewasa pertengahan umur (middle adulthood) cenderung lebih generatif daripada orang dewasa yang lebih tua atau lebih muda. Generatif dalam konteks ini berarti bahwa orang dewasa pertengahan umur biasanya lebih produktif, kreatif, dan berorientasi pada pengembangan diri serta memberi kontribusi kepada generasi yang lebih muda.

Pilihan jawaban lainnya tidak tepat:
- B. Neurotik: Tidak menggambarkan karakteristik orang dewasa pertengahan umur.
- C. Bersetuju: Tidak menggambarkan karakteristik orang dewasa pertengahan umur.
- D. Tertentu: Terlalu umum dan tidak spesifik menggambarkan karakteristik orang dewasa pertengahan umur.",
"Pengesahan silang K-lipat ialah
A.linear dalam K
B.kuadratik dalam K
C.padu dalam K
D.eksponen dalam K",A,"Jawaban yang tepat adalah C. padu dalam K.

Pengesahan silang K-lipat (K-fold cross-validation) adalah teknik validasi model yang digunakan untuk mengevaluasi kinerja model pembelajaran mesin. Dalam pengesahan silang K-lipat, data dibagi menjadi K subset yang saling eksklusif, dan model dilatih dan dievaluasi K kali, dengan setiap subset digunakan sebagai data uji satu kali.

Sifat padu (cubic) dalam K berarti bahwa kompleksitas komputasi pengesahan silang K-lipat meningkat secara kubik terhadap nilai K. Ini berarti bahwa semakin besar nilai K, semakin besar juga waktu komputasi yang dibutuhkan untuk melakukan pengesahan silang.

Jadi, pernyataan yang paling tepat adalah bahwa pengesahan silang K-lipat adalah padu (cubic) dalam K.",
