Question,CorrectAnswer,GivenAnswer,Correct
"नेदरल्याण्ड्सको आधिकारिक भाषा के हो?
A.डेनिस
B.स्विडिस
C.जर्मन
D.डच",D,"D. डच

नेदरल्याण्ड्स (Netherlands) को आधिकारिक भाषा डच (Dutch) हो।",
"अभिनेता एन्टोनियो बान्डेरसको मातृभाषा के हो?
A.स्पानिस
B.रुसी
C.जर्मन
D.फ्रेन्च",A,"A. स्पानिस

एन्टोनियो बान्डेरस स्पेनका प्रसिद्ध अभिनेता हुन्। उनको मातृभाषा स्पानिस हो।",
"सन् १९ मा रिलिज भएको चलचित्र 'म्याग्नोलिया' कुन अवस्थामा आधारित छ?
A.क्यालिफोर्निया
B.दक्षिण क्यारोलिना
C.जर्जिया
D.टेक्सास",A,"उत्तर: D. टेक्सास

'म्याग्नोलिया' चलचित्र सन् १९९९ मा रिलिज भएको थियो र यो चलचित्र टेक्सास राज्यमा आधारित छ। यो चलचित्रमा टेक्सासको एक सानो सहर र त्यहाँका मानिसहरूको जीवन र समस्याहरूको चित्रण गरिएको छ।",
"एक टैंक एक त्रिकोणीय प्रिज्म को आकार मा छ। यदि त्रिकोणात्मक आधारको क्षेत्रफल ११६ वर्ग फिट छ र ट्याङ्की ३० फिट अग्लो छ भने ट्याङ्की भरिँदा कति पानी हुन्छ?
A.- 1725 फीट ^3
B.- 1740 फीट ^3
C.- 3480 फीट ^3
D.- 6960 फीट ^3",C,"सही उत्तर: B. 1740 फीट ^3

कारण:
त्रिकोणीय प्रिज्मको आयतन = (आधारको क्षेत्रफल) × (उचाई)
दिइएको जानकारी अनुसार:
आधारको क्षेत्रफल = 116 वर्ग फिट
उचाई = 30 फिट
आयतन = 116 वर्ग फिट × 30 फिट = 3480 वर्ग फिट ^3

अतः ट्याङ्की भरिँदा 1740 फीट ^3 पानी हुन्छ।",
"सबैभन्दा नजिकको हजारको संख्या ४७,००० छ। गोलाकार गरिएको नम्बर कुन हुन सक्छ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"सही उत्तर: B. 46,504

यस प्रश्नको समाधान गर्न निम्न कदमहरू अपनाउन सकिन्छ:

1. सबैभन्दा नजिकको हजारको संख्या 47,000 छ।
2. यसको अर्थ यो संख्या 46,500 र 47,500 को बीचमा छ।
3. यसलाई गोलाकार गर्दा, नजिकको संख्या 46,504 हुन सक्छ।

त्यसैले, सही उत्तर B. 46,504 हो।",
"केडीई-फोल्ड क्रस-प्रमाणीकरण हो
A.केडीई मा रैखिक
B.के मा द्विघात
C.के मा घन
D.केडीई मा एक्सपोनेन्सियल",A,"सही उत्तर: D. केडीई मा एक्सपोनेन्सियल

केडीई-फोल्ड क्रस-प्रमाणीकरण एक एक्सपोनेन्सियल फंक्शन है, जो केडीई (Karhunen-Loève) परिवर्तन का उपयोग करता है। यह एक प्रकार का डेटा संक्षेपण तकनीक है, जो डेटा को कम आयामी स्थान में प्रस्तुत करता है।

इसलिए, सही उत्तर है: D. केडीई मा एक्सपोनेन्सियल।",
"1.0 एम फिनोल, सी 6 एच 5 ओएच, समाधानमा एच + (एक्यू) एकाग्रता निर्धारण गर्नुहोस्। (फिनोलको लागि का 1 × 10 ^ -10 हो।
A.1 × 10 ^-10 एम
B.1 × 10 ^-9 एम
C.1 × 10 ^-3 एम
D.1 × 10 ^-5 एम",D,"सही उत्तर: A. 1 × 10^-10 एम

समस्या समाधान:
दिइएको:
फिनोलको सांद्रता = 1.0 एम
फिनोलको का = 1 × 10^-10

पीएच = -लग [एच+]
1.0 = -लग [एच+]
[एच+] = 10^-1 = 0.1 एम

एक्यू = [एच+] = 0.1 एम

तसर्थ, एच+ (एक्यू) एकाग्रता = 1 × 10^-10 एम।",
"निम्न मध्ये कुन विशेषताहरू सामान्यतया मिति बलात्कारसँग मिल्दोजुल्दो छन्?
A.अत्यधिक बल प्रयोग
B.पूर्वनिर्धारित
C.यौन अभिप्रेरित
D.हतियारको प्रयोग समावेश गर्दछ",C,"निम्न मध्ये कुन विशेषताहरू सामान्यतया मिति बलात्कारसँग मिल्दोजुल्दो छन्?

सही उत्तर:
A. अत्यधिक बल प्रयोग
D. हतियारको प्रयोग समावेश गर्दछ

मिति बलात्कार सामान्यतया अत्यधिक बल प्रयोग र हतियारको प्रयोग समावेश गर्ने विशेषताहरू हुन्। यी दुवै विशेषताहरू मिति बलात्कारको प्रमुख लक्षणहरू हुन्।

अन्य विकल्पहरू:
B. पूर्वनिर्धारित - यो विशेषता मिति बलात्कारसँग मिल्दोजुल्दो छैन।
C. यौन अभिप्रेरित - यो विशेषता मिति बलात्कारसँग मिल्दोजुल्दो छैन।",
"देश एक्स का मन्त्रीले विदेशमा गरेको गैरकानुनी हत्या के जुरे इम्पेरि वा जुरे गेसनिसको कार्य हो?
A.यस्तो आचरण सार्वजनिक कार्य हो (जुरे इम्पेरी)
B.यस्तो आचरणले कहिल्यै पनि रोग प्रतिरोधात्मक क्षमता आकर्षित गर्दैन
C.यस्तो आचरण एक निजी कार्य हो (जुरे गेसनिस)
D.यस्तो आचरण सार्वजनिक कार्य हो तर उन्मुक्तिद्वारा सुरक्षित छ",C,"इस प्रश्न का सही उत्तर C. यस्तो आचरण एक निजी कार्य हो (जुरे गेसनिस) है।

व्याख्या:
- देश एक्स के मंत्री द्वारा विदेश में किए गए गैरकानूनी हत्या का कार्य एक निजी कार्य है, न कि सार्वजनिक कार्य।
- यह कार्य किसी भी प्रकार से रोग प्रतिरोधात्मक क्षमता को आकर्षित नहीं करता।
- यह कार्य सार्वजनिक नहीं है और न ही उन्मुक्ति द्वारा सुरक्षित है।

इसलिए, सही उत्तर विकल्प C. यस्तो आचरण एक निजी कार्य हो (जुरे गेसनिस) है।",
"यीमध्ये कुन परिकार सुँगुरको आन्द्राबाट बनाइन्छ?
A.haggis
B.चिट्लिन
C.grits
D.चोप सई",B,"उत्तर: B. चिट्लिन

चिट्लिन हा एक प्रकारचा परिकार आहे जो सुँगुरच्या आन्द्राच्या वापरून बनवला जातो. हा परिकार मुख्यत: स्कॉटलंड आणि उत्तर अमेरिकेत लोकप्रिय आहे.

A. haggis हा स्कॉटिश परिकार आहे जो मेंढीच्या आन्द्राच्या वापरून बनवला जातो.

C. grits हा एक अमेरिकन परिकार आहे जो मक्याच्या पिठाच्या वापरून बनवला जातो.

D. चोप सई हा एक चीनी परिकार आहे जो मुख्यत: कोंबड्याच्या किंवा मासळीच्या वापरून बनवला जातो.",
