Question,CorrectAnswer,GivenAnswer,Correct
"ਨੀਦਰਲੈਂਡਜ਼ ਦੀ ਅਧਿਕਾਰਤ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਡੈਨਿਸ਼
B.ਸਵੀਡਿਸ਼
C.ਜਰਮਨ
D.ਡੱਚ",D,"D. ਡੱਚ

ਨੀਦਰਲੈਂਡਜ਼ (Netherlands) ਦੀ ਅਧਿਕਾਰਤ ਭਾਸ਼ਾ ਡੱਚ (Dutch) ਹੈ।",
"ਅਭਿਨੇਤਾ ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਦੀ ਮੂਲ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਸਪੇਨੀ
B.ਰੂਸੀ
C.ਜਰਮਨ
D.ਫਰੈਂਚ",A,"ਸਹੀ ਜਵਾਬ ਹੈ: A. ਸਪੇਨੀ

ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਇੱਕ ਸਪੇਨੀ ਅਭਿਨੇਤਾ ਹੈ। ਉਸਦੀ ਮੂਲ ਭਾਸ਼ਾ ਸਪੇਨੀ ਹੈ।",
"1999 ਦੀ ਫਿਲਮ ਮੈਗਨੋਲੀਆ ਕਿਸ ਰਾਜ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਹੈ?
A.ਕੈਲੀਫੋਰਨੀਆ
B.ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ
C.ਜੋਰਜੀਆ
D.ਟੈਕਸਾਸ",A,"ਸਹੀ ਜਵਾਬ ਹੈ: D. ਟੈਕਸਾਸ

ਫਿਲਮ ਮੈਗਨੋਲੀਆ 1999 ਵਿੱਚ ਰਿਲੀਜ਼ ਹੋਈ ਸੀ ਅਤੇ ਇਹ ਟੈਕਸਾਸ ਰਾਜ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਸੀ।",
"ਇਸ ਦੀ ਗਿਣਤੀ 47,000 ਹੈ, ਜੋ ਕਿ ਸਭ ਤੋਂ ਨੇੜੇ ਹੈ। ਕਿਹੜੀ ਸੰਖਿਆ ਉਹ ਸੰਖਿਆ ਹੋ ਸਕਦੀ ਹੈ ਜੋ ਗੋਲ ਕੀਤੀ ਗਈ ਸੀ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"ਸਹੀ ਜਵਾਬ ਹੈ B. 46,504

ਕਿਉਂਕਿ ਗਿਣਤੀ 47,000 ਹੈ ਅਤੇ ਇਹ ਸਭ ਤੋਂ ਨੇੜੇ ਹੈ, ਇਸ ਲਈ ਸਭ ਤੋਂ ਨੇੜੇ ਦੀ ਸੰਖਿਆ 46,504 ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ।",
"ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜਾ ਪਕਵਾਨ ਸੂਰ ਦੀਆਂ ਅੰਤੜੀਆਂ ਤੋਂ ਬਣਾਇਆ ਜਾਂਦਾ ਹੈ?
A.ਹੈਗੀਸ
B.ਚਿਟਲਿਨਜ਼
C.ਗ੍ਰਿਟਸ
D.Chop Sue",B,"ਸਹੀ ਜਵਾਬ ਹੈ: A. ਹੈਗੀਸ

ਹੈਗੀਸ ਇੱਕ ਪਕਵਾਨ ਹੈ ਜੋ ਸੂਰ ਦੀਆਂ ਅੰਤੜੀਆਂ ਤੋਂ ਬਣਾਇਆ ਜਾਂਦਾ ਹੈ। ਇਹ ਸਕਾਟਲੈਂਡ ਦਾ ਇੱਕ ਪਰੰਪਰਾਗਤ ਪਕਵਾਨ ਹੈ।",
"ਇੰਡਕਟਰ ਵਿੱਚ ਪ੍ਰੇਰਿਤ ਵੋਲਟੇਜ ਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਦਰਸਾਇਆ ਜਾਂਦਾ ਹੈ,
A.ਇਸ ਰਾਹੀਂ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਅਤੇ ਕਰੰਟ ਦਾ ਉਤਪਾਦ.
B.ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਨਾਲ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਦਾ ਅਨੁਪਾਤ.
C.ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਅਤੇ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਦਾ ਅਨੁਪਾਤ.
D.ਇਸ ਦੇ ਪ੍ਰੇਰਕਤਾ ਅਤੇ ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਦੀ ਤਬਦੀਲੀ ਦੀ ਦਰ ਦਾ ਉਤਪਾਦ.",D,"ਸਹੀ ਜਵਾਬ ਹੈ: C. ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਅਤੇ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਦਾ ਅਨੁਪਾਤ.

ਇੰਡਕਟਰ ਵਿੱਚ ਪ੍ਰੇਰਿਤ ਵੋਲਟੇਜ ਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਦਰਸਾਇਆ ਜਾਂਦਾ ਹੈ:

ਪ੍ਰੇਰਿਤ ਵੋਲਟੇਜ = ਇੰਡਕਟਰ ਦੀ ਪ੍ਰੇਰਕਤਾ × ਕਰੰਟ

ਇਸ ਤਰ੍ਹਾਂ, ਪ੍ਰੇਰਿਤ ਵੋਲਟੇਜ ਇੰਡਕਟਰ ਦੀ ਪ੍ਰੇਰਕਤਾ ਅਤੇ ਕਰੰਟ ਦੇ ਅਨੁਪਾਤ ਨੂੰ ਦਰਸਾਉਂਦਾ ਹੈ।",
"ਨਕਾਰਾਤਮਕ ਬਚੇ ਹੋਏ ਆਟੋਕੋਰਿਲੇਸ਼ਨ ਨੂੰ ਹੇਠ ਲਿਖਿਆਂ ਵਿੱਚੋਂ ਕਿਸ ਦੁਆਰਾ ਦਰਸਾਇਆ ਜਾਂਦਾ ਹੈ?
A.ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਚੱਕਰਵਰਤੀ ਪੈਟਰਨ
B.ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਬਦਲਵਾਂ ਪੈਟਰਨ
C.ਭੰਡਾਰਾਂ ਵਿੱਚ ਇੱਕ ਪੂਰੀ ਬੇਤਰਤੀਬੀ
D.ਭੰਡਾਰ ਜੋ ਸਾਰੇ ਜ਼ੀਰੋ ਦੇ ਨੇੜੇ ਹਨ",B,"ਸਹੀ ਜਵਾਬ ਹੈ: B. ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਬਦਲਵਾਂ ਪੈਟਰਨ

ਨਕਾਰਾਤਮਕ ਬਚੇ ਹੋਏ ਆਟੋਕੋਰਿਲੇਸ਼ਨ ਨੂੰ ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਬਦਲਵਾਂ ਪੈਟਰਨ ਦੁਆਰਾ ਦਰਸਾਇਆ ਜਾਂਦਾ ਹੈ। ਇਹ ਇੱਕ ਅਸਥਿਰ ਪੈਟਰਨ ਹੁੰਦਾ ਹੈ ਜੋ ਸਮੇਂ ਦੇ ਨਾਲ ਬਦਲਦਾ ਰਹਿੰਦਾ ਹੈ।",
"ਹੇਠ ਲਿਖੇ ਸ਼ਰਤਾਂ ਵਾਲੇ ਪ੍ਰਸਤਾਵ ਦੇ ਪਿਛੋਕੜ ਦੀ ਪਛਾਣ ਕਰੋ: ਮਧੂਮੱਖੀਆਂ ਆਪਣੀ ਪਹਿਲੀ ਗੇਮ ਤਾਂ ਹੀ ਜਿੱਤਦੀਆਂ ਹਨ ਜੇ ਆਰਡਵਰਕਸ ਜਾਂ ਚਿਪਮੰਕ ਆਪਣੀਆਂ ਪਹਿਲੀਆਂ ਖੇਡਾਂ ਨਹੀਂ ਜਿੱਤਦੇ.
A.ਆਰਡਵਰਕਸ ਆਪਣੀ ਪਹਿਲੀ ਗੇਮ ਨਹੀਂ ਜਿੱਤ ਸਕੇ।
B.ਮਧੂ ਮੱਖੀਆਂ ਆਪਣੀ ਪਹਿਲੀ ਖੇਡ ਜਿੱਤਦੀਆਂ ਹਨ।
C.ਚਿਪਮੰਕ ਆਪਣੀ ਪਹਿਲੀ ਗੇਮ ਨਹੀਂ ਜਿੱਤ ਸਕੇ।
D.ਜਾਂ ਤਾਂ ਆਰਡਵਰਕਸ ਜਾਂ ਚਿਪਮੁੰਕ ਆਪਣੀਆਂ ਪਹਿਲੀਆਂ ਖੇਡਾਂ ਨਹੀਂ ਜਿੱਤਦੇ.",B,"ਸਹੀ ਜਵਾਬ ਹੈ D. ਜਾਂ ਤਾਂ ਆਰਡਵਰਕਸ ਜਾਂ ਚਿਪਮੁੰਕ ਆਪਣੀਆਂ ਪਹਿਲੀਆਂ ਖੇਡਾਂ ਨਹੀਂ ਜਿੱਤਦੇ।

ਇਸ ਪ੍ਰਸਤਾਵ ਵਿੱਚ ਕਿਹਾ ਗਿਆ ਹੈ ਕਿ ਮਧੂ ਮੱਖੀਆਂ ਆਪਣੀ ਪਹਿਲੀ ਗੇਮ ਤਾਂ ਹੀ ਜਿੱਤਦੀਆਂ ਹਨ ਜੇ ਆਰਡਵਰਕਸ ਜਾਂ ਚਿਪਮੰਕ ਆਪਣੀਆਂ ਪਹਿਲੀਆਂ ਖੇਡਾਂ ਨਹੀਂ ਜਿੱਤਦੇ। ਇਸ ਲਈ ਜਵਾਬ D ਸਹੀ ਹੈ।",
"ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜੀ ਡਰਾਉਣੀ ਫਿਲਮ ਨੇ ਸਭ ਤੋਂ ਵੱਧ ਸੀਕਵਲ ਪੈਦਾ ਕੀਤੇ?
A.ਚੀਕਣਾ'
B.ਜੌਸ '
C.ਹੈਲੋਵੀਨ
D.ਸ਼ੁੱਕਰਵਾਰ 13'",D,"ਸਹੀ ਜਵਾਬ ਹੈ: C. ਹੈਲੋਵੀਨ

ਹੈਲੋਵੀਨ ਫਿਲਮ ਸੀਰੀਜ਼ ਨੇ ਸਭ ਤੋਂ ਵੱਧ ਸੀਕਵਲ ਪੈਦਾ ਕੀਤੇ ਹਨ। ਇਸ ਫਿਲਮ ਦੀ ਪਹਿਲੀ ਫਿਲਮ 1978 ਵਿੱਚ ਰਿਲੀਜ਼ ਹੋਈ ਸੀ ਅਤੇ ਇਸ ਤੋਂ ਬਾਅਦ ਕਈ ਸੀਕਵਲ ਬਣਾਏ ਗਏ ਹਨ। ਇਸ ਫਿਲਮ ਸੀਰੀਜ਼ ਨੇ ਡਰਾਉਣੀ ਫਿਲਮਾਂ ਦੇ ਇਤਿਹਾਸ ਵਿੱਚ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਸਥਾਨ ਬਣਾਇਆ ਹੈ।",
"ਇੱਕ ਮਰੀਜ਼ ਦੀ ਗਰਦਨ ਟੁੱਟ ਜਾਂਦੀ ਹੈ ਅਤੇ ਰੀੜ੍ਹ ਦੀ ਹੱਡੀ ਨੂੰ ਛੇਵੇਂ ਸਰਵਾਈਕਲ ਵਰਟੇਬਰਕ ਦੇ ਪੱਧਰ 'ਤੇ ਨੁਕਸਾਨ ਪਹੁੰਚਦਾ ਹੈ।
A.ਉਹ ਲਾਈਫ ਸਪੋਰਟ ਤੋਂ ਬਿਨਾਂ ਸਾਹ ਲੈਣ ਦੇ ਅਯੋਗ ਹੋਣਗੇ।
B.ਉਹ ਸਿਰਫ ਸ਼ਾਂਤੀ ਨਾਲ ਸਾਹ ਲੈਣ ਦੇ ਯੋਗ ਹੋਣਗੇ।
C.ਸਾਹ ਲੈਣ 'ਤੇ ਪ੍ਰਭਾਵ ਦੀ ਭਵਿੱਖਬਾਣੀ ਕਰਨਾ ਅਸੰਭਵ ਹੈ।
D.ਸਾਹ ਲੈਣ 'ਤੇ ਕੋਈ ਅਸਰ ਨਹੀਂ ਪਵੇਗਾ।",B,"ਸਹੀ ਜਵਾਬ ਹੈ: A. ਉਹ ਲਾਈਫ ਸਪੋਰਟ ਤੋਂ ਬਿਨਾਂ ਸਾਹ ਲੈਣ ਦੇ ਅਯੋਗ ਹੋਣਗੇ।

ਜਦੋਂ ਰੀੜ੍ਹ ਦੀ ਹੱਡੀ ਨੂੰ ਛੇਵੇਂ ਸਰਵਾਈਕਲ ਵਰਟੇਬਰਕ ਦੇ ਪੱਧਰ 'ਤੇ ਨੁਕਸਾਨ ਪਹੁੰਚਦਾ ਹੈ, ਤਾਂ ਇਹ ਸਾਹ ਲੈਣ ਦੀ ਯੋਗਤਾ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਦਾ ਹੈ। ਇਸ ਤਰ੍ਹਾਂ, ਮਰੀਜ਼ ਲਾਈਫ ਸਪੋਰਟ ਤੋਂ ਬਿਨਾਂ ਸਾਹ ਲੈਣ ਦੇ ਅਯੋਗ ਹੋਣਗੇ।",
