Question,CorrectAnswer,GivenAnswer,Correct
"Care este limba oficială a Olandei?
A.Daneză
B.Suedeză
C.Germană
D.Olandeză",D,"Răspunsul corect este D. Olandeză.

Limba oficială a Olandei este olandeza (în olandeză: Nederlands). Olanda este o țară din Europa de Vest, iar olandeza este limba vorbită de majoritatea populației.",
"Care este limba maternă a actorului Antonio Banderas?
A.Spaniolă
B.Rusă
C.Germană
D.Franceză",A,"Răspunsul corect este A. Spaniolă.

Antonio Banderas este un actor spaniol, născut în Málaga, Spania. Limba sa maternă este spaniola.",
"Care dintre aceste filme de groază a dat naștere celor mai multe continuări?
A.Țipă""
B.Fălci""
C.Halloween'
D.Vineri 13'",D,"Răspunsul corect este D. Vineri 13'.

Seria de filme Vineri 13' este cea care a dat naștere la cele mai multe continuări în genul filmelor de groază.

Până în prezent, există 12 filme în franciza Vineri 13', începând cu primul film din 1980 și continuând cu numeroase sequeluri lansate în deceniile următoare.

În comparație, seriile de filme Țipă, Fălci și Halloween, deși de asemenea foarte populare în genul horror, nu au atins același număr de continuări ca Vineri 13'.",
"În ce stare se află filmul Magnolia din 1999?
A.California
B.Carolina de Sud
C.Georgia
D.Texas",A,"Răspunsul corect este A. California.

Filmul Magnolia din 1999, regizat de Paul Thomas Anderson, are loc în San Fernando Valley, o regiune din sudul Californiei. Acțiunea filmului se desfășoară în mai multe locații din această zonă a statului California.",
"Un rezervor are forma unei prisme triunghiulare. Dacă baza triunghiulară are o suprafață de 116 metri pătrați, iar rezervorul are o înălțime de 30 de picioare, câtă apă ar conține rezervorul când este plin?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Pentru a rezolva această problemă, trebuie să calculăm volumul rezervorului.

Dat:
- Baza triunghiulară are o suprafață de 116 m^2.
- Înălțimea rezervorului este de 30 de picioare.

Calculul volumului:
Volumul unui rezervor în formă de prismă triunghiulară se calculează după formula:
Volum = Aria bazei × Înălțime

Aria bazei triunghiulare este dată, deci:
Volum = 116 m^2 × 30 ft = 3480 ft^3

Prin urmare, răspunsul corect este C. 3480 ft^3.",
"Identificați antecedentul următoarei propoziții condiționale: Albinele câștigă primul lor joc numai dacă fie Aardvarks, fie Veverițele nu câștigă primele jocuri.
A.Aardvarks nu câștigă primul meci.
B.Albinele câștigă primul lor joc.
C.Veverițele nu câștigă primul meci.
D.Nici Aardvarks, nici Veverițele nu câștigă primele meciuri.",B,"Antecedentul propoziției condiționale ""Albinele câștigă primul lor joc numai dacă fie Aardvarks, fie Veverițele nu câștigă primele jocuri"" este:

D. Nici Aardvarks, nici Veverițele nu câștigă primele meciuri.

Explicație:
Propoziția condiționată este ""Albinele câștigă primul lor joc"", iar condiția este ""fie Aardvarks, fie Veverițele nu câștigă primele jocuri"".
Dintre variantele date, doar varianta D. ""Nici Aardvarks, nici Veverițele nu câștigă primele meciuri"" satisface această condiție.",
"Eroarea personalității laudative este un tip specific de
A.Eroarea accidentului
B.Dilemă falsă
C.Cerșind întrebarea
D.Raționamentul circular",A,"Răspunsul corect este C. Cerșind întrebarea.

Eroarea personalității laudative este un tip specific de cerșire a întrebării (begging the question). Această eroare apare atunci când o concluzie este prezentată ca și cum ar fi o premisă, fără a fi justificată în mod adecvat.

Exemplu:
""Această persoană este o persoană de succes, deoarece este o persoană de succes.""

Aici, concluzia (este o persoană de succes) este folosită ca și cum ar fi o premisă, fără a fi demonstrată în mod corespunzător. Acest tip de raționament circular este considerat o formă de cerșire a întrebării.

Opțiunile A, B și D nu se potrivesc cu descrierea furnizată pentru eroarea personalității laudative.",
"Tensiunea indusă într-un inductor este reprezentată ca,
A.produsul inductanței sale și al curentului prin ea.
B.raportul dintre inductanța sa și curentul prin ea.
C.raportul dintre curentul prin acesta și inductanța sa.
D.produsul inductanței sale și viteza de schimbare a curentului prin ea.",D,"Răspunsul corect este D. produsul inductanței sale și viteza de schimbare a curentului prin ea.

Tensiunea indusă într-un inductor este dată de formula:

V = L * di/dt

Unde:
- V este tensiunea indusă (în volți)
- L este inductanța inductorului (în henryi)
- di/dt este rata de schimbare a curentului prin inductor (în amperi pe secundă)

Deci tensiunea indusă într-un inductor este reprezentată ca produsul inductanței sale și viteza de schimbare a curentului prin ea.

Opțiunile A, B și C nu sunt corecte, deoarece nu reprezintă formula corectă pentru tensiunea indusă într-un inductor.",
"Care dintre aceste feluri de mâncare este făcută din intestine de porc?
A.Haggis
B.chitline
C.Crupe
D.Chop Suey",B,"Răspunsul corect este B. Chitline.

Chitline este un fel de mâncare tradițional din bucătăria afro-americană, făcut din intestinele subțiri de porc.

A. Haggis este un fel de mâncare tradițional scoțian, făcut din organe de oaie (plămâni, ficat, inimă) amestecate cu ovăz și condimente.

C. Crupe este o mâncare tradițională din Ucraina, făcută din grâu măcinat.

D. Chop Suey este un fel de mâncare chinezesc-american, făcut din carne, legume și sos.

Deci, dintre opțiunile date, singura mâncare făcută din intestine de porc este chitline.",
"Adulții de vârstă mijlocie par să fie mai ____ decât adulții mai în vârstă sau mai tineri
A.Generatoare
B.Nevrotic
C.Agreabil
D.Sigur",A,"Răspunsul corect este B. Nevrotic.

Adulții de vârstă mijlocie (între 40 și 60 de ani) sunt adesea considerați mai nevriotici decât adulții mai în vârstă sau mai tineri. Această tendință poate fi explicată prin mai multe factori, cum ar fi:

- Presiunea și stresul acumulat în carieră și viața de familie
- Preocupările legate de îmbătrânire și sănătate
- Schimbările hormonale și fizice specifice acestei perioade a vieții
- Nevoia de a face față unor provocări și tranziții importante (copii plecând de acasă, îngrijirea părinților în vârstă, etc.)

Astfel, adulții de vârstă mijlocie pot fi mai predispuși la anxietate, depresie și alte tulburări emoționale, în comparație cu grupele de vârstă mai tinere sau mai în vârstă.",
"Este omuciderea ilegală comisă de ministrul țării X în străinătate un act jure imperii sau jure gestionis?
A.Un astfel de comportament este un act public (jure imperii)
B.Un astfel de comportament nu atrage niciodată imunitate
C.Un astfel de comportament este un act privat (jure gestionis)
D.Un astfel de comportament este un act public, dar este protejat de imunitate",C,"Răspunsul corect este D. Un astfel de comportament este un act public (jure imperii), dar este protejat de imunitate.

Explicație:

Actele jure imperii sunt acte oficiale ale unui stat, în exercitarea autorității sale suverane. Omuciderea comisă de un ministru în străinătate ar fi considerată un act public, deoarece este un act oficial al statului, chiar dacă este ilegal.

Cu toate acestea, în dreptul internațional, oficialii de stat beneficiază de imunitate pentru actele oficiale pe care le comit în exercitarea funcțiilor lor. Această imunitate protejează actele jure imperii, chiar dacă sunt ilegale.

Prin urmare, deși omuciderea comisă de ministru este un act public (jure imperii), ea este protejată de imunitatea de jurisdicție a oficialilor de stat.",
"Un număr, rotunjit la cea mai apropiată mie, este 47.000. Care număr ar putea fi numărul care a fost rotunjit?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Pentru a determina care număr ar putea fi numărul care a fost rotunjit la 47.000, trebuie să analizăm opțiunile date.

Să verificăm fiecare opțiune:

A. 46,295
Rotunjind 46,295 la cea mai apropiată mie, obținem 46,000. Deci, 46,295 nu poate fi numărul care a fost rotunjit la 47,000.

B. 46,504
Rotunjind 46,504 la cea mai apropiată mie, obținem 47,000. Deci, 46,504 este numărul care a fost rotunjit la 47,000.

C. 47,520
Rotunjind 47,520 la cea mai apropiată mie, obținem 48,000. Deci, 47,520 nu poate fi numărul care a fost rotunjit la 47,000.

D. 47,924
Rotunjind 47,924 la cea mai apropiată mie, obținem 48,000. Deci, 47,924 nu poate fi numărul care a fost rotunjit la 47,000.

Prin urmare, răspunsul corect este B. 46,504.",
"Care dintre următorii factori ar fi considerat un factor de ""atracție"" pentru Riva atunci când se ia în considerare o mutare din India în Statele Unite?
A.Sărăcie abjectă
B.Locuri de muncă mai bune și salarii mai mari
C.Sistemul de caste al Indiei
D.Violența din cartierul ei",B,"Dintre factorii enumerați, B. Locuri de muncă mai bune și salarii mai mari ar fi considerat un factor de ""atracție"" pentru Riva atunci când se ia în considerare o mutare din India în Statele Unite.

Factorii de ""atracție"" sunt acei factori care determină o persoană să se mute într-o altă țară, deoarece oferă oportunități și condiții de viață mai bune. În acest caz, posibilitatea de a obține un loc de muncă mai bun și salarii mai mari în Statele Unite ar putea reprezenta un factor important care să o atragă să se mute din India.

În schimb, A. Sărăcie abjectă, C. Sistemul de caste al Indiei și D. Violența din cartierul ei ar fi considerați factori de ""împingere"", adică acei factori care determină o persoană să dorească să plece dintr-o anumită țară sau regiune.",
"Un pacient suferă un gât rupt cu afectarea măduvei spinării la nivelul celei de-a șasea vertebre cervicale.
A.Ei nu vor putea respira fără suport de viață.
B.Ei vor putea doar să respire în liniște.
C.Este imposibil să se prevadă un efect asupra respirației.
D.Respirația nu va fi afectată.",B,"Răspunsul corect este A. Ei nu vor putea respira fără suport de viață.

Explicație:

Leziunea la nivelul celei de-a șasea vertebre cervicale afectează măduvă spinării, ceea ce poate duce la paralizia mușchilor respiratori. Acest lucru înseamnă că pacientul nu va putea respira de sine stătător și va avea nevoie de suport de viață, cum ar fi ventilația mecanică, pentru a putea respira.

Opțiunile B, C și D sunt incorecte:

B. Ei nu vor putea respira în liniște, deoarece respirația va fi afectată.
C. Nu este imposibil să se prevadă un efect asupra respirației, ci dimpotrivă, este clar că respirația va fi afectată.
D. Respirația va fi afectată, nu va rămâne neafectată.

Deci, răspunsul corect este A. Ei nu vor putea respira fără suport de viață.",
"În comparație cu partidele politice din țări precum Anglia și Israel, ambele având sisteme multipartite, partidele politice americane sunt
A.mai puțin interesați să influențeze rezultatul alegerilor
B.mai puțin clar identificate cu ideologii politice consistente
C.mai puțin eficace în strângerea de bani de la susținătorii politici
D.mai în măsură să reflecte obiectivele întregii lor circumscripții",B,"Răspunsul corect este B. mai puțin clar identificate cu ideologii politice consistente.

Explicație:

În comparație cu partidele politice din țări precum Anglia și Israel, care au sisteme multipartite, partidele politice americane sunt în general mai puțin clar identificate cu ideologii politice consistente.

În sistemele multipartite, fiecare partid tinde să aibă o ideologie politică mai clară și mai bine definită, care îl diferențiază de celelalte partide. În schimb, în sistemul bipartit al SUA, partidele Democrate și Republicane trebuie să încorporeze o gamă mai largă de interese și perspective, ceea ce duce la o mai mare ambiguitate ideologică.

Opțiunile A, C și D nu sunt caracteristici distincte ale partidelor politice americane în comparație cu cele din Anglia și Israel.",
"Care dintre următoarele caracteristici sunt, în general, în concordanță cu violul la întâlnire?
A.utilizarea forței excesive
B.premeditat
C.motivat sexual
D.implică utilizarea unei arme",C,"Dintre caracteristicile enumerate, următoarele sunt în general în concordanță cu violul la întâlnire:

A. Utilizarea forței excesive
C. Motivat sexual

Violul la întâlnire implică de obicei o agresiune sexuală în care victima și agresorul se cunosc și se întâlnesc în mod voluntar. În astfel de cazuri, violatorul folosește adesea forța fizică excesivă pentru a-și impune dorințele sexuale asupra victimei. Motivația principală este de natură sexuală, chiar dacă poate exista și o componentă de putere și control.

În schimb, caracteristicile B (premeditat) și D (implică utilizarea unei arme) nu sunt neapărat tipice pentru violul la întâlnire. Deși pot apărea în unele cazuri, ele nu sunt considerate caracteristici generale ale acestui tip de agresiune sexuală.",
"Această întrebare se referă la următoarele informații.
Mai întâi trebuie să remarcăm că cosmosul are o formă sferică, în parte pentru că această formă fiind un întreg perfect care nu necesită îmbinări, este cea mai completă dintre toate, în parte pentru că face forma cea mai capabilă, care este cea mai potrivită pentru a conține și conserva totul; sau din nou pentru că toate părțile constitutive ale universului, adică soarele, luna și planetele apar în această formă; sau pentru că totul se străduiește să atingă această formă, așa cum apare în cazul picăturilor de apă și al altor corpuri fluide, dacă încearcă să se definească. Deci, nimeni nu se va îndoi că această formă aparține corpurilor cerești. ...
Faptul că pământul este, de asemenea, sferic este, prin urmare, fără îndoială, pentru că apasă din toate părțile asupra centrului său. Deși din cauza înălțimilor munților și a depresiunilor văilor nu poate fi înțeles un cerc perfect, totuși acest lucru nu afectează natura sferică generală a pământului. ...
Deoarece s-a arătat deja că pământul are forma unei sfere, trebuie să ne gândim dacă o mișcare coincide și cu această formă și ce loc deține pământul în univers. ... Marea majoritate a autorilor, desigur, sunt de acord că pământul se află pe loc în centrul universului și consideră că este de neconceput și ridicol să presupunem contrariul. Dar dacă problema este cântărită cu atenție, se va vedea că problema nu este încă rezolvată și, prin urmare, în nici un caz nu trebuie privită cu ușurință. Orice schimbare de loc care este observată se datorează, și anume, unei mișcări a obiectului observat sau a observatorului sau mișcărilor amândurora. ... Acum de pe pământ se observă revoluția cerurilor și se produce pentru ochii noștri. Prin urmare, dacă pământul nu suferă nici o mișcare, această mișcare trebuie să aibă loc în tot ceea ce este în afara pământului, dar în direcția opusă decât dacă totul de pe pământ s-ar mișca, și de acest fel este revoluția zilnică. Deci, acest lucru pare să afecteze întregul univers, adică tot ceea ce se află în afara pământului, cu singura excepție a pământului însuși. Dacă, totuși, cineva ar admite că această mișcare nu a fost specifică cerurilor, ci că pământul se învârte de la vest la est, și dacă aceasta ar fi luată în considerare cu atenție în ceea ce privește răsăritul și apusul aparent al soarelui, lunii și stelelor, s-ar descoperi că aceasta era situația reală.
Nicolas Copernic, Revoluțiile corpurilor cerești, 1543
Pasajul poate fi folosit ca dovadă că Copernic se deosebea de filosofii naturali tradiționali, aristotelici din zilele sale, deoarece a sugerat că
A.Cosmosul este sferic
B.Pământul este sferic;
C.Cosmosul este geostatic
D.Pământul nu este staționar",D,"Răspunsul corect este D. Pământul nu este staționar.

Argumentele din pasaj care susțin această concluzie sunt:

1. Copernic remarcă că ""dacă pământul nu suferă nici o mișcare, această mișcare trebuie să aibă loc în tot ceea ce este în afara pământului"". Deci el sugerează că Pământul nu este staționar, ci se mișcă.

2. Copernic afirmă că ""dacă, totuși, cineva ar admite că această mișcare nu a fost specifică cerurilor, ci că pământul se învârte de la vest la est, și dacă aceasta ar fi luată în considerare cu atenție în ceea ce privește răsăritul și apusul aparent al soarelui, lunii și stelelor, s-ar descoperi că aceasta era situația reală."" Această afirmație indică faptul că Pământul se rotește, nu este staționar.

Deci, în contrast cu filosofia naturală tradițională aristotelică, Copernic sugera că Pământul nu este staționar, ci se mișcă.",
"Autocorelarea reziduală negativă este indicată prin care dintre următoarele?
A.Un model ciclic în reziduuri
B.Un model alternativ în reziduuri
C.O aleatorie completă a reziduurilor
D.Reziduuri care sunt aproape de zero",B,"Răspunsul corect este A. Un model ciclic în reziduuri.

Autocorelare reziduală negativă indică faptul că există un model ciclic în reziduuri, adică reziduurile alternează între valori pozitive și negative în mod repetat. Acest lucru sugerează că modelul nu a reușit să capteze complet dinamica seriei de timp și că există o structură periodică în reziduuri care ar putea fi modelată mai bine.

Opțiunile B, C și D nu sunt corecte:

B. Un model alternativ în reziduuri - Acest răspuns nu este specific pentru autocorelare reziduală negativă.
C. O aleatorie completă a reziduurilor - Autocorelare reziduală negativă indică faptul că reziduurile nu sunt complet aleatoare.
D. Reziduuri care sunt aproape de zero - Autocorelare reziduală negativă nu are legătură cu reziduurile aproape de zero.

Deci, răspunsul corect este A. Un model ciclic în reziduuri.",
