Question,CorrectAnswer,GivenAnswer,Correct
"В каком состоянии находится действие фильма «Магнолия» 1999 года?
A.Калифорния
B.Южная Каролина
C.Грузия
D.Техас",a,a,true
"Какой язык является официальным языком Нидерландов?
A.Датский
B.Шведский
C.Немецкий
D.Нидерландский",d,d,true
"Какой из этих фильмов ужасов породил больше всего сиквелов?
A.Крик
B.Челюсти»
C.Хэллоуин»
D.Пятница 13-е'",d,d,true
"Мутации, вызывающие ахондроплазию, оказывают эффект, который можно классифицировать как:
A.доминантный отрицательный.
B.усиление функции.
C.гаплонедостаточность.
D.потеря функции.",b,b,true
"Какой родной язык актера Антонио Бандераса?
A.Испанский
B.Русский
C.Немецкий
D.Французский",a,a,true
"K-кратная перекрестная проверка
A.линейный в K
B.квадратичный в K
C.кубический в K
D.экспоненциальный в K",a,b,false
" Этот маркетинговый и коммуникационный инструмент предлагает прямое побуждение или стимул для поощрения клиентов к покупке продукта/услуги:
A.Реклама.
B.Пиар.
C.Стимулирование сбыта.
D.Прямой маркетинг.",c,c,true
"Взрослые среднего возраста, по-видимому, более ____, чем пожилые или молодые люди
A.Порождающий
B.Невротический
C.Приятный
D.Уверенный",a,d,false
"Заблуждение хвалебной личности является специфическим типом
A.Заблуждение о несчастном случае
B.Ложная дилемма
C.Напрашиваясь на вопрос
D.Круговое рассуждение",a,d,false
"Какое из этих блюд готовят из свиных кишок?
A.хаггис
B.Хитлины
C.овсяная крупа
D.Чоп Суэй",b,a,false
"Определяют концентрацию H+(aq) в 1,0 М растворе фенола, C6H5OH. (Ka для фенола составляет 1 × 10^-10.)
A.1 × 10^-10 м
B.1 × 10^-9 м
C.1 × 10^-3 М
D.1 × 10^-5 м",d,b,false
"Является ли незаконное убийство, совершенное министром страны Х за рубежом, актом jure imperii или jure gestionis?
A.Такое поведение является публичным актом (jure imperii)
B.Такое поведение никогда не влечет за собой неприкосновенность
C.Такое поведение является частным актом (jure gestionis)
D.Такое поведение является публичным актом, но защищено иммунитетом",c,d,false
"У пациента перелом шеи с повреждением спинного мозга на уровне шестого шейного позвонка.
A.Они не смогут дышать без жизнеобеспечения.
B.Они смогут только спокойно дышать.
C.Предсказать влияние на дыхание невозможно.
D.Это не повлияет на дыхание.",b,a,false
"Отрицательная остаточная автокорреляция обозначается одним из следующих признаков?
A.Циклическая закономерность в остатках
B.Чередование остатков
C.Полная случайность в остатках
D.Остатки, близкие к нулю",b,b,true
"Учащиеся проводят упражнение по разделению растительных пигментов, которое требует от них использования закрытой хроматографической камеры с небольшим количеством ацетона в нижней части камеры. Предупреждения о безопасности ацетона включают утверждение, что он раздражает глаза и кожу и имеет легковоспламеняющиеся пары. Какие меры предосторожности должны соблюдать учащиеся при выполнении упражнения?
A.Надевание огнезащитных перчаток для переноса камеры в вытяжной шкаф в случае возгорания ацетона
B.Помещение камеры в закрытый затемненный шкаф на время отделения пигмента
C.Ношение кожаных перчаток и закрытие носа и рта маской из частиц
D.Ношение защитных очков и нитриловых перчаток, а также закрытие всех контейнеров с ацетоном",d,d,true
"Этот вопрос относится к следующей информации.
Во-первых, мы должны заметить, что космос имеет сферическую форму, отчасти потому, что эта форма, будучи совершенным целым, не требующим никаких соединений, является наиболее полной из всех, отчасти потому, что она образует наиболее вместительную форму, которая лучше всего подходит для того, чтобы вместить и сохранить все; или опять-таки потому, что все составные части вселенной, то есть Солнце, Луна и планеты, появляются в этой форме; Или потому, что все стремится достичь этой формы, как это происходит с каплями воды и другими жидкими телами, если они пытаются определить себя. Так что никто не усомнится в том, что эта форма принадлежит небесным телам. ...
Поэтому то, что Земля также шарообразна, не подлежит сомнению, потому что она со всех сторон давит на свой центр. Хотя из-за возвышенностей гор и впадин долин совершенный круг не может быть понят, тем не менее это не влияет на общую шарообразную природу Земли. ...
Так как уже было показано, что Земля имеет форму шара, то мы должны рассмотреть, совпадает ли движение с этой формой и какое место занимает Земля во Вселенной. ... Подавляющее большинство авторов, конечно, согласны с тем, что Земля стоит неподвижно в центре Вселенной, и считают немыслимым и нелепым предполагать обратное. Но если тщательно взвесить этот вопрос, то окажется, что вопрос еще не решен и поэтому к нему нельзя относиться легкомысленно. Всякое наблюдаемое изменение места обусловлено, а именно, движением наблюдаемого объекта или наблюдателя, или движением обоих. ... Так вот, именно с земли наблюдается вращение небес, и оно производится для наших глаз. Следовательно, если Земля не претерпевает никакого движения, то это движение должно происходить во всем, что находится вне Земли, но в противоположном направлении, чем если бы все на Земле двигалось, и такого рода является ежедневным вращением. Таким образом, это, по-видимому, влияет на всю Вселенную, то есть на все, что находится за пределами Земли, за исключением самой Земли. Однако, если допустить, что это движение не было свойственно небу, но что Земля вращалась с запада на восток, и если бы это было тщательно рассмотрено в связи с видимым восходом и заходом Солнца, Луны и звезд, то было бы обнаружено, что это было действительно так.
Николай Коперник, «Вращения небесных светил», 1543
Этот отрывок может быть использован в качестве доказательства того, что Коперник отличался от традиционных аристотелевских натурфилософов своего времени, потому что он предположил, что
A.Космос имеет сферическую форму
B.Земля имеет шарообразную форму
C.Космос геостатичен
D.Земля не неподвижна",d,d,true
"Этот вопрос относится к следующей информации.
«Семена тоталитарных режимов взращиваются нищетой и нуждой. Они распространяются и растут на злой почве бедности и раздоров. Они достигают своего полного роста, когда надежда народа на лучшую жизнь умирает. Мы должны сохранить эту надежду... Стремительный ход событий возложил на нас большую ответственность... Я уверен, что Конгресс справится с этими обязанностями со всей серьезностью».
Президент Гарри Трумэн, 1947 год
Идеи, выраженные в приведенном выше отрывке, наиболее непосредственно отражают какую из следующих преемственностей в истории США?
A.Дебаты об отношениях между Конгрессом и президентом.
B.Дебаты о применении военной силы в нестабильных ситуациях.
C.Дебаты о роли США в мировых делах.
D.Дебаты о надлежащей роли политических партий.",c,c,true
"Что из этого делает определение эволюционного родства различных видов на основе аминокислотной последовательности гомологичных белков, как правило, менее точным, чем определение родства на основе нуклеотидных последовательностей гомологичных генов?
A.Скрытые мутации
B.Дупликации генов
C.Транслокационные события, изменяющие последовательности генов
D.Кроссинговер",a,a,true
"Какой из следующих факторов будет считаться «притягивающим» фактором для Riva при рассмотрении вопроса о переезде из Индии в Соединенные Штаты?
A.Крайняя нищета
B.Лучшая работа и более высокая заработная плата
C.Кастовая система Индии
D.Насилие в ее районе",b,b,true
"Определите антецедент следующего условного предложения: «Пчелы» выигрывают свою первую игру только в том случае, если трубкозубы или бурундуки не выигрывают свои первые игры.
A.«Трубкозубы» выигрывают не первую игру.
B.«Пчелы» выигрывают свой первый матч.
C.«Бурундуки» выигрывают не первую игру.
D.Трубкозубы или бурундуки не выигрывают свои первые игры.",b,d,false
"Какая психологическая точка зрения была наиболее популярна на рубеже ХХ века в Западной Европе?
A.Нейронауки
B.эволюционный
C.бихевиорист
D.Психоаналитической",d,d. психоаналитической,true
"Исследование Гарсиа и Келлинга, посвященное выученным отвращениям, установило, какие из следующих пар UCS и CS являются наиболее мощными и наиболее быстро усваиваемыми?
A.Выполнение задания и получение награды в виде еды
B.тошнота и еда или питье
C.Движение и удар
D.Наказания и поощрения",b,b,true
"Напряжение, индуцированное в катушке индуктивности, представляется следующим образом:
A.произведение его индуктивности и тока через него.
B.отношение его индуктивности к току через него.
C.отношение тока через него к его индуктивности.
D.произведение его индуктивности и скорости изменения тока через него.",d,d,true
