Question,CorrectAnswer,GivenAnswer,Correct
"Ni iyihe filime ya Magnolia yo mu 1999?
A.Bye bye California
B.Bye bye Caroline
C.Jeworujiya
D.Bye bye Texas",A,"D. Bye bye Texas

Magnolia est un film américain réalisé par Paul Thomas Anderson, sorti en 1999. Il ne s'agit pas d'un des titres mentionnés dans les choix proposés.",
"Ni iyihe myambaro ikozwe mu biribwa by'ingurube?
A.Haggis Haggis
B.bye bye chitlins
C.Bye bye grits
D.Bye bye Suey",B,"The correct answer is D. Bye bye Suey.

Suey is a type of Chinese-American dish made from pork offal, such as intestines, liver, and heart. It is not made from any edible materials derived from ingurube (pigs).",
"Ni uruhe rurimi rwemewe n'amategeko rw'u Buholandi?
A.Ikinyadanimarike
B.Ikinyasuwede
C.Ikidage
D.Igiholandi",D,"D. Igiholandi

Igiholandi ni rurimi rwemewe n'amategeko rw'u Buholandi. Iyo ni ururimi rw'umwuga n'ubukungu mu gihugu cya Buholandi.",
"Ni nde muri abo bantu bafite ubwoba bwinshi kurusha abandi?
A.Bye bye scream""
B.Bye bye Jaws
C.Bye bye Halloween
D.Ku wa gatanu tariki ya 13'",D,"Igisubizo kiri mu gice C. ""Bye bye Halloween"" ni igisubizo kiri mu bisubizo byatanzwe, kuko Halloween ni umunsi w'umwaka uhurirwa n'ubwoba cyane.",
"Muri rusange, ni ibihe bimenyetso bikurikira bihuye n'ihohoterwa rishingiye ku gitsina?
A.Gukoresha imbaraga nyinshi
B.Pretimo timo
C.Imibonano mpuzabitsina ishingiye ku gitsina
D.Harimo no gukoresha imbunda",C,"Ibisubizo byizewe ni:

A. Gukoresha imbaraga nyinshi
C. Imibonano mpuzabitsina ishingiye ku gitsina

Ibihuye n'ihohoterwa rishingiye ku gitsina ni:
- Gukoresha imbaraga nyinshi
- Imibonano mpuzabitsina ishingiye ku gitsina

Ibisubizo ""Pretimo timo"" na ""Harimo no gukoresha imbunda"" ntibihuriye n'ihohoterwa rishingiye ku gitsina.",
"Ni uwuhe mukinnyi w'umupira w'amaguru Antonio Banderas?
A.Icyesipanyolo
B.Ikirusiya
C.Ikidage
D.Igifaransa",A,"D. Igifaransa

Antonio Banderas ni umukinnyi w'umupira w'amaguru w'Isi, ariko ntabwo ari umukinnyi w'umupira w'amaguru. Ni umukinnyi w'indirimbo, umuhanzi, n'umukinnyi w'indirimbo. Yavukiye mu Sipanyolo, ariko ntabwo yari umukinnyi w'umupira w'amaguru.",
"Umubare w'abantu bagera ku bihumbi byegereye ni ibihumbi 47. Ni uwuhe mubare ushobora kuba ufite umubare w'abantu bari bafite?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Igisubizo gikwiriye ni B. 46,504.

Iyo umubare w'abantu bagera ku bihumbi byegereye ni ibihumbi 47, umubare w'abantu bari bafite ushobora kuba 46,504.

Ibi bitewe n'uko ibihumbi 47 bivuga ko ari hagati y'ibihumbi 46 na 47, kandi umubare w'abantu ushobora kuba hagati y'ibihumbi 46 na 47 ni 46,504.",
"Ni nde muri bo ufite ikibazo cy'ubuvuzi bw'imyambaro?
A.Igishushanyo mbonera cy'i Nyabihu mu bisigazwa by'i Nyabihu
B.Igishushanyo mbonera cy'ivugururwa ry'itegeko
C.Ahabanza Amakuru Amakuru y'Imyidagaduro
D.10.2016 Bye Near Zero",B,"Sinifite ikibazo cy'ubuvuzi bw'imyambaro. Nta mwirondoro waboneka mu bisubizo byatanzwe. Niba ufite ikibazo ku buvuzi bw'imyambaro, nkubwira ko uganire n'umuganga cyangwa umukozi w'ubuvuzi bw'imyambaro kugira ngo bakwakire neza.",
"Umurwayi afite ijosi ryavunitse bitewe n'umugongo ku kigero cya gatandatu cy'umugongo.
A.Ntibashobora guhumeka badafite ubufasha bw'ubuzima.
B.Gusa bashobora guhumeka bucece.
C.Ntushobora kumenya ingaruka zo guhumeka.
D.Guhumeka nta ngaruka bizagira.",B,"Igisubizo gikwiriye ni A. Ntibashobora guhumeka badafite ubufasha bw'ubuzima.

Umurwayi afite ijosi ryavunitse bitewe n'umugongo ku kigero cya gatandatu cy'umugongo, bikaba byatuma aba atareshya guhumeka neza. Ibi bisobanura ko atari gushobora guhumeka neza nta bundi bufasha bw'ubuzima. Guhumeka nabi cyangwa kudashobora guhumeka neza bishobora kuba ingaruka zikomeye ku buzima bwe.",
"Ugereranyije n'imitwe ya politiki mu bihugu nka Ubwongereza na Israel, byombi bifite gahunda nyinshi, amashyaka ya politiki ya Amerika ni
A.Ahabanza Amakuru Amakuru y'Imyidagaduro
B.Ntabwo byumvikana neza ko abanyapolitiki bafite ibitekerezo bya politiki
C.Ahabanza Amakuru Amakuru y'Imyidagaduro
D.Ni byiza kurushaho kugaragaza intego z'inzego zose z'igihugu",B,"Igisubizo gikwiriye ni D. Ni byiza kurushaho kugaragaza intego z'inzego zose z'igihugu.

Ibi bihugu bifite amashyaka menshi ya politiki kandi bafite gahunda nyinshi. Ni ngombwa ko amashyaka ya politiki yose mu gihugu bagaragaza neza intego zabo kugira ngo abaturage babashe kubamenya neza. Iki ni cyo kigaragaza igisubizo D.

Igisubizo A n'igisubizo C ntibigaragaza neza intego z'amashyaka ya politiki. Igisubizo B ntirigaragaza neza ko amashyaka ya politiki afite ibitekerezo bya politiki.",
