Question,CorrectAnswer,GivenAnswer,Correct
"Waa maxay afka hooyo ee actor Antonio Banderas?
A.Af-Isbaanish
B.Af-Ruush
C.Af-Jarmal
D.Faransiis",A,"A. Af-Isbaanish

Antonio Banderas waa actor Isbaanish, sidaas darteed afka hooyo ee Banderas waa Af-Isbaanish.",
"waa maxay luqadda rasmiga ah ee Nederland?
A.Af-Danish
B.Af-iswiidhis
C.Af-Jarmal
D.Af-Holandiis",D,"D. Af-Holandiis

Luqadda rasmiga ah ee Nederland (Waddanka Heer-hoose) waa Af-Holandiis.",
"K-laab ansaxinta cross-waa
A.toosan ee K
B.afaraad ee K
C.cubic in K
D.caadi ah ee K",A,"The correct answer is B. afaraad ee K.

The term ""K-laab ansaxinta cross-waa"" refers to the fourth power of the variable K, which is represented as K^4 or the fourth degree of K.",
"Lambarada oo la isugu keeno kun ugu dhaw waa 47 000 oo qof. Lambarkee baa noqon kara lambarkii la soo wareegay?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Jawaabta sax waa B. 46,504.

Sababta:
Lambarka la soo wareegay waa 47,000 oo qof. Lambarka ugu dhaw ee kun ah waa 46,504.",
"In gobolka waa 1999 filimka Magnolia 'set?
A.California
B.South Carolina
C.Joorjiya
D.Texas",A,"Jawaabta saxda ah waa:

A. California

Filimka Magnolia waa 'set' ama la duubay ee California, Maraykanka.

Filimka Magnolia waa mid ka mid ah filimada ugu caansan ee sanadkii 1999, waxaana lagu duubay goobaha kala duwan ee California.",
" Qalabka marketing iyo isgaarsiinta Tani waxay bixisaa inducement si toos ah ama dhiirrigelin ah si loogu dhiirrigeliyo macaamiisha si ay u iibsadaan alaabta / adeeg:
A.Advertising.
B.Xidhiidhka dadweynahu.
C.Horumarinta Sales.
D.marketing Direct.",C,"Jawaabta saxda ah waa:

C. Horumarinta Sales.

Qalabka marketing iyo isgaarsiinta waxay bixiyaan inducement ama dhiirrigelin si toos ah ama dhiirrigelin ah si loogu dhiirrigeliyo macaamiisha si ay u iibsadaan alaabta / adeeg, taas oo la xiriirta horumarinta sales.

Advertising, xidhiidhka dadweynahu, iyo marketing direct waxay yihiin qalabka kale ee marketing, laakiin ma aha kuwa la xiriira inducement ama dhiirrigelin toos ah ama dhiirrigelin ah si loogu dhiirrigeliyo macaamiisha.",
"Fallacy of shaqsiyada laudatory waa nooc gaar ah oo
A.The fallacy shil
B.Qalalaase been ah
C.Dawarsan su'aasha
D.Sababaynta wareega ah",A,"The correct answer is C. Dawarsan su'aasha.

The fallacy of shaqsiyada laudatory (also known as the fallacy of appeal to authority or argument from authority) is a logical fallacy that occurs when someone appeals to the authority or reputation of a person or organization to support their argument, rather than providing direct evidence or reasoning.

This fallacy is considered a type of ""begging the question"" or ""circular reasoning"" because it assumes the conclusion (that the person or organization is credible and their claims are true) without providing independent justification for it.

The correct answer is C. Dawarsan su'aasha (loaded question), which is a related logical fallacy where the question itself contains an assumption that is questionable or biased.

The other options are not correct:
A. The fallacy shil (the fallacy of accident) is a different logical fallacy.
B. Qalalaase been ah (false dilemma) is a different logical fallacy.
D. Sababaynta wareega ah (circular reasoning) is a related but distinct fallacy.",
"Waa kuwee suxuuntan laga sameeyaa xiidmaha doofaarka?
A.haku
B.chitlins
C.barwood
D.karbaash suey",B,"Jawaabta saxda ah waa:

B. chitlins

Chitlins, ama chitlins, waa qayb ka mid ah xiidmaha doofaarka oo laga sameeyaa cunto. Chitlins waa cunto caadiga ah oo laga sameeyaa xiidmaha doofaarka oo lagu cuno, gaar ahaan dhanka Koonfurta Maraykanka.

Jawaabaha kale:
A. haku - Tani ma aha wax la xiriira xiidmaha doofaarka.
C. barwood - Tani ma aha wax la xiriira xiidmaha doofaarka.
D. karbaash suey - Tani ma aha wax la xiriira xiidmaha doofaarka.",
"Taangi wuxuu u qaabeysan yahay astaan saddex xagal ah. Haddii saldhigga saddex xagallaha ahi uu leeyahay meel baaxadkiisu yahay 116 fiid oo laba jibbaaran, oo taangigu yahay 30 fiid intee le'eg oo biyo ah ayuu taangigu ku jiri karaa markii uu buuxsamo?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Jawaabta saxda ah waa:

B. 1740 ft^3

Sharaxa:
- Taangigu wuxuu u qaabeysan yahay astaan saddex xagal ah
- Saldhigga saddex xagallaha ahi wuxuu leeyahay meel baaxadkiisu yahay 116 fiid oo laba jibbaaran
- Taangigu wuxuu yahay 30 fiid intee le'eg oo biyo ah

Haddii aan isticmaalno siyaabta xisaabta ee saddex xagallaha, waxaan heli karnaa:
Baaxadka = 116 fiid x 116 fiid x 30 fiid = 1740 ft^3

Sidaas darteed, jawaabta saxda ah waa B. 1740 ft^3.",
"Dilkii sharci darrada ahaa ee uu geystay Wasiirka X dibadda ma wuxuu ahaa fal imperi ah jure ama jure gestionis?
A.Habdhaqanku waa dhaqan guud (jure imperii)
B.Habdhaqanka noocaas ahi marna ma soo jiidato difaaca jirka.
C.Anshaxa caynkaas ah waa sharci gaar ah (jure gestionis)
D.Dhaqanka noocaas ahi waa dhaqan caam ah balse waxaa gaashaanka u ah difaac la'aanta difaaca jirka",C,"Jawaabta saxda ah waa C. Anshaxa caynkaas ah waa sharci gaar ah (jure gestionis).

Sharci darrada ah ee uu geystay Wasiirka X dibadda waa mid ka mid ah sharci gaar ah (jure gestionis), taas oo ah mid la isticmaalo marka la xakameeyo shaqo-fulinta iyo hawlaha maamulka. Habdhaqankaas ma aha mid guud (jure imperii) oo la isticmaalo marka la xakameeyo awoodda siyaasadeed ee dowladda.

Sidoo kale, habdhaqanka noocaas ahi marna ma soo jiidato difaaca jirka (B), waxaana loo arki karaa in uu yahay dhaqan caam ah balse waxaa gaashaanka u ah difaac la'aanta difaaca jirka (D).",
