Question,CorrectAnswer,GivenAnswer,Correct
"நெதர்லாந்தின் அதிகாரப்பூர்வ மொழி என்ன?
A.டானிஷ்
B.ஸ்வீடிஷ்
C.ஜெர்மன்
D.டச்சு",D,"D. டச்சு

நெதர்லாந்தின் அதிகாரப்பூர்வ மொழி டச்சு ஆகும்.",
"நடிகர் அன்டோனியோ பண்டேராவின் தாய்மொழி என்ன?
A.ஸ்பானிஷ்
B.ருஷ்ய
C.ஜெர்மன்
D.பிரெஞ்சு",A,"The correct answer is A. ஸ்பானிஷ்.

நடிகர் அன்டோனியோ பண்டேராவின் தாய்மொழி ஸ்பானிஷ் ஆகும். அவர் ஸ்பெயின் நாட்டைச் சேர்ந்தவர் ஆவார்.",
"கே-மடிப்பு குறுக்கு-சரிபார்ப்பு என்பது
A.நேரியல் ஓ இல்
B.ஓ ல் இருபடி
C.கனச்சதுரம் ஓ
D.K இல் அடுக்குக்குறி",A,"D. K இல் அடுக்குக்குறி

கே-மடிப்பு குறுக்கு-சரிபார்ப்பு என்பது K இல் அடுக்குக்குறி என்பது சரியான விடை ஆகும். இது ஒரு கணிதப் பிரச்சினை தீர்க்கும் முறையாகும், இது பல்வேறு வகையான பிரச்சினைகளை தீர்க்க பயன்படுகிறது.",
"தொட்டி முக்கோண வடிவில் உள்ளது. முக்கோண அடித்தளம் 116 சதுர அடி பரப்பளவு மற்றும் தொட்டி 30 அடி உயரம் எனில், தொட்டி நிரம்பும்போது எவ்வளவு நீர் இருக்கும்?
A.1725 அடி^3
B.1740 அடி^3
C.3480 அடி^3
D.6960 அடி^3",C,"பதில்: B. 1740 அடி^3

விளக்கம்:
முக்கோண அடித்தளம் = 116 சதுர அடி
தொட்டி உயரம் = 30 அடி

முக்கோண அடித்தளத்தின் பரப்பளவு = 1/2 × அடிப்பகுதி × உயரம்
= 1/2 × 116 × 30
= 1740 அடி^3

ஆகவே, தொட்டி நிரம்பும்போது 1740 அடி^3 நீர் இருக்கும்.",
"இந்த கேள்வி பின்வரும் தகவலைக் குறிக்கிறது.
முதலாவதாக, பிரபஞ்சம் கோள வடிவத்தில் உள்ளது என்பதை நாம் குறிப்பிட வேண்டும், ஏனென்றால் இந்த வடிவம் மூட்டுகள் தேவைப்படாத ஒரு சரியான முழுமையானது, எல்லாவற்றிலும் மிகவும் முழுமையானது, பகுதியளவு ஏனென்றால் அது மிகவும் கொள்ளளவு கொண்ட வடிவத்தை உருவாக்குகிறது, இது எல்லாவற்றையும் உள்ளடக்குவதற்கும் பாதுகாப்பதற்கும் மிகவும் பொருத்தமானது; அல்லது பிரபஞ்சத்தின் அனைத்து கூறுகளும், அதாவது சூரியன், சந்திரன் மற்றும் கிரகங்கள் இந்த வடிவத்தில் தோன்றுவதால்; அல்லது தங்களை வரையறுத்துக் கொள்ள முயன்றால் நீர்த்துளிகள் மற்றும் பிற திரவப் பொருள்களின் விஷயத்தில் தோன்றுவது போல, ஒவ்வொன்றும் இந்த வடிவத்தை அடைய முயல்கின்றன. எனவே இந்த வடிவம் வான்கோள்களுக்கு சொந்தமானது என்பதில் யாருக்கும் சந்தேகம் இருக்காது. ...
எனவே, பூமியும் கோளமானது என்பது கேள்விக்கு அப்பாற்பட்டது, ஏனென்றால் அது எல்லாப் பக்கங்களிலிருந்தும் அதன் மையத்தை அழுத்துகிறது. மலைகளின் உயரம் மற்றும் பள்ளத்தாக்குகளின் பள்ளங்கள் காரணமாக ஒரு சரியான வட்டத்தைப் புரிந்து கொள்ள முடியாவிட்டாலும், இது பூமியின் பொதுவான கோளத் தன்மையை பாதிக்கவில்லை. ...
பூமி ஒரு கோளத்தின் வடிவத்தைக் கொண்டுள்ளது என்று ஏற்கனவே காட்டப்பட்டுள்ளதால், ஒரு இயக்கமும் இந்த வடிவத்துடன் ஒத்துப்போகிறதா என்பதையும், பிரபஞ்சத்தில் பூமி என்ன இடத்தைப் பிடித்துள்ளது என்பதையும் நாம் கருத்தில் கொள்ள வேண்டும். ... பெரும்பான்மையான ஆசிரியர்கள் நிச்சயமாக பூமி பிரபஞ்சத்தின் மையத்தில் அசையாமல் நிற்கிறது என்பதை ஒப்புக்கொள்கிறார்கள், மேலும் எதிர்மாறாக கருதுவது நினைத்துப் பார்க்க முடியாதது மற்றும் கேலிக்குரியது என்று கருதுகின்றனர். ஆனால் இந்த விஷயத்தைக் கவனமாக எடைபோட்டுப் பார்த்தால், இந்தப் பிரச்சினை இன்னும் தீர்க்கப்படவில்லை என்பதைக் காணலாம். எனவே, அதை எளிதாகக் கருதிவிட முடியாது. கவனிக்கப்படும் ஒவ்வொரு இட மாற்றமும், அதாவது, உற்றுநோக்கப்பட்ட பொருளின் அல்லது நோக்கரின் இயக்கம் அல்லது இரண்டின் இயக்கங்களால் ஏற்படுகிறது. ... இப்போது பூமியிலிருந்துதான் விண்ணுலகின் சுழற்சி அவதானிக்கப்படுகிறது, அது நம் கண்களுக்கு உற்பத்தி செய்யப்படுகிறது. எனவே, பூமி எந்த இயக்கத்திற்கும் உட்படவில்லை என்றால், இந்த இயக்கம் பூமிக்கு வெளியே உள்ள எல்லாவற்றிலும் நடைபெற வேண்டும், ஆனால் பூமியில் உள்ள அனைத்தும் நகர்ந்தால் அதற்கு எதிர் திசையில் நடைபெற வேண்டும், இந்த வகையான தினசரி புரட்சி நடைபெறுகிறது. எனவே இது முழு பிரபஞ்சத்தையும் பாதிக்கிறது, அதாவது, பூமியைத் தவிர பூமிக்கு வெளியே உள்ள அனைத்தையும் பாதிக்கிறது. எவ்வாறாயினும், இந்த இயக்கம் வானங்களுக்கு விசித்திரமானது அல்ல, ஆனால் பூமி மேற்கிலிருந்து கிழக்காக சுழல்கிறது என்பதை ஒருவர் ஒப்புக் கொண்டால், சூரியன், சந்திரன் மற்றும் நட்சத்திரங்களின் வெளிப்படையான உதயம் மற்றும் மறைவு குறித்து இது கவனமாக பரிசீலிக்கப்படும், இது உண்மையான நிலைமை என்று கண்டுபிடிக்கப்படும்.
நிக்கோலஸ் கோப்பர்னிக்கஸ், தி ரெவல்யூஷன்ஸ் ஆஃப் தி ஹெவன்லி பாடிஸ், 1543
கோப்பர்நிகஸ் அவர் காலத்திய அரிஸ்டாட்டிலின் மரபுவழிப்பட்ட இயற்கைத் தத்துவவாதிகளிடமிருந்து மாறுபட்டிருந்தார் என்பதற்குச் சான்றாக இந்தப் பகுதியைப் பயன்படுத்தலாம்.
A.பிரபஞ்சம் கோள வடிவமானது
B.பூமி கோள வடிவமானது
C.பிரபஞ்சம் ஜியோஸ்டேடிக் ஆகும்
D.பூமி நிலையானது அல்ல",D,"இந்தக் கேள்வியில் கோப்பர்நிகஸ் அவர்களின் கருத்துக்களை விளக்குகிறது. அவர் பிரபஞ்சம் கோள வடிவமானது என்பதையும், பூமி கோள வடிவமானது என்பதையும் ஒப்புக்கொண்டார். மேலும், பூமி நிலையானது அல்ல என்றும் கூறுகிறார். எனவே, சரியான பதில்கள் A மற்றும் B ஆகும்.",
"எதிர்மறை எஞ்சிய தன்தொடர்பு பின்வருவனவற்றில் எதனால் குறிக்கப்படுகிறது?
A.எச்சங்களில் ஒரு சுழற்சி முறை
B.எச்சங்களில் ஒரு மாற்று முறை
C.எச்சங்களில் ஒரு முழுமையான சீரற்ற தன்மை
D.எச்சங்கள் அனைத்தும் பூஜ்ஜியத்திற்கு அருகில் உள்ளன",B,"C. எச்சங்களில் ஒரு முழுமையான சீரற்ற தன்மை

எதிர்மறை எஞ்சிய தன்தொடர்பு என்பது எச்சங்களில் ஒரு முழுமையான சீரற்ற தன்மையைக் குறிக்கிறது. இது எச்சங்களின் மதிப்புகள் முழுமையாக சீரற்றவையாக இருப்பதைக் குறிக்கும். எச்சங்கள் பூஜ்ஜியத்திற்கு அருகில் இருப்பதில்லை, மாறாக அவை முழுமையாக சீரற்றவையாக இருக்கும்.",
"1999 ஆம் ஆண்டு வெளியான மாக்னோலியா திரைப்படம் எந்த நிலையில் உள்ளது?
A.கலிபோர்னியா
B.தென் கரொலைனா
C.ஜார்ஜியா
D.டெக்சாஸ்",A,"C. ஜார்ஜியா

1999 ஆம் ஆண்டு வெளியான மாக்னோலியா திரைப்படம் ஜார்ஜியா மாநிலத்தில் உள்ள ஒரு சிறிய நகரத்தில் நடைபெறுகிறது.

இந்த திரைப்படத்தை இயக்கியவர் பால் தோமஸ் அண்டர்சன் ஆவார். இந்த படம் பல விமர்சகர்களால் பாராட்டப்பட்டு, பல விருதுகளையும் பெற்றுள்ளது.",
"புகழ்ச்சி ஆளுமை என்ற தவறான கருத்து ஒரு குறிப்பிட்ட வகை
A.விபத்தின் மாயை[தொகு]
B.தவறான சங்கடம்
C.கேள்வி கேட்டு
D.வட்ட பகுத்தறிவு",A,"சரியான விடை: B. தவறான சங்கடம்

புகழ்ச்சி ஆளுமை என்பது ஒரு தவறான கருத்து ஆகும். இது ஒரு தவறான சங்கடத்தை ஏற்படுத்தும். ஒரு நபர் தன்னை மிகவும் புகழ்ந்து பேசுவது அல்லது தன்னை மிகவும் மதிப்பிடுவது தவறான சங்கடத்தை ஏற்படுத்தும். இது நபரின் உண்மையான ஆளுமையை மறைத்துவிடும்.",
"நடுத்தர வயது பெரியவர்கள் வயதான அல்லது இளைய பெரியவர்களை விட ____ அதிகமாக தோன்றுகிறார்கள்
A.ஜெனரேட்டிவ்
B.நரம்பியல்
C.ஒப்புக் கொள்ளத்தக்கது
D.நிச்சயமான",A,"C. ஒப்புக் கொள்ளத்தக்கது

நடுத்தர வயது பெரியவர்கள் வயதான அல்லது இளைய பெரியவர்களை விட ஒப்புக் கொள்ளத்தக்கதாக (acceptable) தோன்றுகிறார்கள். இது சமூகத்தில் ஏற்றுக்கொள்ளப்படும் ஒரு பொதுவான கருத்தாகும்.

A. ஜெனரேட்டிவ் - இது குறிப்பிடத்தக்க அல்ல.
B. நரம்பியல் - இது குறிப்பிடத்தக்க அல்ல.
D. நிச்சயமான - இது குறிப்பிடத்தக்க அல்ல.",
"ஒரு எண், அருகிலுள்ள ஆயிரத்திற்கு முழுமையானது, 47,000 ஆகும். எந்த எண் வட்டமாக்கப்பட்ட எண்ணாக இருக்கலாம்?
A.46,295
B.46,504
C.47,520
D.47,924",B,"இந்த சிக்கலை தீர்க்க, நாம் கீழ்க்கண்ட படிகளைப் பின்பற்றலாம்:

1. 47,000 என்பது ஆயிரத்திற்கு முழுமையான எண்ணாகும்.
2. அருகிலுள்ள ஆயிரத்திற்கு முழுமையான எண்கள் 46,000 மற்றும் 48,000 ஆகும்.
3. எனவே, வட்டமாக்கப்பட்ட எண் 46,504 ஆக இருக்கலாம்.

எனவே, சரியான பதில் B. 46,504 ஆகும்.",
