Question,CorrectAnswer,GivenAnswer,Correct
"ภาษาพื้นเมืองของนักแสดง Antonio Banderas คืออะไร?
A.สเปน
B.รัสเซีย
C.เยอรมัน
D.ฝรั่งเศส",A,"A. สเปน

Antonio Banderas เป็นนักแสดงชาวสเปน เกิดและเติบโตในเมือง Málaga ประเทศสเปน ดังนั้น ภาษาพื้นเมืองของเขาคือภาษาสเปน",
"ภาษาราชการของเนเธอร์แลนด์คืออะไร?
A.เดนมาร์ก
B.สวีเดน
C.เยอรมัน
D.ดัทช์",D,"D. ดัทช์

ภาษาราชการของเนเธอร์แลนด์คือ ดัทช์ (Dutch)

เนเธอร์แลนด์เป็นประเทศที่ใช้ภาษาดัทช์เป็นภาษาราชการและภาษาประจำชาติ",
"ภาพยนตร์เรื่อง Magnolia' ปี 1999 ตั้งอยู่ในสถานะใด?
A.แคลิฟอร์เนีย
B.เซาท์แคโรไลนา
C.จอร์เจีย
D.เทกซัส",A,"คำตอบที่ถูกต้องคือ A. แคลิฟอร์เนีย

ภาพยนตร์เรื่อง ""Magnolia"" ปี 1999 ได้ถูกกำกับโดย Paul Thomas Anderson และตั้งอยู่ในเมืองลอสแองเจลิส รัฐแคลิฟอร์เนีย ซึ่งเป็นเมืองใหญ่ในภาคตะวันตกของสหรัฐอเมริกา",
"หนังสยองขวัญเรื่องใดต่อไปนี้ที่สร้างภาคต่อมากที่สุด?
A.กรี๊ด
B.ขากรรไกร'
C.ฮาโลวีน'
D.วันศุกร์ที่ 13'",D,"ค่ำตอบที่ถูกต้องคือ D. วันศุกร์ที่ 13' (Friday the 13th)

ภาคต่อของหนังสยองขวัญเรื่อง ""วันศุกร์ที่ 13"" (Friday the 13th) มีมากที่สุดในบรรดาหนังสยองขวัญเรื่องต่างๆ ที่ระบุในคำถาม โดยมีทั้งหมด 12 ภาคต่อ ตั้งแต่ภาคแรกในปี 1980 จนถึงภาคล่าสุดในปี 2009",
"ลักษณะใดต่อไปนี้โดยทั่วไปสอดคล้องกับการข่มขืนวันที่
A.การใช้กําลังมากเกินไป
B.ไตร่ตรองไว้ล่วงหน้า
C.มีแรงจูงใจทางเพศ
D.เกี่ยวข้องกับการใช้อาวุธ",C,"ลักษณะที่โดยทั่วไปสอดคล้องกับการข่มขืนคือ C. มีแรงจูงใจทางเพศ

การข่มขืนมักเกิดจากแรงจูงใจทางเพศของผู้กระทำ ซึ่งเป็นปัจจัยหลักที่นำไปสู่การกระทำผิด ในขณะที่ลักษณะอื่นๆ เช่น การใช้กำลังมากเกินไป การไตร่ตรองไว้ล่วงหน้า หรือการใช้อาวุธ อาจเป็นปัจจัยเสริมที่ช่วยให้ผู้กระทำสามารถกระทำการข่มขืนได้สำเร็จ แต่ไม่ใช่ปัจจัยหลักที่ทำให้เกิดการข่มขืน",
"ผู้ป่วยได้รับบาดเจ็บคอหักโดยมีความเสียหายต่อไขสันหลังที่ระดับกระดูกสันหลังส่วนคอที่หก
A.พวกเขาจะไม่สามารถหายใจได้หากไม่มีการช่วยชีวิต
B.พวกเขาจะสามารถหายใจได้อย่างเงียบ ๆ เท่านั้น
C.เป็นไปไม่ได้ที่จะทํานายผลกระทบต่อการหายใจ
D.การหายใจจะไม่ได้รับผลกระทบ",B,"A. พวกเขาจะไม่สามารถหายใจได้หากไม่มีการช่วยชีวิต

คําอธิบาย:
ผู้ป่วยที่มีความเสียหายต่อไขสันหลังที่ระดับกระดูกสันหลังส่วนคอที่หก จะมีอาการอัมพาตของกล้ามเนื้อกระบังลม ซึ่งเป็นกล้ามเนื้อหลักในการหายใจ ดังนั้น พวกเขาจะไม่สามารถหายใจได้เองและจําเป็นต้องได้รับการช่วยเหลือทางการแพทย์ เช่น การใช้เครื่องช่วยหายใจ เพื่อให้สามารถหายใจได้อย่างปกติ",
"ความสัมพันธ์อัตโนมัติที่เหลือเชิงลบถูกระบุโดยข้อใดต่อไปนี้
A.รูปแบบวัฏจักรในส่วนที่เหลือ
B.รูปแบบการสลับกันในส่วนที่เหลือ
C.การสุ่มที่สมบูรณ์ในส่วนที่เหลือ
D.สารตกค้างที่ใกล้ศูนย์ทั้งหมด",B,"คำตอบที่ถูกต้องคือ A. รูปแบบวัฏจักรในส่วนที่เหลือ

ความสัมพันธ์อัตโนมัติที่เหลือเชิงลบ หมายถึง การที่ค่าของความสัมพันธ์อัตโนมัติมีค่าลดลงเมื่อระยะห่างระหว่างจุดเพิ่มขึ้น ซึ่งจะแสดงออกมาในรูปแบบของวัฏจักร (cyclic pattern) ในส่วนที่เหลือ

ดังนั้น รูปแบบวัฏจักรในส่วนที่เหลือจึงเป็นข้อที่ถูกต้องที่สุดในการระบุความสัมพันธ์อัตโนมัติที่เหลือเชิงลบ",
"ถังอยู่ในรูปของปริซึมสามเหลี่ยม ถ้าฐานสามเหลี่ยมมีพื้นที่ 116 ตารางฟุต และถังสูง 30 ฟุต ถังจะบรรจุน้ําได้มากแค่ไหนเมื่อเต็ม?
A.1725 ฟุต^3
B.1740 ฟุต^3
C.3480 ฟุต^3
D.6960 ฟุต^3",C,"เพื่อหาปริมาตรของถังที่เต็มน้ำ เราสามารถใช้สูตรของปริซึมสามเหลี่ยม ซึ่งมีสูตรดังนี้:

ปริมาตร = พื้นที่ฐาน x ความสูง

จากข้อมูลที่ให้มา:
- พื้นที่ฐานสามเหลี่ยม = 116 ตารางฟุต
- ความสูงของถัง = 30 ฟุต

ดังนั้น ปริมาตรของถังเมื่อเต็มน้ำ จะเท่ากับ:
ปริมาตร = 116 ตารางฟุต x 30 ฟุต = 3,480 ฟุต^3

ดังนั้น คำตอบที่ถูกต้องคือ C. 3,480 ฟุต^3",
"อาหารชนิดใดต่อไปนี้ที่ทําจากลําไส้หมู
A.แฮกกิส
B.ชิตลินส์
C.ปลายข้าว
D.สับ suey",B,"คำตอบที่ถูกต้องคือ B. ชิตลินส์

ชิตลินส์ (Chitlins) เป็นอาหารที่ทำจากลำไส้หมูที่ได้รับความนิยมในบางพื้นที่ของสหรัฐอเมริกา โดยเฉพาะในชุมชนแอฟริกัน-อเมริกัน

A. แฮกกิส (Haggis) เป็นอาหารที่ทำจากเครื่องในของแกะ ไม่ใช่ลำไส้หมู

C. ปลายข้าว เป็นอาหารที่ทำจากข้าว ไม่ใช่ลำไส้หมู

D. สับ suey เป็นอาหารจีนที่ทำจากเนื้อสัตว์ผัก และเส้น ไม่ใช่ลำไส้หมู",
"ตัวเลขที่ปัดเศษเป็นพันที่ใกล้ที่สุดคือ 47,000. ตัวเลขใดที่อาจเป็นตัวเลขที่ถูกปัดเศษ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"คำตอบที่ถูกต้องคือ B. 46,504

เหตุผล:
- ตัวเลขที่ถูกปัดเศษเป็นพันที่ใกล้ที่สุดคือ 47,000
- ตัวเลข 46,295 (ตัวเลือก A) ไม่ใกล้ 47,000 เท่ากับ 46,504
- ตัวเลข 46,504 (ตัวเลือก B) เป็นตัวเลขที่ถูกปัดเศษเป็น 47,000
- ตัวเลข 47,520 (ตัวเลือก C) และ 47,924 (ตัวเลือก D) ไม่ใกล้ 47,000 เท่ากับ 46,504

ดังนั้น ตัวเลขที่อาจเป็นตัวเลขที่ถูกปัดเศษคือ 46,504 (ตัวเลือก B)",
