Question,CorrectAnswer,GivenAnswer,Correct
"Ko e ha ʻa e lea fakafonua ʻa ʻAnitonio Banderas?
A.Faka-Sipeini
B.Lūsia
C.Siamane
D.Faka-Falanise",a,a,true
"K-Pelu-fakapapauʻi ko e
A.telinga ʻi he K
B.quadratic ʻi he K
C.ʻi he K
D.Exponential proportional Correlation ʻi he K",a,c,false
"Ko e fe ʻa e tuʻunga ʻoku fokotuʻu ai ʻa e foʻi faiva 1999 Makinolia ʻ?
A.Kalefōnia
B.Kalolaina Saute
C.Siosia
D.Tekisisi",a,b,false
"ʻOku hange ʻoku ____ lahi ange ʻa e kakai lalahi taʻu motuʻa ange ʻi he kakai lalahi matuʻotuʻa pe kei talavou ange
A.Generative
B.Neurotic
C.Fiemālie Pē
D.Pau",a,c,false
"Ko e ha ʻa e lea fakaʻofisiale ʻo Netaleni?
A.Tenimaʻake
B.Sueteni
C.Siamane
D.Faka-Holani",d,d,true
"Ko e fe ʻi he ngaahi peleti ko ʻeni ʻoku ngaohi mei he ngakau puaka?
A.haggis
B.chitlins
C.Grits
D.tuʻutuʻu suey",b,b,true
"Mutations ʻoku ne fakatupu achondroplasia ha ola ʻe lava ke fakafaʻahinga ʻo hange ko e:
A.kovi ʻaupito.
B.maʻu e ngaue.
C.haploinsufficiency.
D.mole ʻa e ngaue.",b,c,false
"Ko e fe ʻi he ngaahi filimi fakamanavahe ko ʻeni spawned e sequels lahi taha?
A.Kaikaila ʻ
B.Ngutu ʻ
C.Halouini ʻ
D.Falaite ko e 13 ʻ",d,d,true
" ʻOku ʻomi ʻe he meʻangaue fakamaketi mo e fetuʻutaki ko ʻeni ha poupou fakahangatonu pe ko ha fakaʻaiʻai ke poupouʻi ʻa e kau fakatau ke nau fakatau ha koloa/ngaue tokoni:
A.Tuʻuaki.
B.Fetuʻutaki mo e kakaí.
C.Tuʻuaki ʻo e fakatau.
D.Fakamaketi fakahangatonu.",c,c. tuʻuaki ʻo e fakatau.,true
"Ko e fallacy ʻo laudatory ʻulungaanga ko ha faʻahinga pau ia ʻo e
A.Ko e fallacy ʻo e fakatuʻutamaki
B.Palopalema loi
C.Kole ʻa e fehuʻi
D.Fakaʻuhinga ʻoku fuopotopoto",a,d,false
