Question,CorrectAnswer,GivenAnswer,Correct
"Aktör Antonio Banderas'ın ana dili nedir?
A.İspanyolca
B.Rusça
C.Almanca
D.Fransızca",A,"Doğru cevap A. İspanyolca.

Antonio Banderas, İspanyol aktör, yönetmen ve yapımcıdır. İspanya'nın Málaga şehrinde doğmuştur ve ana dili İspanyolcadır.",
"1999 yapımı Magnolia' filmi hangi durumda geçiyor?
A.California
B.Güney Karolina
C.Gürcistan
D.Texas",A,"Magnolia filmi, California'da geçmektedir.",
"Hollanda'nın resmi dili nedir?
A.Danca
B.İsveç dili
C.Almanca
D.Hollanda dili",D,"Doğru cevap D. Hollanda dili.

Hollanda'nın resmi dili Hollanda dilidir (Hollandaca). Hollanda, Avrupa'nın kuzeyinde yer alan bir ülkedir ve Hollanda dili, Almanca ve İngilizce'den sonra en çok konuşulan üçüncü Avrupa dilidir.",
"Bu yemeklerden hangisi domuz bağırsaklarından yapılır?
A.haggis
B.Çitler
C.Irmik
D.Doğrayın Suey",B,"Doğru cevap A. haggis.

Haggis, İskoçya'nın geleneksel bir yemeğidir ve domuz bağırsaklarından yapılır. Diğer seçenekler olan çitler, irmik ve Doğrayın Suey domuz bağırsaklarından yapılmaz.",
"Hindistan'dan Amerika Birleşik Devletleri'ne taşınmayı düşünürken aşağıdaki faktörlerden hangisi Riva için bir ""çekme"" faktörü olarak kabul edilir?
A.Sefil yoksulluk
B.Daha iyi iş ve daha yüksek ücretler
C.Hindistan'ın kast sistemi
D.Mahallesinde şiddet",B,"Doğru cevap B. Daha iyi iş ve daha yüksek ücretler.

Bir ""çekme"" faktörü, kişiyi yeni bir yere taşınmaya teşvik eden faktördür. Daha iyi iş ve daha yüksek ücretler, Hindistan'dan Amerika Birleşik Devletleri'ne taşınmayı düşünen Riva için bir çekme faktörü olarak kabul edilir. Diğer seçenekler ise Hindistan'dan uzaklaşmaya iten ""itme"" faktörleridir.",
"Bir tank üçgen prizma şeklindedir. Üçgen taban 116 fit karelik bir alana sahipse ve tank 30 fit boyundaysa, tank dolduğunda ne kadar su içerir?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Soruyu çözmek için üçgen prizma formülünü kullanacağız.

Üçgen prizma hacmi = (Taban alanı x Yükseklik) / 2

Verilen bilgiler:
- Taban alanı = 116 fit kare
- Yükseklik = 30 fit

Hacim hesabı:
Hacim = (116 fit kare x 30 fit) / 2
Hacim = 1740 fit küp

Doğru cevap: B. 1740 ft^3",
"Aşağıdaki özelliklerden hangisi genellikle flört tecavüzü ile tutarlıdır?
A.Aşırı güç kullanımı
B.kasıtlı
C.cinsel güdümlü
D.silah kullanımını içerir",C,"Doğru cevap C. cinsel güdümlüdür.

Flört tecavüzü, cinsel güdümlü bir suçtur. Failin amacı, kurbanın rızası olmadan cinsel ilişkiye girmektir. Diğer özellikler ise daha çok şiddet içeren tecavüz vakalarıyla ilişkilidir. Flört tecavüzünde aşırı güç kullanımı veya silah kullanımı her zaman gerekmez, ancak cinsel güdüm her zaman vardır.",
"Aşağıdaki koşullu önermenin öncülünü tanımlayın: Arılar ilk oyunlarını ancak Yaban Domuzları veya Sincaplar ilk oyunlarını kazanamazlarsa kazanırlar.
A.Aardvarks ilk maçını kazanamadı.
B.Arılar ilk maçlarını kazandılar.
C.Sincaplar ilk maçlarını kazanamazlar.
D.Ne Aardvarks ne de Sincaplar ilk oyunlarını kazanamazlar.",B,"Koşullu önermenin öncülü, ""Arılar ilk oyunlarını ancak Yaban Domuzları veya Sincaplar ilk oyunlarını kazanamazlarsa kazanırlar"" ifadesidir.

Bu ifadede, ""Arılar ilk oyunlarını kazanırlar"" sonuç (ardıl) kısmını oluşturmaktadır. Öncül ise ""Yaban Domuzları veya Sincaplar ilk oyunlarını kazanamazlarsa"" kısmıdır.

Dolayısıyla, doğru cevap B seçeneğidir: ""Arılar ilk maçlarını kazandılar.""",
"Bu soru aşağıdaki bilgileri ifade eder.
İlk olarak, kozmosun biçim olarak küresel olduğunu belirtmeliyiz, kısmen bu formun eklem gerektirmeyen mükemmel bir bütün olması, hepsinden daha eksiksiz olması, kısmen de her şeyi içermek ve korumak için en uygun olan en geniş formu oluşturması nedeniyle; ya da yine evrenin tüm kurucu parçaları, yani güneş, ay ve gezegenler bu biçimde göründüğü için; ya da her şey bu forma ulaşmaya çalıştığı için, kendilerini tanımlamaya çalışırlarsa su damlaları ve diğer akışkan cisimlerde olduğu gibi. Bu yüzden hiç kimse bu formun gök cisimlerine ait olduğundan şüphe etmeyecektir. ...
Bu nedenle, dünyanın da küresel olduğu şüphe götürmez, çünkü her taraftan merkezine baskı yapar. Dağların yükseklikleri ve vadilerin çöküntüleri nedeniyle mükemmel bir daire anlaşılamasa da, bu yine de dünyanın genel küresel doğasını etkilemez. ...
Dünyanın bir küre biçiminde olduğu daha önce gösterildiğine göre, bir hareketin de bu biçime uyup uymadığını ve dünyanın evrendeki yerini düşünmeliyiz. ... Yazarların büyük çoğunluğu elbette dünyanın evrenin merkezinde durduğu konusunda hemfikirdir ve bunun aksini düşünmenin akıl almaz ve gülünç olduğunu düşünmektedir. Ancak mesele dikkatlice tartılırsa, sorunun henüz çözülmediği ve bu nedenle hiçbir şekilde hafife alınmaması gerektiği görülecektir. Gözlemlenen her yer değişikliği, yani gözlemlenen nesnenin veya gözlemcinin hareketinden veya her ikisinin hareketinden kaynaklanır. ... Şimdi göklerin dönüşü yeryüzünden gözlemleniyor ve gözlerimiz için üretiliyor. Bu nedenle, eğer dünya bir harekete uğramıyorsa, bu hareket yerin dışındaki her şeyde gerçekleşmelidir, ancak yeryüzündeki her şeyin hareket etmesinin tersi yönde gerçekleşmelidir ve bu tür günlük devrimdir. Yani bu, tüm evreni, yani dünyanın kendisi dışında dünyanın dışındaki her şeyi etkiliyor gibi görünüyor. Ancak bu hareketin sadece göklere özgü olmadığı, dünyanın batıdan doğuya doğru döndüğü kabul edilirse ve bu, güneşin, ayın ve yıldızların görünürdeki doğuşu ve batışı açısından dikkatle düşünülürse, gerçek durumun bu olduğu anlaşılır.""
Nicolas Copernicus, Gök Cisimlerinin Devrimleri, 1543
Bu pasaj, Kopernik'in zamanının geleneksel, Aristotelesçi doğa filozoflarından farklı olduğunun kanıtı olarak kullanılabilir, çünkü şunu öne sürdü:
A.Kozmos küreseldir
B.Dünya küreseldir
C.Kozmos jeostatiktir
D.Dünya durağan değil",D,"Doğru cevap D. Dünya durağan değil.

Bu pasajda Kopernik, Aristotelesçi geleneksel görüşün aksine, dünyanın durağan olmadığını, aksine batıdan doğuya doğru döndüğünü öne sürmektedir. Yani Kopernik, dünyanın hareketsiz olmadığını, aksine bir dönme hareketi yaptığını savunmaktadır. Bu, Aristotelesçi görüşten önemli bir ayrılıştır.

Diğer seçenekler de doğrudur, ancak pasajın ana vurgusu dünyanın durağan olmadığı, aksine döndüğü fikridir.",
"En yakın binliğe yuvarlanmış bir sayı 47.000'dir. Yuvarlanan sayı hangisi olabilir?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Doğru cevap B. 46,504'tür.

Açıklama:
47.000'e en yakın binlik değer 46.000'dir.
A seçeneği 46,295 ise 47.000'den 705 daha küçüktür.
B seçeneği 46,504 ise 47.000'den 496 daha küçüktür.
C seçeneği 47,520 ise 47.000'den 520 daha büyüktür.
D seçeneği 47,924 ise 47.000'den 924 daha büyüktür.

Bu nedenle, 47.000'e en yakın binlik değer 46.504 olduğu için doğru cevap B seçeneğidir.",
