Question,CorrectAnswer,GivenAnswer,Correct
"ایک تعداد، جو قریب ترین ہزار کے قریب ہے، 47،000 ہے. کون سا نمبر وہ نمبر ہو سکتا ہے جو گول تھا؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"سوال میں دی گئی معلومات کے مطابق، قریب ترین ہزار کے قریب تعداد 47,000 ہے۔ اس لیے، گول نمبر جو اس کے قریب ہو سکتا ہے، وہ 47,000 ہے۔

لہذا، صحیح جواب ہے: D. 47,924",
"اداکار انتونیو بینڈیرس کی مادری زبان کیا ہے؟
A.سپينش
B.رشئن
C.جرمن
D.فرنچ",A,"سوال کا صحیح جواب A. سپینش ہے۔

انتونیو بینڈیرس کی مادری زبان سپینش ہے۔ وہ ایک اسپینش اداکار ہیں جو اسپین میں پیدا ہوئے تھے اور اسپینش زبان ان کی مادری زبان ہے۔",
"ہالینڈ کی سرکاری زبان کیا ہے؟
A.ڈينش
B.سؤڈش
C.جرمن
D.ڈچ",D,"D. ڈچ

ہالینڈ کی سرکاری زبان ڈچ ہے۔ ڈچ زبان ہالینڈ میں بولی جاتی ہے اور یہ ہالینڈ کی قومی زبان ہے۔ ہالینڈ میں ڈچ زبان کو آفیشل اور سرکاری زبان کے طور پر تسلیم کیا گیا ہے۔",
"تعریفی شخصیت کا مغالطہ ایک خاص قسم کا ہے۔
A.حادثے کی غلط فہمی
B.جھوٹی الجھن
C.سوال پوچھنا
D.سرکلر استدلال",A,"D. سرکلر استدلال

تعریفی شخصیت کا مغالطہ ایک خاص قسم کی مغالطہ ہے جو سرکلر استدلال پر مبنی ہوتی ہے۔ اس میں کسی چیز کی تعریف اس چیز کی خود ہی کی جاتی ہے، یعنی تعریف میں وہی چیز شامل ہوتی ہے جس کی تعریف کی جا رہی ہے۔ اس طرح کی تعریف میں کوئی نیا معلومات نہیں ملتی اور یہ مغالطہ ہوتی ہے۔",
"منفی بقیہ آٹوکوریلیشن کی نشاندہی مندرجہ ذیل میں سے کس سے ہوتی ہے؟
A.باقیات میں ایک گردشی نمونہ
B.باقیات میں ایک متبادل نمونہ
C.باقیات میں مکمل بے ترتیبی
D.باقیات جو سب صفر کے قریب ہیں",B,"سوال کا صحیح جواب C. باقیات میں مکمل بے ترتیبی ہے۔

منفی آٹوکوریلیشن کی نشاندہی باقیات میں مکمل بے ترتیبی سے ہوتی ہے۔ یعنی باقیات میں کوئی واضح پیٹرن یا گردشی نمونہ نہیں ہوتا۔ باقیات میں مکمل بے ترتیبی ہونے سے یہ ظاہر ہوتا ہے کہ سیریز میں کوئی خاص پیٹرن موجود نہیں ہے اور باقیات میں کوئی خاص ترتیب نہیں ہے۔",
"1999 کی فلم میگنولیا کس ریاست میں سیٹ کی گئی ہے؟
A.کیلیفورنیا
B.جنوبی کیرولائنا
C.جورجيا
D.ٹیکساس",A,"جواب: A. کیلیفورنیا

فلم ""میگنولیا"" کی کہانی کیلیفورنیا ریاست میں سیٹ کی گئی ہے۔ یہ فلم 1999 میں ریلیز ہوئی اور ڈائریکٹر پال تھامس اینڈرسن نے اس کی ہدایت کی تھی۔ فلم میں لاس اینجلس اور سان فرانسسکو کے مختلف علاقوں کی تصویر کشی کی گئی ہے۔",
"ان میں سے کون سا پکوان کی آنتوں سے بنایا جاتا ہے؟
A.haggis
B.chitlins
C.grits
D.chop suey",B,"B. chitlins

Chitlins (also known as chitterlings) are a traditional dish in African-American cuisine that is made from the small intestines of pigs. They are cleaned, boiled, and then often fried or simmered in a seasoned broth.

The other options are:

A. Haggis - a savory pudding made from the liver, heart, and lungs of a sheep, mixed with onion, oatmeal, suet, spices, and salt.

C. Grits - a porridge made from boiled ground corn, commonly eaten in the Southern United States.

D. Chop suey - a dish in American Chinese cuisine made from meat (often chicken, beef, or shrimp), eggs, and vegetables stir-fried in a savory sauce.

So the correct answer is B. chitlins, as they are the only dish on the list that is made from the intestines of an animal.",
"ایک مریض کی گردن ٹوٹ جاتی ہے جس سے ریڑھ کی ہڈی کو چھٹے سروائیکل ریڑھ کی ہڈی کی سطح پر نقصان پہنچتا ہے۔
A.وہ لائف سپورٹ کے بغیر سانس لینے سے قاصر ہوں گے۔
B.وہ صرف خاموشی سے سانس لے سکیں گے۔
C.سانس لینے پر اثرات کی پیش گوئی کرنا ناممکن ہے۔
D.سانس لینے پر کوئی اثر نہیں پڑے گا۔",B,"سہی جواب A ہے۔

ایک مریض کی گردن ٹوٹ جانے سے ریڑھ کی ہڈی کو چھٹے سروائیکل ریڑھ کی ہڈی کی سطح پر نقصان پہنچتا ہے۔ اس صورت میں، مریض لائف سپورٹ کے بغیر سانس لینے سے قاصر ہوں گے۔

B، C اور D غلط ہیں۔ مریض صرف خاموشی سے سانس نہیں لے سکتے (B)، سانس لینے پر اثرات کی پیش گوئی کرنا ممکن ہے (C)، اور سانس لینے پر کوئی اثر نہیں پڑے گا (D) ایسا نہیں ہے۔",
"ان ڈراؤنی فلموں میں سے کس نے سب سے زیادہ سیکوئل تیار کیے؟
A.چیخو'
B.جبڑے'
C.ہالووین'
D.جمعہ 13 تاریخ کو",D,"جواب: B. جبڑے

جبڑے فلم سیریز نے سب سے زیادہ سیکوئل تیار کیے ہیں۔ اس فلم سیریز میں 12 فلمیں بنائی گئی ہیں، جو کسی بھی دیگر ڈراؤنی فلم سیریز سے زیادہ ہیں۔

چیخو' میں 8 فلمیں بنائی گئی ہیں۔
ہالووین' میں 11 فلمیں بنائی گئی ہیں۔
جمعہ 13 تاریخ کو' میں 12 فلمیں بنائی گئی ہیں۔

لہذا، جبڑے فلم سیریز نے سب سے زیادہ سیکوئل تیار کیے ہیں۔",
"ایک ٹینک سہ رخی پرزم کی شکل میں ہے۔ اگر سہ رخی بنیاد کا رقبہ 116 مربع فٹ ہے ، اور ٹینک 30 فٹ لمبا ہے ، تو جب ٹینک بھرا ہوا ہوگا تو اس میں کتنا پانی ہوگا؟
A.1725 فٹ ^3
B.1740 فٹ ^3
C.3480 فٹ ^3
D.6960 فٹ ^3",C,"سوال میں دی گئی معلومات کے مطابق، ہمیں ٹینک کی حجم کا حساب کرنا ہے۔

ٹینک کی شکل سہ رخی پرزم ہے، اور اس کی بنیاد کا رقبہ 116 مربع فٹ ہے۔ ٹینک کی لمبائی 30 فٹ ہے۔

سہ رخی پرزم کی حجم کی فارمولا ہے:
حجم = بنیاد کا رقبہ × لمبائی

اس کے مطابق:
حجم = 116 مربع فٹ × 30 فٹ
حجم = 3480 فٹ^3

لہذا، جب ٹینک بھرا ہوا ہوگا تو اس میں 3480 فٹ^3 پانی ہوگا۔

صحیح جواب: C. 3480 فٹ^3",
