Question,CorrectAnswer,GivenAnswer,Correct
"Diễn viên Antonio Banderas ngôn ngữ mẹ đẻ là gì?
A.Tiếng Tây Ban Nha
B.Tiếng Nga
C.Tiếng Đức
D.Pháp",A,"Câu trả lời đúng là A. Tiếng Tây Ban Nha.

Antonio Banderas là một diễn viên người Tây Ban Nha, vì vậy ngôn ngữ mẹ đẻ của ông là tiếng Tây Ban Nha.

Banderas sinh ra và lớn lên ở Málaga, Tây Ban Nha, nên tiếng Tây Ban Nha là ngôn ngữ chính của ông.",
"Một chiếc xe tăng có hình lăng kính tam giác. Nếu đáy hình tam giác có diện tích 116 feet vuông và bể cao 30 feet, bể sẽ chứa bao nhiêu nước khi đầy?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Để tính thể tích của chiếc xe tăng, chúng ta sử dụng công thức tính thể tích của hình lăng kính tam giác:

Thể tích = (1/3) x Diện tích đáy x Chiều cao

Trong bài toán này:
- Diện tích đáy = 116 feet vuông
- Chiều cao = 30 feet

Thể tích = (1/3) x 116 x 30 = 1,160 feet khối

Vậy, đáp án chính xác là A. 1,725 feet khối.",
"Bộ phim Magnolia' năm 1999 lấy bối cảnh ở bang nào?
A.California
B.Nam Carolina
C.Gruzia
D.Texas",A,"Câu trả lời đúng là A. California.

Bộ phim Magnolia (1999) của đạo diễn Paul Thomas Anderson lấy bối cảnh chính ở Los Angeles, California.

Phim kể về một ngày trong cuộc sống của nhiều nhân vật khác nhau ở vùng ngoại ô Los Angeles, California, và những mối liên kết bí ẩn giữa họ.

Vì vậy, bối cảnh chính của bộ phim Magnolia diễn ra ở bang California, chứ không phải ở Nam Carolina, Gruzia hay Texas.",
"Ngôn ngữ chính thức của Hà Lan là gì?
A.Tiếng Đan-mạch
B.Thuỵ Điển
C.Tiếng Đức
D.Tiếng Hà-Lan",D,"Đáp án đúng là D. Tiếng Hà-Lan.

Tiếng Hà-Lan (Dutch) là ngôn ngữ chính thức của Hà Lan. Đây là một trong những ngôn ngữ chính của Vương quốc Hà Lan, cùng với Frisian và Papiamento.

Các đáp án khác không đúng:
A. Tiếng Đan-mạch là ngôn ngữ chính thức của Đan Mạch.
B. Tiếng Thụy Điển là ngôn ngữ chính thức của Thụy Điển.
C. Tiếng Đức là ngôn ngữ chính thức của Đức.",
"Đặc điểm nào sau đây thường phù hợp với hiếp dâm hẹn hò?
A.sử dụng vũ lực quá mức
B.dự tính trước
C.động cơ tình dục
D.liên quan đến việc sử dụng vũ khí",C,"Câu trả lời chính xác là B. dự tính trước.

Hiếp dâm hẹn hò thường liên quan đến việc dự tính trước, khi kẻ phạm tội lên kế hoạch và chuẩn bị trước để thực hiện hành vi phạm tội. Các đặc điểm khác như sử dụng vũ lực quá mức (A), động cơ tình dục (C) và liên quan đến việc sử dụng vũ khí (D) cũng có thể xuất hiện trong các vụ hiếp dâm, nhưng không phải là đặc điểm đặc trưng của hiếp dâm hẹn hò.",
"Tự tương quan dư âm được chỉ định bởi một trong những điều sau đây?
A.Một mô hình chu kỳ trong phần còn lại
B.Một mô hình xen kẽ trong phần còn lại
C.Một sự ngẫu nhiên hoàn toàn trong phần còn lại
D.Dư lượng mà tất cả đều gần bằng không",B,"Câu trả lời chính xác là A. Một mô hình chu kỳ trong phần còn lại.

Tự tương quan dư âm được chỉ định bởi sự tồn tại của một mô hình chu kỳ trong phần còn lại của chuỗi thời gian sau khi loại bỏ các thành phần xu hướng và mùa vụ.

Nếu dư âm có một mô hình chu kỳ, thì sẽ có sự tương quan giữa các giá trị cách nhau một khoảng thời gian nhất định, thể hiện qua đồ thị tự tương quan.

Các đáp án B, C và D không phải là những điều chỉ định tự tương quan dư âm.",
"Một số, được làm tròn đến hàng nghìn gần nhất, là 47.000. Số nào có thể là số đã được làm tròn?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Để trả lời câu hỏi này, chúng ta cần xem xét số nào trong các phương án được làm tròn đến hàng nghìn gần nhất sẽ cho kết quả là 47.000.

A. 46,295 -> 46,000
B. 46,504 -> 47,000
C. 47,520 -> 48,000
D. 47,924 -> 48,000

Trong các phương án trên, chỉ có phương án B. 46,504 được làm tròn đến hàng nghìn gần nhất sẽ cho kết quả là 47.000.

Vì vậy, đáp án chính xác là B. 46,504.",
"Yếu tố nào sau đây sẽ được coi là yếu tố ""kéo"" đối với Riva khi xem xét chuyển từ Ấn Độ sang Hoa Kỳ?
A.Nghèo đói khốn khổ
B.Công việc tốt hơn và mức lương cao hơn
C.Hệ thống đẳng cấp của Ấn Độ
D.Bạo lực trong khu phố của cô ấy",B,"Câu trả lời đúng là B. Công việc tốt hơn và mức lương cao hơn.

Yếu tố ""kéo"" (pull factor) là những điều kiện tích cực ở nơi đến, khiến người di cư muốn chuyển đến đó. Trong trường hợp của Riva, việc có cơ hội việc làm tốt hơn và mức lương cao hơn ở Hoa Kỳ so với Ấn Độ sẽ là yếu tố ""kéo"" chính khiến cô muốn chuyển đến Hoa Kỳ.

Các yếu tố khác như nghèo đói (A), hệ thống đẳng cấp (C) và bạo lực (D) ở Ấn Độ sẽ là những yếu tố ""đẩy"" (push factor) khiến cô muốn rời khỏi Ấn Độ, nhưng không phải là yếu tố ""kéo"" chính đối với việc chọn Hoa Kỳ làm điểm đến.",
"Người trung niên dường như ___
A.Thế hệ
B.Thần kinh
C.Dễ chịu
D.Chắc",A,"Câu trả lời chính xác là A. Thế hệ.

Người trung niên thường được xem là thuộc về thế hệ giữa, nằm giữa thế hệ trẻ và thế hệ già. Họ thường có những đặc điểm và quan điểm khác biệt so với những thế hệ khác.

Các đáp án còn lại không phù hợp:
- B. Thần kinh: Không liên quan đến người trung niên.
- C. Dễ chịu: Không phải là một đặc điểm chung của người trung niên.
- D. Chắc: Không phải là một đặc điểm chung của người trung niên.

Vì vậy, đáp án chính xác là A. Thế hệ.",
"Học sinh đang tiến hành một bài tập tách sắc tố thực vật đòi hỏi họ phải sử dụng một buồng sắc ký kín với một lượng nhỏ acetone ở dưới cùng của buồng. Cảnh báo an toàn cho acetone bao gồm tuyên bố rằng nó là chất gây kích ứng mắt và da và có hơi dễ cháy. Trong số những điều sau đây, học sinh nên thực hiện biện pháp phòng ngừa an toàn nào khi tiến hành bài tập?
A.Đeo găng tay chống cháy để mang buồng đến máy hút khói nếu acetone bắt lửa
B.Đặt buồng trong tủ kín, tối trong suốt thời gian tách sắc tố
C.Đeo găng tay da và che mũi và miệng bằng mặt nạ hạt
D.Đeo kính bảo hộ và găng tay loại nitrile và đóng tất cả các hộp đựng acetone",D,"Câu trả lời đúng là D. Đeo kính bảo hộ và găng tay loại nitrile và đóng tất cả các hộp đựng acetone.

Lý do:
- Acetone là chất dễ cháy, vì vậy không nên đeo găng tay chống cháy (câu A không đúng).
- Đặt buồng trong tủ kín, tối không phải là biện pháp phòng ngừa an toàn chính (câu B không đúng).
- Che mũi và miệng bằng mặt nạ hạt không cần thiết vì acetone không phải là chất độc hại (câu C không đúng).
- Đeo kính bảo hộ và găng tay loại nitrile là biện pháp phòng ngừa an toàn cần thiết khi làm việc với acetone, vì nó có thể gây kích ứng mắt và da. Đóng tất cả các hộp đựng acetone cũng là biện pháp an toàn quan trọng (câu D đúng).",
