Question,CorrectAnswer,GivenAnswer,Correct
"የ1999 የማግኖሊያ ፊልም በምን ሁኔታ ላይ ይገኛል?
A.ካሊፎርኒያ
B.ሳውዝ ካሮላይና
C.ጆርጂያ
D.ቴክሳስ",A,የ1999 የማግኖሊያ ፊልም በካሊፎርኒያ ውስጥ ነው የተቀረፀው። ፊልሙ በሎስ አንጀለስ ከተማ እና አካባቢው ላይ የሚያጠነጥን ሲሆን፣ ታሪኩም በዚሁ ከተማ ውስጥ የሚከናወን ነው። ስለዚህ መልሱ A. ካሊፎርኒያ ነው።,A
"ተዋናይ አንቶኒዮ ባንደርራስ የአፍ መፍቻ ቋንቋ ምንድን ነው?
A.ስፓኒሽኛ
B.ሩሲያኛ
C.ጀርመንኛ
D.ፈረንሳይኛ",A,"ትክክለኛው መልስ A. ስፓኒሽኛ ነው።

አንቶኒዮ ባንደርራስ በስፔን ሃገር ውስጥ ነው የተወለደው። ስፓኒሽኛ የስፔን ሃገር ብሔራዊ ቋንቋ ስለሆነ፣ የአንቶኒዮ ባንደርራስ የአፍ መፍቻ ቋንቋ ስፓኒሽኛ ነው።",A
"ከዚህ በታች ከተዘረዘሩት መካከል አሉታዊ የሆነ የአውቶኮርግንኙነት ግንኙነት የትኛው እንደሆነ ተጠቁሟል?
A.የተረፈው ዑደታዊ ንድፍ
B.በተረፈው ላይ የሚቀያየር ንድፍ
C.በተረፈ ውስጠ ሙሉ በሙሉ በአጋጣሚ
D.ሁሉም ወደ ዜሮ ቅርብ የሆኑ ቀሪዎች",B,"ከተዘረዘሩት አማራጮች መካከል አሉታዊ የሆነ የአውቶኮርግንኙነት ግንኙነት የሚያሳየው መልስ C ነው፡፡ ""በተረፈ ውስጠ ሙሉ በሙሉ በአጋጣሚ"" የሚለው አገላለጽ ማለት በተረፈው ውስጥ ምንም አይነት ግንኙነት ወይም ንድፍ የለም ማለት ነው፡፡ ይህ ደግሞ ጠንካራ አሉታዊ አውቶኮርግንኙነትን ያመለክታል፡፡ ሌሎቹ አማራጮች አዎንታዊ ወይም ደካማ አሉታዊ ግንኙነቶችን ያሳያሉ፡፡",C
"ወደ ሺህ የሚጠጉት ቁጥራቸው 47,000 ነው ። ክብ የሆነው ቁጥር የትኛው ሊሆን ይችላል?
A.46,295
B.46,504
C.47,520
D.47,924",B,"መልሱ B. 46,504 ነው።

ምክንያቱም፦
- ወደ ሺህ የሚጠጉት ማለት ከ47,000 በታች ከ500 ያነሰ ወይም ከ47,000 በላይ ከ500 የሚበልጥ ማለት ነው።
- ከተሰጡት አማራጮች ውስጥ ከ47,000 ያነሰው እና ከ500 በታች የሆነው 46,504 ብቻ ነው።
- ሌሎቹ ቁጥሮች ከ47,000 በላይ ናቸው (47,520 እና 47,924) ወይም ከ47,000 በታች ከ500 ያነሱ ናቸው (46,295)።

ስለዚህ ወደ ሺህ የሚጠጋው ክብ ቁጥር 46,504 ነው።",B
"የኔዘርላንድ ስነ-ህጋዊ ቋንቋ ምንድነው?
A.ዳኒሽ
B.ስዊድንኛ
C.ጀርመንኛ
D.ደች",D,"የኔዘርላንድ ስነ-ህጋዊ ቋንቋ ደች ነው።

ደች በኔዘርላንድ፣ በቤልጂየም፣ በሱሪናም እና በካሪቢያን ደሴቶች ውስጥ ይነገራል። ይህ ቋንቋ ከጀርመንኛ ጋር ተዛማጅ ቢሆንም ለብቻው የቆመ ቋንቋ ነው። 

በኔዘርላንድ ውስጥ ደች የመንግስት፣ የትምህርት፣ የንግድ እና የመገናኛ ብዙሃን ቋንቋ ነው። ስለዚህ መልሱ D) ደች ነው።",D
"ንቦች የመጀመሪያውን ጨዋታ የሚያሸንፉት አርድቫርክስ ወይም ቺፕሙንክስ የመጀመሪያዎቹን ጨዋታዎች ካላሸነፉ ብቻ ነው ።
A.አርድቫርኮች የመጀመሪያ ጨዋታቸውን አያሸንፉም።
B.ንቦች የመጀመሪያ ጨዋታቸውን አሸንፈዋል።
C.ቺፕሙንኮች የመጀመሪያ ጨዋታቸውን አያሸንፉም።
D.አርድቫርኮችም ሆኑ ቺፕሙንኮች የመጀመሪያዎቹን ጨዋታዎች አያሸንፉም።",B,"መልሱ D ነው። አርድቫርኮችም ሆኑ ቺፕሙንኮች የመጀመሪያዎቹን ጨዋታዎች አያሸንፉም።

ምክንያቱም በተሰጠው መረጃ መሰረት፣ ንቦች የመጀመሪያውን ጨዋታ የሚያሸንፉት አርድቫርክስ ወይም ቺፕሙንክስ የመጀመሪያዎቹን ጨዋታዎች ካላሸነፉ ብቻ ነው ተብሏል። ይህ ማለት አርድቫርክስም ሆነ ቺፕሙንክስ የመጀመሪያዎቹን ጨዋታዎች እንዳላሸነፉ ያመለክታል። ስለዚህ ንቦች የመጀመሪያውን ጨዋታ እንዲያሸንፉ የሚያደርገው ሁኔታ ተፈጥሯል።",D
"የውጭ አገር ሚኒስትር X የፈጸሙት ሕገ ወጥ የግድያ ወንጀል ድርጊት jure imperi ወይም jure gestionis ነው?
A.እንዲህ ያለው ድርጊት የህዝብ ድርጊት ነው (jure imperiii)
B.እንዲህ ያለው ድርጊት በሽታ የመከላከል አቅምን ፈጽሞ አይስብም
C.እንዲህ ዓይነቱ ድርጊት የግል ድርጊት ነው (jure gestionis)
D.እንዲህ ዓይነቱ ድርጊት የህዝብ ድርጊት ቢሆንም በበሽታ የመከላከል አቅም ይከላከልል",C,"እንዲህ ያለው ድርጊት የግል ድርጊት ነው (jure gestionis)።

የውጭ አገር ሚኒስትር የፈጸሙት ሕገ ወጥ የግድያ ወንጀል ድርጊት የግል ድርጊት (jure gestionis) ነው። ምክንያቱም ሕገ ወጥ የግድያ ወንጀል ድርጊት የመንግስት ተግባር ወይም ኃላፊነት አይደለም። ይልቁንም የግለሰብ ወንጀል ድርጊት ነው። 

የመንግስት ኃላፊዎች በግል ሕይወታቸው የሚፈጽሙት ወንጀል ድርጊት ከመንግስት ተግባር ጋር የተያያዘ አይደለም። ስለዚህ በሽታ የመከላከል አቅም (sovereign immunity) ሊያገኙ አይችሉም። ይህ ድርጊት የግል ድርጊት (jure gestionis) ተደርጎ ይወሰዳል።",C
"ከእነዚህ አሰቃቂ ፊልሞች መካከል በጣም ቅደም ተከተል የፈለሰፉት የትኞቹ ናቸው?
A.ጩኸት'
B.መንጋጋ'
C.ሃሎዊን'
D.ዓርቢ 13'",D,"ከተዘረዘሩት አሰቃቂ ፊልሞች መካከል በጣም ቅደም ተከተል የፈለሰፉት እንደሚከተለው ነው፡-

1. ሃሎዊን (Halloween) - የመጀመሪያው ፊልም በ1978 ተለቀቀ።

2. ዓርቢ 13 (Friday the 13th) - የመጀመሪያው ፊልም በ1980 ተለቀቀ። 

3. መንጋጋ (A Nightmare on Elm Street) - የመጀመሪያው ፊልም በ1984 ተለቀቀ።

4. ጩኸት (Scream) - የመጀመሪያው ፊልም በ1996 ተለቀቀ።

ስለዚህ ከእነዚህ አራት ፊልሞች መካከል በጣም ቅድሚያ የፈለሰፈው ""ሃሎዊን"" ሲሆን ቀጥሎ ""ዓርቢ 13""፣ ""መንጋጋ"" እና ""ጩኸት"" ይከተላሉ። ሁሉም ፊልሞች ተከታታይ ፊልሞችን ፈልስፈዋል፣ ነገር ግን የመጀመሪያው ክፍል የተለቀቀበት ጊዜ ቅደም ተከተላቸውን ይወስናል።",D
"ይህ ጥያቄ የሚከተለውን መረጃ ያመለክታል።
""የአምባገነን አገዛዞች ዘር በመከራና በፍላጎት ይዳከማል። በድህነትና በግጭት ክፉ አፈር ውስጥ ይስፋፋሉ እንዲሁም ያድጋሉ። የተሻለ ሕይወት ለማግኘት ያላቸው ተስፋ ሲሟጠጥ ሙሉ እድገት ያደርጋሉ ። ይህ ተስፋ ሕያው ሆኖ እንዲቀጥል ማድረግ ይገባናል። . . . የሁኔታዎች ፈጣን እንቅስቃሴ ከፍተኛ ኃላፊነት ተሰጥቶናል። . . . ምክር ቤቱ እነዚህን ኃላፊነቶች ሙሉ በሙሉ እንደሚጋፈጥ እርግጠኛ ነኝ።""
ፕሬዚዳንት ሃሪ ኤስ ትሩማን ፣ 1947
ከላይ ባለው ጥቅስ ላይ የተገለፁት ሐሳቦች በዩናይትድ ስቴትስ ታሪክ ውስጥ ከሚከተሉት ቀጣይ ነገሮች መካከል የትኞቹን በቀጥታ የሚያንጸባርቁ ናቸው?
A.በጉባኤው እና በፕሬዚዳንቱ መካከል ስላለው ግንኙነት የሚከራከሩ ክርክሮች።
B.ወያኔ በወያኔ ኃይል አጠቃቀም ላይ ውዝግብ ተከናውኖ ነበር።
C.ዩናይትድ ስቴትስ በዓለም ጉዳዮች ውስጥ ስለሚኖራቸዉ ሚና የሚከራከሩ ክርክሮች።
D.የፖለቲካ ፓርቲዎች ተገቢ ሚና በተመለከተ ክርክር...",C,"ከላይ ባለው ጥቅስ ላይ የተገለፁት ሐሳቦች በዩናይትድ ስቴትስ ታሪክ ውስጥ ከሚከተሉት ቀጣይ ነገሮች መካከል በቀጥታ የሚያንጸባርቁት ዩናይትድ ስቴትስ በዓለም ጉዳዮች ውስጥ ስለሚኖራቸዉ ሚና የሚከራከሩ ክርክሮች ናቸው።

ፕሬዚዳንት ትሩማን በጥቅሱ ውስጥ ስለ ""አምባገነን አገዛዞች"" እና ዩናይትድ ስቴትስ ለ""የተሻለ ሕይወት"" ያላትን ተስፋ ""ሕያው ሆኖ እንዲቀጥል ማድረግ"" ስላለባት ኃላፊነት ይናገራል። እንዲሁም ""የሁኔታዎች ፈጣን እንቅስቃሴ ከፍተኛ ኃላፊነት"" እንደተሰጠን ይገልጻል። እነዚህ ሐሳቦች ዩናይትድ ስቴትስ በዓለም ጉዳዮች ውስጥ ገንቢ ሚና መጫወት እንዳለባት የሚያመለክቱ ናቸው። ይህም በዚያ ጊዜ በተካሄደው ውይይት ውስጥ አንዱ ዋና ርዕስ እንደነበር ያሳያል።",C
"ከነዚህ ምጣኔዎች ውስጥ ከአሳማ አንጀት የሚሰራው የትኛው ነው?
A.haggis
B.chitlins
C.grits
D.chop suey",B,"ከተዘረዘሩት ምግቦች ውስጥ ከአሳማ አንጀት የሚሰራው chitlins ነው።

Chitlins (ወይም chitterlings) የሚባለው የአሜሪካ ደቡብ ምግብ ሲሆን ከአሳማ ወይም ከሌላ እንስሳ ቀጭን አንጀት የሚዘጋጅ ነው። አንጀቱን በጥሩ ሁኔታ ከጸዳ በኋላ ይቀቀላል፣ ይጎሻል ወይም ይጠበሳል።

ሌሎቹ ምርጫዎች፡-

A. Haggis - የስኮቲሽ ምግብ ሲሆን ከበግ ኩላሊት፣ ልብ እና አንጀት ጋር ከሌሎች ቅመሞች ተደባልቆ የሚዘጋጅ ነው።

C. Grits - በአሜሪካ ደቡብ ተወዳጅ የሆነ ከበቆሎ የሚዘጋጅ ፒሾ ነው። 

D. Chop suey - ቻይናዊ-አሜሪካዊ ምግብ ሲሆን ዋናው ግሪዲየንቱ ቅጠላ ቅጠል እና ስጋ ናቸው።",B
