Question,CorrectAnswer,GivenAnswer,Correct
"Aktyor Antonio Banderas doğma dil nədir?
A.İspan dili
B.Rus dili
C.Alman dili
D.Fransız dili",A,"Doğru cavab A variantıdır - Antonio Banderasın doğma dili ispan dilidir.

Antonio Banderas Malagada, İspaniyada anadan olub və onun ana dili ispancadır. O, Hollivudda karyera qursa da, əsasən ingilis dilində filmlər çəksə də, doğma dili ispan dili olaraq qalır.",A
"1999-cu ildə çəkilən ""Maqnolia"" filmi hansı ştatda çəkilib?
A.Kaliforniya
B.Cənubi Karolina
C.Gürcüstan
D.Texas",A,"Doğru cavab A variantıdır. ""Maqnolia"" filmi 1999-cu ildə Kaliforniya ştatında çəkilmişdir.

Film Los-Anceles şəhərində və ətrafında çəkilib. Filmdə bir neçə fərqli, lakin bir-biri ilə əlaqəli hekayələr nəql olunur və hadisələr əsasən Los-Ancelesdə baş verir. 

Filmin rejissoru Pol Tomas Anderson özü də Kaliforniyada doğulub və bir çox filmlərini, o cümlədən ""Boogie Nights"" (1997), ""Punch-Drunk Love"" (2002) və ""There Will Be Blood"" (2007) kimi məşhur əsərlərini bu ştatda çəkmişdir.",A
"Bu dəhşətli filmlərdən hansının davamı daha çox oldu?
A.Qışqırıq'
B.Jaws'
C.Hellouin'
D.13-cü cümə günü'",D,"D.13-cü cümə günü

""13-cü cümə günü"" (Friday the 13th) dəhşətli film seriyası 1980-ci ildə başlamış və bu günə qədər 12 film çəkilmişdir. Beləliklə, sadalanan variantlar arasında ən çox davamı olan dəhşətli film ""13-cü cümə günü""dür.

Digər filmlərin davamlarının sayı:

A. Qışqırıq (Scream): 5 film 
B. Jaws: 4 film
C. Hellouin (Halloween): Orijinal seriyada 8 film, lakin bütövlükdə 13 film var, çünki bir neçə dəfə yenidən başlanılıb.",D
"Bu xörəklərdən hansı donuz bağırsağından hazırlanır?
A.haqqi
B.çitlinlər
C.qfits
D.chop suey",B,"Bu siyahıda verilən xörəklərdən heç biri donuz bağırsağından hazırlanmır. 

A. Haqqi - Azərbaycan mətbəxinə aid ət və ya toyuq ilə hazırlanan xörəkdir.

B. Çitlinlər - Azərbaycan mətbəxinə aid un məmulatıdır, əsasən bayramlarda bişirilir. 

C. Qfits - Bu ad altında hər hansı bir xörək mövcud deyil. Yəqin ki, bu sualda səhv yazılıb.

D. Chop suey - Çin mətbəxinə aid bir yeməkdir. Ət, tərəvəz və şirin kartof ilə hazırlanır.

Beləliklə, bu siyahıda donuz bağırsağından hazırlanan hər hansı bir xörək yoxdur.",C
"Aşağıdakı şərti təklifin antecedentini müəyyən edin: Arılar ilk oyununu yalnız Aardvarks və ya Chipmunks ilk oyunlarında qalib gəlmədikləri təqdirdə qazanırlar.
A.Aardvarklar ilk oyunda qalib gəlmirlər.
B.İlk oyunda arılar qalib gəldi.
C.Çipmunklar ilk oyunda qalib gəlmirlər.
D.Ya aardvarklar, ya da çipmunklar ilk oyunlarında qalib gəlmirlər.",B,"Verilmiş şərti təklifin antecedenti (şərtin ön hissəsi) D variantıdır: Ya aardvarklar, ya da çipmunklar ilk oyunlarında qalib gəlmirlər.

Şərti təklifin quruluşu belədir: ""Əgər D, onda B"" (If D, then B), burada:

D (antecedent): Ya aardvarklar, ya da çipmunklar ilk oyunlarında qalib gəlmirlər.
B (consequent): İlk oyunda arılar qalib gəldi.

Beləliklə, arıların ilk oyunu qazanması üçün şərt odur ki, ya aardvarklar, ya da çipmunklar (və ya hər ikisi) öz ilk oyunlarında məğlub olsunlar. A və C variantları bu şərtin yalnız bir hissəsini əhatə edir, D variantı isə bütöv şərti ifadə edir.",B
"Ən yaxın min nəfərə yuvarlanmış rəqəm 47 000 nəfərdir. Hansı ədəd yuvarlaq olan ədəd ola bilər?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Ən yaxın min nəfərə yuvarlanmış rəqəm 47000 nəfərdir. Verilmiş variantlar arasında 47000-ə ən yaxın olan ədədi tapmaq üçün hər birini 47000 ilə müqayisə edək.

A. 46,295: Bu ədəd 47000-dən 705 vahid azdır. (47000 - 46295 = 705)

B. 46,504: Bu ədəd 47000-dən 496 vahid azdır. (47000 - 46504 = 496)

C. 47,520: Bu ədəd 47000-dən 520 vahid çoxdur. (47520 - 47000 = 520)

D. 47,924: Bu ədəd 47000-dən 924 vahid çoxdur. (47924 - 47000 = 924)

Beləliklə, 47000-ə ən yaxın olan ədəd B variantındakı 46,504-dür, çünki onların arasındakı fərq ən azdır (496).

Cavab: B. 46,504",B
"Niderlandın rəsmi dili hansıdır?
A.Dan dili
B.Isveç dili
C.Alman dili
D.Holland dili",D,"D. Holland dili

Niderland Krallığının rəsmi dili Holland dilidir (Hollandca və ya Nederlands adlanır). Holland dili German dillərinin Aşağı Frankon budağına aiddir və Almaniya, Belçika və Surinamda da istifadə olunur.

Digər cavablar haqqında:
A. Dan dili - Danimarka və Farer adalarının rəsmi dilidir.
B. İsveç dili - İsveç və Finlandiyanın rəsmi dillərindən biridir.
C. Alman dili - Almaniya, Avstriya, İsveçrə və Lixtenşteynin rəsmi dilidir.",D
"İnduktorda induksiya olunan voltaj belə təmsil olunur:
A.onun induksiyasının və onun vasitəsilə cərəyan edən məhsul.
B.onun induksiyasının onun vasitəsilə cərəyana nisbəti.
C.vasitəsilə cərəyanın onun induksiyaya nisbəti.
D.onun induksiyasının və onun vasitəsilə cərəyanın dəyişmə sürətinin məhsulu.",D,"Doğru cavab D variantıdır: İnduktorda induksiya olunan voltaj onun induksiyasının və onun vasitəsilə cərəyanın dəyişmə sürətinin məhsulu kimi təmsil olunur.

İnduktorda induksiya olunan voltaj Faradey qanunu ilə ifadə olunur:

ε = -L * (dI/dt)

Burada:
- ε induktorda induksiya olunan voltajdır (elektrohərəkət qüvvəsi)
- L induktorun induktivliyidir (Henri ilə ölçülür)
- dI/dt induktordan keçən cərəyanın zamana görə dəyişmə sürətidir (Amper/saniyə)

Beləliklə, induktorda yaranan voltaj induktivlik (L) və cərəyanın dəyişmə sürətinin (dI/dt) hasili ilə düz mütənasibdir. Cərəyanın dəyişmə sürəti nə qədər böyük olarsa, induksiya olunan voltaj da bir o qədər böyük olar.",D
"K-qatlı çarpaz təsdiq
A.K-də xətti
B.kvadratika K-da
C.K-də kubik
D.K-də eksponensial",A,"K-qatlı çarpaz təsdiq (K-fold cross-validation) maşın öyrənməsində model performansını qiymətləndirmək üçün istifadə olunan metoddur. Bu metodda verilənlər K sayda bərabər hissəyə bölünür və hər dəfə bir hissə test, digər hissələr isə təlim üçün istifadə olunur. Proses K dəfə təkrarlanır və nəticələrin ortalaması modelin performansını göstərir.

Sualda verilən cavablar K-qatlı çarpaz təsdiqin özünə aid deyil, əksinə müxtəlif növ funksiyaları ifadə edir:

A. Xətti funksiya (linear function): y = mx + b
B. Kvadratik funksiya (quadratic function): y = ax^2 + bx + c
C. Kubik funksiya (cubic function): y = ax^3 + bx^2 + cx + d
D. Eksponensial funksiya (exponential function): y = a * b^x

Beləliklə, sualın K-qatlı çarpaz təsdiq ilə birbaşa əlaqəsi yoxdur və verilən cavabların heç biri K-qatlı çarpaz təsdiqin xüsusiyyətlərini ifadə etmir.",A
"H+(aq) konsentrasiyasını 1,0 M fenol, C6H5OH, həlldə təyin edin. (Fenol üçün Ka 1 × 10^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10^-5 M",D,"Fenol zəif turşudur və aşağıdakı tarazlıq tənliyi ilə ifadə olunur:

C6H5OH + H2O <=> C6H5O- + H3O+

Tarazlıq sabiti (Ka) aşağıdakı kimi hesablanır:

Ka = [C6H5O-][H3O+] / [C6H5OH]

Verilənlərə əsasən:
- Ka = 1 × 10^-10
- [C6H5OH] = 1.0 M

Zəif turşular üçün [H3O+] = [C6H5O-] olduğunu fərz edə bilərik.

[H3O+] = x olaraq qəbul etsək:

Ka = (x)(x) / (1.0 - x)

x çox kiçik olduğundan, 1.0 - x təxminən 1.0-a bərabər olacaq:

Ka = x^2 / 1.0

x^2 = Ka

x = √Ka = √(1 × 10^-10) = 1 × 10^-5

Beləliklə, [H3O+] = [H+] = 1 × 10^-5 M.

Doğru cavab: D. 1 × 10^-5 M.",D
