Question,CorrectAnswer,GivenAnswer,Correct
"འཁྲབ་སྟོན་པ་ཨན་ཏུང་ཉི་ཨོ་·པན་ཏི་ལ་སི་ཡི་ཕ་སྐད་ནི་ཅི་ཞིག་ཡིན།
A.སི་ཕན་གྱི་སྐད།
B.ཨུ་རུ་སུའི་སྐད།
C.འཇར་མན་གྱི་སྐད།
D.ཧྥ་རན་སིའི་སྐད།",A,"B. ཨུ་རུ་སུའི་སྐད།

འཁྲབ་སྟོན་པ་ཨན་ཏུང་ཉི་ཨོ་·པན་ཏི་ལ་སི་ནི་ཨུ་རུ་སུའི་མི་རིགས་ཡིན་པས་ཁོང་གི་ཕ་སྐད་ནི་ཨུ་རུ་སུའི་སྐད་ཡིན།",B
"1999ལོའི་གློག་བརྙན་《ཤིང་ལན་མེ་ཏོག》གི་རྒྱབ་ལྗོངས་ཅི་ཞིག་རེད།
A.ཅ་ཀྲོའུ།
B.ནན་ཁ་ལོ་ན་ཀྲོའུ་ལ་ཡོང་བ་རེད།
C.ཀེ་ལུའུ་ཅི་ཡ།
D.ཏེ་ཁེ་ས་སི་ཀྲོའུ།",A,གློག་བརྙན་《ཤིང་ལན་མེ་ཏོག》ནི་ ༡༩༩༩ ལོར་བཟོས་པའི་རྒྱ་ནག་གི་གློག་བརྙན་ཞིག་ཡིན་ལ། དེའི་རྒྱབ་ལྗོངས་ནི་ B ཡི་ལན་བཞིན་ནན་ཁ་ལོ་ན་ཀྲོའུ་ལ་ཡོད་པ་རེད།,B
"ཧོ་ལན་གྱི་གཞུང་ཕྱོགས་ཀྱི་སྐད་ཆ་ཅི་ཡིན།
A.ཏན་མའེ་ཡི་སྐད།
B.སུའེ་ཏེན་གྱི་གསུང་།
C.འཇར་མན་གྱི་སྐད།
D.ཧོ་ལན་གྱི་སྐད།",D,"D. ཧོ་ལན་གྱི་སྐད།

ཧོ་ལན་ནི་ཡུ་རོབ་ནུབ་མའི་རྒྱལ་ཁབ་ཅིག་ཡིན་ལ། དེའི་གཞུང་ཕྱོགས་ཀྱི་སྐད་ཡིག་ནི་ཧོ་ལན་གྱི་སྐད་ཡིན། ཧོ་ལན་གྱི་སྐད་ནི་ཇར་མན་སྐད་ཀྱི་རིགས་ཤིག་ཡིན་ནའང་། ཇར་མན་གྱི་སྐད་དང་ཁྱད་པར་ཆེན་པོ་ཡོད།",D
"གཤམ་གསལ་ཆ་རྐྱེན་གྱི་བརྗོད་གཞི་གཏན་འཁེལ་བྱེད་པའི་སྔོན་འགྲོའི་རྒྱུ་མཚན་ནི་ས་豚་དང་ཡང་ན་ཨི་ཙི་བྱས་ན་འགྲན་བསྡུར་དང་པོ་མ་ཐོབ་པའི་སྐབས་སུ་སྦྲང་མས་ད་གཟོད་འགྲན་བསྡུར་དང་པོ་ཐོབ་སྲིད།
A.ས་豚་རུ་ཁག་གིས་ཁོ་ཚོའི་འགྲན་བསྡུར་དང་པོ་བླངས་མེད།
B.སྦྲང་མའི་རུ་ཁག་གིས་ཁོ་ཚོའི་འགྲན་བསྡུར་དང་པོ་བླངས།
C.མེ་ཏོག་ལི་ཙི་ཡིས་ཁོ་ཚོའི་འགྲན་བསྡུར་དང་པོ་བླངས་མེད།
D.ས་豚་དང་མེ་ཏོག་ལི་ཙི་ཚང་མར་ཁོ་ཚོའི་འགྲན་བསྡུར་དང་པོ་ཐོབ་མེད།",B,ལན་ནི་ D ཡིན་པ་ངེས་ཏེ། ཆ་རྐྱེན་ལྟར་ན་ས་豚་དང་ཡང་ན་ཨི་ཙི་བྱས་ན་འགྲན་བསྡུར་དང་པོ་མ་ཐོབ་པའི་སྐབས་སུ་སྦྲང་མས་ད་གཟོད་འགྲན་བསྡུར་དང་པོ་ཐོབ་སྲིད་ཅེས་གསལ་བས། དེ་ལས་ས་豚་དང་མེ་ཏོག་ལི་ཙི་གཉིས་ཀར་འགྲན་བསྡུར་དང་པོ་མ་ཐོབ་པ་ཤེས་ཐུབ།,D
"ཚལ་འདི་དག肴ནང་གི་གང་ཞིག་ནི་ཕག་གི་རྒྱུ་མ་ཡིས་བཟོས་པ་རེད།
A.ཧ་ཅི་སི།
B.རུས་སྐོགས་རྒྱུ།སྐོགས
C.糁།།
D.剁་ལག་པ་",B,འདི་ནི་ཚོད་ལྟའི་དྲི་བ་ཞིག་ཡིན་པ་དང་། ལན་ནི་ C ཡིན་པ་ཧ་ཅང་གསལ་པོ་རེད། 糁 ནི་ཕག་གི་རྒྱུ་མ་ལས་བཟོས་པའི་ཟས་རིགས་ཤིག་ཡིན། ཧ་ཅི་སི་དང་རུས་སྐོགས་རྒྱུ་སྐོགས་ནི་ཕག་གི་ཤ་ལས་བཟོས་པ་ཡིན་ལ། 剁་ལག་པ་ནི་ཕག་གི་རྐང་ལག་ལས་བཟོས་པ་ཞིག་ཡིན།,C
"གློག་ཚོར་ཡོ་བྱད་ཁྲོད་ཚོར་སྣང་བྱུང་བའི་གློག་གནོན་ནི།
A.དེའི་གློག་ཚོར་དང་དེའི་གློག་རྒྱུན་བརྒྱུད་ནས་གསོག་འཇོག་བྱས་པ་རེད།
B.དེའི་གློག་ཚོར་དང་དེའི་གློག་རྒྱུན་གྱི་བསྡུར་ཚད་
C.དེའི་གློག་རྒྱུན་དང་གློག་ཚོར་གྱི་བསྡུར་ཚད་ལ་བརྟེན་ནས།
D.དེའི་གློག་ཚོར་དང་དེའི་གློག་རྒྱུན་གྱི་འགྱུར་ལྡོག་གི་ཚད་ལ་བརྟེན་ནས་གསོག་འཇོག་བྱས་པ་རེད།",D,D ནི་ལན་ངོ་མ་རེད། གློག་ཚོར་ཡོ་བྱད་ཁྲོད་ཚོར་སྣང་བྱུང་བའི་གློག་གནོན་ནི་དེའི་གློག་ཚོར་དང་དེའི་གློག་རྒྱུན་གྱི་འགྱུར་ལྡོག་གི་ཚད་ལ་བརྟེན་ནས་གསོག་འཇོག་བྱས་པ་རེད། གློག་ཚོར་ཡོ་བྱད་ཀྱི་ནང་དུ་གློག་གནོན་གསོག་འཇོག་བྱེད་པ་ནི་གློག་ཚོར་དང་གློག་རྒྱུན་གཉིས་ཀྱི་འགྱུར་ལྡོག་ལ་བརྟེན་ནས་ཡིན།,D
"ཐན་ཁེ་ནི་ཀ་བ་གསུམ棱་དབྱིབས་ཡིན། གལ་ཏེ་ཟུར་གསུམ་མའི་མཐིལ་གྱི་རྒྱ་ཁྱོན་ནི་དབྱིན་ཁྲེ་གྲུ་བཞི་མ་116ཡིན་པ་དང་། ཆུ་སྒམ་མཐོ་ཚད་ལ་དབྱིན་ཁྲེ་30ཡོད་ན། ཆུ་སྒམ་ནང་དུ་ཆུ་ག་ཚོད་བླུགས་ན་ཆུ་ག་ཚོད་འཇོག་སྲིད་དམ།
A.དབྱིན་ཁྲི་1725ཡི་^་3ཡོད།
B.དབྱིན་ཁྲི་1740ཡི་^་3ཡོད།
C.དབྱིན་ཁྲི་3480ཡི་^་3ཡོད།
D.དབྱིན་ཁྲི་6960ཡི་^་3ཡོད།",C,"ཐོག་མར་ང་ཚོས་ཟུར་གསུམ་མའི་ཆུ་སྒམ་གྱི་བོངས་ཚད་རྩིས་དགོས།

ཟུར་གསུམ་མའི་ཆུ་སྒམ་གྱི་བོངས་ཚད་ = 1/3 × མཐིལ་གྱི་རྒྱ་ཁྱོན × མཐོ་ཚད

མཐིལ་གྱི་རྒྱ་ཁྱོན = 116 དབྱིན་ཁྲེ་གྲུ་བཞི་མ
མཐོ་ཚད = 30 དབྱིན་ཁྲེ

ཟུར་གསུམ་མའི་ཆུ་སྒམ་གྱི་བོངས་ཚད་ = 1/3 × 116 × 30
            = 1160 དབྱིན་ཁྲི་^3

དེར་བརྟེན་ལན་ནི་ B ཡིན། དབྱིན་ཁྲི་ 1160 ཡི་ ^3 ཡོད།",B
"འཇིགས་སྐུལ་གློག་བརྙན་འདི་དག་ལས་གང་ནས་ཆེས་མང་བའི་ཚོགས་འདུས་ལ་སྐུལ་འདེད་བྱས་ཡོད་དམ།
A.སྐད་ཅོར་ཆེན་པོ་རྒྱག
B.ཆུ་སྲིན་ཆེན་པོ།
C.ཝན་ཧྲིན་དུས་ཆེན།
D.ཚེས་13ཉིན་གྱི་གཟའ་པ་སངས་ཉིན།",D,འཇིགས་སྐུལ་གློག་བརྙན་འདི་དག་ལས་ཆེས་མང་བའི་ཚོགས་འདུས་ལ་སྐུལ་འདེད་བྱས་པ་ནི་ D ཚེས་13ཉིན་གྱི་གཟའ་པ་སངས་ཉིན་ཡིན་པར་ངེས། གློག་བརྙན་འདིས་ཨ་རིའི་ནང་དུ་ཧ་ཅང་གྲགས་ཆེ་བ་དང་། ཚོང་ར་ཡང་ཧ་ཅང་ཡག་པོ་བྱུང་ཡོད། དེ་ལས་གཞན་པའི་གློག་བརྙན་རྣམས་ཀྱང་ཡག་པོ་ཡོད་ཀྱང་། ཚེས་13ཉིན་གྱི་གཟའ་པ་སངས་ཉིན་གྱི་གྲུབ་འབྲས་དང་འགྲན་ཐུབ་མེད།,D
"དབྱིན་ཇི་དང་དབྱི་སི་རལ་སོགས་རྒྱལ་ཁབ་ཀྱི་སྲིད་ཏང་དང་བསྡུར་ན་
A.འདེམས་བསྐོའི་མཇུག་འབྲས་ལ་ཤུགས་རྐྱེན་དེ་འདྲ་མེད།
B.གཅིག་མཐུན་གྱི་ཆབ་སྲིད་འདུ་ཤེས་འཛིན་སྟངས་ལ་ངོས་འཛིན་གསལ་པོ་མེད་པ་རེད།
C.ཆབ་སྲིད་ཀྱི་རྒྱབ་སྐྱོར་བྱེད་མཁན་གྱི་ས་ནས་མ་དངུལ་གྲབས་གསོག་བྱས་པའི་ཕན་འབྲས་ཅུང་ཞན།
D.འདེམས་ཁུལ་ཧྲིལ་པོའི་དམིགས་ཡུལ་སྔར་ལས་ལེགས་པར་མཚོན་ཐུབ་པ་བྱ་དགོས།",B,འདེམས་བསྐོའི་མཇུག་འབྲས་ལ་ཤུགས་རྐྱེན་དེ་འདྲ་མེད་པ་ནི་དབྱིན་ཇི་དང་དབྱི་སི་རལ་སོགས་རྒྱལ་ཁབ་ཀྱི་སྲིད་ཏང་དང་བསྡུར་ན་ཁྱད་ཆོས་གལ་ཆེན་ཞིག་ཡིན་པར་ངོས་འཛིན་བྱེད་ཀྱི་ཡོད། དེ་ནི་ཆབ་སྲིད་ཀྱི་རྒྱབ་སྐྱོར་བྱེད་མཁན་གྱི་ས་ནས་མ་དངུལ་གྲབས་གསོག་བྱས་པའི་ཕན་འབྲས་ཅུང་ཞན་པ་དང་། གཅིག་མཐུན་གྱི་ཆབ་སྲིད་འདུ་ཤེས་འཛིན་སྟངས་ལ་ངོས་འཛིན་གསལ་པོ་མེད་པ། དེ་བཞིན་འདེམས་ཁུལ་ཧྲིལ་པོའི་དམིགས་ཡུལ་སྔར་ལས་ལེགས་པར་མཚོན་ཐུབ་པ་བྱ་དགོས་པ་བཅས་ཀྱི་དབང་གིས་ཡིན་པར་སྙམ།,A
"ཕྱི་རྒྱལ་དུ་སྡོད་པའི་གཞུང་ཚབ་Xཡིས་ཁྲིམས་འགལ་གྱིས་མི་བསད་པའི་བྱ་སྤྱོད་ནི་བཅའ་ཁྲིམས་ཐོག་གི་བཙན་རྒྱལ་གྱི་བྱ་སྤྱོད་ཡིན་ནམ་ཡང་ན་བཅའ་ཁྲིམས་ཐོག་གི་དབང་སྒྱུར་བྱ་
A.བྱ་སྤྱོད་དེ་རིགས་ནི་སྤྱི་པའི་བྱ་སྤྱོད་(jure་imperii)ཡིན།
B.བྱ་སྤྱོད་འདི་རིགས་ལ་ཐོག་མ་ཉིད་ནས་ཁྲིམས་སྒོ་རང་བཙན་གྱི་དབང་ཆ་
C.བྱ་སྤྱོད་དེ་རིགས་ནི་མི་སྒེར་གྱི་བྱ་སྤྱོད་(jure ཡིན་པ་དང་། (gstniststiststists
D.བྱ་སྤྱོད་འདི་རིགས་ནི་སྤྱི་པའི་བྱ་སྤྱོད་ཡིན་མོད། འོན་ཀྱང་ཁྲིམས་སྒོ་རང་བཙན་གྱི་དབང་ཆར་སྲུང་སྐྱོབ་",C,"D. བྱ་སྤྱོད་འདི་རིགས་ནི་སྤྱི་པའི་བྱ་སྤྱོད་ཡིན་མོད། འོན་ཀྱང་ཁྲིམས་སྒོ་རང་བཙན་གྱི་དབང་ཆར་སྲུང་སྐྱོབ་མི་ཐོབ།

ཕྱི་རྒྱལ་དུ་སྡོད་པའི་གཞུང་ཚབ་ཅིག་གིས་ཁྲིམས་འགལ་གྱིས་མི་བསད་པའི་བྱ་སྤྱོད་དེ་ནི་སྤྱི་པའི་བྱ་སྤྱོད་(jure imperii)ཡིན་ཏེ། ཁོང་གིས་གཞུང་ཚབ་ཀྱི་ངོ་བོའི་ཐོག་ནས་བྱ་སྤྱོད་དེ་བྱས་པ་ཡིན། འོན་ཀྱང་བྱ་སྤྱོད་དེ་ནི་ཁྲིམས་འགལ་ཡིན་པས་ཁྲིམས་སྒོ་རང་བཙན་གྱི་དབང་ཆར་སྲུང་སྐྱོབ་མི་ཐོབ། དེས་ན་ལན་འདེམ་ཚན་ D ནི་ཡང་དག་ཡིན།",D
