Question,CorrectAnswer,GivenAnswer,Correct
"Koji je zvanični jezik Holandije?
A.Danski
B.Švedski
C.Njemački
D.Nizozemski",D,"Tačan odgovor je D. Nizozemski.

Nizozemski (holandski) jezik je zvanični jezik Holandije (Nizozemske). To je zapadnogermanski jezik koji govori oko 24 miliona ljudi, prvenstveno u Holandiji i Belgiji.

Ostali ponuđeni jezici se govore u drugim zemljama:
- Danski je zvanični jezik Danske.
- Švedski je zvanični jezik Švedske.
- Njemački je zvanični jezik Njemačke, Austrije, Lihtenštajna i jedan od zvaničnih jezika Švajcarske.",D
"Koji od ovih horor filmova je iznjedrio najviše nastavaka?
A.Scream'
B.Jaws'
C.Noć vještica
D.Petak 13.",D,"Točan odgovor je C. Noć vještica (Halloween).

Serijal filmova ""Noć vještica"" (Halloween) ima ukupno 13 filmova, uključujući originalni film iz 1978. godine i njegove nastavke. Ovo je najduži serijal među ponuđenim opcijama.

Ostali serijali imaju sljedeći broj filmova:

A. Scream - 5 filmova
B. Jaws - 4 filma 
D. Petak 13. (Friday the 13th) - 12 filmova

Dakle, serijal ""Noć vještica"" ima najviše nastavaka među navedenim horor filmovima.",C
"Koja od sledećih karakteristika je generalno u skladu sa silovanjem?
A.upotreba prekomjerne sile
B.preduzimljivo
C.Seksualno motivisan
D.Uključuje upotrebu oružja",C,"Silovanje je ozbiljan zločin koji uključuje seksualni čin bez pristanka žrtve. Često je seksualno motivisano, ali može imati i druge motive poput moći i kontrole. Silovanje često uključuje upotrebu sile ili pretnje silom, ali ne mora uvek da uključuje oružje ili prekomernu silu. Ključni element je nedostatak pristanka. Ako imate bilo kakvih pitanja ili nedoumica u vezi sa silovanjem, ohrabrujem vas da potražite informacije iz pouzdanih izvora ili razgovarate sa stručnjakom.",A
"Koji je maternji jezik glumca Antonija Banderasa?
A.Španjolski
B.Ruski
C.Njemački
D.Francuski",A,"Točan odgovor je A. Španjolski.

Antonio Banderas je poznati španjolski glumac rođen 10. kolovoza 1960. u Málagi, Španjolska. Njegov puno ime je José Antonio Domínguez Bandera. Španjolski je njegov maternji jezik, a tek kasnije je naučio engleski kako bi mogao glumiti u holivudskim filmovima.

Banderas je svoju glumačku karijeru započeo u rodnoj Španjolskoj 1980-ih, glumeći u kazalištu i španjolskim filmovima. Međunarodnu slavu stekao je ulogama u filmovima Pedra Almodóvara poput ""Labirint strasti"" (1982.), ""Matador"" (1986.), ""Veži me!"" (1990.) i drugim.",A
"U kojoj državi je snimljen film Magnolija iz 1999. godine?
A.Kaliforniji
B.juzna karolina
C.Gruzija
D.Texas",A,"Tačan odgovor je A. Kalifornija.

Film ""Magnolija"" iz 1999. godine, u režiji Paula Thomasa Andersona, snimljen je u potpunosti u Kaliforniji, pretežno u Los Anđelesu i okolini. Radnja filma je smeštena u San Fernando Valley, deo Los Anđelesa.

Neke od specifičnih lokacija korišćenih za snimanje uključuju:
- Burbank, Kalifornija
- Canoga Park, Los Anđeles
- Rialto, Kalifornija
- Sherman Oaks, Los Anđeles
- Studio City, Los Anđeles

Dakle, iako film prikazuje univerzalne ljudske priče i teme, on je čvrsto ukorenjen u južnoj Kaliforniji, kako svojim settingom, tako i mestima na kojima je sniman.",A
"Koje od ovih jela je napravljeno od svinjskih crijeva?
A.haggis
B.chitlins
C.Griz
D.chop suey",B,"Točan odgovor je B. chitlins.

Chitlins (također poznati kao chitterlings) su jelo napravljeno od svinjskih crijeva. Popularna su soul food delicija u južnjačkoj kuhinji Sjedinjenih Američkih Država.

Ostala jela:
A. Haggis - škotsko jelo od ovčjih iznutrica (srce, jetra, pluća) kuhanih u ovčjem želucu.
C. Griz - ne odnosi se na specifično jelo.
D. Chop suey - kinesko-američko jelo od povrća i mesa u gustom umaku, posluženo s rižom.

Dakle, jedino jelo na popisu koje se pravi od svinjskih crijeva su chitlins.",B
"Negativna rezidualna autokorelacija je naznačena sa kojim od sledećih?
A.Ciklični obrazac u rezidualima
B.Naizmjenični obrazac u rezidualima
C.Potpuna slučajnost u rezidualima
D.Ostaci koji su svi blizu nule",B,"Tačan odgovor je B. Naizmjenični obrazac u rezidualima.

Objašnjenje:

Negativna rezidualna autokorelacija se javlja kada su reziduali (greške) regresionog modela negativno korelirani sa svojim prethodnim vrednostima. To znači da pozitivna greška ima tendenciju da bude praćena negativnom greškom i obrnuto, stvarajući naizmenični obrazac u rezidualima.

Ostale opcije:

A. Ciklični obrazac u rezidualima - ovo bi ukazivalo na prisustvo autokorelacije, ali ne nužno negativne.

C. Potpuna slučajnost u rezidualima - ovo je poželjna situacija u regresionoj analizi i ukazuje na odsustvo autokorelacije.

D. Ostaci koji su svi blizu nule - ovo ukazuje na dobro uklapanje modela, ali ne govori ništa o prisustvu ili odsustvu autokorelacije.

Dakle, naizmenični obrazac u rezidualima je ključni indikator negativne rezidualne autokorelacije.",B
"Pacijent ima slomljen vrat sa oštećenjem kičmene moždine na nivou šestog vratnog pršljena.
A.Neće moći disati bez održavanja života.
B.Moći će samo tiho disati.
C.Nemoguće je predvideti uticaj na disanje.
D.Disanje će biti netaknuto.",B,"Tačan odgovor je B. Moći će samo tiho disati.

Objašnjenje:
Kod povrede kičmene moždine na nivou šestog vratnog pršljena (C6), dolazi do paralize mišića ispod nivoa povrede, uključujući i neke mišiće koji učestvuju u procesu disanja.

A. Netačno - Pacijent će moći samostalno da diše, ali sa smanjenim kapacitetom.
B. Tačno - Zbog paralize međurebarnih mišića, disanje će biti plitko i tiho, ali ipak moguće.
C. Netačno - Uticaj na disanje se može predvideti na osnovu nivoa povrede.
D. Netačno - Disanje će biti značajno oslabljeno, ali ne i potpuno netaknuto.

Dakle, kod povrede na C6 nivou, pacijent će moći samostalno da diše, ali sa smanjenim kapacitetom, što rezultira tihim disanjem.",B
"Broj, zaokružen na najbližu hiljadu, je 47.000. Koji broj bi mogao biti broj koji je zaokružen?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Tačan odgovor je B. 46,504.

Objašnjenje:

Kada zaokružujemo broj na najbližu hiljadu, gledamo cifru stotina. Ako je cifra stotina 5 ili veća, zaokružujemo na sledeću hiljadu. Ako je cifra stotina manja od 5, zaokružujemo na prethodnu hiljadu.

A. 46,295 zaokruženo na najbližu hiljadu je 46,000 jer je cifra stotina (2) manja od 5.

B. 46,504 zaokruženo na najbližu hiljadu je 47,000 jer je cifra stotina (5) jednaka 5, pa zaokružujemo na sledeću hiljadu.

C. 47,520 zaokruženo na najbližu hiljadu je 48,000 jer je cifra stotina (5) jednaka 5, pa zaokružujemo na sledeću hiljadu.

D. 47,924 zaokruženo na najbližu hiljadu je 48,000 jer je cifra stotina (9) veća od 5.

Dakle, jedini broj koji bi mogao biti zaokružen na 47,000 je 46,504.",B
"Da li je nezakonito ubistvo koje je počinio ministar zemlje X u inostranstvu čin jure imperii ili jure gestionis?
A.Takvo ponašanje je javni akt (jure imperii)
B.Takvo ponašanje nikada ne privlači imunitet.
C.Takvo ponašanje je privatni akt (jure gestionis)
D.Takvo ponašanje je javni čin, ali je zaštićeno imunitetom.",C,"Odgovor B je tačan - takvo ponašanje nikada ne privlači imunitet.

Ubistvo koje počini ministar u inostranstvu, čak i ako je počinjeno tokom obavljanja službene dužnosti, smatra se teškim krivičnim delom i ne može biti zaštićeno imunitetom. Imunitet se odnosi na akte jure imperii, odnosno akte koje ministar preduzima u okviru svojih zvaničnih ovlašćenja kao predstavnik države. Međutim, teška krivična dela poput ubistva se uvek smatraju ličnim aktima (jure gestionis) za koja ministar snosi individualnu odgovornost.

Prema tome, ministar u ovom slučaju ne bi uživao imunitet od krivičnog gonjenja, bez obzira da li je ubistvo počinio ""u službi"" ili privatno. Teška krivična dela su izuzeta od imuniteta koji inače štiti zvanične akte državnih funkcionera.",B
