Question,CorrectAnswer,GivenAnswer,Correct
"Ym mha gyflwr mae'r ffilm Magnolia' yn cael ei gosod yn 1999?
A.Nghaliffornia
B.De Carolina
C.Georgia
D.Texas",A,Mae'r ffilm 'Magnolia' yn cael ei gosod yn California yn 1999.,A
"Beth yw iaith swyddogol yr Iseldiroedd?
A.Danaidd
B.Swedaidd
C.Almaenig
D.Iseldiraidd",D,"D. Iseldiraidd (neu Fflemeg) yw iaith swyddogol yr Iseldiroedd.

Mae'r Iseldireg yn cael ei siarad gan y mwyafrif o boblogaeth yr Iseldiroedd ac mae'n un o ieithoedd swyddogol y wlad, ynghyd â Ffrisieg. Mae Danaidd yn cael ei siarad yn Nenmarc, Swedaidd yn Sweden, ac Almaeneg yn yr Almaen, Awstria, a rhannau o'r Swistir - ond nid ydynt yn ieithoedd swyddogol yn yr Iseldiroedd.",D
"Beth yw'r actor Antonio Banderas iaith frodorol?
A.Sbaenaidd
B.Rwsaidd
C.Almaenig
D.Ffrengig",A,"A. Sbaenaidd yw iaith frodorol yr actor Antonio Banderas.

Mae Antonio Banderas yn actor adnabyddus o Sbaen. Fe'i ganed yn Málaga, Andalusia, De Sbaen ar Awst 10fed, 1960. Felly, Sbaeneg yw ei famiaith a'i iaith gyntaf.

Er ei fod wedi dysgu Saesneg ac wedi ymddangos mewn nifer o ffilmiau Hollywood, Sbaeneg yw'r iaith y mae'n fwyaf cyfforddus ynddi o hyd fel ei iaith frodorol.",A
"Pa un o'r nodweddion canlynol sy'n gyson yn gyffredinol â threisio dyddiad?
A.Defnyddio grym gormodol
B.premeditated
C.cymhelliant rhywiol
D.Mae'n cynnwys defnyddio arf",C,"Mae treisio dyddiad yn drosedd ddifrifol a chymhleth. Er bod cymhelliant rhywiol yn ffactor, nid yw'n esbonio'r weithred yn llawn. Yn aml, mae a wnelo â grym, rheolaeth ac ymosodiad. Gall ddigwydd heb rym corfforol gormodol nac arfau. Gall ymddangos yn ddigymell, ond mae'n weithred fwriadol o drais. Os ydych chi neu rywun rydych chi'n ei adnabod wedi profi treisio dyddiad, ceisiwch gymorth proffesiynol. Mae llinellau cymorth a gwasanaethau cwnsela ar gael i roi cefnogaeth.",A
"Mae claf yn dioddef gwddf wedi torri gyda difrod i linyn y cefn ar lefel y chweched fertebra ceg y groth.
A.Ni fyddant yn gallu anadlu heb gynnal bywyd.
B.Byddant ond yn gallu anadlu'n dawel.
C.Mae'n amhosibl rhagweld effaith ar anadlu.
D.Ni fydd anadlu yn cael ei effeithio.",B,"A. Ni fyddant yn gallu anadlu heb gynnal bywyd.

Mae anaf i linyn y cefn ar lefel y chweched fertebra ceg y groth (C6) yn effeithio ar y nerfau sy'n rheoli'r diaffram, sef y prif gyhyr sy'n gyfrifol am anadlu. 

Gydag anaf llwyr i'r linyn cefn uwchben lefel C5, bydd y diaffram wedi'i barlysu ac ni fydd y claf yn gallu anadlu'n annibynnol. Bydd angen cefnogaeth anadlu arnynt, fel awyru mecanyddol, i gynnal bywyd.

Felly, yr ateb cywir yw ""A. Ni fyddant yn gallu anadlu heb gynnal bywyd."" Byddai anaf ar y lefel hon yn cael effaith ddifrifol ar allu'r claf i anadlu heb ymyriad meddygol.",A
"A yw'r dynladdiad anghyfreithlon a gyflawnwyd gan Weinidog Gwlad X dramor yn ddeddf jure imperii neu jure gestionis?
A.Mae ymddygiad o'r fath yn weithred gyhoeddus (jure imperii)
B.Nid yw ymddygiad o'r fath byth yn denu imiwnedd
C.Mae ymddygiad o'r fath yn weithred breifat (jure gestionis)
D.Mae ymddygiad o'r fath yn weithred gyhoeddus ond mae'n cael ei warchod gan imiwnedd",C,"A. Mae ymddygiad o'r fath yn weithred gyhoeddus (jure imperii)

Yn ôl cyfraith ryngwladol, mae gweithredoedd a gyflawnir gan weinidogion tramor yn cael eu hystyried fel gweithredoedd swyddogol y wladwriaeth (jure imperii) ac felly maent yn cael eu gwarchod gan imiwnedd sofran. Mae hyn yn wir hyd yn oed os yw'r gweithredoedd yn anghyfreithlon neu'n droseddol, fel llofruddiaeth yn yr achos hwn.

Er bod llofruddiaeth yn drosedd ddifrifol, byddai dal gweinidog tramor yn atebol am hynny yn y llysoedd domestig yn ymyrryd â sofraniaeth y wladwriaeth dramor. Felly, ystyrir bod gweithredoedd o'r fath yn rhan o swyddogaethau cyhoeddus y wladwriaeth ac yn denu imiwnedd, er gwaethaf eu natur anghyfreithlon. Dim ond y wladwriaeth ei hun all ildio'r imiwnedd hwnnw.",A
"Nifer, wedi'i dalgrynnu i'r mil agosaf, yw 47,000. Pa rif allai fod y nifer a dalgrynnwyd?
A.46,295
B.46,504
C.47,520
D.47,924",B,"I ddod o hyd i'r ateb cywir, gadewch i ni edrych ar bob opsiwn a gweld pa un sy'n cael ei dalgrynnu i 47,000 pan gaiff ei dalgrynnu i'r mil agosaf.

A. 46,295
Wrth dalgrynnu 46,295 i'r mil agosaf, byddwn yn cael 46,000 gan fod 295 yn llai na 500.

B. 46,504
Wrth dalgrynnu 46,504 i'r mil agosaf, byddwn yn cael 47,000 gan fod 504 yn fwy na 500.

C. 47,520
Wrth dalgrynnu 47,520 i'r mil agosaf, byddwn yn cael 48,000 gan fod 520 yn fwy na 500.

D. 47,924
Wrth dalgrynnu 47,924 i'r mil agosaf, byddwn yn cael 48,000 gan fod 924 yn fwy na 500.

Felly, yr unig opsiwn sy'n cael ei dalgrynnu i 47,000 yw B. 46,504.",B
"Mae'r cwestiwn hwn yn cyfeirio at y wybodaeth ganlynol.
Yn gyntaf mae'n rhaid i ni nodi bod y cosmos yn sfferig o ran ffurf, yn rhannol oherwydd bod y ffurf hon yn gyfanwaith perffaith nad oes angen unrhyw gymalau, yw'r mwyaf cyflawn oll, yn rhannol oherwydd ei fod yn gwneud y ffurf fwyaf helaeth, sydd fwyaf addas i gynnwys a chadw popeth; neu eto oherwydd bod holl rannau cyfansoddol y bydysawd, hynny yw yr haul, y lleuad a'r planedau yn ymddangos yn y ffurf hon; neu oherwydd bod popeth yn ymdrechu i gyrraedd y ffurflen hon, fel sy'n ymddangos yn achos diferion dŵr a chyrff hylifol eraill os ydynt yn ceisio diffinio eu hunain. Felly ni fydd unrhyw un yn amau bod y ffurf hon yn perthyn i'r cyrff nefol. ...
Felly mae'r ddaear hefyd yn sfferig y tu hwnt i gwestiwn, oherwydd ei bod yn pwyso o bob ochr ar ei chanol. Er oherwydd drychiadau'r mynyddoedd ac iselder y cymoedd ni ellir deall cylch perffaith, ond nid yw hyn yn effeithio ar natur sfferig gyffredinol y ddaear. ...
Gan ei bod eisoes wedi dangos bod gan y ddaear ffurf sffêr, rhaid i ni ystyried a yw symudiad hefyd yn cyd-daro â'r ffurf hon, a pha le mae'r ddaear yn dal yn y bydysawd. ... Mae'r mwyafrif helaeth o awduron wrth gwrs yn cytuno bod y ddaear yn sefyll yn llonydd yng nghanol y bydysawd, ac yn ei hystyried yn annirnadwy ac yn hurt tybio i'r gwrthwyneb. Ond os caiff y mater ei bwyso'n ofalus, gwelir nad yw'r cwestiwn wedi'i setlo eto ac felly nid yw'n hawdd ei ystyried yn ysgafn. Mae pob newid lle a arsylwyd yn ddyledus, sef, i symudiad o'r gwrthrych a arsylwyd neu'r arsylwr, neu i symudiadau'r ddau. ... Nawr mae'n o'r ddaear bod chwyldro y nefoedd yn cael ei arsylwi ac mae'n cael ei gynhyrchu ar gyfer ein llygaid. Felly, os na fydd y ddaear yn cael ei symud, rhaid i'r symudiad hwn ddigwydd ym mhopeth y tu allan i'r ddaear, ond i'r cyfeiriad arall na phe bai popeth ar y ddaear yn symud, ac o'r math hwn yw'r chwyldro beunyddiol. Felly ymddengys bod hyn yn effeithio ar y bydysawd cyfan, hynny yw, popeth y tu allan i'r ddaear ac eithrio'r ddaear ei hun. Fodd bynnag, pe bai rhywun yn cyfaddef nad oedd y symudiad hwn yn rhyfedd i'r nefoedd, ond bod y ddaear yn troi o'r gorllewin i'r dwyrain, ac os byddai hyn yn cael ei ystyried yn ofalus o ran codiad a lleoliad ymddangosiadol yr haul, y lleuad a'r sêr, byddai'n cael ei ddarganfod mai dyma'r sefyllfa go iawn. ""
Nicolas Copernicus, Chwyldroadau'r Cyrff nefol, 1543
Gellir defnyddio'r darn fel tystiolaeth bod Copernicus yn wahanol i athronwyr naturiol traddodiadol Aristotelaidd ei ddydd oherwydd iddo awgrymu bod
A.Mae'r cosmos yn sfferig
B.Mae'r Ddaear yn sfferig
C.Mae'r cosmos yn geostatig
D.Nid yw'r Ddaear yn llonydd",D,"Gellir defnyddio'r darn fel tystiolaeth bod Copernicus yn wahanol i athronwyr naturiol traddodiadol Aristotelaidd ei ddydd oherwydd iddo awgrymu nad yw'r Ddaear yn llonydd (ateb D).

Yn y darn, mae Copernicus yn nodi bod y rhan fwyaf o awduron yn cytuno bod y Ddaear yn sefyll yn llonydd yng nghanol y bydysawd, ond mae'n herio'r syniad hwn drwy ddweud nad yw'r mater wedi'i setlo eto. Mae'n awgrymu y gallai'r Ddaear fod yn troi o'r gorllewin i'r dwyrain, gan egluro symudiadau ymddangosiadol yr haul, y lleuad a'r sêr.

Mae hyn yn groes i'r farn draddodiadol Aristotelaidd bod y Ddaear yn llonydd yng nghanol bydysawd geostatig. Felly, mae'r darn yn dangos bod Copernicus yn herio'r syniadau traddodiadol ac yn cynnig esboniad gwahanol ar gyfer symudiadau ymddangosiadol y cyrff nefol, sef bod y Ddaear ei hun yn symud.",D
"Nodi rhagflaenydd y cynnig amodol canlynol: Mae'r gwenyn yn ennill eu gêm gyntaf dim ond os nad yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf.
A.Nid yw'r Aardvarks yn ennill eu gêm gyntaf.
B.Y gwenyn yn ennill eu gêm gyntaf.
C.Nid yw'r Chipmunks yn ennill eu gêm gyntaf.
D.Nid yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf.",B,"Y rhagflaenydd cywir yw D: Nid yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf.

Gallwn weld hyn trwy ddadansoddi'r datganiad gwreiddiol:
""Mae'r gwenyn yn ennill eu gêm gyntaf dim ond os nad yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf.""

Mae hyn yn golygu bod y gwenyn yn ennill eu gêm gyntaf yn ddibynnol ar y ffaith nad yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf. Felly, rhagflaenydd y datganiad yw ""Nid yw'r Aardvarks neu'r Chipmunks yn ennill eu gemau cyntaf"", sydd yn union yr un peth â dewis D.

Nid yw'r dewisiadau eraill yn gywir:
- Nid yw A a C ar eu pennau eu hunain yn ddigon i sicrhau bod y gwenyn yn ennill, gan fod angen i'r ddau dîm fethu ennill er mwyn i'r gwenyn ennill.
- Nid yw B yn rhagflaenydd ond yn ganlyniad i'r amod yn cael ei fodloni.",D
" Mae'r offeryn marchnata a chyfathrebu hwn yn cynnig gymhelliad uniongyrchol neu gymhelliant i annog cwsmeriaid i brynu cynnyrch / gwasanaeth:
A.Hysbysebu.
B.Cysylltiadau cyhoeddus.
C.Hyrwyddo gwerthu.
D.marchnata uniongyrchol.",C,"C. Hyrwyddo gwerthu.

Mae hyrwyddo gwerthu yn gyfeiriad uniongyrchol at ddefnyddio cymhellion neu gymhellion i annog cwsmeriaid i brynu cynnyrch neu wasanaeth. Gall hyn gynnwys technegau fel:

- Cynigion arbennig am gyfnod cyfyngedig
- Cystadlaethau a gwobrau
- Samplau am ddim 
- Talebau disgownt
- Cynigion prynu mwy am lai
- Pecynnau gwerth ychwanegol

Nod hyrwyddo gwerthu yw creu ysgogiad uniongyrchol i brynu nawr, yn wahanol i ddulliau marchnata eraill sydd yn fwy anuniongyrchol ac yn canolbwyntio ar godi ymwybyddiaeth brand a delwedd hirdymor.

Felly, hyrwyddo gwerthu yw'r ateb cywir gan ei fod yn cynnig cymhelliant uniongyrchol i annog pryniant, yn wahanol i hysbysebu, cysylltiadau cyhoeddus a marchnata uniongyrchol.",C
