Question,CorrectAnswer,GivenAnswer,Correct
"I hvilken tilstand foregår filmen Magnolia 'fra 1999?
A.Californien
B.Syd Carolina
C.Georgien
D.Texas",A,"A. Filmen ""Magnolia"" fra 1999, instrueret af Paul Thomas Anderson, foregår i San Fernando Valley i Californien. Filmen følger en række sammenvævede historier og skæbner, der alle udspiller sig i dette område af Los Angeles over en enkelt dag. Californien er kendt for sin filmindustri, og mange film, herunder ""Magnolia"", er optaget og foregår i denne stat.",A
"Hvad er skuespiller Antonio Banderas modersmål?
A.Spansk
B.Russisk
C.Tysk
D.Fransk",A,"A. Spansk

Antonio Banderas er en spansk skuespiller, født i Málaga, Spanien. Hans fulde navn er José Antonio Domínguez Bandera. Som spanier er hans modersmål naturligvis spansk.

Banderas er kendt for sine roller i både spanske og amerikanske film, herunder flere af Pedro Almodóvars film samt Hollywood-produktioner som ""The Mask of Zorro"", ""Desperado"" og ""Spy Kids""-filmene. Selvom han taler flydende engelsk, er hans modersmål og oprindelige sprog spansk.",A
"Hvad er det officielle sprog i Holland?
A.Dansk
B.Svensk
C.Tysk
D.Nederlandsk",D,"Det korrekte svar er D. Nederlandsk.

Nederlandsk er det officielle sprog i Holland, også kendt som Nederlandene. Sproget tales af omkring 24 millioner mennesker, primært i Holland og Belgien, hvor det er et af de officielle sprog sammen med fransk og tysk.

Dansk tales hovedsageligt i Danmark, svensk i Sverige, og tysk er det officielle sprog i Tyskland, Østrig og et af de officielle sprog i Schweiz. Disse sprog er relateret til nederlandsk, da de alle tilhører den germanske sprogfamilie, men de er distinkte sprog og ikke de officielle sprog i Holland.",D
"En tank er i form af et trekantet prisme. Hvis den trekantede base har et areal på 116 kvadratfod, og tanken er 30 fod høj, hvor meget vand ville tanken indeholde, når den er fuld?
A.1725 fod^3
B.1740 fod^3
C.3480 fod^3
D.6960 fod^3",C,"For at finde ud af hvor meget vand tanken kan indeholde, når den er fuld, skal vi beregne volumenet af det trekantede prisme. 

Formlen for volumenet af et trekantet prisme er:

V = B * h

hvor V er volumen, B er arealet af den trekantede base, og h er højden af prismet.

Vi har følgende oplysninger:
- Arealet af den trekantede base (B) er 116 kvadratfod
- Højden af tanken (h) er 30 fod

Lad os indsætte værdierne i formlen:

V = 116 fod^2 * 30 fod
V = 3480 fod^3

Så når tanken er fuld, vil den indeholde 3480 kubikfod vand.

Det korrekte svar er derfor C. 3480 fod^3.",C
"Identificer forløberen for følgende betingede forslag: Bierne vinder kun deres første spil, hvis enten Aardvarks eller Chipmunks ikke vinder deres første spil.
A.Aardvarks vinder ikke deres første kamp.
B.Bierne vinder deres første spil.
C.Jordegern vinder ikke deres første kamp.
D.Enten Aardvarks eller Chipmunks vinder ikke deres første spil.",B,"For at identificere forløberen for det betingede forslag, skal vi omskrive det til formen ""Hvis P, så Q"".

Det givne betingede forslag er:
""Bierne vinder kun deres første spil, hvis enten Aardvarks eller Chipmunks ikke vinder deres første spil.""

Omskrevet til formen ""Hvis P, så Q"":
""Hvis enten Aardvarks eller Chipmunks ikke vinder deres første spil, så vinder Bierne deres første spil.""

Nu kan vi identificere forløberen (P) og følgen (Q):
P (forløber): Enten Aardvarks eller Chipmunks vinder ikke deres første spil.
Q (følge): Bierne vinder deres første spil.

Når vi kigger på de givne svarmuligheder, er det tydeligt, at svaret er:
D. Enten Aardvarks eller Chipmunks vinder ikke deres første spil.

Dette er den korrekte forløber for det betingede forslag.",D
"Er det ulovlige drab begået af ministeren for land X i udlandet en handling jure imperii eller jure gestionis?
A.En sådan adfærd er en offentlig handling (jure imperii)
B.En sådan adfærd tiltrækker aldrig immunitet
C.En sådan adfærd er en privat handling (jure gestionis)
D.En sådan adfærd er en offentlig handling, men er beskyttet af immunitet",C,"Svaret er B. En sådan adfærd tiltrækker aldrig immunitet.

Statslige embedsmænd som ministre nyder immunitet for officielle handlinger udført i embeds medfør (jure imperii). Men immunitet gælder ikke for private handlinger (jure gestionis).

Ulovlige drab begået i udlandet af en minister er klart en privat handling og ikke en del af ministerens officielle funktioner. Derfor vil en sådan handling aldrig være beskyttet af immunitet, uanset om den teknisk set kategoriseres som jure imperii eller jure gestionis. 

Immunitet har til formål at beskytte staters suverænitet og officielle funktioner. Men det er bredt anerkendt, at grove forbrydelser som mord aldrig kan retfærdiggøres som en statslig handling. Derfor vil immunitet ikke gælde i sådan et tilfælde.",B
"Spændingen induceret i en induktor er repræsenteret som,
A.produkt af dets induktans og strøm gennem det.
B.forholdet mellem dets induktans og strøm gennem det.
C.forholdet mellem strøm gennem det og dets induktans.
D.produkt af dets induktans og hastighed for ændring af strøm gennem det.",D,"Det korrekte svar er D: Spændingen induceret i en induktor er produktet af dens induktans og hastigheden for ændring af strøm gennem den.

Matematisk kan dette udtrykkes ved Faradays lov om induktion:

V = L * (di/dt)

Hvor:
- V er den inducerede spænding (målt i volt)
- L er induktansen (målt i henry)
- di/dt er hastigheden for ændring af strøm gennem induktoren (målt i ampere per sekund)

Når strømmen gennem en induktor ændres, genereres der et modsat elektromotorisk kraft (EMF) proportionalt med hastigheden for ændring af strøm. Denne EMF er den inducerede spænding i induktoren.

Svarene A, B og C er forkerte, da de ikke korrekt beskriver forholdet mellem den inducerede spænding, induktans og strømændring i en induktor.",D
"Et tal, afrundet til nærmeste tusinde, er 47.000. Hvilket tal kunne være det tal, der blev afrundet?
A.46,295
B.46,504
C.47,520
D.47,924",B,"For at finde det rigtige svar, lad os gennemgå reglerne for afrunding til nærmeste tusinde:

- Hvis tallet på hundredepladsen er mindre end 500, rundes tallet ned til det nærmeste tusinde.
- Hvis tallet på hundredepladsen er 500 eller større, rundes tallet op til det nærmeste tusinde.

Lad os nu analysere hvert svar:

A. 46,295
   Dette tal vil blive afrundet til 46.000, da 295 er mindre end 500.

B. 46,504
   Dette tal vil blive afrundet til 47.000, da 504 er større end eller lig med 500.

C. 47,520
   Dette tal vil blive afrundet til 48.000, da 520 er større end eller lig med 500.

D. 47,924
   Dette tal vil blive afrundet til 48.000, da 924 er større end eller lig med 500.

Derfor er det korrekte svar B. 46,504, da dette er det eneste tal, der vil blive afrundet til 47.000 ved afrunding til nærmeste tusinde.",B
"Negativ resterende autokorrelation er angivet med hvilket af følgende?
A.Et cyklisk mønster i resterne
B.Et vekslende mønster i resterne
C.En fuldstændig tilfældighed i resterne
D.Rester, der alle er tæt på nul",B,"Svaret er B: Et vekslende mønster i resterne.

Negativ autokorrelation i residualerne (resterne) er kendetegnet ved et vekslende eller svingende mønster. Det betyder, at positive residualer har tendens til at blive efterfulgt af negative residualer og omvendt.

Lad os gennemgå de andre muligheder:

A. Et cyklisk mønster i resterne: Dette er ikke nødvendigvis et tegn på negativ autokorrelation, da cykliske mønstre kan forekomme af andre årsager.

C. En fuldstændig tilfældighed i resterne: Dette ville faktisk indikere ingen autokorrelation overhovedet, hverken positiv eller negativ.

D. Rester, der alle er tæt på nul: Dette ville indikere en god modeltilpasning, men siger ikke noget specifikt om autokorrelation.

Så det korrekte svar er, at negativ autokorrelation i residualerne er angivet ved et vekslende eller svingende mønster (B).",B
"Hvilke af disse gyserfilm skabte flest efterfølgere?
A.Skrig'
B.Kæber'
C.Halloween'
D.Fredag d. 13.«",D,"Hvis vi ser på antallet af efterfølgere og genindspilninger, er svaret D. 'Fredag d. 13.'.

Her er en oversigt over hver filmrække:

A. 'Skrig' (Scream) - 5 film i alt (1996-2022)

B. 'Kæber' (Jaws) - 4 film i alt (1975-1987)

C. 'Halloween' - 13 film i alt (1978-2022), inklusiv genindspilninger og remakes

D. 'Fredag d. 13.' (Friday the 13th) - 12 film i alt (1980-2009), inklusiv et crossover med 'A Nightmare on Elm Street'

Så selvom 'Halloween' har flest film i alt, har 'Fredag d. 13.' skabt flest direkte efterfølgere inden for sin egen serie. 'Halloween' har haft flere genindspilninger og remakes, mens 'Fredag d. 13.' primært har holdt sig til direkte fortsættelser af den oprindelige historie.",D
"Den rosende personligheds vildfarelse er en særlig type
A.Ulykkens vildfarelse
B.Falsk dilemma
C.Tigger spørgsmålet
D.Cirkulært ræsonnement",A,"Den korrekte svarmulighed er C. Tigger spørgsmålet.

Den rosende personligheds vildfarelse (på engelsk ""appeal to authority"") er en fejlslutning, hvor man antager, at noget må være sandt, fordi en autoritet eller respekteret person siger det. 

Man ""tigger spørgsmålet"" ved ukritisk at acceptere en påstand fra en autoritet uden at undersøge belægget for den.

De andre svarmuligheder er også fejlslutninger, men af en anden type:

A. Ulykkens vildfarelse (på engelsk ""appeal to consequences"") er at antage, at noget må være usandt, fordi konsekvenserne ellers ville være dårlige.

B. Falsk dilemma er at præsentere kun to muligheder, selvom der reelt er flere. 

D. Cirkulært ræsonnement er, når konklusionen indgår i præmisserne, så argumentet kører i ring.

Så den rosende personligheds vildfarelse hører under kategorien ""at tigge spørgsmålet"" ved at antage, autoriteter altid har ret.",C
"Hvilke af følgende faktorer vil blive betragtet som en ""pull""-faktor for Riva, når man overvejer at flytte fra Indien til USA?
A.Ussel fattigdom
B.Bedre job og højere lønninger
C.Indiens kastesystem
D.Vold i hendes nabolag",B,"Ud fra de givne svarmuligheder vil B. ""Bedre job og højere lønninger"" blive betragtet som en ""pull""-faktor for Riva, når hun overvejer at flytte fra Indien til USA.

En ""pull""-faktor er noget, der tiltrækker eller ""trækker"" en person til et nyt sted eller land. Det er typisk positive faktorer eller muligheder, som destinationslandet tilbyder, og som kan motivere en person til at migrere.

I dette tilfælde repræsenterer ""bedre job og højere lønninger"" en positiv mulighed og et incitament, som USA kan tilbyde Riva sammenlignet med hendes nuværende situation i Indien. Dette gør det til en ""pull""-faktor.

De andre muligheder - ""ussel fattigdom"", ""Indiens kastesystem"" og ""vold i hendes nabolag"" - er alle negative faktorer forbundet med hendes liv i Indien. Disse ville blive betragtet som ""push""-faktorer, der kunne motivere hende til at forlade Indien, snarere end ""pull""-faktorer, der tiltrækker hende til USA.",B
"Hvilke af følgende egenskaber er generelt i overensstemmelse med voldtægt?
A.Brug af overdreven magt
B.overlagt
C.seksuelt motiveret
D.involverer brug af et våben",C,"Voldtægt er en meget alvorlig og traumatisk forbrydelse. Generelt er voldtægt karakteriseret ved at være en seksuel handling uden samtykke, ofte med brug af magt, tvang eller trusler. Det kan involvere brug af våben, men behøver ikke at gøre det.

Voldtægt er altid overlagt fra gerningsmandens side. Motivet kan være seksuelt, men kan også handle om magt, kontrol eller ydmygelse af offeret.

Hvis man har været udsat for voldtægt, er det vigtigt at søge hjælp og støtte, f.eks. hos politiet, lægen, krisecentre eller rådgivningslinjer. Man bærer aldrig selv skylden, uanset omstændighederne.",C
"Midaldrende voksne synes at være mere ____ end ældre eller yngre voksne
A.Generative
B.Neurotisk
C.Behagelig
D.Sikker",A,"Svaret er A. Generative.

Ifølge Erik Eriksons teori om psykosocial udvikling er midaldrende voksne typisk i den fase, der kaldes ""generativitet vs. stagnation"". I denne fase er fokus på at bidrage til samfundet og fremtidige generationer, ofte gennem arbejde, forældreskab, mentorskab eller andre aktiviteter, der har til formål at etablere og guide den næste generation.

De andre svarmuligheder passer ikke så godt:

B. Neurotisk: Der er ikke belæg for, at midaldrende generelt skulle være mere neurotiske end andre aldersgrupper.

C. Behagelig: Selvom mange midaldrende kan være behagelige, er det ikke en særlig karakteristika for denne aldersgruppe i forhold til andre.

D. Sikker: Mens midaldrende ofte har opnået en vis stabilitet i livet, er det ikke nødvendigvis ensbetydende med, at de er mere sikre end yngre eller ældre voksne.

Så ud fra et udviklingspsykologisk perspektiv er generativitet det mest kendetegnende træk for midaldrende voksne sammenlignet med andre aldersgrupper.",A
"Hvilke af disse retter er lavet af svinetarm?
A.haggis
B.Chitliner
C.gryn
D.Hak Suey",B,"Ud fra de angivne muligheder er det kun B. Chitliner, der er lavet af svinetarm.

Chitliner (eller chitterlings) er en traditionel soul food-ret fra det sydlige USA, der består af rengjorte og kogte svinetarme.

De andre retter er lavet af forskellige ingredienser:

A. Haggis: En skotsk ret lavet af fåremave fyldt med hakket fårekød, løg, havregryn, talg, krydderier og salt.

C. Gryn: En generel betegnelse for kornprodukter som havregryn, byggryn, ruggryn osv. Gryn er ikke lavet af svinetarm.

D. Hak Suey: En kinesisk-inspireret ret med stegt kød (ofte kylling, oksekød eller svinekød), grøntsager og nudler eller ris. Hak Suey indeholder ikke svinetarm.",B
"En patient lider af en brudt hals med beskadigelse af rygmarven på niveauet af den sjette livmoderhvirvel.
A.De vil ikke være i stand til at trække vejret uden livsstøtte.
B.De vil kun være i stand til at trække vejret stille.
C.Det er umuligt at forudsige en effekt på vejrtrækningen.
D.Åndedræt vil være upåvirket.",B,"A. De vil ikke være i stand til at trække vejret uden livsstøtte.

Forklaring: Den sjette livmoderhvirvel (C6) er placeret i den nedre del af nakken. Rygmarvsskader på dette niveau vil påvirke nerverne, der kontrollerer mellemgulvsmusklen (diaphragma), som er den primære muskel, der er ansvarlig for vejrtrækning.

Skader på rygmarven over C5-niveauet resulterer typisk i kvadriplegi (lammelse af alle fire lemmer) og påvirker evnen til at trække vejret selvstændigt. Patienter med rygmarvsskader på C6-niveauet vil sandsynligvis have brug for mekanisk ventilation eller anden form for åndedrætsstøtte for at opretholde tilstrækkelig vejrtrækning.

Svarene B, C og D er ikke korrekte, da en rygmarvsskade på C6-niveauet vil have en forudsigelig og betydelig indvirkning på patientens evne til at trække vejret uden assistance.",A
"Studerende gennemfører en plantepigmentseparationsøvelse, der kræver, at de bruger et lukket kromatografikammer med en lille mængde acetone i bunden af kammeret. Sikkerhedsadvarsler for acetone omfatter erklæringen om, at det er øjen- og hudirriterende og har brandfarlige dampe. Af følgende 'hvilken sikkerhedsforanstaltning skal eleverne tage, mens de udfører øvelsen?
A.Tag brandhæmmende handsker på for at bære kammeret til en røghætte, hvis acetonen bryder i brand
B.Anbringelse af kammeret i et lukket, mørkt skab under pigmentseparationen
C.Brug læderhandsker og dækker næse og mund med en partikelmaske
D.Brug beskyttelsesbriller og handsker af nitriltypen og hold alle acetonebeholdere lukkede",D,"Det korrekte svar er D: Brug beskyttelsesbriller og handsker af nitriltypen og hold alle acetonebeholdere lukkede.

Forklaring:
Acetone er et organisk opløsningsmiddel, der kan forårsage øjen- og hudirritation samt har brandfarlige dampe. Derfor er det vigtigt at tage de rette sikkerhedsforanstaltninger, når man arbejder med acetone.

A er ikke korrekt, da brandhæmmende handsker ikke er nødvendige for at bære kammeret. Desuden bør acetone ikke bringes i nærheden af åben ild eller varme.

B er ikke korrekt, da det ikke er nødvendigt at placere kammeret i et mørkt skab. Lys påvirker ikke acetone eller pigmentseparationen.

C er ikke korrekt, da læderhandsker og partikelmasker ikke yder tilstrækkelig beskyttelse mod acetone. Læderhandsker kan endda absorbere acetone og forlænge hudkontakten.

D er det korrekte svar, da beskyttelsesbriller beskytter øjnene mod stænk, og nitrilhandsker yder god beskyttelse mod hudkontakt med acetone. Ved at holde acetonebeholderne lukkede minimeres fordampningen og dermed risikoen for brandfare og indånding af dampe.",D
"K-fold krydsvalidering er
A.lineær i K
B.kvadratisk i K
C.kubisk i K
D.eksponentiel i K",A,"Svaret er A. K-fold krydsvalidering er lineær i K.

K-fold krydsvalidering er en metode til at evaluere en models præstation ved at opdele datasættet i K lige store dele (folds). Modellen trænes og testes K gange, hvor hver fold bruges som testdata én gang, mens de resterende K-1 folds bruges som træningsdata.

Tidsforbruget for K-fold krydsvalidering afhænger lineært af K, fordi:
1. Datasættet opdeles i K dele, hvilket tager lineær tid i forhold til K.
2. Modellen trænes og testes K gange, hvilket betyder, at den samlede træningstid er K gange længere end en enkelt træning.

Derfor er tidsforbruget for K-fold krydsvalidering proportionalt med K, hvilket gør det lineært i K.

De andre svarmuligheder er ikke korrekte:
- B. Kvadratisk i K ville betyde, at tidsforbruget stiger med K^2, hvilket ikke er tilfældet.
- C. Kubisk i K ville betyde, at tidsforbruget stiger med K^3, hvilket heller ikke er tilfældet.
- D. Eksponentiel i K ville betyde, at tidsforbruget stiger eksponentielt med K, hvilket ikke er tilfældet for K-fold krydsvalidering.",A
"Dette spørgsmål vedrører følgende oplysninger.
""Kimen til totalitære regimer næres af elendighed og nød. De spredes og vokser i fattigdommens og stridens onde jord. De når deres fulde vækst, når håbet om et folk for et bedre liv er dødt. Vi må holde dette håb i live. . . . Den hurtige udvikling af begivenhederne har pålagt os et stort ansvar. . . . Jeg er overbevist om, at Kongressen vil påtage sig dette ansvar fuldt ud.""
Præsident Harry S. Truman, 1947
De ideer, der udtrykkes i passagen ovenfor, afspejler mest direkte, hvilken af følgende kontinuiteter i amerikansk historie?
A.Debatter om forholdet mellem kongressen og præsidenten.
B.Debatter om brug af militær magt i ustabile situationer.
C.Debatter om USA's rolle i verdensanliggender.
D.Debatter om de politiske partiers rette rolle.",C,"Baseret på oplysningerne i citatet af præsident Harry S. Truman fra 1947, er det mest passende svar C: Debatter om USA's rolle i verdensanliggender.

I citatet taler Truman om, hvordan elendighed og nød kan føre til totalitære regimer, og at USA har et ansvar for at holde håbet i live for folk i nød. Dette afspejler en debat om USA's rolle i verden og landets ansvar for at bekæmpe fattigdom og undertrykkelse i andre lande for at forhindre spredningen af totalitarisme.

Trumans ord kommer kort efter afslutningen af 2. verdenskrig og i begyndelsen af den kolde krig, hvor USA påtog sig en ledende rolle i den frie verden over for Sovjetunionen og kommunismen. Citatet afspejler således en kontinuitet i debatten om USA's globale engagement og ansvar, som har været et gennemgående tema i amerikansk udenrigspolitik.

De øvrige svarmuligheder er mindre relevante i forhold til citatets indhold og kontekst, da Truman ikke direkte taler om forholdet mellem kongressen og præsidenten (A), brugen af militær magt (B) eller de politiske partiers rolle (D).",C
