Question,CorrectAnswer,GivenAnswer,Correct
"¿En qué estado se encuentra la película Magnolia de 1999?
A.California
B.Carolina del Sur
C.Georgia
D.Texas",a,a,true
" Esta herramienta de marketing y comunicación ofrece un incentivo directo o un incentivo para animar a los clientes a comprar un producto/servicio:
A.Publicidad.
B.Relaciones públicas.
C.Promoción de ventas.
D.Venta directa.",c,c,true
"Las mutaciones que causan acondroplasia ejercen un efecto que se puede clasificar como:
A.dominante negativo.
B.ganancia de función.
C.haploinsuficiencia.
D.pérdida de función.",b,a.,false
"¿Cuál de estas películas de terror generó más secuelas?
A.Grito'
B.Tiburón'
C.Halloween'
D.Viernes 13'",d,d,true
"¿Cuál de estos platos está hecho con intestinos de cerdo?
A.haggis
B.Chitlins
C.sémola
D.Chop Suey",b,b,true
"La falacia de la personalidad laudatoria es un tipo específico de
A.La falacia del accidente
B.Falso dilema
C.Planteando la pregunta
D.Razonamiento circular",a,d,false
"¿Cuál es el idioma nativo del actor Antonio Banderas?
A.Español
B.Ruso
C.Alemán
D.Francés",a,a,true
"¿Cuál es el idioma oficial de los Países Bajos?
A.Danés
B.Sueco
C.Alemán
D.Holandés",d,d,true
"Los adultos de mediana edad parecen ser más ____ que los adultos mayores o más jóvenes
A.Generativo
B.Neurótico
C.Agradable
D.Cierto",a,a.,true
"La validación cruzada de K-fold es
A.lineal en K
B.cuadrática en K
C.cúbico en K
D.exponencial en K",a,a,true
"¿Cuál de los siguientes indica la autocorrelación residual negativa?
A.Un patrón cíclico en los residuos
B.Un patrón alterno en los residuos
C.Una aleatoriedad completa en los residuos
D.Residuales que son todos cercanos a cero",b,b,true
"¿Es el homicidio ilegítimo cometido por el Ministro del país X en el extranjero un acto jure imperii o jure gestionis?
A.Tal conducta es un acto público (jure imperii)
B.Dicha conducta nunca atrae inmunidad
C.Tal conducta es un acto privado (jure gestionis)
D.Dicha conducta es un acto público, pero está amparada por la inmunidad",c,a.,false
"¿Cuál de los siguientes factores se consideraría un factor de ""atracción"" para Riva al considerar una mudanza de la India a los Estados Unidos?
A.Pobreza abyecta
B.Mejor trabajo y salarios más altos
C.El sistema de castas de la India
D.Violencia en su barrio",b,b,true
"Identifique el antecedente de la siguiente proposición condicional: Las abejas ganan su primer juego solo si los cerdos hormigueros o las ardillas no ganan sus primeros juegos.
A.Los cerdos hormigueros no ganan su primer partido.
B.Las Abejas ganan su primer partido.
C.Las ardillas no ganan su primer partido.
D.Ni los cerdos hormigueros ni las ardillas listadas ganan sus primeros partidos.",b,d,false
"Determinar la concentración de H+(aq) en solución de fenol 1,0 M, C6H5OH. (El Ka para el fenol es 1 × 10^-10).
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10^-5 M",d,d.,true
"Un paciente sufre una fractura de cuello con daño en la médula espinal a nivel de la sexta vértebra cervical.
A.No podrán respirar sin soporte vital.
B.Solo podrán respirar tranquilamente.
C.Es imposible predecir un efecto sobre la respiración.
D.La respiración no se verá afectada.",b,a,false
"Esta pregunta se refiere a la siguiente información.
""Las semillas de los regímenes totalitarios se nutren de la miseria y la necesidad. Se esparcen y crecen en el suelo maligno de la pobreza y la contienda. Alcanzan su pleno crecimiento cuando la esperanza de un pueblo de una vida mejor ha muerto. Debemos mantener viva esa esperanza. . . . El rápido movimiento de los acontecimientos nos ha impuesto grandes responsabilidades. . . . Confío en que el Congreso enfrentará estas responsabilidades de frente"".
Presidente Harry S. Truman, 1947
¿Cuál de las siguientes continuidades en la historia de Estados Unidos reflejan más directamente las ideas expresadas en el pasaje anterior?
A.Debates sobre la relación entre el Congreso y el presidente.
B.Debates sobre el uso de la fuerza militar en situaciones volátiles.
C.Debates sobre el papel de Estados Unidos en los asuntos mundiales.
D.Debates sobre el papel adecuado de los partidos políticos.",c,c,true
"Los estudiantes están realizando un ejercicio de separación de pigmentos vegetales que requiere que usen una cámara de cromatografía cerrada con una pequeña cantidad de acetona en el fondo de la cámara. Las advertencias de seguridad de la acetona incluyen la declaración de que es un irritante para los ojos y la piel y tiene vapores inflamables. De las siguientes, ¿qué precauciones de seguridad deben tomar los estudiantes al realizar el ejercicio?
A.Ponerse guantes ignífugos para llevar la cámara a una campana extractora si la acetona se incendia
B.Colocación de la cámara en un gabinete cerrado y oscuro durante la separación de pigmentos
C.Usar guantes de cuero y cubrirse la nariz y la boca con una máscara de partículas
D.Usar gafas protectoras y guantes tipo nitrilo y mantener cerrados todos los envases de acetona",d,d,true
"¿Cuál de las siguientes opciones hace que la determinación de la relación evolutiva de diferentes especies basada en la secuencia de aminoácidos de proteínas homólogas sea generalmente menos precisa que las determinaciones de parentesco basadas en las secuencias de nucleótidos de genes homólogos?
A.Mutaciones silenciosas
B.Duplicaciones de genes
C.Eventos de translocación que cambian las secuencias de genes
D.Cruce",a,a.,true
"Esta pregunta se refiere a la siguiente información.
En primer lugar, debemos observar que el cosmos es esférico en su forma, en parte porque esta forma, siendo un todo perfecto que no requiere juntas, es la más completa de todas, en parte porque constituye la forma más espaciosa, la que es la más adecuada para contener y conservar todo; o también porque todas las partes constituyentes del universo, es decir, el sol, la luna y los planetas, aparecen en esta forma; o porque todo tiende a alcanzar esta forma, como aparece en el caso de las gotas de agua y otros cuerpos fluidos si intentan definirse a sí mismos. Así que nadie dudará de que esta forma pertenece a los cuerpos celestes. ...
Que la Tierra es también esférica es, por lo tanto, incuestionable, porque presiona desde todos lados sobre su centro. Aunque a causa de las elevaciones de las montañas y las depresiones de los valles no se puede entender un círculo perfecto, esto no afecta a la naturaleza esférica general de la tierra. ...
Como ya se ha demostrado que la Tierra tiene la forma de una esfera, debemos considerar si un movimiento también coincide con esta forma, y qué lugar ocupa la Tierra en el universo. ... La gran mayoría de los autores, por supuesto, están de acuerdo en que la Tierra está inmóvil en el centro del universo, y consideran inconcebible y ridículo suponer lo contrario. Pero si se sopesa cuidadosamente el asunto, se verá que la cuestión aún no está resuelta y, por lo tanto, de ninguna manera debe tomarse a la ligera. Todo cambio de lugar que se observa se debe, a saber, a un movimiento del objeto observado o del observador, o a movimientos de ambos. ... Ahora bien, es desde la tierra que se observa la revolución de los cielos y se produce para nuestros ojos. Por lo tanto, si la tierra no experimenta ningún movimiento, este movimiento debe tener lugar en todo lo que está fuera de la tierra, pero en la dirección opuesta a si todo en la tierra se moviera, y de este tipo es la revolución diaria. Así que esto parece afectar a todo el universo, es decir, a todo lo que está fuera de la tierra, con la única excepción de la tierra misma. Sin embargo, si se admitiera que este movimiento no era peculiar de los cielos, sino que la tierra giraba de oeste a este, y si esto se considerara cuidadosamente con respecto a la aparente salida y puesta del sol, la luna y las estrellas, se descubriría que esta era la situación real.
Nicolás Copérnico, Las revoluciones de los cuerpos celestes, 1543
El pasaje puede ser usado como evidencia de que Copérnico difería de los filósofos naturales tradicionales y aristotélicos de su época porque sugirió que
A.El cosmos es esférico
B.la Tierra es esférica
C.El cosmos es geostático
D.la Tierra no es estacionaria",d,d,true
"Encuentra $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,a.,true
"Un tanque tiene la forma de un prisma triangular. Si la base triangular tiene un área de 116 pies cuadrados y el tanque tiene 30 pies de altura, ¿cuánta agua contendría el tanque cuando esté lleno?
A.1725 pies^3
B.1740 pies^3
C.3480 pies^3
D.6960 pies^3",c,c.,true
