Question,CorrectAnswer,GivenAnswer,Correct
"یک تانک به شکل منشور مثلثی است. اگر پایه مثلثی دارای مساحت 116 فوت مربع باشد و مخزن 30 فوت ارتفاع داشته باشد، مخزن در هنگام پر شدن چقدر اب دارد؟
A.1725 فوت ^ 3
B.1740 فوت ^ 3
C.3480 فوت ^ 3
D.6960 فوت ^ 3",C,"برای حل این مسئله، باید حجم منشور مثلثی را محاسبه کنیم. فرمول حجم منشور مثلثی به صورت زیر است:

حجم = مساحت قاعده × ارتفاع

با توجه به اطلاعات داده شده در سوال:
- مساحت قاعده مثلثی: 116 فوت مربع
- ارتفاع مخزن: 30 فوت

حجم مخزن را محاسبه می کنیم:
حجم = 116 × 30 = 3480 فوت مکعب

بنابراین، گزینه صحیح C است: هنگامی که مخزن پر می شود، 3480 فوت مکعب آب دارد.",C
"فیلم ماگنولیا در سال 1999 در چه وضعیتی قرار دارد؟
A.کالیفرنیا
B.کارولینای جنوبی
C.گرجستان
D.تگزاس",A,گزینه A درست است. فیلم ماگنولیا (Magnolia) محصول سال 1999 به کارگردانی پل توماس اندرسون، در لس آنجلس، کالیفرنیا فیلمبرداری شده است. داستان فیلم حول محور چندین شخصیت مختلف در طول یک روز در سن فرناندو ولی کالیفرنیا می‌گذرد و به موضوعاتی مانند تصادف، شانس، عشق، بخشش و روابط خانوادگی می‌پردازد.,A
"زبان مادری انتونیو باندراس چیست؟
A.اسپانیایی
B.روسی
C.آلمانی
D.فرانسوی",A,"گزینه A درست است. زبان مادری آنتونیو باندراس اسپانیایی است.

آنتونیو باندراس بازیگر، کارگردان، تهیه‌کننده و خواننده مشهور اسپانیایی است که در 10 اوت 1960 در شهر مالاگا در جنوب اسپانیا به دنیا آمد. او در فیلم‌های متعددی در سینمای اسپانیا و هالیوود ایفای نقش کرده و به زبان اسپانیایی و انگلیسی تسلط دارد. اما زبان مادری و اصلی او اسپانیایی است.",A
"زبان رسمی هلند چیست؟
A.دانمارکی
B.سوئدی
C.آلمانی
D.هلندی",D,"گزینه صحیح D است. زبان رسمی هلند، هلندی (Dutch) می‌باشد.

هلندی یک زبان هندواروپایی از شاخه زبان‌های ژرمنی است که بیشتر مردم هلند و بخش‌هایی از بلژیک به آن صحبت می‌کنند. این زبان با آلمانی و انگلیسی خویشاوندی نزدیکی دارد.

دانمارکی و سوئدی نیز از زبان‌های ژرمنی شمالی هستند اما زبان‌های رسمی کشورهای دانمارک و سوئد محسوب می‌شوند، نه هلند.",D
"ولتاژ القا شده در یک سلف به عنوان نشان داده شده است،
A.محصول از القای ان و جریان از طریق ان.
B.نسبت القای ان به جریان از طریق ان.
C.نسبت جریان از طریق ان به القای ان.
D.محصول القایی ان و میزان تغییر جریان از طریق ان.",D,"گزینه D درست است. ولتاژ القا شده در یک سلف برابر است با حاصلضرب ضریب القایی (L) در نرخ تغییر جریان عبوری از سلف (di/dt).

به عبارت ریاضی:

V = L * (di/dt)

که در آن:
V = ولتاژ القایی (ولت)
L = ضریب القایی سلف (هانری) 
di/dt = نرخ تغییر جریان سلف بر حسب زمان (آمپر بر ثانیه)

بنابراین ولتاژ القایی سلف به ضریب القایی آن و سرعت تغییر جریان عبوری بستگی دارد. هرچه ضریب القایی بیشتر باشد یا جریان سریع‌تر تغییر کند، ولتاژ القایی بزرگتر خواهد بود.",D
"کدام یک از این فیلمهای ترسناک بیشترین دنباله را به وجود اورد؟
A.جیغ بزن
B.اروارهها
C.هالووین
D.جمعه سیزدهم",D,"گزینه D یعنی ""جمعه سیزدهم"" بیشترین دنباله را در بین این فیلم‌های ترسناک داشته است.

فیلم ""جمعه سیزدهم"" (Friday the 13th) که اولین قسمت آن در سال 1980 اکران شد، تا کنون 12 دنباله سینمایی داشته است. این مجموعه فیلم یکی از طولانی‌ترین و پرتعدادترین سری فیلم‌های ترسناک در تاریخ سینما محسوب می‌شود.

در مقایسه:
- ""جیغ بزن"" (Scream) 5 قسمت 
- ""آرواره‌ها"" (Jaws) 4 قسمت
- ""هالووین"" (Halloween) 11 قسمت سینمایی داشته‌اند.

بنابراین ""جمعه سیزدهم"" با 12 دنباله، رکورددار بیشترین دنباله در بین این چهار مجموعه فیلم ترسناک کلاسیک است.",D
"پیشینه گزاره شرطی زیر را شناسایی کنید: زنبورها اولین بازی خود را تنها در صورتی برنده می شوند که Aardvarks یا سنجاب ها اولین بازی خود را برنده نشوند.
A.موش صحرایی اولین بازی خود را برنده نمی شود.
B.زنبورها اولین بازی خود را برنده می شوند.
C.سنجاب ها اولین بازی خود را برنده نمی شوند.
D.یا موش صحرایی یا سنجاب ها اولین بازی های خود را برنده نمی شوند.",B,"گزینه C پیشینه درست برای گزاره شرطی داده شده است.

توضیح:
گزاره شرطی می‌گوید: ""زنبورها اولین بازی خود را تنها در صورتی برنده می شوند که Aardvarks یا سنجاب ها اولین بازی خود را برنده نشوند.""

این گزاره را می‌توان به صورت زیر بازنویسی کرد:
اگر زنبورها اولین بازی خود را برنده شوند، آنگاه Aardvarks یا سنجاب ها اولین بازی خود را برنده نمی‌شوند.

با توجه به اینکه در گزینه‌ها، Aardvarks ذکر نشده است، تنها گزینه‌ای که پیشینه درست برای این گزاره شرطی است، گزینه C است که بیان می‌کند: ""سنجاب ها اولین بازی خود را برنده نمی شوند.""

سایر گزینه‌ها:
A و D: ارتباطی با گزاره شرطی ندارند.
B: نتیجه گزاره شرطی است، نه پیشینه آن.",C
"کدام یک از ویژگی های زیر به طور کلی با تجاوز تاریخی سازگار است؟
A.استفاده از نیروی بیش از حد
B.از پیش برنامه ریزی شده
C.انگیزه جنسی
D.استفاده از یک سلاح",C,"هیچکدام از گزینه‌های ارائه شده به طور کلی با تجاوز تاریخی سازگار نیست. تجاوز جنسی یک جرم خشونت‌آمیز و غیرقابل توجیه است که انگیزه‌های پیچیده‌ای دارد و نمی‌توان آن را به یک ویژگی خاص محدود کرد. 
تجاوز اغلب شامل سوءاستفاده از قدرت، کنترل و تسلط بر قربانی است تا صرفاً یک عمل جنسی. عوامل فرهنگی، اجتماعی و روانشناختی متعددی می‌تواند در بروز آن نقش داشته باشد.
به طور کلی، تجاوز یک پدیده چندوجهی است که نمی‌توان آن را با یک ویژگی مشخص تعریف کرد. برای درک بهتر علل و پیشگیری از آن، نیاز به بررسی جامع‌تری از زمینه‌های مختلف وقوع آن است.",C
"این سوال به اطلاعات زیر اشاره دارد.
اول باید بگوییم که کیهان به شکل کروی است، بخشی به این دلیل که این فرم یک کل کامل است که نیازی به مفاصل ندارد، کامل ترین است، بخشی به این دلیل که بزرگ ترین شکل را ایجاد می کند، که برای مهار و حفظ همه چیز مناسب است. یا دوباره به این دلیل که تمام اجزای تشکیل دهنده جهان، یعنی خورشید، ماه و سیارات به این شکل ظاهر می شوند. یا به این دلیل که همه چیز تلاش می کند تا به این شکل برسد، همانطور که در مورد قطرات اب و سایر اجسام سیال ظاهر می شود، اگر انها تلاش می کنند خود را تعریف کنند. بنابراین هیچ شک نخواهد کرد که این شکل متعلق به اجسام اسمانی است. ...
بنابراین کروی بودن زمین فراتر از سوال است، زیرا از همه طرف به مرکز ان فشار می دهد. اگر چه به دلیل ارتفاعات کوه ها و فرورفتگی دره ها نمی توان یک دایره کامل را درک کرد، اما این بر ماهیت کروی عمومی زمین تاثیر نمی گذارد. ...
همانطور که قبلا نشان داده شده است که زمین به شکل یک کره است، باید در نظر بگیریم که ایا یک حرکت نیز با این شکل همزمان است و زمین چه جایگاهی در جهان دارد. ... البته اکثریت قریب به اتفاق نویسندگان موافقند که زمین هنوز در مرکز جهان قرار دارد و تصور برعکس ان را غیر قابل تصور و مسخره می دانند. اما اگر موضوع به دقت سنجیده شود، دیده خواهد شد که این مسئله هنوز حل نشده است و بنابراین به هیچ وجه نباید به راحتی مورد توجه قرار گیرد. هر تغییر مکان که مشاهده می شود، یعنی حرکت جسم مشاهده شده یا ناظر یا حرکات هر دو است. ... اکنون از زمین است که انقلاب اسمان دیده می شود و برای چشمان ما تولید می شود. بنابراین اگر زمین تحت هیچ حرکتی قرار نگیرد، این حرکت باید در همه چیز خارج از زمین انجام شود، اما در جهت مخالف از اینکه همه چیز بر روی زمین حرکت کند، و از این نوع انقلاب روزانه است. بنابراین به نظر می رسد که این بر کل جهان تاثیر می گذارد، یعنی همه چیز خارج از زمین به استثنای خود زمین. با این حال، اگر بپذیریم که این حرکت مختص اسمان ها نیست، بلکه زمین از غرب به شرق می چرخد، و اگر این موضوع با توجه به طلوع و غروب ظاهری خورشید، ماه و ستاره ها به دقت مورد توجه قرار گیرد، کشف خواهد شد که این وضعیت واقعی است.
نیکلاس کوپرنیک، انقلابهای اجسام اسمانی، ۱۵۴۳
این متن ممکن است به عنوان شواهدی مورد استفاده قرار گیرد که کوپرنیک با فیلسوفان طبیعی سنتی و ارسطویی زمان خود متفاوت است، زیرا او پیشنهاد کرد که
A.کیهان کروی است
B.زمین کروی است
C.کیهان ژئواستاتیک است
D.زمین ثابت نیست",D,"با توجه به متن ارائه شده، گزینه D صحیح است. کوپرنیک در این متن پیشنهاد می‌کند که زمین ثابت نیست و از غرب به شرق می‌چرخد. این نظریه برخلاف دیدگاه سنتی ارسطویی در آن زمان بود که معتقد بود زمین ثابت است و در مرکز عالم قرار دارد.

کوپرنیک در مورد کروی بودن کیهان و زمین (گزینه‌های A و B) با فیلسوفان سنتی هم‌عقیده است و آنها را به چالش نمی‌کشد. او همچنین در این متن به صراحت بیان می‌کند که اکثر نویسندگان معتقدند زمین در مرکز جهان قرار دارد (گزینه C)، اما خودش این دیدگاه را زیر سوال می‌برد.

بنابراین تنها در مورد متحرک بودن زمین (گزینه D) است که کوپرنیک نظری متفاوت با فیلسوفان سنتی ارائه می‌دهد.",D
"یک عدد، گرد به نزدیکترین هزار، 47000 است. کدام عدد می تواند عددی باشد که گرد شده است؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"برای پیدا کردن عددی که گرد شده آن 47000 است، باید به این نکته توجه کنیم که اعداد از 46500 تا 47499 وقتی گرد می شوند، به 47000 گرد می شوند.

بیایید گزینه ها را بررسی کنیم:

A. 46,295 - این عدد کمتر از 46500 است، بنابراین وقتی گرد شود به 46000 گرد می شود، نه 47000. پس این گزینه درست نیست.

B. 46,504 - این عدد بین 46500 تا 47499 قرار دارد، بنابراین وقتی گرد شود به 47000 گرد می شود. پس این گزینه می تواند درست باشد.

C. 47,520 - این عدد بیشتر از 47499 است، بنابراین وقتی گرد شود به 48000 گرد می شود، نه 47000. پس این گزینه درست نیست.

D. 47,924 - این عدد هم بیشتر از 47499 است، بنابراین وقتی گرد شود به 48000 گرد می شود، نه 47000. پس این گزینه هم درست نیست.

بنابراین، تنها گزینه B یعنی 46,504 می تواند عددی باشد که وقتی گرد می شود، به 47000 گرد می شود.",B
