Question,CorrectAnswer,GivenAnswer,Correct
"Cad é teanga dhúchais an aisteora Antonio Banderas?
A.Spainnis
B.Rúisis
C.Gearmáinis
D.Fraincis",A,"Is é an freagra ceart ná A. Spáinnis.

Is aisteoir Spáinneach é Antonio Banderas a rugadh i Málaga, an Spáinn. Is í an Spáinnis a theanga dhúchais mar sin.",A
"Tá umar i gcruth priosma triantánach. Má tá achar 116 troigh cearnach ag an mbonn triantánach, agus má tá an t-umar 30 troigh ar airde, cé mhéad uisce a bheadh san umar nuair a bheadh sé lán?
A.1725 troigh ^ 3
B.1740 troigh ^ 3
C.3480 troigh ^ 3
D.6960 troigh ^ 3",C,"Chun an méid uisce san umar a ríomh, ní mór dúinn toirt an phriosma thriantánaigh a aimsiú. Is é an foirmle don toirt ná:

Toirt = (Achar an bhoinn) × (Airde)

Tá achar an bhoinn triantánaigh tugtha dúinn mar 116 troigh cearnach, agus tá airde an umair 30 troigh.

Mar sin, is é toirt an umair ná:

Toirt = 116 troigh ^ 2 × 30 troigh
         = 3480 troigh ^ 3

Dá bhrí sin, is é an freagra ceart ná C. 3480 troigh ^ 3.",C
"Tagraíonn an cheist seo don eolas seo a leanas.
Ar dtús ní mór dúinn a rá go bhfuil an cosmos sféarúil i bhfoirm, go páirteach toisc go bhfuil an fhoirm seo ina iomláine foirfe nach dteastaíonn aon joints, is é an ceann is iomláine ar fad, go páirteach toisc go ndéanann sé an fhoirm is capacious, is fearr a oireann gach rud a choinneáil agus a chaomhnú; nó arís toisc go bhfuil comhchodanna uile na cruinne, is é sin an ghrian, an ghealach agus na pláinéid le feiceáil san fhoirm seo; nó toisc go ndéanann gach rud iarracht an fhoirm seo a bhaint amach, mar is léir i gcás titeann uisce agus dobharlaigh eile má dhéanann siad iarracht iad féin a shainmhíniú. Mar sin, ní bheidh aon amhras ar aon duine go mbaineann an fhoirm seo leis na comhlachtaí neamhaí. ...
Go bhfuil an domhan freisin sféarúil dá bhrí sin thar cheist, toisc go presses sé ó gach taobh ar a lár. Cé nach féidir ciorcal foirfe a thuiscint mar gheall ar ingearchlónna na sléibhte agus dúlagair na ngleann, ach ní dhéanann sé seo difear do nádúr sféarúil ginearálta an domhain. ...
Ós rud é go bhfuil sé léirithe cheana féin go bhfuil an domhan i bhfoirm sféir, ní mór dúinn a mheas an bhfuil gluaiseacht ag teacht leis an bhfoirm seo freisin, agus cén áit a bhfuil an domhan sna cruinne. ... Aontaíonn formhór mór na n-údar ar ndóigh go seasann an domhan fós i lár na cruinne, agus measann siad go bhfuil sé inconceivable agus ridiculous a cheapadh os coinne. Ach má dhéantar an t-ábhar a mheá go cúramach, feicfear nach bhfuil an cheist socraithe go fóill agus dá bhrí sin ní mheasfar go héadrom í. Tá gach athrú áite a bhreathnaítear dlite, is é sin, do ghluaiseacht an ruda breathnaithe nó an bhreathnóra, nó do ghluaiseachtaí an dá rud. ... Anois tá sé as an domhain go bhfuil an réabhlóid na flaithis breathnaithe agus tá sé a tháirgtear le haghaidh ár súile. Dá bhrí sin, má théann an domhan aon ghluaiseacht ní mór an ghluaiseacht seo ar siúl i ngach rud taobh amuigh den domhan, ach sa treo eile ná má bhog gach rud ar an domhan, agus den chineál seo is é an réabhlóid laethúil. Mar sin, is cosúil go dtéann sé seo i bhfeidhm ar na cruinne ar fad, is é sin, gach rud lasmuigh den domhan seachas an domhan féin. Más rud é, áfach, ba chóir a admháil nach raibh an ghluaiseacht seo peculiar do na flaithis, ach go revolved an domhain ó iarthar go soir, agus má bhí sé seo a mheas go cúramach maidir leis an éirí amach dealraitheach agus suíomh na gréine, an ghealach agus na réaltaí, bheadh sé amach go raibh sé seo an staid fíor. ""
Nicolas Copernicus, Réabhlóidí na gComhlachtaí ar Neamh, 1543
Is féidir an sliocht a úsáid mar fhianaise go raibh Copernicus difriúil ó fhealsúna nádúrtha traidisiúnta, Aristotelian a linne toisc gur mhol sé
A.tá an cosmos sféarúil
B.tá an Domhan sféarúil
C.tá an cosmos geostatach
D.níl an Domhan ina stad",D,"D. níl an Domhan ina stad

Míníonn an sliocht go raibh formhór na n-údar ag an am den tuairim go raibh an Domhan ina stad i lár na cruinne, ach chuir Copernicus i gcoinne an tuairim seo. Mhol sé gur chóir machnamh a dhéanamh ar an bhféidearthacht go raibh an Domhan ag casadh ó iarthar go soir, seachas a bheith ina stad. Léiríonn sé seo go raibh Copernicus difriúil ó fhealsúna nádúrtha traidisiúnta a linne a chreid go raibh an Domhan ina stad.",D
"Cad í teanga oifigiúil na hÍsiltíre?
A.Danmhairgis
B.Sualainnis
C.Gearmáinis
D.Ísiltíris",D,"Is í an Ísiltíris (freagra D) teanga oifigiúil na hÍsiltíre.

Cé go labhraítear teangacha eile san Ísiltír freisin, cosúil leis an bhFreaslainnis sa chuid thuaisceartach den tír, is í an Ísiltíris an t-aon teanga oifigiúil ag an leibhéal náisiúnta. 

Tá an Danmhairgis, an tSualainnis agus an Ghearmáinis ina dteangacha oifigiúla ina dtíortha féin (an Danmhairg, an tSualainn, agus an Ghearmáin faoi seach), ach ní teangacha oifigiúla iad san Ísiltír.",D
"Cén staid ina bhfuil sraith an scannáin Magnolia i 1999?
A.California
B.Carolina Theas
C.An tSeoirsia
D.Texas",A,"Is i gCalifornia a bhfuil sraith an scannáin Magnolia suite i 1999.

Tá an scannán Magnolia suite i San Fernando Valley in California. Insíonn an scannán scéalta roinnt carachtair éagsúla a bhfuil a saoil fite fuaite le chéile ar bhealaí éagsúla. Tá radhairc ann ó áiteanna ar fud San Fernando Valley, lena n-áirítear codanna de na cathracha Studio City, Sherman Oaks agus Burbank.

Mar sin, is é California an freagra ceart ar an gceist seo - is sa stáit sin a bhfuil suíomh an scannáin Magnolia lonnaithe.",A
"I gcomparáid le páirtithe polaitiúla i dtíortha ar nós Shasana agus Iosrael, a bhfuil córais ilpháirtí ag an dá cheann acu, tá páirtithe polaitiúla Mheiriceá
A.tionchar a imirt ar thoradh toghchán
B.nach bhfuil chomh soiléir sin le idé-eolaíochtaí polaitiúla comhsheasmhacha
C.chomh héifeachtach céanna ag bailiú airgid ó lucht tacaíochta polaitiúla
D.ábalta spriocanna a ndáilcheantair ar fad a léiriú níos fearr",B,"B. nach bhfuil chomh soiléir sin le idé-eolaíochtaí polaitiúla comhsheasmhacha

Is é seo an freagra is fearr ar an gceist. I gcomparáid le páirtithe polaitiúla i dtíortha eile a bhfuil córais ilpháirtí acu cosúil le Sasana agus Iosrael, ní bhíonn idé-eolaíochtaí polaitiúla chomh soiléir ná comhsheasmhach ag páirtithe polaitiúla Mheiriceá.

Cé go mbíonn tionchar ag páirtithe Mheiriceá ar thoghcháin (A), ní hé sin an príomhdhifríocht. Ní bhaineann C le hábaltacht airgead a bhailiú. Agus cé go léiríonn páirtithe Mheiriceá spriocanna a ndáilcheantair (D), ní hiad na spriocanna sin an phríomhdhifríocht ach an easpa soiléireachta idé-eolaíochta i gcomparáid le tíortha eile.",B
"Sainaithin réamhfhocal an tairiscint choinníollach seo a leanas: Ní bhuaigh na Beacha a gcéad chluiche ach amháin mura mbuafaidh na Aardvarks nó na Chipmunks a gcéad chluichí.
A.Ní bhuaigh na Aardvarks a gcéad chluiche.
B.Bhuaigh na Beacha a gcéad chluiche.
C.Ní bhuaigh na Chipmunks a gcéad chluiche.
D.Ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí.",B,"Is é an freagra ceart ná D: Ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí.

Seo an míniú:
Tá an tairiscint choinníollach ""Ní bhuaigh na Beacha a gcéad chluiche ach amháin mura mbuafaidh na Aardvarks nó na Chipmunks a gcéad chluichí"" cothrom le:
""Ní bhuaigh na Beacha a gcéad chluiche ach amháin mura (mbuafaidh na Aardvarks a gcéad chluiche nó mbuafaidh na Chipmunks a gcéad chluiche)""

Is féidir é seo a scríobh mar:
""Ní bhuaigh na Beacha a gcéad chluiche ach amháin má (ní bhuaigh na Aardvarks a gcéad chluiche agus ní bhuaigh na Chipmunks a gcéad chluiche)""

Mar sin, is é an réamhfhocal ceart ná:
""Ní bhuaigh na Aardvarks nó na Chipmunks a gcéad chluichí"", atá cothrom le freagra D.",D
"Cé acu de na fachtóirí seo a leanas a mheasfaí a bheith ina fhachtóir ""tarraingt"" do Riva agus é ag smaoineamh ar aistriú ón India go dtí na Stáit Aontaithe?
A.Bochtanas a mhaolú
B.Post níos fearr agus pá níos airde
C.Córas caste na hIndia
D.Foréigean ina chomharsanacht",B,"Is é B. ""Post níos fearr agus pá níos airde"" an freagra ceart ar an gceist seo.

Tagraíonn fachtóir ""tarraingt"" do rud éigin dearfach a mheallann duine chun bogadh go dtí áit nua. As na roghanna a tugadh, is é post níos fearr agus pá níos airde an t-aon fhachtóir a d'fhéadfadh a bheith ina spreagadh dearfach do Riva chun bogadh ón India go dtí na Stáit Aontaithe.

Bheadh na fachtóirí eile cosúil le bochtanas, córas caste na hIndia, nó foréigean ina chomharsanacht ina bhfachtóirí ""brú"" - rudaí diúltacha a bhrúnn duine chun a thír dhúchais a fhágáil. Ach ní fachtóirí dearfacha tarraingte iad a mheallfadh duine chun bogadh go dtí áit nua.",B
"An gníomh jure imperii nó jure gestionis é an dúnbhású neamhdhleathach a rinne Aire tíre X thar lear?
A.Is gníomh poiblí é iompar den sórt sin (jure imperii)
B.Ní mheallann iompar den sórt sin díolúine riamh
C.Is gníomh príobháideach é iompar den sórt sin (jure gestionis)
D.Is gníomh poiblí é iompar den sórt sin ach tá sé cosanta ag díolúine",C,"Is gníomh poiblí é dúnbhású neamhdhleathach a dhéanann Aire tíre thar lear (jure imperii), ach ní mheallann sé díolúine riamh.

Cé go bhfuil dúnbhású neamhdhleathach ina ghníomh oifigiúil a dhéanann Aire thar ceann an stáit (gníomh jure imperii de ghnáth), ní thugann sé sin ceart díolúine dó. 

De réir an dlí idirnáisiúnta, níl díolúine ag gníomhartha coiriúla tromchúiseacha ar nós dúnbhású fiú má dhéanann oifigeach stáit iad agus é ag gníomhú go hoifigiúil. Sáraíonn a leithéid de choir caighdeáin bhunúsacha an dlí idirnáisiúnta.

Mar sin, cé gur gníomh poiblí oifigiúil é, níl an dúnbhású neamhdhleathach cosanta ag díolúine stáit. Bheadh an tAire freagrach as an ngníomh go pearsanta.",B
"Léirítear an voltas a spreagtar in ionduchtóir mar,
A.táirge a ionduchtais agus a srutha tríd.
B.cóimheas idir a ionduchtú agus an sruth tríd.
C.cóimheas srutha tríd go dtí a ionduchtas.
D.a ionduchtú agus a ráta athraithe srutha tríd.",D,"Is é an freagra ceart ná D. a ionduchtú agus a ráta athraithe srutha tríd.

Léirítear an voltas a spreagtar in ionduchtóir, V, mar an táirge dá ionduchtú, L, agus ráta athraithe an tsrutha tríd, dI/dt.

V = L * dI/dt

Braitheann an voltas a spreagtar ar an ráta ag a athraíonn an sruth tríd an ionduchtóir thar am, ní hamháin ar mhéid an tsrutha nó an ionduchtais féin. Dá mhéad an t-athrú srutha in aghaidh an ama, is ea is mó an voltas a spreagfar.

Ní hionann seo agus na roghanna eile:
A. Ní hé táirge an ionduchtais agus an tsrutha é, ach an t-ionduchtas agus ráta athraithe an tsrutha. 
B/C. Ní chóimheas idir an t-ionduchtas agus an sruth atá i gceist ach táirge.",D
