Question,CorrectAnswer,GivenAnswer,Correct
"Que é o actor Antonio Banderas lingua nativa?
A.Españois
B.Ruso
C.Alemán
D.Francés",A,"A resposta correta é A. Español (espanhol).

Antonio Banderas é um ator espanhol, nascido em Málaga, na Andaluzia, Espanha. Sua língua nativa é o espanhol. Ele começou sua carreira no teatro e no cinema espanhol antes de alcançar sucesso internacional em filmes de Hollywood.",A
"En que estado está a película Magnolia de 1999?
A.California
B.Carolina do Sur
C.Xeorxia
D.Texas",A,"A. California

La película ""Magnolia"" de 1999, dirigida por Paul Thomas Anderson, está ambientada en el Valle de San Fernando, en el área de Los Ángeles, California. La trama entrelaza varias historias de personajes que viven en esta región, explorando temas como las relaciones familiares, el amor, la redención y las coincidencias de la vida. Toda la acción de la película se desarrolla en diferentes locaciones de California, principalmente en el área metropolitana de Los Ángeles.",A
"Un tanque ten forma de prisma triangular. Se a base triangular ten unha superficie de 116 pés cadrados, e o tanque ten 30 pés de altura, canta auga contería o tanque cando está cheo?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Para calcular o volume dun prisma triangular, usamos a fórmula:

Volume = (Área da base triangular) × Altura

Dános os seguintes datos:
- A base triangular ten unha superficie de 116 pés cadrados
- O tanque ten 30 pés de altura

Agora, calculemos o volume:

Volume = 116 ft² × 30 ft
Volume = 3480 ft³

Polo tanto, a resposta correcta é a opción C: 3480 ft³. Cando o tanque está cheo, contería 3480 pés cúbicos de auga.",C
"Identifica o antecedente da seguinte proposición condicional: Os Bees gañan o seu primeiro partido só se os Aardvarks ou os Chipmunks non gañan os seus primeiros partidos.
A.Os Aardvarks non gañan o seu primeiro partido.
B.As abellas gañan o seu primeiro partido.
C.Os chipmunks non gañan o seu primeiro partido.
D.Ou os Aardvarks ou os Chipmunks non gañan os seus primeiros partidos.",B,"O antecedente dunha proposición condicional é a parte que segue a palabra ""se"". Neste caso, a proposición condicional é:

""Os Bees gañan o seu primeiro partido só se os Aardvarks ou os Chipmunks non gañan os seus primeiros partidos.""

O antecedente é a parte despois de ""se"", que é:

""os Aardvarks ou os Chipmunks non gañan os seus primeiros partidos""

Isto corresponde á opción D: ""Ou os Aardvarks ou os Chipmunks non gañan os seus primeiros partidos.""

Polo tanto, a resposta correcta é a opción D.",D
"Cal das seguintes características son xeralmente consistentes coa violación de datas?
A.Uso da forza excesiva
B.Premeditado
C.Motivación sexual
D.implica o uso dunha arma",C,"As características que son xeralmente consistentes coa violación de datas son:

C. Motivación sexual 

A violación de datas implica contacto sexual non consensual, polo que a motivación principal é de natureza sexual. 

As outras características mencionadas (uso excesivo da forza, premeditación, uso de armas) poden estar presentes nalgúns casos, pero non son inherentes á definición de violación de datas. A clave é a falta de consentimento, independentemente de se houbo violencia, planificación previa ou armas involucradas.

É importante destacar que calquera actividade sexual sen consentimento claro constitúe unha agresión, independentemente do contexto ou relación entre as persoas. O consentimento debe ser libre, reversible, informado, entusiasta e específico.",C
"Cal destes filmes de terror xerou máis secuelas?
A.Berros'
B.Xabier'
C.Halloween'
D.Venres 13'",D,"A resposta correcta é D. Venres 13.

A franquía de películas ""Venres 13"" (Friday the 13th en inglés) é a que xerou o maior número de secuelas entre as opcións dadas:

- A franquía orixinal de ""Venres 13"" ten 12 películas (incluíndo o remake de 2009).

- ""Halloween"" ten 11 películas na súa franquía principal (sen contar os remakes de Rob Zombie).

- ""Berros"" (Scream) ten 5 películas ata o momento.

- ""Xabier"" non é unha franquía de terror coñecida, polo que asumo que se refire a ""Saw"" (Xogo Macabro). Esta franquía ten 9 películas.

Polo tanto, ""Venres 13"" é a franquía con máis secuelas entre as opcións proporcionadas.",D
"Cal é a lingua oficial dos Países Baixos?
A.Dinamarqués
B.Sueco
C.Alemán
D.Holanda",D,"A resposta correcta é D. Holandés (ou Neerlandés).

O idioma oficial dos Países Baixos é o holandés, tamén chamado neerlandés. É unha lingua xermánica occidental, estreitamente relacionada co alemán e o frisón. Aínda que o termo ""holandés"" se usa a miúdo para referirse ao idioma dos Países Baixos, tecnicamente ""holandés"" refírese aos dialectos falados nas provincias de Holanda do Norte e Holanda do Sur.

As outras opcións non son correctas:

A. O dinamarqués é a lingua oficial de Dinamarca, non dos Países Baixos.

B. O sueco é a lingua oficial de Suecia.

C. Aínda que o alemán ten algunhas similitudes co holandés, non é a lingua oficial dos Países Baixos. Con todo, o alemán é recoñecido como lingua minoritaria rexional na provincia de Limburgo.",D
"Os adultos de mediana idade parecen ser máis ____ que os adultos maiores ou máis novos.
A.Xerativa
B.Neurótico
C.Agradable
D.Certas",A,"A resposta correcta é B. Neurótico.

Segundo diversos estudos psicolóxicos, os adultos de mediana idade tenden a mostrar niveis máis altos de neuroticismo en comparación cos adultos máis novos ou maiores. O neuroticismo é un trazo de personalidade caracterizado por unha maior tendencia a experimentar emocións negativas como ansiedade, preocupación, irritabilidade ou tristeza.

As outras opcións non son correctas:

A. Xerativa: A xeratividade refírese á preocupación por guiar e coidar ás seguintes xeracións, non é un trazo máis destacado na mediana idade.

C. Agradable: A amabilidade é un trazo de personalidade que non está especificamente ligado á idade. 

D. Certas: ""Certas"" non ten sentido como resposta á pregunta, xa que non describe un trazo de personalidade.

Polo tanto, a resposta que mellor completa a frase é ""Neurótico"", indicando que os adultos de mediana idade tenden a mostrar maiores niveis deste trazo de personalidade.",B
"Cal dos seguintes factores sería considerado un factor de ""tirón"" para Riva ao considerar un paso da India a Estados Unidos?
A.Pobreza abxecta
B.Mellor emprego e salarios máis altos
C.Sistema de castas da India
D.Violencia no seu barrio",B,"Dos factores mencionados, o que sería considerado un factor de ""tirón"" (pull factor) para Riva ao considerar un paso da India aos Estados Unidos sería:

B. Mellor emprego e salarios máis altos

Os factores de ""tirón"" son aqueles que atraen ás persoas cara un novo lugar, ofrecendo condicións ou oportunidades atractivas. Neste caso, a perspectiva de conseguir un mellor emprego e salarios máis altos nos Estados Unidos actuaría como un incentivo para que Riva considere mudarse alí dende a India.

Os outros factores mencionados serían considerados factores de ""empuxe"" (push factors), é dicir, condicións negativas no lugar de orixe que impulsan ás persoas a marcharse:

A. Pobreza abxecta
C. Sistema de castas da India 
D. Violencia no seu barrio

Estes factores poderían facer que Riva quixese deixar a India, pero non son específicos dos Estados Unidos como destino. O mellor emprego e salarios, en cambio, si que son un atractivo concreto dese país.",B
"A autocorrelación residual negativa indícase por cal é unha das seguintes?
A.Patrón cíclico nos residuais
B.Patrón alternante nos residuais
C.Unha aleatoriedade completa nos residuos
D.Residuos que están todos próximos a cero",B,"A resposta correcta é a opción B: Patrón alternante nos residuais.

Unha autocorrelación residual negativa significa que os residuos tenden a alternar entre valores positivos e negativos en observacións consecutivas. É dicir, se un residuo é positivo, o seguinte tende a ser negativo, logo o próximo positivo, e así sucesivamente. Isto crea un patrón alternante ou zigzag nos residuos.

As outras opcións non son correctas:

A. Un patrón cíclico nos residuos indicaría unha autocorrelación positiva, non negativa.

C. Unha aleatoriedade completa nos residuos significaría que non hai autocorrelación, nin positiva nin negativa.

D. Residuos próximos a cero non indican necesariamente unha autocorrelación negativa. Poderían indicar un bo axuste do modelo, pero non informan sobre o patrón de autocorrelación.

Polo tanto, a resposta correcta para unha autocorrelación residual negativa é a opción B, un patrón alternante nos residuais.",B
