Question,CorrectAnswer,GivenAnswer,Correct
"1999 की फिल्म मैगनोलिया 'किस राज्य में सेट है?
A.कैलिफ़ोर्निया
B.दक्षिण कैरोलिना
C.जॉर्जिया
D.टेक्सास",A,"A. कैलिफ़ोर्निया

1999 की फिल्म मैगनोलिया कैलिफ़ोर्निया राज्य के लॉस एंजिल्स शहर में सेट है। फिल्म के निर्देशक पॉल थॉमस एंडरसन ने इस फिल्म को लॉस एंजिल्स की पृष्ठभूमि में फिल्माया था और फिल्म की कहानी भी इसी शहर के इर्द-गिर्द घूमती है।",A
"एक टैंक एक त्रिकोणीय प्रिज्म के आकार में है। यदि त्रिभुजाकार आधार का क्षेत्रफल 116 वर्ग फुट है, और टैंक 30 फीट लंबा है, तो टैंक में कितना पानी होगा जब यह भरा होगा?
A.1725 फीट ^ 3
B.1740 फीट ^ 3
C.3480 फीट^3
D.6960 फीट ^ 3",C,"इस प्रश्न को हल करने के लिए, हमें त्रिकोणीय प्रिज्म के आयतन की गणना करनी होगी।

त्रिकोणीय प्रिज्म का आयतन = 1/2 × आधार का क्षेत्रफल × ऊंचाई

दिया गया है:
- त्रिभुजाकार आधार का क्षेत्रफल = 116 वर्ग फीट
- टैंक की लंबाई (ऊंचाई) = 30 फीट

आयतन = 1/2 × 116 × 30
      = 58 × 30
      = 1740 घन फीट

इसलिए, सही उत्तर विकल्प B है: 1740 फीट^3।",B
"अभिनेता एंटोनियो बैंडेरस मूल भाषा क्या है?
A.स्पैनिश
B.रूसी
C.जर्मन
D.फ़्रेंच",A,"अभिनेता एंटोनियो बैंडेरस की मूल भाषा स्पैनिश है।

एंटोनियो बैंडेरस का जन्म स्पेन के मालागा शहर में हुआ था। उनकी मातृभाषा स्पैनिश है और वे मूल रूप से स्पेन के निवासी हैं। हालांकि वे अंग्रेजी भाषा में भी धाराप्रवाह हैं और हॉलीवुड फिल्मों में काम करते हैं, लेकिन उनकी पहली भाषा स्पैनिश ही है।

इसलिए सही उत्तर विकल्प A. स्पैनिश है।",A
"निम्नलिखित सशर्त प्रस्ताव के पूर्ववर्ती की पहचान करें: मधुमक्खियां अपना पहला गेम तभी जीतती हैं जब या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं।
A.एर्डवार्क अपना पहला गेम नहीं जीत पाते हैं।
B.मधुमक्खियों ने अपना पहला गेम जीता।
C.चिपमंक्स अपना पहला गेम नहीं जीतते हैं।
D.या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं।",B,"उत्तर D सही है।

दिए गए सशर्त प्रस्ताव ""मधुमक्खियां अपना पहला गेम तभी जीतती हैं जब या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं"" में:

- ""मधुमक्खियां अपना पहला गेम तभी जीतती हैं"" - यह परिणाम (consequent) है।

- ""जब या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं"" - यह पूर्ववर्ती (antecedent) है।

विकल्प A और C पूर्ववर्ती के केवल एक हिस्से को बताते हैं। विकल्प B परिणाम को बताता है, न कि पूर्ववर्ती को।

विकल्प D पूरे पूर्ववर्ती को सही ढंग से बताता है - ""या तो एर्डवार्क या चिपमंक्स अपना पहला गेम नहीं जीतते हैं""। इसलिए, D सही उत्तर है।",D
"इनमें से किस हॉरर फिल्म ने सबसे ज्यादा सीक्वल बनाए?
A.चीख'
B.जबड़े'
C.हैलोवीन'
D.शुक्रवार 13 वीं'",D,"D. शुक्रवार 13 वीं' (Friday the 13th) हॉरर फ़िल्म फ्रैंचाइज़ी ने सबसे ज्यादा सीक्वल बनाए हैं।

शुक्रवार 13 वीं' फ्रैंचाइज़ी में अब तक 12 फिल्में आ चुकी हैं:

1. Friday the 13th (1980)
2. Friday the 13th Part 2 (1981)
3. Friday the 13th Part III (1982)
4. Friday the 13th: The Final Chapter (1984)
5. Friday the 13th: A New Beginning (1985)
6. Friday the 13th Part VI: Jason Lives (1986)
7. Friday the 13th Part VII: The New Blood (1988)
8. Friday the 13th Part VIII: Jason Takes Manhattan (1989)
9. Jason Goes to Hell: The Final Friday (1993)
10. Jason X (2001)
11. Freddy vs. Jason (2003)
12. Friday the 13th (2009)

अन्य विकल्पों की तुलना में:
- चीख' (Scream) फ्रैंचाइज़ी में 5 फिल्में हैं। 
- जबड़े' (Jaws) फ्रैंचाइज़ी में 4 फिल्में हैं।
- हैलोवीन' (Halloween) फ्रैंचाइज़ी में 11 फिल्में हैं।",D
"मध्यम आयु वर्ग के वयस्क पुराने या छोटे वयस्कों की तुलना में अधिक ____ दिखाई देते हैं
A.उत्पादक
B.विक्षिप्त
C.सहमत
D.कोई एक",A,"मध्यम आयु वर्ग के वयस्क पुराने या छोटे वयस्कों की तुलना में अधिक उत्पादक दिखाई देते हैं।

कारण:
1. मध्यम आयु वर्ग के लोगों के पास अधिक अनुभव और ज्ञान होता है जो उन्हें अधिक उत्पादक बनाता है।
2. इस आयु वर्ग के लोग शारीरिक और मानसिक रूप से अधिक सक्रिय होते हैं जो उनकी उत्पादकता को बढ़ाता है। 
3. वे अपने करियर के शिखर पर होते हैं और उनके पास अधिक संसाधन व अवसर होते हैं।
4. युवा वयस्कों के पास अनुभव की कमी होती है और वृद्ध लोगों की शारीरिक क्षमता कम होती है।

इसलिए, विकल्प A ""उत्पादक"" सही उत्तर है। अन्य विकल्प इस प्रश्न के संदर्भ में उपयुक्त नहीं हैं।",A
"एक प्रारंभ करनेवाला में प्रेरित वोल्टेज को इस प्रकार दर्शाया जाता है,
A.इसके अधिष्ठापन और इसके माध्यम से वर्तमान का उत्पाद।
B.इसके प्रेरकत्व का इसके माध्यम से वर्तमान का अनुपात।
C.इसके माध्यम से धारा का इसके प्रेरकत्व से अनुपात।
D.इसके अधिष्ठापन और इसके माध्यम से धारा के परिवर्तन की दर का गुणनफल।",D,"सही उत्तर विकल्प D है।

एक प्रारंभ करनेवाला (inductor) में प्रेरित वोल्टेज को इस प्रकार दर्शाया जाता है:

इसके अधिष्ठापन (inductance) और इसके माध्यम से धारा के परिवर्तन की दर का गुणनफल।

इसे गणितीय रूप में इस प्रकार लिखा जा सकता है:

V = L * (di/dt)

जहाँ,
- V प्रेरित वोल्टेज है
- L प्रारंभ करनेवाला का अधिष्ठापन (inductance) है
- di/dt प्रारंभ करनेवाला के माध्यम से धारा के परिवर्तन की दर है

अन्य विकल्प सही नहीं हैं क्योंकि:
- विकल्प A में वोल्टेज को अधिष्ठापन और वर्तमान के गुणनफल के रूप में दर्शाया गया है, जो सही नहीं है।
- विकल्प B और C में वोल्टेज को अधिष्ठापन और वर्तमान के अनुपात के रूप में दर्शाया गया है, जो भी सही नहीं है।",D
"एक संख्या, जो निकटतम हजार तक पूर्णांकित है, 47,000 है। पूर्णांक बनाने वाली संख्या कौन-सी हो सकती है?
A.46,295
B.46,504
C.47,520
D.47,924",B,"इस प्रश्न को हल करने के लिए, हमें यह समझना होगा कि निकटतम हजार तक पूर्णांकित करने का क्या अर्थ है।

निकटतम हजार तक पूर्णांकित करने का मतलब है कि हम संख्या को निकटतम हजार तक राउंड करते हैं। उदाहरण के लिए, 46,295 को 46,000 तक पूर्णांकित किया जाएगा और 47,520 को 48,000 तक पूर्णांकित किया जाएगा।

अब, विकल्पों को देखते हुए:

A. 46,295 को 46,000 तक पूर्णांकित किया जाएगा, न कि 47,000 तक।
B. 46,504 को 47,000 तक पूर्णांकित किया जाएगा।
C. 47,520 को 48,000 तक पूर्णांकित किया जाएगा, न कि 47,000 तक।
D. 47,924 को 48,000 तक पूर्णांकित किया जाएगा, न कि 47,000 तक।

इसलिए, केवल विकल्प B (46,504) ही 47,000 तक पूर्णांकित होगा।

सही उत्तर विकल्प B है।",B
"नीदरलैंड की आधिकारिक भाषा क्या है?
A.डैनिश
B.स्वीडिश
C.जर्मन
D.डच",D,"नीदरलैंड की आधिकारिक भाषा डच (Dutch) है।

नीदरलैंड, जिसे हम नीदरलैंड्स या हॉलैंड के नाम से भी जानते हैं, पश्चिमी यूरोप में स्थित एक देश है। यहाँ की जनसंख्या का बहुमत हिस्सा डच भाषा बोलता है। डच भाषा जर्मेनिक भाषा परिवार से संबंधित है और इसका जर्मन तथा अंग्रेज़ी से निकट का संबंध है। बेल्जियम में भी डच एक आधिकारिक भाषा है।

अन्य विकल्पों में:
- डैनिश भाषा डेनमार्क की आधिकारिक भाषा है।
- स्वीडिश भाषा स्वीडन की आधिकारिक भाषा है। 
- जर्मन भाषा जर्मनी, ऑस्ट्रिया और स्विट्ज़रलैंड सहित कई देशों में बोली जाती है।

इसलिए सही उत्तर विकल्प D है - डच।",D
"यह प्रश्न निम्नलिखित जानकारी को संदर्भित करता है।
पहले हमें यह टिप्पणी करनी चाहिए कि ब्रह्मांड रूप में गोलाकार है, आंशिक रूप से क्योंकि यह रूप एक पूर्ण संपूर्ण है जिसमें जोड़ों की आवश्यकता नहीं है, सभी में सबसे पूर्ण है, आंशिक रूप से क्योंकि यह सबसे अधिक क्षमता वाला रूप बनाता है, जो सब कुछ शामिल करने और संरक्षित करने के लिए सबसे उपयुक्त है; या फिर क्योंकि ब्रह्मांड के सभी घटक भाग, यानी सूर्य, चंद्रमा और ग्रह इस रूप में दिखाई देते हैं; या क्योंकि सब कुछ इस रूप को प्राप्त करने का प्रयास करता है, जैसा कि पानी और अन्य द्रव निकायों की बूंदों के मामले में प्रकट होता है यदि वे खुद को परिभाषित करने का प्रयास करते हैं। इसलिए किसी को संदेह नहीं होगा कि यह रूप आकाशीय पिंडों का है। ...
इसलिए पृथ्वी भी गोलाकार है, यह प्रश्न से परे है, क्योंकि यह अपने केंद्र पर सभी तरफ से दबाती है। यद्यपि पर्वतों की ऊँचाई और घाटियों के अवसादों के कारण एक पूर्ण वृत्त को नहीं समझा जा सकता है, फिर भी यह पृथ्वी की सामान्य गोलाकार प्रकृति को प्रभावित नहीं करता है। ...
जैसा कि यह पहले ही दिखाया जा चुका है कि पृथ्वी में एक गोले का रूप है, हमें इस बात पर विचार करना चाहिए कि क्या एक गति भी इस रूप के साथ मेल खाती है, और ब्रह्मांड में पृथ्वी का क्या स्थान है। ... लेखकों के महान बहुमत निश्चित रूप से सहमत हैं कि पृथ्वी अभी भी ब्रह्मांड के केंद्र में खड़ी है, और इसके विपरीत मानने के लिए इसे अकल्पनीय और हास्यास्पद मानते हैं। लेकिन अगर इस मामले को ध्यान से तौला जाता है, तो यह देखा जाएगा कि प्रश्न अभी तक सुलझा नहीं है और इसलिए किसी भी तरह से हल्के में नहीं लिया जाना चाहिए। स्थान का प्रत्येक परिवर्तन जो देखा जाता है, अर्थात्, प्रेक्षित वस्तु या पर्यवेक्षक की गति के कारण, या दोनों के आंदोलनों के कारण। ... अब यह पृथ्वी से है कि आकाश की क्रांति देखी जाती है और यह हमारी आंखों के लिए उत्पन्न होती है। इसलिए यदि पृथ्वी कोई गति से नहीं गुजरती है, तो यह गति पृथ्वी के बाहर की हर चीज में होनी चाहिए, लेकिन विपरीत दिशा में अगर पृथ्वी पर सब कुछ चलता है, और इस तरह की दैनिक क्रांति है। तो यह पूरे ब्रह्मांड को प्रभावित करता प्रतीत होता है, अर्थात्, पृथ्वी के एकमात्र अपवाद के साथ पृथ्वी के बाहर सब कुछ। यदि, हालांकि, किसी को यह स्वीकार करना चाहिए कि यह आंदोलन आकाश के लिए अजीब नहीं था, लेकिन यह कि पृथ्वी पश्चिम से पूर्व की ओर घूमती थी, और यदि सूर्य, चंद्रमा और सितारों के स्पष्ट उदय और अस्त के संबंध में इस पर सावधानीपूर्वक विचार किया गया था, तो यह पता चलेगा कि यह वास्तविक स्थिति थी।
निकोलस कोपरनिकस, स्वर्गीय निकायों की क्रांतियाँ, 1543
मार्ग का उपयोग सबूत के रूप में किया जा सकता है कि कोपर्निकस अपने समय के पारंपरिक, अरिस्टोटेलियन प्राकृतिक दार्शनिकों से अलग था क्योंकि उन्होंने सुझाव दिया था कि
A.ब्रह्मांड गोलाकार है
B.पृथ्वी गोलाकार है
C.ब्रह्मांड भूस्थैतिक है
D.पृथ्वी स्थिर नहीं है",D,"विकल्प D सही है। कोपर्निकस ने सुझाव दिया था कि पृथ्वी स्थिर नहीं है, जो उनके समय के पारंपरिक अरिस्टोटेलियन प्राकृतिक दार्शनिकों के विचारों से अलग था।

पैसेज से पता चलता है कि कोपर्निकस और अरिस्टोटेलियन दार्शनिक दोनों मानते थे कि:
- ब्रह्मांड गोलाकार है (विकल्प A)
- पृथ्वी गोलाकार है (विकल्प B)

हालाँकि, कोपर्निकस ने सुझाव दिया कि पृथ्वी स्थिर नहीं है और अपनी धुरी पर घूमती है, जबकि अरिस्टोटेलियन दार्शनिक मानते थे कि पृथ्वी स्थिर है और ब्रह्मांड भूस्थैतिक है (विकल्प C)। इसलिए, कोपर्निकस का सुझाव कि पृथ्वी स्थिर नहीं है (विकल्प D), उनके समय के पारंपरिक विचारों से अलग था।",D
