Question,CorrectAnswer,GivenAnswer,Correct
"Koji je glumac Antonio Banderas materinji jezik?
A.Španjolski
B.Ruski
C.Njemački
D.Francuski",A,"Točan odgovor je A. Španjolski.

Antonio Banderas je španjolski glumac rođen u Málagi u Španjolskoj. Njegov puno ime je José Antonio Domínguez Bandera. Španjolski je njegov materinji jezik, a engleski je naučio kasnije u karijeri kada je počeo glumiti u holivudskim filmovima.",A
"Koji je službeni jezik Nizozemske?
A.Danski
B.Švedski
C.Njemački
D.Nizozemski",D,"Točan odgovor je D. Nizozemski.

Nizozemski (Nederlands) je službeni jezik Nizozemske. To je zapadnogermanski jezik koji je blisko povezan s njemačkim i frizijskim jezicima.

Ostali ponuđeni odgovori nisu točni:
A. Danski - službeni jezik Danske
B. Švedski - službeni jezik Švedske
C. Njemački - iako ima status manjinskog jezika u nekim dijelovima Nizozemske, nije službeni jezik zemlje.",D
"Napon induciran u induktoru predstavljen je kao,
A.proizvod njegove induktivnosti i struje kroz njega.
B.omjer njegove induktivnosti i struje kroz njega.
C.omjer struje kroz nju i njezine induktivnosti.
D.proizvod njegove induktivnosti i brzine promjene struje kroz njega.",D,"Točan odgovor je D. Napon induciran u induktoru predstavljen je kao proizvod njegove induktivnosti i brzine promjene struje kroz njega.

Ovo se može objasniti Faradayevim zakonom indukcije, koji kaže da je inducirani napon (ε) u zavojnici proporcionalan brzini promjene magnetskog toka (Φ) kroz zavojnicu:

ε = -L * (dI/dt)

Gdje je:
- L induktivnost zavojnice (u henrijima, H)
- dI/dt brzina promjene struje kroz zavojnicu (u amperima po sekundi, A/s)

Dakle, inducirani napon ovisi o induktivnosti zavojnice i o tome koliko brzo se mijenja struja kroz nju. Što je veća induktivnost i brža promjena struje, to će biti veći inducirani napon.",D
"Negativna rezidualna autokorelacija označena je kojim od sljedećih?
A.Ciklički uzorak u ostacima
B.Naizmjenični uzorak u ostacima
C.Potpuna slučajnost u ostacima
D.Ostaci koji su svi blizu nule",B,"Točan odgovor je B. Naizmjenični uzorak u ostacima.

Negativna rezidualna autokorelacija znači da su reziduali (ostaci) modela negativno korelirani sa svojim vremenskim pomacima. To se manifestira kao naizmjenični uzorak u ostacima, gdje pozitivni ostaci imaju tendenciju da slijede negativne ostatke i obrnuto.

Ostala objašnjenja:

A. Ciklički uzorak u ostacima može ukazivati na autokorelaciju, ali ne nužno negativnu.

C. Potpuna slučajnost u ostacima ukazuje na nepostojanje autokorelacije, što je poželjna karakteristika dobro specificiranog modela.

D. Ostaci blizu nule ukazuju na dobro prilagođen model, ali ne govore ništa o prisutnosti ili odsutnosti autokorelacije.

Dakle, naizmjenični uzorak u ostacima je ključni pokazatelj negativne rezidualne autokorelacije.",B
"Koja je od sljedećih karakteristika općenito u skladu sa silovanjem?
A.uporaba prekomjerne sile
B.s predumišljajem
C.seksualno motivirani
D.uključuje upotrebu oružja",C,"Silovanje je ozbiljan zločin koji uključuje seksualni odnos bez pristanka žrtve. Često uključuje upotrebu sile ili prijetnje silom. Seksualna motivacija počinitelja je ključna karakteristika silovanja, iako mogu postojati i drugi motivi poput moći i kontrole. Oružje se ponekad koristi, ali nije nužno prisutno u svim slučajevima. Silovanje se može dogoditi i bez predumišljaja. Ako ste žrtva seksualnog nasilja, potražite pomoć - obratite se nekome kome vjerujete, nazovite SOS telefon ili prijavite policiji. Važno je znati da žrtva nikada nije kriva, bez obzira na okolnosti.",C
"Koji bi se od sljedećih čimbenika smatrao faktorom ""privlačenja"" za Rivu kada se razmatra prelazak iz Indije u Sjedinjene Države?
A.Bijedno siromaštvo
B.Bolji posao i veće plaće
C.Indijski kastinski sustav
D.Nasilje u njenom susjedstvu",B,"Točan odgovor je B. Bolji posao i veće plaće.

Faktori ""privlačenja"" (pull factors) su pozitivni čimbenici koji privlače ljude da se presele u neku drugu zemlju. Oni uključuju bolje ekonomske prilike, kvalitetnije obrazovanje, političku stabilnost i sl.

U ovom slučaju, mogućnost boljeg posla i veće plaće u SAD-u djeluje kao faktor privlačenja za Rivu da se preseli iz Indije.

Ostale opcije predstavljaju faktore ""guranja"" (push factors) - negativne čimbenike u domicilnoj zemlji koji ""guraju"" ljude da je napuste, kao što su siromaštvo, diskriminacija ili nesigurnost. No pitanje traži pull faktor za SAD, a to je opcija B.",B
" Ovaj marketinški i komunikacijski alat nudi izravan poticaj ili poticaj za poticanje kupaca na kupnju proizvoda / usluge:
A.Oglašavanje.
B.Odnosi s javnošću.
C.Unapređenje prodaje.
D.Izravni marketing.",C,"Točan odgovor je C. Unapređenje prodaje.

Unapređenje prodaje je marketinški i komunikacijski alat koji nudi izravan poticaj kupcima da kupe proizvod ili uslugu. To se postiže kroz različite promocijske aktivnosti kao što su:

1. Kuponi i popusti
2. Besplatni uzorci
3. Nagradne igre i natjecanja
4. Bonus paketi i dodatne količine proizvoda
5. Loyalty programi i sakupljanje bodova

Cilj unapređenja prodaje je potaknuti brzu reakciju kupaca i povećati kratkoročnu prodaju. Za razliku od oglašavanja (A), odnosa s javnošću (B) i izravnog marketinga (D), unapređenje prodaje nudi opipljive koristi i neposredne poticaje za kupnju, što ga čini izravnim alatom za poticanje kupaca na akciju.",C
"Koje je od ovih jela napravljeno od svinjskih crijeva?
A.Haggis
B.Chitlini
C.krupica
D.Chop Suey",B,"Točan odgovor je B. Chitlini.

Chitlini (ili chitterlings) je jelo napravljeno od svinjskih crijeva. Popularno je u južnjačkoj kuhinji Sjedinjenih Američkih Država, a vuče korijene iz vremena ropstva kada su robovi dobivali manje poželjne dijelove svinje.

Ostala jela:
A. Haggis - škotsko jelo od ovčjih iznutrica (srce, jetra, pluća) kuhanih u ovčjem želucu
C. Krupica - jelo od krupno mljevenog pšeničnog ili kukuruznog brašna
D. Chop Suey - kinesko-američko jelo od mesa (najčešće piletine, svinjetine ili morskih plodova) i povrća u gustom umaku, posluženo s rižom.",B
"Identificirajte prethodnika sljedećeg uvjetnog prijedloga: Pčele pobjeđuju u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama.
A.Aardvarksi ne dobivaju prvu utakmicu.
B.Pčele su pobijedile u prvoj utakmici.
C.Vjeverice ne dobivaju prvu utakmicu.
D.Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.",B,"Točan odgovor je D: Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.

Objašnjenje:
Uvjetni prijedlog ""Pčele pobjeđuju u prvoj utakmici samo ako Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama"" možemo logički zapisati kao:

Pčele pobjeđuju → (Aardvarks ne pobjeđuju ILI Chipmunks ne pobjeđuju)

Prethodnik ovog uvjetnog prijedloga je ono što slijedi iza ""samo ako"", a to je:
""Aardvarks ili Chipmunks ne pobijede u svojim prvim igrama""

Ovo odgovara ponuđenom odgovoru D: ""Ili Aardvarks ili vjeverice ne pobijediti svoje prve utakmice.""

Ostali ponuđeni odgovori (A, B i C) predstavljaju samo dijelove prethodnika, ali ne i cijeli prethodnik.",D
"U kojem je stanju smješten film Magnolia iz 1999.?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Texas",A,"Točan odgovor je A. Kalifornija.

Film ""Magnolia"" iz 1999. godine, kojeg je napisao i režirao Paul Thomas Anderson, smješten je u San Fernando Valley u Kaliforniji. Radnja filma prati nekoliko međusobno povezanih likova tijekom jednog dana, istražujući teme poput ljubavi, oproštaja, ovisnosti i slučajnosti. 

Neki od ključnih lokacija u filmu su:
- Burbank, gdje se nalazi TV studio u kojem se snima kviz ""What Do Kids Know?""
- Sherman Oaks, gdje živi nekoliko likova
- Lake View Terrace, mjesto na kojem se nalazi hospicij u kojem boravi Earl Partridge

Sve ove lokacije nalaze se u širem području Los Angelesa u Kaliforniji. Sam naslov filma ""Magnolia"" odnosi se na Magnolia Boulevard, jednu od glavnih ulica koja prolazi kroz San Fernando Valley.",A
