Question,CorrectAnswer,GivenAnswer,Correct
"Í hvaða ástandi er kvikmyndin Magnolia frá 1999?
A.Kaliforníu
B.Suður-Karólína
C.Georgía
D.Texas",A,"A. Kaliforníu

Kvikmyndin Magnolia frá árinu 1999, í leikstjórn Paul Thomas Anderson, gerist í San Fernando Valley í Kaliforníu. Myndin fjallar um nokkrar persónur sem eiga það sameiginlegt að vera staddar á sama svæði í Kaliforníu og leiðir þeirra skarast á ýmsan hátt yfir einn sólarhring.",A
"Skriðdreki er í laginu eins og þríhyrningslaga prisma. Ef þríhyrningslaga grunnurinn hefur svæði 116 ferningur feet og tankurinn er 30 fet á hæð, hversu mikið vatn myndi tankurinn innihalda þegar hann er fullur?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Til að finna rúmmál skriðdrekans, notum við formúluna fyrir rúmmál þríhyrningslaga prisma:

Rúmmál = (Svæði grunnsins) * hæð

Gefið er:
- Svæði grunnsins er 116 ferningur feet
- Hæð tanksins er 30 feet

Setjum gildin inn í formúluna:

Rúmmál = 116 ft^2 * 30 ft
       = 3480 ft^3

Þannig að rétt svar er C. 3480 ft^3.",C
"Hvert er opinbert tungumál Hollands?
A.Danska
B.Sænska
C.Þýska
D.Hollenska",D,"D. Hollenska er opinbert tungumál Hollands.

Holland er land í Vestur-Evrópu og hollenska er opinbert tungumál landsins og móðurmál um 90% íbúa þess. Hollenska er vesturgermanskt tungumál, skylt þýsku og ensku.

Danska, sænska og þýska eru líka germönsk tungumál en eru ekki opinber tungumál í Hollandi, þó svo að sum landamærasvæði Hollands eigi í menningarlegum og málfarslegu samskiptum við nágrannaþjóðir sínar.",D
"Hvað er móðurmál leikarans Antonio Banderas?
A.Spænska
B.Rússneska
C.Þýska
D.Franska",A,"A. Spænska er móðurmál leikarans Antonio Banderas.

Antonio Banderas er fæddur 10. ágúst 1960 í Málaga á Spáni. Hann ólst upp í Spáni og spænska er hans fyrsta tungumál.

Banderas hóf feril sinn sem leikari á Spáni en náði síðar alþjóðlegri frægð með hlutverkum sínum í Hollywood myndum. Þrátt fyrir að leika oft á ensku, þá er spænskan hans móðurmál.",A
"Hver af þessum hryllingsmyndum skilaði flestum framhaldsmyndum?
A.Öskra""
B.Kjálkar""
C.Hrekkjavaka""
D.Föstudagur 13.",D,"Af þessum fjórum hryllingsmyndum hefur ""Föstudagur 13."" skilað flestum framhaldsmyndum.

Hér er fjöldi framhaldsmynda fyrir hverja bíómynd:

A. ""Öskra"" (Scream): 5 framhaldsmyndir (alls 6 myndir)
B. ""Kjálkar"" (Jaws): 3 framhaldsmyndir (alls 4 myndir) 
C. ""Hrekkjavaka"" (Halloween): 12 framhaldsmyndir (alls 13 myndir)
D. ""Föstudagur 13."" (Friday the 13th): 12 framhaldsmyndir (alls 13 myndir)

Bæði ""Hrekkjavaka"" og ""Föstudagur 13."" hafa 12 framhaldsmyndir hvor, en ""Föstudagur 13."" kom fyrst út (1980) og er því elsta myndin af þessum fjórum. Þess vegna er hægt að segja að ""Föstudagur 13."" hafi skilað flestum framhaldsmyndum af þessum hryllingsmyndum.",D
"Miðaldra fullorðnir virðast vera _____ en eldri eða yngri fullorðnir
A.Myndandi
B.Taugaveiklaður
C.Þægilegt
D.Ákveðinn",A,"Rétt svar er D. Ákveðinn.

Miðaldra fullorðnir eru almennt taldir vera ákveðnari en yngri eða eldri fullorðnir. Þetta tengist því að á miðjum aldri hafa margir náð ákveðnum stöðugleika og þroska í lífi sínu, bæði persónulega og faglega. 

Valkostirnir A (myndandi), B (taugaveiklaður) og C (þægilegt) eiga ekki eins vel við til að lýsa dæmigerðum einkennum miðaldra fólks í samanburði við aðra aldurshópa.

Auðvitað er þetta alhæfing og mikill einstaklingsmunur er á fólki á öllum aldri. En almennt séð er talið að fólk á miðjum aldri sé ákveðnara og staðfastara en á öðrum æviskeiðum.",D
"Samtala, námunduð að næsta þúsundi, er 47.000. Hvaða tala gæti verið sléttuð?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Til að finna út hvaða tala gæti verið sléttuð að næsta þúsundi og gefið 47.000, skulum við skoða tölurnar eina af annarri:

A. 46,295
Ef við slettum þessa tölu að næsta þúsundi, fáum við 46.000, ekki 47.000. Þannig að þetta er ekki rétta svarið.

B. 46,504
Ef við slettum þessa tölu að næsta þúsundi, fáum við aftur 47.000. Þetta gæti verið rétta svarið.

C. 47,520
Ef við slettum þessa tölu að næsta þúsundi, fáum við 48.000, ekki 47.000. Þannig að þetta er ekki rétta svarið.

D. 47,924
Ef við slettum þessa tölu að næsta þúsundi, fáum við aftur 48.000, ekki 47.000. Þannig að þetta er ekki rétta svarið.

Af þessum fjórum valkostum, er B. 46,504 eina talan sem gefur okkur 47.000 þegar við slettum hana að næsta þúsundi. Þannig að rétta svarið er B. 46,504.",B
"Stökkbreytingar sem valda achondroplasia hafa áhrif sem hægt er að flokka sem:
A.ríkjandi neikvætt.
B.ávinningur af virkni.
C.haploinnægency.
D.Skert virkni.",B,"D. Skert virkni.

Achondroplasia er algengasta orsök dvergvaxtar hjá mönnum. Það er afleiðing stökkbreytingar í FGFR3 geninu sem veldur ofvirkni próteinsins sem genið kóðar fyrir. Þetta leiðir til skertrar brjóskvaxtar og þar af leiðandi dvergvaxtar.

Þannig er rétt svar D, skert virkni. Stökkbreytingin veldur skertri virkni brjóskvaxtar vegna ofvirkni FGFR3 próteinsins. Hinir valkostirnir eiga ekki við:

A. Ríkjandi neikvætt á ekki við þar sem stökkbreytingin veldur ofvirkni, ekki tapi á virkni.

B. Ávinningur af virkni á ekki við þar sem aukinn vöxtur brjósks er ekki ávinningur.

C. Haploinnægency á ekki við þar sem stökkbreytingin er ríkjandi, ekki víkjandi.",D
"Rökvilla laudatory persónuleika er ákveðin tegund af
A.Rökvilla slyssins
B.Fölsk vandamál
C.Spyr spurningarinnar
D.Hringlaga rökhugsun",A,"Rétt svar er B. Fölsk vandamál (e. false dilemma).

Rökvilla laudatory persónuleika (e. appeal to flattery) er tegund af fölskum vandamálum. Þessi rökvilla á sér stað þegar einhver reynir að sannfæra aðra með því að hrósa þeim eða hæla, í stað þess að koma með rök fyrir máli sínu.

Dæmi um þessa rökvillu væri: ""Þú ert svo gáfaður og skarpur, þú hlýtur að vera sammála mér um þetta mál.""

Hinar valkostina:

A. Rökvilla slyssins (e. fallacy of accident) er önnur tegund rökvillu.
C. Spyr spurningarinnar (e. begging the question) er líka önnur tegund rökvillu.
D. Hringlaga rökhugsun (e. circular reasoning) er enn önnur tegund rökvillu.

Þannig að B, fölsk vandamál, er rétta svarið þar sem rökvilla laudatory persónuleika flokkast undir þá tegund rökvillu.",B
"Hver af þessum réttum er gerður úr þörmum svína?
A.Haggis
B.Svín
C.Grautur
D.Höggva Suey",B,"Svarið er A. Haggis.

Haggis er þjóðarréttur Skota sem er gerður úr innmat úr kind, einkum hjarta, lifur og lungum, blandað við hafragrjón, lauk, krydd og salt, og soðið inni í maga kindarinnar. Stundum er svínamagi notaður sem umbúðir utan um fyllinguna í stað kindarmaga.

Hinir réttirnir sem nefndir eru:

B. Svín - er almennt heiti yfir dýrið sjálft, ekki ákveðinn réttur.

C. Grautur - er almennt heiti yfir rétt gerðan úr korni soðnu í vökva, ekki endilega tengdur svínum eða þörmum.

D. Höggva Suey - er kínverskur réttur gerður úr grænmeti og kjöti (oft svínakjöti), en ekki úr þörmum svína.",A
