Question,CorrectAnswer,GivenAnswer,Correct
"탱크는 삼각형 프리즘 모양입니다. 삼각형 바닥의 면적이 116평방피트이고 탱크의 높이가 30피트인 경우 탱크가 가득 찼을 때 탱크에 얼마나 많은 물이 들어 있습니까?
A.1725피트^3
B.1740피트^3
C.3480피트^3
D.6960피트^3",C,"삼각형 프리즘 모양의 탱크 부피를 구하는 공식은 다음과 같습니다.

부피 = (삼각형 바닥 면적) × (탱크 높이)

주어진 값을 공식에 대입하면,
부피 = 116평방피트 × 30피트 = 3,480입방피트

따라서 정답은 C. 3480피트^3 입니다.",C
"배우 안토니오 반데라스 모국어는 무엇입니까?
A.스페인어
B.러시아어
C.독일어
D.프랑스어",A,"정답은 A. 스페인어입니다.

안토니오 반데라스는 스페인 말라가 출신의 배우로, 그의 모국어는 스페인어입니다. 그는 할리우드에서 활동하며 영어로 연기를 하지만, 모국인 스페인에서 자란 만큼 스페인어가 그의 모국어이자 제1언어라고 할 수 있습니다.",A
"환자는 여섯 번째 경추 수준의 척수 손상으로 목이 부러졌습니다.
A.그들은 생명 유지 장치 없이는 숨을 쉴 수 없을 것입니다.
B.그들은 조용히 숨을 쉴 수 있을 뿐이다.
C.호흡에 미치는 영향을 예측하는 것은 불가능합니다.
D.호흡에는 영향을 미치지 않습니다.",B,"A. 그들은 생명 유지 장치 없이는 숨을 쉴 수 없을 것입니다.

여섯 번째 경추 수준의 척수 손상은 횡격막을 조절하는 신경을 마비시킬 수 있습니다. 횡격막은 호흡에 필수적인 근육이므로, 이 수준의 척수 손상 환자는 대개 인공호흡기와 같은 생명 유지 장치에 의존해야만 호흡할 수 있습니다. 

B, C, D는 여섯 번째 경추 수준의 척수 손상이 호흡에 미치는 심각한 영향을 제대로 반영하지 못하고 있습니다.",A
"네덜란드의 공식 언어는 무엇입니까?
A.덴마크어
B.스웨덴어
C.독일어
D.네덜란드어",D,"D. 네덜란드어

네덜란드의 공식 언어는 네덜란드어(Dutch)입니다. 네덜란드어는 인도유럽어족의 게르만어파에 속하는 언어로, 독일어 및 영어와 유사한 점이 많습니다. 네덜란드 전역에서 사용되며, 벨기에 북부의 플랑드르 지역에서도 사용됩니다. 

덴마크어, 스웨덴어, 독일어는 각각 덴마크, 스웨덴, 독일의 공식 언어이지만 네덜란드의 공식 언어는 아닙니다.",D
"가장 가까운 천 단위로 반올림된 숫자는 47,000입니다. 반올림된 숫자는 무엇입니까?
A.46,295
B.46,504
C.47,520
D.47,924",B,"가장 가까운 천 단위로 반올림하는 방법은 백의 자리에서 반올림하는 것입니다.

A. 46,295의 백의 자리는 2이므로 반올림하면 46,000이 됩니다.
B. 46,504의 백의 자리는 5이므로 반올림하면 47,000이 됩니다.
C. 47,520의 백의 자리는 5이므로 반올림하면 48,000이 됩니다. 
D. 47,924의 백의 자리는 9이므로 반올림하면 48,000이 됩니다.

문제에서 주어진 47,000과 가장 가까운 숫자는 B. 46,504입니다. 따라서 반올림 전 원래 숫자는 46,504입니다.",B
"1999년 영화 '매그놀리아'의 세트장은 어떤 상태입니까?
A.캘리포니아
B.사우스 캐롤라이나
C.그루지야
D.텍사스",A,"1999년 폴 토마스 앤더슨 감독의 영화 '매그놀리아'는 로스앤젤레스를 배경으로 하고 있습니다. 따라서 정답은 A. 캘리포니아입니다.

이 영화는 로스앤젤레스 샌 페르난도 밸리 지역에서 하루 동안 벌어지는 여러 인물들의 얽히고설킨 이야기를 다루고 있습니다. 로스앤젤레스 곳곳의 실제 장소들이 영화의 배경으로 사용되었죠.",A
"다음 중 데이트 강간과 일반적으로 일치하는 특징은 무엇입니까?
A.과도한 힘의 사용
B.계획적인
C.성적 동기
D.무기 사용과 관련된 경우",C,"데이트 강간의 경우 대부분 계획적이지 않고 과도한 폭력이나 무기 사용이 동반되지 않는 경향이 있습니다. 가해자와 피해자가 서로 아는 사이이기 때문에 가해자는 힘이나 무기에 의존하기보다는 설득, 협박, 약물 사용 등의 방법을 사용하는 경우가 많습니다. 

따라서 주어진 보기 중에서는 C. 성적 동기가 데이트 강간의 일반적 특징과 가장 일치한다고 볼 수 있겠네요. 데이트 강간은 성적 욕구 충족을 주된 목적으로 하는 성폭력의 한 유형이기 때문입니다.",C
"다음 조건부 명제의 선행 조건을 식별하십시오 : Aardvarks 또는 Chipmunks가 첫 번째 게임에서 승리하지 못한 경우에만 Bees가 첫 번째 게임에서 승리합니다.
A.Aardvarks는 첫 경기에서 승리하지 못했습니다.
B.꿀벌이 첫 경기에서 승리합니다.
C.다람쥐는 첫 경기에서 이기지 못했습니다.
D.Aardvarks 또는 Chipmunks는 첫 번째 게임에서 승리하지 못했습니다.",B,"주어진 조건부 명제는 ""Aardvarks 또는 Chipmunks가 첫 번째 게임에서 승리하지 못한 경우에만 Bees가 첫 번째 게임에서 승리합니다.""입니다.

선행 조건(조건절)은 ""Aardvarks 또는 Chipmunks가 첫 번째 게임에서 승리하지 못한 경우""입니다.

따라서 주어진 보기 중에서 선행 조건에 해당하는 것은 D. ""Aardvarks 또는 Chipmunks는 첫 번째 게임에서 승리하지 못했습니다.""입니다.

A와 C는 각각 Aardvarks와 Chipmunks가 첫 경기에서 승리하지 못했다는 내용으로, 선행 조건의 일부분만 언급하고 있습니다. B는 조건절이 아닌 결과절에 해당합니다.",D
"이 공포 영화 중 어떤 것이 가장 많은 속편을 낳았습니까?
A.비명'
B.죠스
C.핼러윈'
D.13일의 금요일'",D,"D. '13일의 금요일'이 가장 많은 속편을 낳았습니다.

'13일의 금요일' 시리즈는 1980년 첫 작품을 시작으로 현재까지 총 12편의 영화가 제작되었습니다. 반면 다른 시리즈의 속편 수는 다음과 같습니다:

A. '비명': 5편 (오리지널 3편, TV시리즈 2편)
B. '죠스': 4편 
C. '핼러윈': 11편 (오리지널 시리즈 8편, 리부트 시리즈 3편)

따라서 '13일의 금요일'이 총 12편으로 가장 많은 속편을 낳은 공포 영화 시리즈라고 할 수 있습니다.",D
"인덕터에서 유도되는 전압은 다음과 같이 표현됩니다.
A.그것을 통한 인덕턴스와 전류의 곱.
B.그것을 통과하는 전류에 대한 인덕턴스의 비율.
C.그것을 통과하는 전류와 인덕턴스의 비율.
D.인덕턴스와 이를 통한 전류 변화율의 곱.",D,"정답은 D입니다. 인덕터에서 유도되는 전압은 인덕턴스(L)와 인덕터를 통과하는 전류의 변화율(di/dt)의 곱으로 표현됩니다.

수식으로 나타내면 다음과 같습니다:

V = L * (di/dt)

여기서,
- V는 인덕터에서 유도되는 전압 (볼트)
- L은 인덕턴스 (헨리)
- di/dt는 인덕터를 통과하는 전류의 시간에 대한 변화율 (암페어/초)

이 관계는 패러데이의 법칙(Faraday's law)에 기반하며, 인덕터를 통과하는 자속의 변화율이 인덕터에서 유도 전압을 생성한다는 것을 나타냅니다. 전류의 변화율이 클수록, 그리고 인덕턴스가 클수록 유도되는 전압이 커집니다.",D
