Question,CorrectAnswer,GivenAnswer,Correct
"تانکێک لە شێوەی سێگۆشەیی پریزمدایە. ئەگەر بنکەی سێگۆشەیی ڕووبەری ۱۱۶ پێ دووجای هەبێت و تانکەکە ۳۰ پێ بەرز بێت، ئەوا تانکەکە چەند ئاوی تێدایە کاتێک پڕ دەبێت؟
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"بۆ دۆزینەوەی قەبارەی تانکێکی سێگۆشەیی پریزم، پێویستە ڕووبەری بنکە لە بەرزی تانکەکە بکەین.

ڕووبەری بنکە = 116 ft^2
بەرزی = 30 ft

قەبارە = ڕووبەری بنکە × بەرزی
= 116 ft^2 × 30 ft
= 3480 ft^3

کەواتە، وەڵامی دروست بریتییە لە C. 3480 ft^3.",
"ئەو ڤۆڵتییەی کە لە هاندەرێکدا دروست دەکرێت وەک
A.لە ڕێگەی ئەوەوە کە ئێستا و لە ڕێگەی
B.لە ئێستادا ڕێژەی ئەو لە ڕێگەی
C.لە ئێستادا لە ڕێگەی ئەوەوە بۆ ئەوەی
D.به رهه مى ئه و گۆڕان و گۆڕانه ى ئێستاى",D,"وەڵامی دروست بریتییە لە وەڵامی D:

به رهه مى ئه و گۆڕان و گۆڕانه ى ئێستاى

ڤۆڵتی کە لە هاندەرێکدا دروست دەکرێت، بەرهەمی گۆڕانی ئێستایە لە ڕێگەی هاندەرەکەدا. واتە ڤۆڵتییەکە پەیوەستە بە گۆڕانی ئێستا (جەریان) و تایبەتمەندییەکانی هاندەرەکە. ئەمە بنەمای کارەبایی هاندەرەکانە.",
"ئایا ڕێککەوتنەکە لەگەڵ کام لەم خاڵانەی خوارەوەدا دەکرێت؟
A.شێوازی سووڕانەوە لە پاشماوەکاندا
B.شێوازێکی گۆڕاو لە پاشماوەکاندا
C.هه ڕه مه کییه کی ته واو له پاشماوه کاندا
D.پاشماوەکان کە هەموویان نزیکن لە سفر",B,بۆ ئەوەی بزانین کام لەو خاڵانە ڕاستە، پێویستە بزانین باسی چ ڕێککەوتنێک دەکرێت و پاشماوەکان چین. بەبێ زانینی ئەو زانیارییانە ناتوانم بڵێم کامیان ڕاستە. ئەگەر دەتوانیت زانیاری زیاترم پێبدەیت سەبارەت بە ڕێککەوتنەکە و پاشماوەکان، ئەوا هەوڵدەدەم یارمەتیت بدەم بۆ دیاریکردنی وەڵامی ڕاست.,
"ژمارەی ئەو کەسانەی کە نزیکن لە هەزار کەس ۴۷ هەزار کەسن چ ژمارەیەک دەکرێت ئەو ژمارەیە بێت کە دەورە دراوە؟
A.46,295
B.46,504
C.47,520
D.47,924",B,"بۆ دۆزینەوەی ژمارەکە، پێویستە ژمارەکە بگۆڕین بۆ سەدان و دواتر بزانین کام ژمارە نزیکترینە لە 1000.

ژمارەکان بە سەدان:
A. 462.95
B. 465.04
C. 475.20
D. 479.24

لەبەر ئەوەی 1000 بە سەدان دەبێتە 10، پێویستە بزانین کام لەم ژمارانە نزیکترینە لە 10:

|462.95 - 10| = 537.05
|465.04 - 10| = 534.96
|475.20 - 10| = 524.80
|479.24 - 10| = 520.76

کەواتە، ژمارەی 479.24 نزیکترینە لە 10، واتە وەڵامی ڕاست بریتیە لە D. 47,924.",
"ئەکتەر ئەنتۆنیۆ باندێراس چییە؟
A.ئیسپانی
B.ڕووسی
C.ئەڵمانی
D.فەرەنسی",A,"وەڵامی دروست بریتییە لە: A. ئیسپانی

ئەنتۆنیۆ باندێراس ئەکتەرێکی بەناوبانگی ئیسپانییە. ئەو لە 10ی ئابی 1960 لە شاری ماڵاگا لە ئیسپانیا لەدایکبووە. باندێراس بە یەکێک لە دیارترین ئەکتەرە ئیسپانییەکان دادەنرێت و لە زۆر فیلمی ناوازەدا ڕۆڵی بینیوە، وەک The Mask of Zorro، Desperado، و Puss in Boots. هەروەها چەندین خەڵاتی وەرگرتووە بۆ کارە هونەرییەکانی.",
"گه نجانی ته مه ن زیاتر له گه نج و گه نجن
A.دروستکەر
B.دەمار
C.ڕەزامەند
D.دڵنیا",A,"وەڵامی دروست بریتیە لە C. ڕەزامەند.

ڕستەکە بەم شێوەیە دەخوێنرێتەوە: ""گەنجان زیاتر لە پیران ڕەزامەندن"".

هۆکارەکان:
- وشەی ""ڕەزامەند"" لە ڕووی واتاوە لەگەڵ ڕستەکەدا دەگونجێت، چونکە باس لە جیاوازی نێوان گەنج و پیر دەکات لە ڕووی ڕەزامەندییەوە.
- وشەکانی ""دروستکەر""، ""دەمار"" و ""دڵنیا"" پەیوەندییان بە بابەتی ڕستەکەوە نییە و ناگونجێن.

کەواتە، وەڵامی گونجاو بریتیە لە: ڕەزامەند.",
"لە چ وڵاتێکدا فیلمی ماگنۆلیای ساڵی ۱۹۹۹یە؟
A.کالیفۆرنیا
B.کارۆلینای باشوور
C.جۆرجیا
D.تێکساس",A,"وەڵامی دروست بریتییە لە A. کالیفۆرنیا.

فیلمی ماگنۆلیا (Magnolia) کە لە ساڵی 1999 بەرهەم هاتووە، لە وڵاتی ئەمریکا و لە ویلایەتی کالیفۆرنیا وێنەگیراوە. ئەم فیلمە بە دەرهێنانی پۆڵ تۆماس ئەندرسۆن بووە و چیرۆکی ژیانی چەند کەسێک لە شاری لۆس ئەنجلس دەگێڕێتەوە کە بە شێوەیەکی سەیر و سەمەرە چارەنووسیان پێکەوە گرێ دراوە. زۆربەی ڕووداوەکانی فیلمەکە لە لۆس ئەنجلس و دەوروبەری ئەم شارە گەورەیەی کالیفۆرنیا ڕوودەدەن.",
"زمانی فەرمی هۆڵەندا چییە؟
A.دانیمارکی
B.سویدی
C.ئەڵمانی
D.هۆڵەندی",D,"وەڵامی دروست بریتییە لە D. هۆڵەندی.

زمانی فەرمی و سەرەکی وڵاتی هۆڵەندا، زمانی هۆڵەندییە کە پێشتر پێی دەگوترا زمانی دەچ (Dutch). زۆرینەی دانیشتوانی هۆڵەندا بە زمانی هۆڵەندی قسە دەکەن و زمانی یەکەمی خوێندن و کارکردنە لەو وڵاتەدا.

هەرچەندە لە هۆڵەندا چەند زمانێکی کەمینەش هەن وەک فریزی و لیمبورگی، بەڵام هۆڵەندی زمانی سەرەکی و فەرمییە. ئەو زمانانەی تری ئاماژەت پێکردوون وەک دانیمارکی، سویدی و ئەڵمانی، زمانی وڵاتانی دراوسێی هۆڵەندان، بەڵام لە خودی هۆڵەندا زمانی فەرمی نین.",
"ئەم پرسیارە دەگەڕێتەوە بۆ ئەم زانیارییانەی خوارەوە.
""سیستەمی تۆتالیتاری بە هۆی ناخۆشی و ئارەزووەوە پەروەردە دەکرێت. ئەوان لە خاکی هەژاری و ناکۆکیدا گەشە دەکەن. ئەوان بە تەواوی گەشە دەکەن کاتێک هیوای خەڵک بۆ ژیانێکی باشتر دەمرێت. ئێمە دەبێت ئەو هیوایە بە زیندوویی بهێڵینەوە. بەرپرسیارێتییەکی گەورە لەسەر ئێمە دانراوە بەهۆی جوڵەی خێرای ڕووداوەکانەوە. من دڵنیام کە کۆنگرێس بە شێوەیەکی ڕاستەوخۆ ڕووبەڕووی ئەو بەرپرسیارێتییانە دەبێتەوە.""
سەرۆک هاری ئێس ترۆمان ۱۹۴۷
ئەو بیرۆکانەی کە لە بەشی سەرەوەدا دەربڕدراون بە شێوەیەکی ڕاستەوخۆ ڕەنگدانەوەی کام لە بەردەوامییەکانی مێژووی ئەمریکان؟
A.گفتوگۆ له سه ر په یوه ندی نێوان ئه نجومه نی نوێنه ر و سه رۆک کۆمار
B.لەبارەی بەکارهێنانی هێزی سەربازی لە دۆخێکی ناجێگیردا
C.گفتوگۆ له سه ر ڕۆڵی ئه مریکا له کاروباری جیهانیدا
D.گفتوگۆ لەسەر ڕۆڵی لایەنە سیاسییەکان دەکرێت",C,"وەڵامی ڕاست بریتییە لە C. گفتوگۆ لەسەر ڕۆڵی ئەمریکا لە کاروباری جیهانیدا.

لەم دەقەدا، سەرۆک هاری ترۆمان باس لە مەترسییەکانی سیستەمە تۆتالیتارییەکان دەکات کە لە هەژاری و ناکۆکیدا گەشە دەکەن. ئەو جەخت دەکاتەوە کە پێویستە ئەمریکا هیوا بۆ ژیانێکی باشتر بپارێزێت و ڕووبەڕووی بەرپرسیارێتییە جیهانییەکان ببێتەوە بەهۆی خێرایی ڕووداوەکانەوە.

ئەمە ئاماژەیە بۆ ڕۆڵ و بەرپرسیارێتی ئەمریکا لە ڕووبەڕووبوونەوەی ئەو جۆرە سیستەمانە و پاراستنی ئازادی و دیموکراسی لە سەرتاسەری جیهاندا، بەتایبەتی لە سەردەمی جەنگی سارددا. کەواتە گفتوگۆکە لەسەر ڕۆڵی ئەمریکایە لە کاروباری جیهانیدا.",
"کام لە تایبەتمەندییەکانی خوارەوە بە شێوەیەکی گشتی لەگەڵ دەستدرێژی سێکسیدا هاوسەنگن؟
A.بەکارهێنانی هێزی زیاد لە پێویست
B.پێشبینیکراو
C.پاڵنەری سێکسی
D.بەکارهێنانی چەک",C,"بەپێی توێژینەوەکان، هەندێک لە تایبەتمەندییە گشتییەکانی دەستدرێژی سێکسی بریتین لە:

A. بەکارهێنانی هێزی زیاد لە پێویست - ئەمە زۆرجار لە دەستدرێژی سێکسیدا ڕوودەدات بۆ کۆنترۆڵکردنی قوربانی.

C. پاڵنەری سێکسی - ئەنجامدانی کردەوەکە بۆ دابینکردنی پێداویستی و ئارەزووە سێکسییەکان، نەک پەیوەندییەکی ڕاستەقینە.

D. بەکارهێنانی چەک - هەندێکجار تاوانباران چەک بەکاردەهێنن بۆ هەڕەشەکردن یان ترساندنی قوربانییەکان.

بەڵام B. پێشبینیکراو - ئەمە بەشێوەیەکی گشتی ناگونجێت، چونکە زۆربەی دەستدرێژییە سێکسییەکان کتوپڕ و بێ پلان ڕوودەدەن.

کەواتە A، C، D زیاتر لەگەڵ تایبەتمەندییەکانی دەستدرێژی سێکسیدا دەگونجێن.",
