Question,CorrectAnswer,GivenAnswer,Correct
"Mibange ya katikati bamonanaka lokola bato mingi _ koleka mikóló to bilenge
A.Generative
B.Neurotic
C.Ondimi yango
D.Tokoloba solo",a,c,false
"Antonio Banderas elobeli ya bana-mboka ezali nini?
A.Espagnol
B.Russe
C.Allemand
D.Français",a,a,true
"Na 1999, filme ya Magnolia ezali nini?
A.Californie
B.Caroline ya Sudi
C.Géorgie
D.Texas",a,a,true
"Na bilei oyo wapi basalaka na misɔpɔ ya ngulu?
A.Haggis
B.Chitlins
C.Grits
D.chop suey",b,b,true
" Esaleli oyo ya koteka mpe ya kosolola ezali kopesa inducation ya mbala moko to kolendisa bakiliya na kosomba biloko/mosala:
A.Piblisité.
B.Public relations.
C.Promo ya koteka.
D.Mobilisation commercial.",c,c.,true
"Bambongwana oyo esalaka ete achondroplasie ebimisa bopusi oyo ekoki kokabolama na:
A.ya nene.
B.Kobo Fonction des boutiques.
C.Kobumaki Mbak.
D.Loss-of-function.",b,d.,false
"K-Haut Kobo Kobo
A.linear na K
B.Quadratic na kati ya K
C.kikia na k
D.Exponence na K",a,d,false
"Monɔkɔ ya Leta ya Pays - Bas ezali nini?
A.Danois
B.Suédois
C.Allemand
D.Néerlandais",d,d,true
"Na kati ya bafilme wana ya nsɔmɔ ebimisaki bafilme oyo ezalaki kolandana mingi?
A.Scream'
B.Mbanga
C.Halloween '
D.13 Mokolokili",d,d,true
"Bomoto ya ba bokilo ezali lolenge moko boye
A.Kokwea ya accident
B.Mokakatano ya lokuta
C.ya pas de question
D.Makanisi ya zolongano",a,d.,false
"Ba autocorrelation ya ba autocités ya ba oyo wapi ba oyo elandi?
A.Bikakoli o molɔngɔ́ ya bilɔkɔ ya loléngé mɔ̌kɔ́ "" Molɔngɔ́ ya bilɔkɔ ya loléngé mɔ̌kɔ́ "" Molɔngɔ́ ya bilɔkɔ ya loléngé mɔ̌kɔ
B.Modification dans les résultats
C.Casual Totalement dans les résultats
D.Tous les yeux dans mes yeux",b,a,false
"Moto ya maladi abukani nkingo na mbeba na mokuwa ya mokɔngɔ na nivo ya mokuwa ya motoba ya mokɔngɔ.
A.Bakopema lisusu malamu te soki biloko ya kobatela bango ezali te.
B.Bakozala kaka na likoki ya kopema na kimya.
C.Likoki ezali te ya koyeba soki moto azali kopema ekoki kosala nini.
D.Kopema ekobebisama te.",b,a,false
"Nani kati na yango esalaka ete koyeba boyokani ya evolisyo ya lolenge ekeseni oyo euti na amino acide sequence ya baproteine homologous mbala mingi ezalaka sikisiki te koleka ekateli ya boyokani oyo euti na ba nucleotide ya ba gene ya homologous?
A.Kobongwana ya silent
B.Gene duplications
C.Ba evenement ya translocation oyo ebongolaka ba sequence ya ba gene
D.Kokatisa-over",a,a.,true
"Koyeba antecedent ya proposition ya conditionnement elandi: Bees elongaka match na bango ya liboso kaka soki ba Aardvarks to ba Chipmunks balongi te bamatch na bango ya liboso.
A.Ba Aardvarks balongaka te na match na bango ya liboso.
B.Bees elongaka match na bango ya liboso.
C.Ba Chipmunks balongaka te match na bango ya liboso.
D.Ekoki kozala ete ba Aardvarks to ba Chipmunks balongaka te bamatch na bango ya liboso.",b,d,false
"Koyeba concentration ya H+(aq) na 1,0 M phenol, C6H5OH, solution. (Ka for phenol ezali 1 × 10^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 M
C.1 × 10^-3 M
D.1 × 10^-5 M",d,d,true
"Na kati ya makambo oyo elandi tokoki kotalela yango lokola eloko ya ""kobenda"" mpona Riva ntango azali kokanisa kolongwa na Inde mpe kokende na Etats-Unis?
A.Abject Bobola
B.Mosala ya malamu mpe lifuti ya malamu
C.Mitángo mpo na bato ya Inde
D.Mobulu na kartye na ye",b,b,true
"Koboma moto na ndenge ya mabe oyo Ministre ya mboka X asalaki na mboka mopaya, ezali nde likambo oyo jure imperii to jure gestionis?
A.Etamboli ya ndenge wana ezali likambo ya Leta (jure imperii)
B.Etamboli ya ndenge wana ebendaka ata moke te immunité
C.Etamboli ya ndenge wana ezali likambo ya moto ye moko (jure gestionis)
D.Etamboli ya ndenge wana ezali likambo oyo bato nyonso basalaka kasi ebatelaka yango na immunite",c,c.,true
"Bana-kelasi bazali kosala ngalasisi ya kokabola pigment ya banzete oyo esengaka bango basalela chambre ya chromatographie oyo bakangi mpe eza na mwa acetone moke na nse ya chambre. Makebisi ya libateli mpo na acetone eza na ndakisa maloba oyo elobi ete eza mpasi ya miso mpe mposo ya nzoto mpe eza na vapors oyo epelaka na mɔtɔ. Na oyo elandi: 'Komibatela na libateli nini bana kelasi basengeli kosala ntango bazali kosala ngalasisi?
A.Kotya bagan oyo ebomaka mɔtɔ mpona komema chambre na kapo ya fume soki acetone ezwi mɔtɔ
B.Kotya chambre na cabinet ekangami, molili na boumeli ya ntango nyonso ya kokabola pigmente
C.Kolata bagan ya mposo ya nyama mpe kozipa zolo mpe monoko na masque ya biloko ya mikemike
D.Kolata maneti ya kobatela nzoto mpe bagan ya lolenge ya nitrile mpe kobatela ba container nyonso ya acetone ekangama",d,d,true
