Question,CorrectAnswer,GivenAnswer,Correct
"ນັກສະແດງ Antonio Banderas ພາສາພື້ນເມືອງແມ່ນຫຍັງ?
A.ພາສາສະເປນ
B.ພາສາຣັດເຊຍ
C.ພາສາເຢຍລະມັນ
D.ພາສາຝຣັ່ງ",A,"A. ພາສາສະເປນ

Antonio Banderas ເປັນນັກສະແດງຊາວສະເປນ ເກີດທີ່ເມືອງ Málaga ປະເທດສະເປນ. ສະນັ້ນ, ພາສາພື້ນເມືອງຂອງລາວແມ່ນພາສາສະເປນ.",
"ລັກສະນະດັ່ງຕໍ່ໄປນີ້ໂດຍທົ່ວໄປແມ່ນສອດຄ່ອງກັບການຂົ່ມຂືນວັນທີ?
A.ການໃຊ້ກໍາລັງແຮງເກີນ
B.ໄດ້ກໍານົດໄວ້ລ່ວງຫນ້າ
C.ມີແຮງຈູງໃຈທາງເພດ
D.ກ່ຽວຂ້ອງກັບການໃຊ້ອາວຸດ",C,"ຄໍາຕອບທີ່ຖືກຕ້ອງແມ່ນ B. ໄດ້ກໍານົດໄວ້ລ່ວງຫນ້າ.

ການຂົ່ມຂືນວັນທີໂດຍທົ່ວໄປແມ່ນໄດ້ກໍານົດໄວ້ລ່ວງຫນ້າ, ໝາຍຄວາມວ່າຜູ້ກະທໍາຜິດໄດ້ວາງແຜນການໂຈມຕີໄວ້ກ່ອນແລ້ວ. ມັນອາດຈະ ຫຼື ອາດຈະບໍ່ກ່ຽວຂ້ອງກັບການໃຊ້ກໍາລັງແຮງເກີນຄວາມຈໍາເປັນ, ມີແຮງຈູງໃຈທາງເພດ ຫຼື ການໃຊ້ອາວຸດ. ແຕ່ການກໍານົດໄວ້ລ່ວງຫນ້າແມ່ນລັກສະນະທີ່ສໍາຄັນທີ່ສຸດຂອງການຂົ່ມຂືນວັນທີ.",
"ໃນລັດໃດເປັນຮູບເງົາປີ 1999 ຂອງ Magnolia' ຊຸດ?
A.ລັດ ຄາ ລິ ຟໍ ເນຍ
B.South Carolina
C.ປະເທດຈໍເຈຍ
D.ລັດເທັກຊັສ",A,"ຄຳ ຕອບ ທີ່ ຖືກ ຕ້ອງ ແມ່ນ B. South Carolina.

ຮູບເງົາ Magnolia ປີ 1999 ຂອງຜູ້ກຳກັບ Paul Thomas Anderson ໄດ້ຖ່າຍທຳຢູ່ໃນລັດ South Carolina. ເລື່ອງລາວຂອງຮູບເງົາເລົ່ານີ້ແມ່ນເກີດຂຶ້ນໃນເມືອງ Magnolia ທີ່ຢູ່ໃນລັດ South Carolina. ຮູບເງົາເລື່ອງນີ້ໄດ້ຖ່າຍທອດເລື່ອງລາວຂອງຕົວລະຄອນຫຼາຍຄົນທີ່ມີຊີວິດຢູ່ໃນເມືອງນີ້ ແລະ ວິທີທີ່ຊີວິດຂອງພວກເຂົາເຊື່ອມໂຍງກັນ.",
"ຄວາມເປັນເອກະພາບທີ່ຍັງເຫລືອໃນທາງລົບແມ່ນບົ່ງບອກໂດຍຫນຶ່ງໃນດັ່ງຕໍ່ໄປນີ້?
A.ແບບແຜນຫມູນວຽນໃນສ່ວນທີ່ຢູ່
B.ແບບແຜນທາງເລືອກໃນສ່ວນທີ່ຍັງຢູ່
C.ການບັງເອີນຢ່າງຄົບຖ້ວນໃນສ່ວນທີ່ຍັງຢູ່
D.ສ່ວນທີ່ຍັງຄ້າງຄາທີ່ໃກ້ຈະຮອດ zero",B,"D. ສ່ວນທີ່ຍັງຄ້າງຄາທີ່ໃກ້ຈະຮອດ zero

ຄວາມເປັນເອກະພາບທີ່ຍັງເຫລືອໃນທາງລົບ ແມ່ນບົ່ງບອກໂດຍສ່ວນທີ່ຍັງຄ້າງຄາທີ່ໃກ້ຈະຮອດ zero. ເມື່ອສ່ວນທີ່ຍັງຄ້າງຄາໃກ້ຈະຮອດ zero ມັນສະແດງໃຫ້ເຫັນວ່າ ຄວາມເປັນເອກະພາບທີ່ຍັງເຫລືອໃນທາງລົບນັ້ນກໍາລັງຈະຫມົດໄປ. ສ່ວນຄໍາຕອບອື່ນໆ ເຊັ່ນ: ແບບແຜນຫມູນວຽນ, ແບບແຜນທາງເລືອກ ຫລື ການບັງເອີນຢ່າງຄົບຖ້ວນ ແມ່ນບໍ່ໄດ້ບົ່ງບອກເຖິງຄວາມເປັນເອກະພາບທີ່ຍັງເຫລືອໃນທາງລົບໂດຍກົງ.",
"ຄົນເຈັບທົນທຸກກັບຄໍຫັກທີ່ມີຄວາມເສຍຫາຍຕໍ່ເສັ້ນປະສາດໃນລະດັບຂອງເສັ້ນປະສາດເສັ້ນປະສາດທີຫົກ.
A.ພວກເຂົາຈະບໍ່ສາມາດຫາຍໃຈໄດ້ຖ້າບໍ່ໄດ້ຮັບການສະຫນັບສະຫນູນຈາກຊີວິດ.
B.ພວກເຂົາຈະສາມາດຫາຍໃຈໄດ້ຢ່າງງຽບໆເທົ່ານັ້ນ.
C.ເປັນ ໄປ ບໍ່ ໄດ້ ທີ່ ຈະ ທໍານາຍ ເຖິງ ຜົນ ກະທົບ ຕໍ່ ການ ຫາຍ ໃຈ.
D.ການຫາຍໃຈຈະບໍ່ໄດ້ຮັບຜົນກະທົບ.",B,"B. ພວກເຂົາຈະສາມາດຫາຍໃຈໄດ້ຢ່າງງຽບໆເທົ່ານັ້ນ.

ຄໍາອະທິບາຍ: ສໍາລັບຄົນເຈັບທີ່ມີຄໍຫັກທີ່ລະດັບເສັ້ນປະສາດທີຫົກ, ການຫາຍໃຈຈະຖືກຈໍາກັດເນື່ອງຈາກການເສຍຫາຍຕໍ່ເສັ້ນປະສາດທີ່ຄວບຄຸມກ້າມຊີ້ນຫາຍໃຈ. ຄົນເຈັບຈະສາມາດຫາຍໃຈໄດ້ດ້ວຍຕົນເອງ, ແຕ່ຈະມີຄວາມຫຍຸ້ງຍາກໃນການຫາຍໃຈເລິກ ຫຼື ແຮງ. ດັ່ງນັ້ນ, ຄໍາຕອບທີ່ຖືກຕ້ອງທີ່ສຸດແມ່ນ B, ເຊິ່ງລະບຸວ່າພວກເຂົາຈະສາມາດຫາຍໃຈໄດ້ຢ່າງງຽບໆເທົ່ານັ້ນ.",
"ພາສາທາງການຂອງໂຮນລັງແມ່ນຫຍັງ?
A.ພາສາເດນມາກ
B.ພາສາສະວີເດັນ
C.ພາສາເຢຍລະມັນ
D.ພາສາໂຮນລັງ",D,"ຄຳຕອບທີ່ຖືກຕ້ອງແມ່ນ D. ພາສາໂຮນລັງ.

ພາສາທາງການຂອງປະເທດໂຮນລັງແມ່ນພາສາໂຮນລັງ (Dutch). ພາສາໂຮນລັງເປັນພາສາທີ່ໃຊ້ໂດຍປະຊາຊົນສ່ວນໃຫຍ່ໃນປະເທດໂຮນລັງ ແລະ ເປັນພາສາທາງການຂອງປະເທດ. ນອກຈາກນັ້ນ, ພາສາໂຮນລັງຍັງເປັນພາສາທາງການຂອງປະເທດແອນທິນ ແລະ ເຂດປົກຄອງຕ່າງໆຂອງໂຮນລັງ.

ສ່ວນພາສາອື່ນໆທີ່ກ່າວມາ ບໍ່ແມ່ນພາສາທາງການຂອງໂຮນລັງ:
- ພາສາເດນມາກ ແມ່ນພາສາທາງການຂອງປະເທດເດນມາກ.
- ພາສາສະວີເດັນ ແມ່ນພາສາທາງການຂອງປະເທດສະວີເດັນ.
- ພາສາເຢຍລະມັນ ແມ່ນພາສາທາງການຂອງປະເທດເຢຍລະມັນ.",
"ການ ຄາດ ຕະ ກໍາ ທີ່ ບໍ່ ຖືກ ຕ້ອງ ຕາມ ກົດ ຫມາຍ ທີ່ ປະ ທານ ປະ ເທດ ທີ X ຕ່າງ ປະ ເທດ ເປັນ ການ ກະ ທໍາ ທີ່ ເປັນ ອັນ ຕະ ລາຍ ຫຼື jure gestionis?
A.ການປະພຶດດັ່ງກ່າວແມ່ນການກະທໍາສາທາລະນະ (jure imperii)
B.ການປະພຶດດັ່ງກ່າວບໍ່ເຄີຍດຶງດູດພູມຄຸ້ມກັນ
C.ການປະພຶດດັ່ງກ່າວແມ່ນການກະທໍາສ່ວນຕົວ (jure gestionis)
D.ການປະພຶດດັ່ງກ່າວແມ່ນການກະທໍາຂອງມວນຊົນ ແຕ່ຖືກປົກປ້ອງໂດຍພູມຄຸ້ມກັນ",C,"B. ການປະພຶດດັ່ງກ່າວບໍ່ເຄີຍດຶງດູດພູມຄຸ້ມກັນ.

ການກະທໍາທີ່ຜິດກົດໝາຍຂອງປະທານາທິບໍດີປະເທດ X ໃນຕ່າງປະເທດ ຈະບໍ່ໄດ້ຮັບການປົກປ້ອງໂດຍພູມຄຸ້ມກັນ ເນື່ອງຈາກວ່າມັນເປັນການກະທໍາທີ່ຜິດກົດໝາຍ. ພູມຄຸ້ມກັນຂອງປະທານາທິບໍດີ ແມ່ນໃຊ້ສໍາລັບການປະຕິບັດໜ້າທີ່ທາງການທູດ ແລະ ການປະຕິບັດໜ້າທີ່ຂອງລັດຖະບານເທົ່ານັ້ນ, ບໍ່ແມ່ນສໍາລັບການກະທໍາຜິດກົດໝາຍສ່ວນຕົວ. ດັ່ງນັ້ນ, ການກະທໍາຜິດກົດໝາຍດັ່ງກ່າວ ຈະບໍ່ໄດ້ຮັບການປົກປ້ອງໂດຍພູມຄຸ້ມກັນ ບໍ່ວ່າຈະເປັນ jure imperii ຫຼື jure gestionis.",
"ເມື່ອ ທຽບ ໃສ່ ກັບ ພັກ ການ ເມືອງ ໃນ ປະ ເທດ ຕ່າງໆ ເຊັ່ນ ອັງ ກິດ ແລະ ອິດ ສະ ຣາ ແອນ ຊຶ່ງ ທັງ ສອງ ມີ ລະ ບົບ ຫຼາຍ ພັກ, ພັກ ການ ເມືອງ ອາ ເມ ລິ ກາ ແມ່ນ
A.ບໍ່ສົນໃຈທີ່ຈະມີອິດທິພົນຕໍ່ຜົນຂອງການເລືອກຕັ້ງ
B.ບໍ່ໄດ້ລະບຸຢ່າງຈະແຈ້ງກັບແນວຄິດການເມືອງທີ່ສະຫມ່ໍາສະເຫມີ
C.ມີປະສິດທິຜົນຫນ້ອຍໃນການເກັບເງິນຈາກພວກສະຫນັບສະຫນູນການເມືອງ
D.ສາມາດສະທ້ອນໃຫ້ເຫັນເຖິງເປົ້າຫມາຍຂອງການເລືອກຕັ້ງທັງຫມົດຂອງພວກເຂົາເຈົ້າໄດ້ດີຂຶ້ນ",B,"B. ບໍ່ໄດ້ລະບຸຢ່າງຈະແຈ້ງກັບແນວຄິດການເມືອງທີ່ສະຫມ່ໍາສະເຫມີ

ເມື່ອທຽບໃສ່ກັບພັກການເມືອງໃນປະເທດອື່ນໆ ເຊັ່ນ ອັງກິດ ແລະ ອິດສະຣາແອນ, ພັກການເມືອງອາເມລິກາມັກຈະບໍ່ໄດ້ລະບຸຢ່າງຈະແຈ້ງກັບແນວຄິດການເມືອງທີ່ສະໝ່ຳສະເໝີ. ພັກເດໂມແຄຣັດ ແລະ ພັກຣີພັບບລິກັນ ແມ່ນມີຄວາມຫຼາກຫຼາຍທາງດ້ານແນວຄິດ ແລະ ບໍ່ໄດ້ຢືນຢູ່ຝ່າຍຊ້າຍ ຫຼື ຂວາຢ່າງຈະແຈ້ງ ເມື່ອທຽບໃສ່ກັບພັກການເມືອງໃນປະເທດອື່ນໆ. ສ່ວນຄຳຕອບອື່ນໆ ແມ່ນບໍ່ຖືກຕ້ອງ ຫຼື ບໍ່ກ່ຽວຂ້ອງກັບຄຳຖາມ.",
"ຈໍານວນຫນຶ່ງ, ຮອບໄປຫາພັນທີ່ໃກ້ທີ່ສຸດ,ມີ 47,000 ຄົນ. ຈໍານວນໃດທີ່ອາດເປັນຈໍານວນທີ່ຖືກຮອບໄດ້?
A.46,295
B.46,504
C.47,520
D.47,924",B,"ເພື່ອຫາຄໍາຕອບທີ່ຖືກຕ້ອງ, ໃຫ້ພວກເຮົາປະຕິບັດຕາມຂັ້ນຕອນດັ່ງຕໍ່ໄປນີ້:

1. ຈໍານວນທີ່ຖືກຮອບແມ່ນ 47,000. ສະນັ້ນ, ຈໍານວນທີ່ຖືກຕ້ອງຈະຕ້ອງຢູ່ລະຫວ່າງ 46,500 ແລະ 47,500.

2. ຈາກຕົວເລືອກທີ່ໃຫ້ມາ, ມີພຽງສອງຕົວເລືອກທີ່ຢູ່ໃນຊ່ວງນີ້:
   B. 46,504
   C. 47,520

3. ເພື່ອຫາຄໍາຕອບທີ່ຖືກຕ້ອງ, ໃຫ້ພວກເຮົາຮອບຈໍານວນເຫຼົ່ານີ້ໄປຫາພັນທີ່ໃກ້ທີ່ສຸດ:
   
   46,504 ຮອບໄປຫາ 47,000
   47,520 ຮອບໄປຫາ 48,000

4. ສະນັ້ນ, ຈໍານວນທີ່ຖືກຮອບໄປຫາ 47,000 ແມ່ນ 46,504.

ດັ່ງນັ້ນ, ຄໍາຕອບທີ່ຖືກຕ້ອງແມ່ນ B. 46,504.",
"ອາຫານປະເພດໃດທີ່ເຮັດຈາກລໍາໄສ້ຫມູ?
A.haggis
B.chitlins
C.grits
D.chop suey",B,"ຄໍາຕອບທີ່ຖືກຕ້ອງແມ່ນ B. chitlins.

Chitlins ແມ່ນອາຫານທີ່ເຮັດຈາກລໍາໄສ້ຫມູ, ເຊິ່ງເປັນທີ່ນິຍົມໃນອາຫານທ້ອງຖິ່ນຂອງຊາວອາເມລິກັນເອັດຟຣິກັນ. ມັນຖືກເຮັດໂດຍການນໍາລໍາໄສ້ຫມູມາຕົ້ມ ແລະ ປຸງແຕ່ງລົດຊາດ.

ສ່ວນຕົວເລືອກອື່ນໆ:
- Haggis ແມ່ນອາຫານສະກັອດແລນ ເຮັດຈາກເຄື່ອງໃນສັດ (ຕັບ, ຫົວໃຈ, ປອດ) ບົດປົນກັບເຂົ້າໂອ໊ດ, ຫອມ ແລະ ເຄື່ອງປຸງ ຫໍ່ໃນກະເພາະແກະ.
- Grits ແມ່ນອາຫານອາເມລິກັນທີ່ເຮັດຈາກເຂົ້າໂພດບົດ.
- Chop suey ແມ່ນອາຫານຈີນ-ອາເມລິກັນ ປະກອບມີຊີ້ນ ແລະ ຜັກປະສົມກັນ.",
