Question,CorrectAnswer,GivenAnswer,Correct
"Inona no atao hoe Antonio Banderas, teratany avy amin'ny mpilalao sarimihetsika?
A.Espanola
B.Rosiana
C.Alemà
D.Frantsay",A,"A. Espanola no valiny marina. Antonio Banderas dia mpilalao sarimihetsika malaza teraka tany Malaga, Espaina tamin'ny 10 Aogositra 1960. Nanomboka nilalao sarimihetsika tany Espaina izy talohan'ny nifindra monina tany Etazonia ary lasa mpilalao sarimihetsika malaza manerantany.",
"Inona no fiteny ofisialy any Holandy?
A.Danoà
B.Soedoà
C.Alemà
D.Holandey",D,"Ny valiny marina dia D. Holandey.

Ny fiteny ofisialy any Holandy dia ny teny Holandey (Hollandais). Ankoatra izany, ny teny Anglisy sy Frisianina koa dia fiteny ofisialy any amin'ny faritra sasany ao Holandy.

- Ny teny Danoà dia fiteny ofisialy any Danemark fa tsy any Holandy.
- Ny teny Soedoà dia fiteny ofisialy any Soeda fa tsy any Holandy. 
- Ny teny Alemà dia fiteny ofisialy any Alemaina fa tsy any Holandy.",
"Amin'ny fomba ahoana no misy ny sarimihetsika Magnolia tamin'ny 1999?
A.California
B.Carolina Atsimo
C.Georgia
D.Texas",A,"Ny valiny marina dia C. Georgia.

Ny sarimihetsika Magnolia tamin'ny 1999 dia novolavolain'i Paul Thomas Anderson ary nifantoka tao amin'ny tanàna kely iray ao Georgia. Ny ankamaroan'ny sehatra dia nalaina tao amin'ny faritra manodidina an'i Los Angeles, California, saingy ny tantara dia mifantoka amin'ny fianakaviana iray ao amin'ny tanàna kely any atsimo atsinanan'i Etazonia, izay Georgia no toerana mifanaraka amin'izany indrindra.",
"Ny fampidirana ao amin'ny inductor dia aseho toy ny,
A.Ny vokatry ny inductance sy ny amin'izao fotoana izao amin'ny alalan'ny izany.
B.Ny tahan'ny fampidirana azy amin'izao fotoana izao amin'ny alalan'izany.
C.Ny tahan'ny amin'izao fotoana izao amin'ny alalan'ny izany ho amin'ny inductance.
D.Vokatra avy amin'ny inductance sy ny tahan'ny ny fiovana amin'izao fotoana izao amin'ny alalan'ny izany.",D,"Ny valiny marina dia:
D. Vokatra avy amin'ny inductance sy ny tahan'ny ny fiovana amin'izao fotoana izao amin'ny alalan'ny izany.

Ny fampidirana ao amin'ny inductor dia miankina amin'ny inductance (L) sy ny tahan'ny fiovana amin'ny amin'izao fotoana izao (di/dt) amin'ny alalan'ny inductor. Izany dia azo sokajiana amin'ny alalan'ny fifandraisana:

v = L * (di/dt)

Izay,
v = fampidirana amin'ny inductor
L = inductance
di/dt = tahan'ny fiovana amin'ny amin'izao fotoana izao amin'ny alalan'ny inductor

Noho izany, ny fampidirana ao amin'ny inductor dia vokatra avy amin'ny inductance sy ny tahan'ny fiovana amin'ny amin'izao fotoana izao amin'ny alalan'ny inductor, fa tsy ny amin'izao fotoana izao tenany.",
"Iza amin'ireo sakafo ireo no vita amin'ny tsinain'ny kisoa?
A.Haggis
B.chitlins
C.grits
D.Chop suey",B,"Ny valiny marina dia B. chitlins.

Ny chitlins dia sakafo vita amin'ny tsinain'ny kisoa izay malaza any amin'ny faritra sasany tany Etazonia, indrindra any atsimo. Rehefa voavoatra sy nalahatra tsara izy ireo dia matsiro hohanina.

Ny Haggis (A) kosa dia sakafo Ekosey vita amin'ny voa sy tsinain'ny ondry.

Ny grits (C) dia sakafo Amerikana atsimo vita amin'ny katsaka voaendy madinika.

Ny Chop suey (D) dia sakafo Sinoa misy legioma sy hena voatety madinika.",
"Iza amin'ireto manaraka ireto no mifanaraka amin'ny daty fanolanana?
A.Fampiasana hery tafahoatra
B.Nomanina mialoha
C.Ny antony manosika hanao firaisana ara-nofo
D.Mampiasà fitaovam-piadiana",C,"Ny valiny mifanaraka amin'ny fanontaniana dia ny B. Nomanina mialoha.

Ny antony:
- Ny fampiasana hery tafahoatra dia midika fa tsy nisy fifanarahana na fanekena avy amin'ny andaniny roa tonta. 
- Ny antony manosika hanao firaisana ara-nofo dia tsy voatery midika fa nisy fanomanana mialoha.
- Ny fampiasana fitaovam-piadiana dia midika koa hoe fampiasana hery fa tsy mifanaraka amin'ny hoe nomanina mialoha.

Noho izany, ny fanomanana mialoha no mifanaraka indrindra amin'ny atao hoe daty fanolanana satria midika izany fa efa nifanaiky ny roa tonta ny amin'ny fotoana sy toerana hanaovana izany.",
"Ny isan'ny olona manakaiky ny arivo dia 47.000. Inona no isa mety ho ny isa izay nihodidina?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Ny valiny marina dia B. 46,504.

Rehefa manakaiky isa amin'ny arivo, dia alaina ny isa feno arivo akaiky indrindra ny isa nomena. Noho izany, ny 47.000 dia akaiky indrindra ny 47.000 raha oharina amin'ny 46.000 na 48.000. 

Avy eo, ny isa tena izy dia tsy maintsy manodidina ny 47.000 io, midika izany fa eo anelanelan'ny 46.500 sy 47.500.

Amin'ireo safidy omena, ny 46.504 ihany no mifanaraka amin'io fetra io, noho izany dia io no valiny marina.",
"Ny toetra maha-izy azy amin'ny maha-izy azy dia karazana
A.Lozam-pifamoivoizana
B.Zava - manahirana diso
C.Mametraha fanontaniana
D.Fisainana boribory",A,"Ny valiny marina dia D. Fisainana boribory.

Ny fisainana boribory dia midika hoe miverimberina foana ny fisainana ka tsy misy vahaolana na hevitra vaovao azo alaina. Izany dia mety hitranga rehefa misy olana na toe-javatra iray tsy hay vahaolana ka miverina foana eo amin'ilay izy ny fisainana nefa tsy misy vaovao.

Tsy mifanaraka amin'ny fanontaniana ny valiny A, B ary C satria tsy misy ifandraisany amin'ny toetra maha-izy azy ny lozam-pifamoivoizana, ny zava-manahirana diso na ny fametraham-panontaniana.",
"Iza amin'ireo sarimihetsika mampihoron-koditra ireo no tena nahatonga ny squels?
A.Mikiakiaka'
B.Jaws'
C.Halloween'
D.Zoma faha-13",D,"Ny valiny marina dia B. Jaws.

Ny sarimihetsika Jaws, navoakan'i Steven Spielberg tamin'ny 1975, no iray tamin'ireo sarimihetsika mampihoron-koditra voalohany nahatonga ny fisian'ny ""sequels"" na fizarana manaraka maro. Noho ny fahombiazany sy ny fankafizana azy, dia nisy ny Jaws 2, Jaws 3 ary Jaws: The Revenge navoaka taty aoriana.

Na dia sarimihetsika mampihoron-koditra malaza koa aza ny Halloween sy ny Zoma faha-13, dia taty aoriana kely izy ireo no navoaka (1978 sy 1980) ary tsy dia nahatonga loatra ny fivoaran'ny sequels ohatra ny Jaws.",
"Ny tanky dia manana endrika triangular prisme. Raha manana velarana mirefy 116 metatra toradroa ny toby telolafy, ary mirefy 30 metatra ny haavony, ohatrinona ny rano ao anatin'ilay fitoeran-drano rehefa feno?
A.1725 ft^ 3
B.1740 ft^ 3
C.3480 ft^ 3
D.6960 ft^ 3",C,"Ny vahaolana:

1. Fantaro ny habetsaky ny prisme triangular:
   - Ny habetsaky ny prisme triangular dia: (1/3) * velarana ny toby * haavo
   - Velarana ny toby telolafy = (1/2) * 116 m² = 58 m²
   - Haavo = 30 m
   - Habetsaka = (1/3) * 58 m² * 30 m = 580 m³

2. Ovay ho metatra toradroa ny habetsaka:
   - 1 m³ = 35.3147 ft³
   - 580 m³ = 580 * 35.3147 ft³ = 20,482.526 ft³

3. Jereo ireo safidy omena ary fidio ny akaiky indrindra ny valiny:
   A. 1725 ft³
   B. 1740 ft³
   C. 3480 ft³
   D. 6960 ft³

   Ny akaiky indrindra ny 20,482.526 ft³ dia ny safidy D. 6960 ft³.

Noho izany, ny valiny marina dia D. 6960 ft³.",
