Question,CorrectAnswer,GivenAnswer,Correct
"Жүжигчин Антонио Бандерас эх хэл гэж юу вэ?
A.Испани хэл
B.Орос хэл
C.Герман хэл
D.Франц хэл",A,"A.Испани хэл

Антонио Бандерас бол Испанийн жүжигчин юм. Тэрээр 1960 оны 8 сарын 10-нд Испанийн Малага хотод төрсөн бөгөөд түүний эх хэл нь испани хэл юм.",
"1999 онд гарсан Magnolia' киноны ямар мужид тавигдсан бэ?
A.Калифорни
B.Өмнөд Каролина
C.Гүрж
D.Техас",A,"A.Калифорни

""Magnolia"" кино нь 1999 онд нээлтээ хийсэн бөгөөд АНУ-ын Калифорни мужид тавигдсан байдаг. Тус киноны найруулагч Пол Томас Андерсон Калифорни мужийн Лос-Анжелес хотод төрж өссөн бөгөөд энэхүү киногоо мөн тус хотод бүтээжээ. Киноны үйл явдал Лос-Анжелес хотод өрнөдөг.",
"Нидерландын албан ёсны хэл нь юу вэ?
A.Дани хэл
B.Швед хэл
C.Герман хэл
D.Герман хэл",D,"D.Герман хэл нь буруу хариулт юм. Нидерландын албан ёсны хэл бол Нидерланд хэл буюу Датч хэл юм.

Нидерланд хэл нь Герман хэлний салбар хэлний нэг боловч тусдаа хэл болно. Дани, Швед хэл нь Скандинавын хэлний бүлэгт хамаардаг бол Нидерланд хэл Герман хэлтэй ойролцоо боловч өөр хэл юм.

Иймд зөв хариулт нь:
A.Дани хэл",
"Эдгээр аймшгийн кинонуудаас аль нь хамгийн их дараалал үүсгэсэн бэ?
A.Хашхирах
B.Эрүү'
C.Хэллоуин'
D.13-ны Баасан гараг'",D,"Эдгээр аймшгийн кинонуудаас хамгийн олон дараалал үүсгэсэн нь C. 'Хэллоуин' юм. 

'Хэллоуин' кино анх 1978 онд нээлтээ хийсэн бөгөөд одоогоор 13 дараалал кино хийгдээд байна. Үүнд:

1. Halloween (1978)
2. Halloween II (1981)  
3. Halloween III: Season of the Witch (1982)
4. Halloween 4: The Return of Michael Myers (1988)
5. Halloween 5: The Revenge of Michael Myers (1989)
6. Halloween: The Curse of Michael Myers (1995) 
7. Halloween H20: 20 Years Later (1998)
8. Halloween: Resurrection (2002)
9. Halloween (2007) 
10. Halloween II (2009)
11. Halloween (2018)
12. Halloween Kills (2021)
13. Halloween Ends (2022)

Харин бусад хувилбарууд болох 'Хашхирах', 'Эрүү', '13-ны Баасан гараг' кинонууд тус бүр 9, 9, 12 дараалал кинотой байна.",
"Ер нь болзоо хүчиндэхтэй ер нь ямар шинж чанарууд нийцэж байна вэ?
A.хэт их хүч хэрэглэх
B.урьдчилан төлөвлөсөн
C.бэлгийн сэдэлтэй
D.зэвсэг хэрэглэхийг хэлнэ",C,"Болзоо хүчиндэх гэмт хэрэгт дараах шинж чанарууд нийцэж байна:

B. Урьдчилан төлөвлөсөн - Учир нь болзоо товлож уулзахаар тохиролцсон байдаг. 

C. Бэлгийн сэдэлтэй - Учир нь бэлгийн харьцаанд орохын тулд хүчирхийлэл үйлддэг.

Харин A ба D нь тухайн хэрэгт заавал шаардлагатай шинж биш юм. Хэт их хүч хэрэглэх, зэвсэг ашиглах нь болзоо хүчиндэхэд нийтлэг ч гэсэн заавал биелэх ёстой нөхцөл биш. 

Иймд B, C хоёр хариулт болзоо хүчиндэх гэмт хэргийн гол шинж чанарыг илэрхийлж байна.",
"Хамгийн ойрын мянгад хүрсэн тоо нь 47 000. Аль дугаар нь бөөрөнхий байсан байж болох вэ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Бодолтыг дараах байдлаар бодож болно:

1. 47,000 нь хамгийн ойрын мянгад хүрсэн тоо гэж өгөгдсөн байна. Иймд бид 46,500-аас 47,500 хүртэлх тоонуудыг авч үзэх хэрэгтэй.

2. Бөөрөнхий тоо гэдэг нь 5 эсвэл 0-оор төгссөн тоо юм.

3. Өгөгдсөн хариултуудаас 5 эсвэл 0-оор төгссөн тоог хайя.

   A. 46,295 - 5-аар төгссөн байна.
   B. 46,504 - 4-өөр төгссөн байна, бөөрөнхий биш.
   C. 47,520 - 0-оор төгссөн байна.
   D. 47,924 - 4-өөр төгссөн байна, бөөрөнхий биш.

4. 47,000-д хамгийн ойр бөөрөнхий тоо бол 47,520.

Тиймээс зөв хариулт нь C. 47,520 байна.",
"Энэ асуулт нь дараах мэдээллийг хэлнэ.
""Тоталитар дэглэмийн үрийг зовлон зүдгүүр, хүсэлд хүмүүжүүлдэг. Тэд ядуурал, хэрүүл маргааны бузар хөрсөнд тарж, өсдөг. Хүмүүс нь сайн сайхан амьдрах найдвараа алдахад тэд өсөж томроо бүрэн дүүрэн өсдөг. Бид энэ найдварыг амьд байлгах ёстой... Үйл явдлын түргэн шуурхай хөдөлгөөнөөс болж бидэнд асар их үүрэг хариуцлага онхолджээ... Конгресс эдгээр үүрэг хариуцлагатай шууд тулгарна гэдэгт би итгэлтэй байна.""
Ерөнхийлөгч Харри С.Труман, 1947
Дээрх хэсэгт илэрхийлэгдсэн санаанууд нь АНУ-ын түүхэн дэх дараах үргэлжлэлүүдийн алийг нь хамгийн шууд тусгасан байдаг вэ?
A.Конгресс болон ерөнхийлөгч хоорондын харилцааны талаарх маргаан.
B.Эмх замбараагүй нөхцөлд цэргийн хүч хэрэглэх тухай маргаан.
C.Дэлхийн үйл хэрэгт АНУ-ын гүйцэтгэх үүргийн талаарх маргаан.
D.Улс төрийн намуудын зохих үүргийн талаарх маргаан.",C,"C.Дэлхийн үйл хэрэгт АНУ-ын гүйцэтгэх үүргийн талаарх маргаан.

Ерөнхийлөгч Труманы хэлсэн үгс нь тоталитар дэглэмийн аюулын талаар анхааруулж, АНУ болон Конгресс нь энэ аюулаас сэргийлэх, дэлхийн хэмжээнд ардчиллыг дэмжих үүрэг хариуцлагыг онцолж байна. Энэ нь АНУ-ын гадаад бодлогод идэвхтэй оролцох, дэлхийн үйл хэрэгт тодорхой үүрэг гүйцэтгэх ёстой гэсэн үзлийг илэрхийлж байгаа юм. Иймд дээрх сонголтуудаас C хариулт буюу ""Дэлхийн үйл хэрэгт АНУ-ын гүйцэтгэх үүргийн талаарх маргаан"" нь хамгийн тохиромжтой хариулт болж байна.",
"Индукцид индукцийн индукцийг
A.түүний индукцийн болон урсгалын бүтээгдэхүүн түүгээр дамжуулан.
B.түүний индукцийн харьцаа нь түүгээр дамжин урсгалтай.
C.урсгалын харьцаа нь түүний индукцтэй.
D.түүний индукцийн үр дүн, түүгээр дамжуулан урсгалын өөрчлөлтийн хурд.",D,"D хариулт буюу ""түүний индукцийн үр дүн, түүгээр дамжуулан урсгалын өөрчлөлтийн хурд"" нь зөв хариулт юм.

Индукцийн хууль буюу Фарадейн хуулиар индукцийн цахилгаан хөдлөгөөрийн хүч (ЦХХ) нь соронзон урсгалын өөрчлөлтийн хурдтай шууд хамааралтай байдаг. Өөрөөр хэлбэл, соронзон урсгал хэдий чинээ хурдан өөрчлөгдөнө, төдий чинээ их ЦХХ үүснэ.

Математик томьёогоор илэрхийлбэл:

ε = -dΦ/dt

Энд:
ε - индукцийн ЦХХ
Φ - соронзон урсгал
t - хугацаа

Тиймээс индукцийн ЦХХ-ийг соронзон урсгалын өөрчлөлтийн хурдаар тодорхойлдог.",
"Танк нь гурвалжин призм хэлбэртэй байдаг. Гурвалжингийн бааз нь 116 м2 талбайтай, танк нь 30 метр өндөр байвал сав дүүрсэн үед хэр их ус агуулах вэ?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Танкны эзэлхүүнийг олохын тулд гурвалжин призмийн эзэлхүүний томъёог ашиглана.

Гурвалжин призмийн эзэлхүүн = Суурийн талбай × Өндөр

Өгөгдсөн утгууд:
- Гурвалжин суурийн талбай = 116 м^2
- Танкны өндөр = 30 м

Эзэлхүүнийг тооцоолбол:
Эзэлхүүн = 116 м^2 × 30 м = 3480 м^3

Гэхдээ сонголтууд нь фут^3-аар өгөгдсөн байна. Тиймээс м^3-ыг фут^3 руу хөрвүүлэх хэрэгтэй.
1 м^3 = 35.3147 фут^3

Эзэлхүүнийг фут^3-аар илэрхийлбэл:
Эзэлхүүн = 3480 м^3 × 35.3147 фут^3/м^3 = 122895.156 фут^3

Иймд зөв хариулт нь C. 3480 м^3 буюу ойролцоогоор 122895 фут^3 байна.",
"Эдгээр аяга тавагны алийг нь гахайн гэдэснээс хийдэг вэ?
A.хаггис
B.читлинүүд
C.тэвчээр
D.chop suey",B,"A. Хаггис нь гахайн гэдэснээс хийдэг уламжлалт Шотландын хоол юм. Энэ нь гахайн зүрх, элэг, уушги зэргийг гахайн ходоодонд хийж чанадаг. Үүнийг ихэвчлэн овъёос, сонгино, давс, чинжүү зэрэг амтлагчтай хольж бэлтгэдэг.

B, C, D хариултууд буруу:
- Читлинүүд нь гахайн бус, харин үхрийн гэдэсний хэсгүүд юм. 
- Тэвч бол Монголын уламжлалт идээ бөгөөд үхрийн ходоодыг боловсруулж хатааж хийдэг.
- Chop suey нь Хятад хоол бөгөөд янз бүрийн хүнсний ногоо, мах, гахайн махыг ургамлын тосонд хуурдаг.",
