Question,CorrectAnswer,GivenAnswer,Correct
"Dalam keadaan apakah set filem Magnolia 1999?
A.California
B.Carolina Selatan
C.Georgia
D.Texas",A,"Set filem Magnolia yang diterbitkan pada tahun 1999 adalah di Los Angeles, California.

Filem ini mengisahkan beberapa watak yang saling berkaitan di bandar Los Angeles dalam tempoh 24 jam. Ia memaparkan pelbagai lokasi di sekitar Los Angeles seperti San Fernando Valley, Studio City, Malibu dan beberapa kawasan lain di bandar itu.

Oleh itu, jawapan yang tepat ialah A. California.",
"Apakah bahasa rasmi Belanda?
A.Bahasa Denmark
B.Bahasa Sweden
C.Bahasa Jerman
D.Bahasa Belanda",D,"Jawapan yang betul ialah D. Bahasa Belanda.

Bahasa rasmi Belanda ialah Bahasa Belanda (Nederlands). Ia merupakan bahasa Jermanik Barat yang dituturkan oleh kira-kira 25 juta orang di seluruh dunia, terutamanya di Belanda, Belgium, Suriname, Aruba, Curaçao dan Sint Maarten.

Bahasa Denmark, Sweden dan Jerman adalah bahasa rasmi di negara-negara Scandinavia dan Jerman, bukan di Belanda.",
"Apakah pelakon Antonio Banderas bahasa ibunda?
A.Bahasa Sepanyol
B.Bahasa Rusia
C.Bahasa Jerman
D.Bahasa Perancis",A,"Jawapan yang betul ialah A. Bahasa Sepanyol.

Antonio Banderas dilahirkan pada 10 Ogos 1960 di Málaga, Sepanyol. Beliau membesar di Sepanyol dan bahasa ibundanya ialah bahasa Sepanyol. 

Banderas mula berlakon dalam teater di Sepanyol sebelum berpindah ke Hollywood pada awal 1990-an, di mana beliau mula membintangi filem-filem bahasa Inggeris. Walaupun beliau fasih berbahasa Inggeris, bahasa Sepanyol kekal sebagai bahasa ibundanya.",
"Tangki adalah dalam bentuk prisma segi tiga. Sekiranya asas segi tiga mempunyai keluasan 116 kaki persegi, dan tangki adalah 30 kaki tinggi, berapa banyak air yang akan mengandungi tangki apabila ia penuh?
A.1725 kaki^3
B.1740 kaki^3
C.3480 kaki^3
D.6960 kaki^3",C,"Untuk mencari isipadu tangki berbentuk prisma segitiga, kita perlu menggunakan rumus:

Isipadu = (1/2) × luas alas × tinggi

Diberikan:
- Luas alas segitiga = 116 kaki persegi
- Tinggi tangki = 30 kaki

Langkah penyelesaian:
Isipadu = (1/2) × 116 kaki persegi × 30 kaki
        = 58 kaki persegi × 30 kaki
        = 1740 kaki padu

Oleh itu, jawapan yang betul adalah B. 1740 kaki padu.",
"Kenal pasti antecedent cadangan bersyarat berikut: The Bees memenangi permainan pertama mereka hanya jika sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka.
A.Aardvarks tidak memenangi perlawanan pertama mereka.
B.The Bees memenangi perlawanan pertama mereka.
C.Chipmunks tidak memenangi perlawanan pertama mereka.
D.Sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka.",B,"Antecedent bagi cadangan bersyarat yang diberikan ialah pilihan D: ""Sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka.""

Dalam ayat bersyarat ""The Bees memenangi permainan pertama mereka hanya jika sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka"", bahagian ""sama ada Aardvarks atau Chipmunks tidak memenangi permainan pertama mereka"" merupakan syarat (antecedent) yang perlu dipenuhi supaya ""The Bees memenangi permainan pertama mereka"" (consequent) berlaku.

Pilihan A dan C hanyalah sebahagian daripada antecedent tersebut, manakala pilihan B adalah consequent (hasil) dalam cadangan bersyarat ini, bukannya antecedent.",
"Voltan yang diaruh dalam induksi diwakili sebagai,
A.produk induksi dan arus melaluinya.
B.nisbah induksinya kepada semasa melaluinya.
C.nisbah semasa melaluinya kepada induksinya.
D.produk induksi dan kadar perubahan arus melaluinya.",D,"Jawapan yang betul ialah D. produk induksi dan kadar perubahan arus melaluinya.

Penjelasan:
Voltan yang diaruh dalam induktor adalah berkadar terus dengan kadar perubahan arus yang melaluinya. Ini dinyatakan dalam persamaan Faraday untuk induksi elektromagnet:

V = -L * (dI/dt)

di mana:
V = voltan teraruh (dalam volt)
L = induksi induktor (dalam henry)
dI/dt = kadar perubahan arus terhadap masa (dalam ampere per saat)

Tanda negatif menunjukkan bahawa voltan teraruh menentang perubahan dalam arus, selaras dengan Hukum Lenz.

Oleh itu, voltan teraruh dalam induktor adalah hasil darab induksi (L) dan kadar perubahan arus (dI/dt) yang melaluinya, seperti yang dinyatakan dalam pilihan jawapan D.",
"Pengesahan silang K-lipat ialah
A.linear dalam K
B.kuadratik dalam K
C.padu dalam K
D.eksponen dalam K",A,"Pengesahan silang K-lipat (K-fold cross-validation) adalah teknik yang digunakan untuk menilai prestasi model pembelajaran mesin. Ia melibatkan pembahagian set data kepada K bahagian yang sama saiz, melatih model pada K-1 bahagian, dan menguji model pada bahagian yang tinggal. Proses ini diulangi K kali, dengan setiap bahagian digunakan sebagai set pengesahan sekali.

Kompleksiti masa pengesahan silang K-lipat adalah linear dalam K. Ini bermakna masa yang diperlukan untuk melengkapkan proses pengesahan silang meningkat secara linear dengan peningkatan nilai K.

Sebagai contoh, jika masa yang diperlukan untuk melatih dan menguji model pada satu lipatan adalah t, maka masa keseluruhan yang diperlukan untuk melengkapkan pengesahan silang K-lipat adalah kira-kira K * t.

Oleh itu, jawapan yang betul adalah: A. linear dalam K.",
"Antara filem-filem seram manakah yang menghasilkan sekuel yang paling banyak?
A.Menjerit'
B.Rahang'
C.Halloween'
D.Jumaat ke-13'",D,"Antara filem-filem seram yang disenaraikan, filem yang menghasilkan sekuel paling banyak ialah 'Jumaat ke-13' (Friday the 13th).

Filem 'Jumaat ke-13' yang pertama diterbitkan pada tahun 1980 dan sehingga kini, francais ini telah menghasilkan 12 filem, termasuk:

1. Friday the 13th (1980)
2. Friday the 13th Part 2 (1981)
3. Friday the 13th Part III (1982)
4. Friday the 13th: The Final Chapter (1984)
5. Friday the 13th: A New Beginning (1985)
6. Friday the 13th Part VI: Jason Lives (1986)
7. Friday the 13th Part VII: The New Blood (1988)
8. Friday the 13th Part VIII: Jason Takes Manhattan (1989)
9. Jason Goes to Hell: The Final Friday (1993)
10. Jason X (2001)
11. Freddy vs. Jason (2003)
12. Friday the 13th (2009, filem remake)

Walaupun filem 'Halloween' juga mempunyai banyak sekuel, francais 'Jumaat ke-13' masih mengatasi dari segi bilangan filem yang dihasilkan.",
"Antara hidangan ini yang manakah diperbuat daripada usus babi?
A.Haggis
B.Chitlins
C.grits
D.Chop Suey",B,"Jawapan yang betul ialah B. Chitlins.

Chitlins, juga dikenali sebagai chitterlings, adalah hidangan yang diperbuat daripada usus kecil babi yang dibersihkan, direbus atau digoreng. Ia adalah hidangan tradisional dalam masakan Soul Food Afrika-Amerika dan masakan Selatan Amerika Syarikat.

Pilihan lain:
A. Haggis - hidangan Scotland yang diperbuat daripada perut kambing yang diisi dengan organ dalaman cincang, oat, dan rempah.
C. Grits - hidangan sarapan Amerika Syarikat yang diperbuat daripada jagung putih kisar yang dimasak menjadi bubur.
D. Chop Suey - hidangan masakan Cina-Amerika yang terdiri daripada daging (biasanya ayam, daging lembu, atau udang) dan sayur-sayuran yang ditumis dalam sos berdasarkan kanji.",
" Alat pemasaran dan komunikasi ini menawarkan induksi langsung atau insentif untuk menggalakkan pelanggan membeli produk / perkhidmatan:
A.Pengiklanan.
B.Perhubungan awam.
C.Promosi jualan.
D.Pemasaran langsung.",C,"Jawapan yang betul adalah C. Promosi jualan.

Promosi jualan adalah alat pemasaran dan komunikasi yang menawarkan insentif atau induksi langsung untuk menggalakkan pelanggan membeli produk atau perkhidmatan. Ia bertujuan untuk merangsang pembelian segera dan meningkatkan jualan dalam jangka masa pendek.

Contoh promosi jualan termasuk:
1. Diskaun dan potongan harga
2. Kupon 
3. Sampel percuma
4. Hadiah pembelian
5. Peraduan dan cabutan bertuah
6. Tawaran pemulangan wang

Pilihan lain:
A. Pengiklanan - bertujuan untuk membina kesedaran jenama dan menarik minat, tetapi tidak menawarkan insentif langsung.
B. Perhubungan awam - bertujuan untuk membina reputasi positif syarikat, bukan untuk menggalakkan jualan segera.
D. Pemasaran langsung - melibatkan komunikasi terus dengan pelanggan sasaran, tetapi tidak semestinya menawarkan insentif pembelian segera.",
