Question,CorrectAnswer,GivenAnswer,Correct
"ਅਭਿਨੇਤਾ ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਦੀ ਮੂਲ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਸਪੇਨੀ
B.ਰੂਸੀ
C.ਜਰਮਨ
D.ਫਰੈਂਚ",A,"ਸਹੀ ਜਵਾਬ ਹੈ A. ਸਪੇਨੀ।

ਐਂਟੋਨੀਓ ਬੈਂਡਰਸ ਇੱਕ ਸਪੇਨੀ ਅਭਿਨੇਤਾ ਹੈ ਜੋ ਮਾਲਾਗਾ, ਸਪੇਨ ਵਿੱਚ ਪੈਦਾ ਹੋਇਆ ਸੀ। ਉਸਦੀ ਮਾਤ ਭਾਸ਼ਾ ਸਪੇਨੀ ਹੈ। ਉਹ ਹਾਲੀਵੁੱਡ ਫਿਲਮਾਂ ਵਿੱਚ ਕੰਮ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਸਪੇਨੀ ਫਿਲਮਾਂ ਵਿੱਚ ਕੰਮ ਕਰਦਾ ਸੀ। ਉਸਨੇ ਕਈ ਹਾਲੀਵੁੱਡ ਫਿਲਮਾਂ ਵਿੱਚ ਅੰਗਰੇਜ਼ੀ ਵਿੱਚ ਅਭਿਨੈ ਕੀਤਾ ਹੈ, ਪਰ ਉਸਦੀ ਮੂਲ ਅਤੇ ਪਹਿਲੀ ਭਾਸ਼ਾ ਸਪੇਨੀ ਹੈ।",
"ਇਸ ਦੀ ਗਿਣਤੀ 47,000 ਹੈ, ਜੋ ਕਿ ਸਭ ਤੋਂ ਨੇੜੇ ਹੈ। ਕਿਹੜੀ ਸੰਖਿਆ ਉਹ ਸੰਖਿਆ ਹੋ ਸਕਦੀ ਹੈ ਜੋ ਗੋਲ ਕੀਤੀ ਗਈ ਸੀ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"ਜਦੋਂ ਅਸੀਂ ਕਿਸੇ ਸੰਖਿਆ ਨੂੰ ਗੋਲ ਕਰਦੇ ਹਾਂ, ਤਾਂ ਅਸੀਂ ਆਮ ਤੌਰ 'ਤੇ ਨਿਯਮ ਦੀ ਪਾਲਣਾ ਕਰਦੇ ਹਾਂ ਕਿ ਜੇਕਰ ਅੰਤਮ ਅੰਕ 5 ਜਾਂ ਵੱਧ ਹੈ, ਤਾਂ ਅਸੀਂ ਅਗਲੇ ਪੂਰੇ ਨੰਬਰ ਤੱਕ ਗੋਲ ਕਰਦੇ ਹਾਂ। ਜੇਕਰ ਅੰਤਮ ਅੰਕ 5 ਤੋਂ ਘੱਟ ਹੈ, ਤਾਂ ਅਸੀਂ ਪਿਛਲੇ ਪੂਰੇ ਨੰਬਰ ਤੱਕ ਗੋਲ ਕਰਦੇ ਹਾਂ।

ਦਿੱਤੇ ਗਏ ਵਿਕਲਪਾਂ ਵਿੱਚੋਂ, 47,520 ਸਭ ਤੋਂ ਨੇੜੇ ਹੈ 47,000 ਨੂੰ। ਇਸ ਲਈ, ਸਹੀ ਜਵਾਬ ਵਿਕਲਪ C ਹੈ: 47,520.",
"ਨੀਦਰਲੈਂਡਜ਼ ਦੀ ਅਧਿਕਾਰਤ ਭਾਸ਼ਾ ਕੀ ਹੈ?
A.ਡੈਨਿਸ਼
B.ਸਵੀਡਿਸ਼
C.ਜਰਮਨ
D.ਡੱਚ",D,"ਨੀਦਰਲੈਂਡਜ਼ ਦੀ ਅਧਿਕਾਰਤ ਭਾਸ਼ਾ ਡੱਚ (Dutch) ਹੈ।

ਨੀਦਰਲੈਂਡਜ਼ ਵਿੱਚ ਬੋਲੀ ਜਾਣ ਵਾਲੀ ਡੱਚ ਭਾਸ਼ਾ ਜਰਮੈਨਿਕ ਭਾਸ਼ਾ ਪਰਿਵਾਰ ਨਾਲ ਸਬੰਧਤ ਹੈ ਅਤੇ ਜਰਮਨ ਅਤੇ ਅੰਗਰੇਜ਼ੀ ਨਾਲ ਨਜ਼ਦੀਕੀ ਸਬੰਧ ਰੱਖਦੀ ਹੈ। ਇਹ ਦੇਸ਼ ਦੀ ਸਰਕਾਰੀ ਕਾਰਵਾਈਆਂ, ਸਿੱਖਿਆ ਪ੍ਰਣਾਲੀ ਅਤੇ ਮੀਡੀਆ ਵਿੱਚ ਵਰਤੀ ਜਾਂਦੀ ਮੁੱਖ ਭਾਸ਼ਾ ਹੈ।

ਇਸ ਲਈ, ਦਿੱਤੇ ਗਏ ਵਿਕਲਪਾਂ ਵਿੱਚੋਂ ਸਹੀ ਉੱਤਰ ""D. ਡੱਚ"" ਹੈ।",
"ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜੀ ਡਰਾਉਣੀ ਫਿਲਮ ਨੇ ਸਭ ਤੋਂ ਵੱਧ ਸੀਕਵਲ ਪੈਦਾ ਕੀਤੇ?
A.ਚੀਕਣਾ'
B.ਜੌਸ '
C.ਹੈਲੋਵੀਨ
D.ਸ਼ੁੱਕਰਵਾਰ 13'",D,"ਇਹਨਾਂ ਵਿੱਚੋਂ ਸਭ ਤੋਂ ਵੱਧ ਸੀਕਵਲ ਪੈਦਾ ਕਰਨ ਵਾਲੀ ਡਰਾਉਣੀ ਫਿਲਮ 'ਹੈਲੋਵੀਨ' ਹੈ।

'ਹੈਲੋਵੀਨ' ਫਿਲਮ ਸੀਰੀਜ਼ ਵਿੱਚ ਹੁਣ ਤੱਕ 11 ਫਿਲਮਾਂ ਰਿਲੀਜ਼ ਹੋ ਚੁੱਕੀਆਂ ਹਨ, ਜਿਸ ਵਿੱਚ ਮੂਲ 1978 ਦੀ ਫਿਲਮ ਅਤੇ ਇਸਦੇ ਕਈ ਸੀਕਵਲ ਅਤੇ ਰੀਮੇਕ ਸ਼ਾਮਲ ਹਨ। ਇਸ ਲਈ ਸਹੀ ਜਵਾਬ ਵਿਕਲਪ C 'ਹੈਲੋਵੀਨ' ਹੈ।

ਬਾਕੀ ਫਿਲਮਾਂ ਦੇ ਸੀਕਵਲ:
- 'ਸਕ੍ਰੀਮ': 4 ਸੀਕਵਲ
- 'ਜੌਸ': 3 ਸੀਕਵਲ
- 'ਫ੍ਰਾਈਡੇ ਦ 13ਥ': 9 ਸੀਕਵਲ",
"1999 ਦੀ ਫਿਲਮ ਮੈਗਨੋਲੀਆ ਕਿਸ ਰਾਜ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਹੈ?
A.ਕੈਲੀਫੋਰਨੀਆ
B.ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ
C.ਜੋਰਜੀਆ
D.ਟੈਕਸਾਸ",A,"ਸਹੀ ਜਵਾਬ ਹੈ A. ਕੈਲੀਫੋਰਨੀਆ।

1999 ਦੀ ਫਿਲਮ ਮੈਗਨੋਲੀਆ ਕੈਲੀਫੋਰਨੀਆ ਰਾਜ ਦੇ ਸ਼ਹਿਰ ਲਾਸ ਏਂਜਲਸ ਵਿੱਚ ਸੈੱਟ ਕੀਤੀ ਗਈ ਹੈ। ਇਹ ਫਿਲਮ ਪਾਲ ਥਾਮਸ ਐਂਡਰਸਨ ਦੁਆਰਾ ਨਿਰਦੇਸ਼ਿਤ ਕੀਤੀ ਗਈ ਸੀ ਅਤੇ ਇਸ ਵਿੱਚ ਟਾਮ ਕਰੂਜ਼, ਜੂਲੀਅਨ ਮੂਰ, ਜੇਸਨ ਰੋਬਾਰਡਸ ਅਤੇ ਫਿਲਿਪ ਸੇਮੌਰ ਹੌਫਮੈਨ ਵਰਗੇ ਸਿਤਾਰੇ ਸ਼ਾਮਲ ਸਨ। ਫਿਲਮ ਦੀ ਕਹਾਣੀ ਲਾਸ ਏਂਜਲਸ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਕਈ ਲੋਕਾਂ ਦੇ ਆਪਸੀ ਸੰਬੰਧਾਂ ਦੇ ਦੁਆਲੇ ਘੁੰਮਦੀ ਹੈ।",
"ਕੀ ਵਿਦੇਸ਼ ਵਿੱਚ ਦੇਸ਼ X ਦੇ ਮੰਤਰੀ ਦੁਆਰਾ ਕੀਤਾ ਗਿਆ ਗੈਰ-ਕਾਨੂੰਨੀ ਕਤਲ ਇੱਕ ਜੁਰਮ ਜਾਂ ਜੁਰਮ ਹੈ?
A.ਅਜਿਹਾ ਵਿਵਹਾਰ ਇੱਕ ਜਨਤਕ ਕਾਰਜ ਹੈ (ਜੁਰੇ ਇਮਪੀਰੀ)
B.ਅਜਿਹਾ ਵਿਵਹਾਰ ਕਦੇ ਵੀ ਇਮਿਊਨਿਟੀ ਨੂੰ ਆਕਰਸ਼ਿਤ ਨਹੀਂ ਕਰਦਾ
C.ਅਜਿਹਾ ਵਿਵਹਾਰ ਇੱਕ ਨਿੱਜੀ ਕਾਰਜ ਹੈ (ਜੁਰੇ ਗੈਸਟੀਨਿਸ)
D.ਅਜਿਹਾ ਵਿਵਹਾਰ ਇੱਕ ਜਨਤਕ ਕਾਰਜ ਹੈ ਪਰ ਇਮਿਊਨਿਟੀ ਦੁਆਰਾ ਰੱਖਿਆ ਜਾਂਦਾ ਹੈ",C,"ਅਜਿਹਾ ਵਿਵਹਾਰ ਇੱਕ ਨਿੱਜੀ ਕਾਰਜ ਹੈ (ਜੁਰੇ ਗੈਸਟੀਨਿਸ) (ਵਿਕਲਪ C)।

ਇੱਕ ਵਿਦੇਸ਼ੀ ਮੰਤਰੀ ਦੁਆਰਾ ਕੀਤਾ ਗਿਆ ਗੈਰ-ਕਾਨੂੰਨੀ ਕਤਲ ਇੱਕ ਨਿੱਜੀ ਕਾਰਜ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ, ਨਾ ਕਿ ਇੱਕ ਜਨਤਕ ਕਾਰਜ। ਇਹ ਇਸ ਲਈ ਹੈ ਕਿਉਂਕਿ ਕਤਲ ਕਰਨਾ ਕਿਸੇ ਵੀ ਸਰਕਾਰੀ ਅਹੁਦੇ ਦੇ ਅਧਿਕਾਰ ਖੇਤਰ ਵਿੱਚ ਨਹੀਂ ਆਉਂਦਾ। ਇਸ ਲਈ, ਅਜਿਹੇ ਕਾਰਜ ਲਈ ਰਾਜ ਪ੍ਰਤੀਨਿਧ ਨੂੰ ਕੋਈ ਛੋਟ ਪ੍ਰਾਪਤ ਨਹੀਂ ਹੁੰਦੀ ਅਤੇ ਉਹ ਨਿੱਜੀ ਤੌਰ 'ਤੇ ਜ਼ਿੰਮੇਵਾਰ ਠਹਿਰਾਏ ਜਾ ਸਕਦੇ ਹਨ। ਇਹ ਅੰਤਰਰਾਸ਼ਟਰੀ ਕਾਨੂੰਨ ਦੇ ਤਹਿਤ ਸਥਾਪਤ ਸਿਧਾਂਤ ਹੈ।",
"ਨਕਾਰਾਤਮਕ ਬਚੇ ਹੋਏ ਆਟੋਕੋਰਿਲੇਸ਼ਨ ਨੂੰ ਹੇਠ ਲਿਖਿਆਂ ਵਿੱਚੋਂ ਕਿਸ ਦੁਆਰਾ ਦਰਸਾਇਆ ਜਾਂਦਾ ਹੈ?
A.ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਚੱਕਰਵਰਤੀ ਪੈਟਰਨ
B.ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਬਦਲਵਾਂ ਪੈਟਰਨ
C.ਭੰਡਾਰਾਂ ਵਿੱਚ ਇੱਕ ਪੂਰੀ ਬੇਤਰਤੀਬੀ
D.ਭੰਡਾਰ ਜੋ ਸਾਰੇ ਜ਼ੀਰੋ ਦੇ ਨੇੜੇ ਹਨ",B,"ਨਕਾਰਾਤਮਕ ਬਚੇ ਹੋਏ ਆਟੋਕੋਰਿਲੇਸ਼ਨ ਨੂੰ ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਬਦਲਵਾਂ ਪੈਟਰਨ ਦੁਆਰਾ ਦਰਸਾਇਆ ਜਾਂਦਾ ਹੈ।

ਇਸ ਲਈ ਸਹੀ ਉੱਤਰ ਹੈ: B. ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਬਦਲਵਾਂ ਪੈਟਰਨ।

ਨਕਾਰਾਤਮਕ ਬਚੇ ਹੋਏ ਆਟੋਕੋਰਿਲੇਸ਼ਨ ਦਾ ਮਤਲਬ ਹੈ ਕਿ ਜੇਕਰ ਇੱਕ ਸਮੇਂ 't' ਤੇ ਭੰਡਾਰ ਔਸਤ ਨਾਲੋਂ ਵੱਧ ਹੈ, ਤਾਂ ਸਮੇਂ 't+1' ਤੇ ਇਹ ਔਸਤ ਨਾਲੋਂ ਘੱਟ ਹੋਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ। ਇਸ ਤਰ੍ਹਾਂ ਭੰਡਾਰ ਵਿੱਚ ਇੱਕ ਬਦਲਵਾਂ ਪੈਟਰਨ ਦਿਖਾਈ ਦਿੰਦਾ ਹੈ, ਜਿੱਥੇ ਉੱਚ ਮੁੱਲ ਘੱਟ ਮੁੱਲਾਂ ਦੁਆਰਾ ਅਤੇ ਘੱਟ ਮੁੱਲ ਉੱਚ ਮੁੱਲਾਂ ਦੁਆਰਾ ਪਾਲਣਾ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।",
"ਇੰਡਕਟਰ ਵਿੱਚ ਪ੍ਰੇਰਿਤ ਵੋਲਟੇਜ ਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਦਰਸਾਇਆ ਜਾਂਦਾ ਹੈ,
A.ਇਸ ਰਾਹੀਂ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਅਤੇ ਕਰੰਟ ਦਾ ਉਤਪਾਦ.
B.ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਨਾਲ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਦਾ ਅਨੁਪਾਤ.
C.ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਅਤੇ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਦਾ ਅਨੁਪਾਤ.
D.ਇਸ ਦੇ ਪ੍ਰੇਰਕਤਾ ਅਤੇ ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਦੀ ਤਬਦੀਲੀ ਦੀ ਦਰ ਦਾ ਉਤਪਾਦ.",D,"ਸਹੀ ਜਵਾਬ ਹੈ: D. ਇਸ ਦੇ ਪ੍ਰੇਰਕਤਾ ਅਤੇ ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਦੀ ਤਬਦੀਲੀ ਦੀ ਦਰ ਦਾ ਉਤਪਾਦ।

ਇੰਡਕਟਰ ਵਿੱਚ ਪ੍ਰੇਰਿਤ ਵੋਲਟੇਜ (ਈ.ਐਮ.ਐਫ.) ਫੈਰਾਡੇ ਦੇ ਨਿਯਮ ਦੁਆਰਾ ਦਿੱਤਾ ਜਾਂਦਾ ਹੈ:

e = -L * (di/dt)

ਜਿੱਥੇ,
- e ਹੈ ਪ੍ਰੇਰਿਤ ਈ.ਐਮ.ਐਫ. (ਵੋਲਟ ਵਿੱਚ)
- L ਹੈ ਇੰਡਕਟਰ ਦੀ ਪ੍ਰੇਰਕਤਾ (ਹੈਨਰੀ ਵਿੱਚ)
- di/dt ਹੈ ਇੰਡਕਟਰ ਰਾਹੀਂ ਕਰੰਟ ਦੀ ਤਬਦੀਲੀ ਦੀ ਦਰ (ਐਂਪੀਅਰ/ਸਕਿੰਟ ਵਿੱਚ)

ਇਸ ਲਈ, ਇੰਡਕਟਰ ਵਿੱਚ ਪ੍ਰੇਰਿਤ ਵੋਲਟੇਜ ਇਸ ਦੀ ਪ੍ਰੇਰਕਤਾ ਅਤੇ ਇਸ ਰਾਹੀਂ ਕਰੰਟ ਦੀ ਤਬਦੀਲੀ ਦੀ ਦਰ ਦੇ ਉਤਪਾਦ ਦੇ ਬਰਾਬਰ ਹੁੰਦਾ ਹੈ।",
"ਇੱਕ ਟੈਂਕ ਇੱਕ ਤਿਕੋਣੀ ਪ੍ਰਿਜ਼ਮ ਦੇ ਆਕਾਰ ਵਿੱਚ ਹੁੰਦਾ ਹੈ। ਜੇ ਤਿਕੋਣੀ ਅਧਾਰ ਦਾ ਖੇਤਰਫਲ 116 ਵਰਗ ਫੁੱਟ ਹੈ, ਅਤੇ ਟੈਂਕ 30 ਫੁੱਟ ਉੱਚਾ ਹੈ, ਤਾਂ ਟੈਂਕੀ ਵਿੱਚ ਕਿੰਨਾ ਪਾਣੀ ਹੋਵੇਗਾ ਜਦੋਂ ਇਹ ਭਰਿਆ ਹੋਵੇਗਾ?
A.1725 ਫੁੱਟ^3
B.1740 ਫੁੱਟ^3
C.3480 ਫੁੱਟ^3
D.6960 ਫੁੱਟ^3",C,"ਇੱਕ ਤਿਕੋਣੀ ਪ੍ਰਿਜ਼ਮ ਦੀ ਸਮਰੱਥਾ ਲੱਭਣ ਲਈ, ਅਸੀਂ ਇਸ ਫਾਰਮੂਲੇ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ:

ਸਮਰੱਥਾ = (1/3) × ਅਧਾਰ ਦਾ ਖੇਤਰਫਲ × ਉਚਾਈ

ਦਿੱਤਾ ਗਿਆ ਹੈ:
- ਤਿਕੋਣੀ ਅਧਾਰ ਦਾ ਖੇਤਰਫਲ = 116 ਵਰਗ ਫੁੱਟ
- ਟੈਂਕ ਦੀ ਉਚਾਈ = 30 ਫੁੱਟ

ਹੁਣ, ਅਸੀਂ ਇਹਨਾਂ ਮੁੱਲਾਂ ਨੂੰ ਫਾਰਮੂਲੇ ਵਿੱਚ ਰੱਖਦੇ ਹਾਂ:

ਸਮਰੱਥਾ = (1/3) × 116 × 30
       = 38.67 × 30
       = 1160 ਫੁੱਟ^3

ਇਸ ਲਈ, ਜਦੋਂ ਟੈਂਕ ਭਰਿਆ ਜਾਂਦਾ ਹੈ ਤਾਂ ਇਸ ਵਿੱਚ 1160 ਘਣ ਫੁੱਟ ਪਾਣੀ ਹੋਵੇਗਾ। ਦਿੱਤੇ ਗਏ ਵਿਕਲਪਾਂ ਵਿੱਚੋਂ ਕੋਈ ਵੀ ਇਸ ਨਾਲ ਮੇਲ ਨਹੀਂ ਖਾਂਦਾ।",
"K-ਫੋਲਡ ਕਰਾਸ-ਵੈਲੀਡੇਸ਼ਨ ਹੈ
A.K ਵਿੱਚ ਲੀਨੀਅਰ
B.K ਵਿੱਚ ਚਤੁਰਕੀ
C.K ਵਿੱਚ ਕਿਊਬਿਕ
D.K ਵਿੱਚ ਐਕਸਪੋਨੇਂਸ਼ੀਅਲ",A,"K-ਫੋਲਡ ਕਰਾਸ-ਵੈਲੀਡੇਸ਼ਨ ਦੀ ਕੰਪਲੈਕਸਿਟੀ K ਵਿੱਚ ਲੀਨੀਅਰ ਹੁੰਦੀ ਹੈ। ਇਸ ਲਈ ਸਹੀ ਉੱਤਰ ਹੈ:

A. K ਵਿੱਚ ਲੀਨੀਅਰ

K-ਫੋਲਡ ਕਰਾਸ-ਵੈਲੀਡੇਸ਼ਨ ਵਿੱਚ, ਡਾਟਾਸੈੱਟ ਨੂੰ K ਬਰਾਬਰ ਹਿੱਸਿਆਂ ਵਿੱਚ ਵੰਡਿਆ ਜਾਂਦਾ ਹੈ। ਫਿਰ, ਮਾਡਲ ਨੂੰ K ਵਾਰ ਟ੍ਰੇਨ ਅਤੇ ਮੁਲਾਂਕਣ ਕੀਤਾ ਜਾਂਦਾ ਹੈ, ਹਰ ਵਾਰ ਇੱਕ ਵੱਖਰੇ ਫੋਲਡ ਨੂੰ ਵੈਲੀਡੇਸ਼ਨ ਸੈੱਟ ਵਜੋਂ ਵਰਤਦੇ ਹੋਏ ਅਤੇ ਬਾਕੀ K-1 ਫੋਲਡਾਂ ਨੂੰ ਟ੍ਰੇਨਿੰਗ ਸੈੱਟ ਵਜੋਂ ਵਰਤਦੇ ਹੋਏ। ਇਸ ਤਰ੍ਹਾਂ, ਕੰਪਲੈਕਸਿਟੀ K ਦੇ ਅਨੁਪਾਤ ਵਿੱਚ ਵਧਦੀ ਹੈ, ਜਿਸ ਨਾਲ ਇਹ K ਵਿੱਚ ਲੀਨੀਅਰ ਹੁੰਦੀ ਹੈ।",
