Question,CorrectAnswer,GivenAnswer,Correct
"k-e
A.Bye bye in K
B.Bye bye quadratic in K
C.bye bye in K
D.Image in K",A,"I apologize for the confusion, but I'm not sure what you mean by ""k-e"" or the options you provided. Could you please provide more context or clarify your question? I'll do my best to assist you once I understand what you're asking.",
"Ni iyihe filime ya Magnolia yo mu 1999?
A.Bye bye California
B.Bye bye Caroline
C.Jeworujiya
D.Bye bye Texas",A,"Igisubizo ni A. Bye bye California.

Bye bye California ni filime yakozwe na Paul Thomas Anderson mu 1999. Iyi filime isobanura inkuru y'abantu batandukanye baba muri California, harimo n'abakinnyi ba filime n'abandi. Ni filime yabaye izwi cyane kandi yahawe ibihembo bitandukanye.",
"Ni uruhe rurimi rwemewe n'amategeko rw'u Buholandi?
A.Ikinyadanimarike
B.Ikinyasuwede
C.Ikidage
D.Igiholandi",D,"Igisubizo ni D. Igiholandi.

Igiholandi ni rurimi rwemewe n'amategeko nk'ururimi rw'igihugu mu Buholandi. Ni rwo rurimi rukoreshwa mu nzego za Leta n'ibindi bikorwa rusange by'igihugu, nubwo hari n'izindi ndimi zivugwa n'abaturage b'uturere tumwe tumwe tw'icyo gihugu.",
"Ni uwuhe mukinnyi w'umupira w'amaguru Antonio Banderas?
A.Icyesipanyolo
B.Ikirusiya
C.Ikidage
D.Igifaransa",A,"Oya, Antonio Banderas si umukinnyi w'umupira w'amaguru ahubwo ni umunyarubuga w'ifilime ukomoka muri Esipanye. Yatangiye gukina muri filime zo muri Esipanye mu myaka ya 1980 nyuma akazwi cyane ku rwego mpuzamahanga mu myaka ya 1990 akina muri filime nka Desperado, The Mask of Zorro na Spy Kids.",
"Umubare w'abantu bagera ku bihumbi byegereye ni ibihumbi 47. Ni uwuhe mubare ushobora kuba ufite umubare w'abantu bari bafite?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Igisubizo ni B. 46,504

Iyo bavuze ko umubare w'abantu bagera ku bihumbi byegereye ari ibihumbi 47, bivuze ko umubare nyawo uri hagati ya 46,500 na 47,499. 

Muri ayo mabare yatanzwe nk'ibisubizo bishoboka, umubare 46,504 niwo wonyine uri muri icyo kigero cyo hagati ya 46,500 na 47,499. Indi mibare yose iri hasi cyangwa hejuru y'icyo kigero.",
"Umurwayi afite ijosi ryavunitse bitewe n'umugongo ku kigero cya gatandatu cy'umugongo.
A.Ntibashobora guhumeka badafite ubufasha bw'ubuzima.
B.Gusa bashobora guhumeka bucece.
C.Ntushobora kumenya ingaruka zo guhumeka.
D.Guhumeka nta ngaruka bizagira.",B,"Igisubizo ni A: Ntibashobora guhumeka badafite ubufasha bw'ubuzima.

Iyo umurwayi afite ijosi ryavunitse bitewe n'umugongo ku kigero cya gatandatu cy'umugongo, bishobora gutuma atakaza ubushobozi bwo guhumeka ku giti cye. Kigero cya gatandatu cy'umugongo kiri hafi cyane y'ahabera guhumeka, bityo iyo havutse ijosi kuri icyo kigero, bishobora gutuma umurwayi atakaza ubushobozi bwo guhumeka ku buryo busanzwe kandi akaba akeneye ubufasha bw'ubuzima kugira ngo abashe gukomeza kubaho.",
"Iki kibazo kibazwa ku makuru akurikira.
Icya mbere tugomba kuvuga ko cosmos ari spherical mu buryo, bitewe ahanini n'uko ubu buryo ari uburyo bwuzuye bwose, ni bwo bwuzuye kurusha ubundi bwose, bitewe n'uko ikora uburyo bwa capacious kurusha ubundi, bukwiriye cyane kugira no kubungabunga byose; Ni ukubera ko ibice byose by'isanzure ari byo, ari byo izuba, ukwezi n'imibumbe bigaragara muri ubu buryo; Cyangwa kubera ko ibyo byose bikorwa kugira ngo ibyo bikorwa bigerweho, nk'uko bigaragara mu gihe cy'amazi n'ibindi bice by'amazi mu gihe bagerageza kwisobanura. Nta muntu n'umwe ushidikanya ko ubwo buryo ari ubw'imibiri yo mu ijuru. ...
Ikindi kandi ngo ni uko igihugu gifite ubushobozi bwo kumenya amakuru y'ubuzima bw'isonga y'ibihugu byombi, kuko gifite ubushobozi bwo kumenya amakuru y'ibanze. Nubwo kubera uburebure bw'imisozi n'agahinda gakabije k'ibibaya, ntihashobora kumvikana, ariko ibyo ntibigira ingaruka ku miterere rusange y'isi. ...
Nk'uko bimaze kugaragazwa ko isi ifite ubwoko bw'ahantu runaka, tugomba kureba niba na yo ihuye n'ubwo buryo, n'aho isi ituye mu isanzure. ... Birumvikana ko benshi mu banditsi bemera ko isi ikiri hagati y'isanzure, kandi ko bidashoboka kandi bisekeje gutekereza ikinyuranyo. Ariko niba iki kibazo gifite uburemere bw'ubwitonzi, bizagaragara ko iki kibazo kitarakemuka, bityo nta buryo bwo gufatwa mu buryo bworoshye. Impinduka zose z'ahantu ziteganyijwe, ni ukuvuga, ku kugenda kw'ikintu cyagaragajwe cyangwa cy'umugenzuzi, cyangwa ku ngendo zombi. ... Ubu ni bwo buturutse ku isi, ni uko ijuru ry'ijuru rireba, kandi rikomoka ku maso yacu. Niyo mpamvu niba isi itagomba guhinduka, iyi myigaragambyo igomba kuba mu bintu byose byo hanze y'isi, ariko mu cyerekezo kinyuranye n'iyo ibintu byose byo ku isi bimukiye, kandi muri ubwo bwoko ni impinduramatwara ya buri munsi. Ibi rero bikaba bifite ingaruka ku isanzure ryose, ni ukuvuga ibintu byose byo hanze y'isi uretse isi ubwayo. Icyakora, niba umuntu yagombye kwemera ko iyo myigaragambyo itari idasanzwe ku ijuru, ahubwo ko isi yari iturutse mu burengerazuba ikava mu burasirazuba, kandi niba ibyo byatekerezwaga neza ku bijyanye n'uko izuba rirasira kandi rirasira, ukwezi n'inyenyeri, byavumbuwe ko ari ko ibintu by'ukuri.""
Nicolas Copernic, impinduramatwara y'imibiri yo mu ijuru, 1543
Icyo gice gishobora gukoreshwa nk'ikimenyetso cy'uko Copernicus itandukanye n'abahanga mu bya filozofiya b'abahanga mu bya filozofiya bo mu gihe cye cya Aristotelian kuko yavuze ko ibyo yavuze.
A.Bye Bye Sasmos
B.Isi ni iy'umusomo
C.Bye bye geostatic
D.Ubutaka ntabwo ari ubushozi",D,"Igisubizo ni C. Bye bye geostatic.

Muri iki gice, Copernicus avuga ko isi itari hagati y'isanzure kandi ko isi igenda ihinduka aho kuba gupfa nk'uko abahanga ba Aristotelian babivugaga. Aha ni ho atandukana n'ibitekerezo bya Aristotelian ko isi ari yo hagati kandi idahinduka (geostatic). Copernicus avuga ko isi igenda ihinduka buri munsi iva iburengerazuba ijya iburasirazuba, bitandukanye n'ibyo abahanga ba Aristotelian bemezaga.",
"Mu gihe cy'iy
A.Igicuruzwa cye cy'ubu n'iy'ubu.
B.Igipimo cy'ubushobozi bwe bwo kwinjira muri iki gihe binyuze muri iki gihe.
C.Igipimo cy'ubu kinyura mu mibare yacyo.
D.Igipimo cy'ihindagurika ry'ibihe n'igipimo cy'impinduka muri iki gihe.",D,"Igisubizo ni D: Igipimo cy'ihindagurika ry'ibihe n'igipimo cy'impinduka muri iki gihe.

Mu gihe cy'iy' bivuga igihe cy'ihindagurika ry'ibihe n'impinduka zibaho muri icyo gihe. Iki gipimo kigaragaza uko ibihe bihindagurika n'ingaruka zabyo ku bidukikije no ku mibereho y'abantu muri rusange. Ntabwo ari igicuruzwa, ubushobozi bwo kwinjira cyangwa imibare y'igihe, ahubwo ni ukugaragaza impinduka n'ihindagurika ry'ibihe muri iki gihe turimo.",
"Abantu bakuze ni bo bafite imyaka myinshi kurusha abakuze cyangwa abakuze
A.Bye Bye Generative
B.Bye bye neurotic
C.agreeable
D.Nta gushidikanya",A,"Igisubizo ni C. ""Agreeable"" bivuga ""kwemera"".

Mu byavuzwe, nta kimwe kivuga ko abantu bakuze ari bo bafite imyaka myinshi kurusha abakuze cyangwa abakuze. Ahubwo ikibazo nticyumvikana neza kubera ko ijambo ""abakuze"" ryakoreshejwe inshuro eshatu mu buryo butandukanye.

Ibyavuzwe bitari ibisubizo byiza kuri iki kibazo. ""Bye Bye Generative"" na ""Bye bye neurotic"" ntaho bihuriye n'ikibazo, naho ""Nta gushidikanya"" ntabwo ari igisubizo nyacyo.",
" Iki gikoresho cy'ubucuruzi n'itumanaho gitanga inkunga itaziguye cyangwa inkunga yo gushishikariza abakiriya kugura ibicuruzwa/serivisi:
A.Bye bye advertisement.
B.Imibanire y'abaturage.
C.Bye bye sales promotion.
D.Bye bye direct marketing.",C,"Igisubizo ni C. Bye bye sales promotion.

Sales promotion ni gikoresho cy'ubucuruzi n'itumanaho gitanga inkunga itaziguye cyangwa inkunga yo gushishikariza abakiriya kugura ibicuruzwa cyangwa serivisi mu gihe gito. Bigizwe n'ibikorwa nk'impano, amatike, irushanwa, n'ibindi, bigamije kongera ibicuruzwa byaguzwe vuba.

Izindi mpamvu:

A. Bye bye advertisement ni kwamamaza ariko si ngombwa ko bitanga inkunga itaziguye.

B. Imibanire y'abaturage ni ibikorwa by'imibanire hagati y'ikigo n'abaturage, ariko si ngombwa ko bigamije kongera ibicuruzwa byaguzwe.

D. Bye bye direct marketing ni uburyo bwo kugeza ubutumwa ku bakiriya ku giti cyabo, ariko si ngombwa ko butanga inkunga itaziguye.",
