Question,CorrectAnswer,GivenAnswer,Correct
"Šta je maternji jezik glumca Antonija Banderasa?
A.Španski
B.Ruski
C.Nemački
D.Francuski",A,"Tačan odgovor je A. Španski.

Antonio Banderas je španski glumac, pevač, producent i reditelj. Rođen je 10. avgusta 1960. godine u Malagi, Španija. Njegov maternji jezik je španski, a tokom svoje uspešne holivudske karijere naučio je i tečno govori engleski jezik.",
"U kom stanju je scenografija filma Magnolija iz 1999?
A.Kalifornija
B.Južna Karolina
C.Gruzija
D.Teksas",A,"Tačan odgovor je A. Kalifornija.

Film Magnolija iz 1999. godine, u režiji Pola Tomasa Andersona, odvija se u Los Anđelesu i okolini, u američkoj saveznoj državi Kaliforniji. Radnja prati nekoliko međusobno povezanih priča i likova tokom jednog dana u San Fernando dolini.",
"Koji je zvanični jezik Holandije?
A.Danski
B.Švedski
C.Nemački
D.Holandski",D,"Tačan odgovor je D. Holandski.

Holandski jezik (Nederlands) je zvanični jezik Holandije. Pripada grupi zapadnogermanskih jezika. Govori ga oko 24 miliona ljudi, prvenstveno u Holandiji i Belgiji.

Ostali ponuđeni odgovori su netačni:
A. Danski - zvanični jezik Danske
B. Švedski - zvanični jezik Švedske
C. Nemački - zvanični jezik Nemačke, Austrije, Lihtenštajna i jedan od zvaničnih jezika Švajcarske.",
"Koji od sledećih faktora bi se smatrao faktorom ""povlačenja"" za Rivu kada se razmatra selidba iz Indije u SAD?
A.Beskrajno siromaštvo
B.Bolji posao i veće plate
C.Indijski kasti sistem
D.Nasilje u njenom komšiluku",B,"Faktor ""povlačenja"" (pull factor) je nešto što privlači osobu da se preseli na novu lokaciju. Od ponuđenih opcija, faktor koji bi se smatrao faktorom povlačenja za Rivu kada razmatra selidbu iz Indije u SAD je:

B. Bolji posao i veće plate

Bolji posao i veće plate u SAD bi privukli Rivu da se preseli tamo, jer predstavljaju bolje mogućnosti i viši životni standard u poređenju sa Indijom.

Ostale opcije - siromaštvo, kastinski sistem i nasilje - su faktori ""guranja"" (push factors) koji bi mogli naterati Rivu da napusti Indiju, ali sami po sebi je ne bi privukli da se preseli baš u SAD.",
"Identifikujte antecedent sledećeg uslovnog predloga: Pčele pobeđuju u svojoj prvoj utakmici samo ako ili Aardvarksi ili Veverice ne pobede u svojim prvim utakmicama.
A.Aardvarksi ne pobeđuju u svojoj prvoj utakmici.
B.Pčele pobeđuju u svojoj prvoj utakmici.
C.Veverice ne pobeđuju u svojoj prvoj utakmici.
D.Ili Aardvarksi ili Veverice ne pobeđuju u svojim prvim utakmicama.",B,"Tačan odgovor je D: Ili Aardvarksi ili Veverice ne pobeđuju u svojim prvim utakmicama.

Objašnjenje:
U uslovnom predlogu ""Pčele pobeđuju u svojoj prvoj utakmici samo ako ili Aardvarksi ili Veverice ne pobede u svojim prvim utakmicama"", antecedent (uslov) je ""ili Aardvarksi ili Veverice ne pobede u svojim prvim utakmicama"".

Antecedent je deo uslovnog predloga koji sledi nakon ""ako"" ili ""samo ako"" i predstavlja uslov koji mora biti ispunjen da bi posledica (drugi deo predloga) bila tačna.

Dakle, da bi Pčele pobedile u svojoj prvoj utakmici (posledica), mora biti ispunjen uslov da ili Aardvarksi ili Veverice ne pobede u svojim prvim utakmicama (antecedent).",
"Pacijent pati od slomljenog vrata sa oštećenjem kičmene moždine na nivou šestog vratnog pršljena.
A.Neće moći da dišu bez aparata za održavanje života.
B.Moći će samo tiho da dišu.
C.Nemoguće je predvideti efekat na disanje.
D.Disanje neće biti ugroženo.",B,"Tačan odgovor je D. Disanje neće biti ugroženo.

Objašnjenje:
- Disanje je kontrolisano od strane centara u produženoj moždini (medulla oblongata), a ne u kičmenoj moždini.
- Nervni putevi koji kontrolišu disanje prolaze kroz gornje delove vratne kičmene moždine (C1-C4).
- Oštećenje kičmene moždine na nivou šestog vratnog pršljena (C6) neće direktno uticati na centre za disanje i nervne puteve koji ih kontrolišu.
- Međutim, oštećenje na C6 nivou može uticati na inervaciju nekih pomoćnih disajnih mišića (npr. međurebarnih), ali to neće kritično ugroziti disanje.
- Pacijent sa oštećenjem na C6 nivou će i dalje moći samostalno da diše, iako može imati određeni stepen slabosti ili paralize mišića ispod nivoa povrede.",
"Koji od ovih horor filmova je iznedrio najviše nastavaka?
A.Vrišti'
B.Čeljusti
C.Noć veštica'
D.Petak 13-ti",D,"Tačan odgovor je D. Petak 13-ti.

Filmski serijal ""Petak 13-ti"" (engl. Friday the 13th) ima ukupno 12 filmova, uključujući originalni film i rimejk iz 2009. godine. Ovo ga čini horor franšizom sa najviše nastavaka među ponuđenim opcijama.

Ostali filmski serijali imaju sledeći broj nastavaka:

A. ""Vrišti"" (engl. Scream) - 5 filmova (uključujući najnoviji iz 2022. godine)
B. ""Čeljusti"" (engl. Jaws) - 3 nastavka
C. ""Noć veštica"" (engl. Halloween) - 11 filmova (uključujući originalne filmove i rimejkove)

Dakle, ""Petak 13-ti"" je horor franšiza sa najviše nastavaka među ponuđenim opcijama.",
"Koja od sledećih karakteristika je generalno u skladu sa silovanjem na sastanku?
A.upotreba prekomerne sile
B.s predumišljajem
C.seksualno motivisan
D.podrazumeva upotrebu oružja",C,"Silovanje na sastanku je ozbiljan zločin koji može imati različite karakteristike u zavisnosti od slučaja. Generalno, ono što ga definiše jeste da se dešava između osoba koje su se upoznale ili izašle na sastanak. Obično ne podrazumeva upotrebu oružja, za razliku od drugih vrsta silovanja. Seksualna motivacija je prisutna, kao i kod drugih oblika seksualnog nasilja. Sila se koristi da se žrtva primora na seksualni čin bez pristanka, ali ne mora biti u pitanju prekomerna sila. Može biti i s predumišljajem, ali i situaciono. U svakom slučaju, silovanje na sastanku je traumatično iskustvo sa teškim posledicama po žrtvu. Ako vam je potrebna pomoć, obratite se stručnim službama za podršku žrtvama.",
"Broj, zaokružen na najbližu hiljadu, je 47.000. Koji broj bi mogao da bude broj koji je zaokružen?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Da bismo odredili koji od ponuđenih brojeva bi mogao biti zaokružen na 47.000, treba da znamo pravilo zaokruživanja:

- Ako je cifra stotina 5 ili veća, broj se zaokružuje na sledeću višu hiljadu.
- Ako je cifra stotina manja od 5, broj se zaokružuje na tekuću hiljadu.

Sada, hajde da proverimo svaki od ponuđenih brojeva:

A. 46,295 - cifra stotina je 2, što je manje od 5, tako da bi ovaj broj bio zaokružen na 46.000.

B. 46,504 - cifra stotina je 5, tako da bi ovaj broj bio zaokružen na 47.000.

C. 47,520 - cifra stotina je 5, tako da bi i ovaj broj bio zaokružen na 48.000.

D. 47,924 - cifra stotina je 9, što je veće od 5, tako da bi ovaj broj bio zaokružen na 48.000.

Prema tome, tačan odgovor je B. 46,504, jer bi jedino ovaj broj bio zaokružen na 47.000.",
"Koje od ovih jela je napravljeno od svinjskog creva?
A.Hagis
B.čitlini
C.Griz
D.iseckati suey",B,"Tačan odgovor je B. Čitlini.

Čitlini su tradicionalno jelo iz Srbije i drugih delova Balkana. Prave se od svinjskog creva punjenog mlevenim mesom, pirinčem i začinima. Crevca se potom kuvaju ili peku.

Ostala pomenuta jela:
- Hagis je škotsko jelo od ovčijih iznutrica (srce, jetra, pluća) umotanih u ovčiji želudac.
- Griz je kaša od pšeničnog, kukuruznog ili nekog drugog žita.
- Chop suey je kinesko jelo od mesa (obično piletine, svinjetine ili morskih plodova), povrća i sojinog sosa.

Dakle, jedino čitlini od navedenih jela sadrže svinjsko crevo kao sastojak.",
"Napon indukovan u induktoru je predstavljen kao,
A.proizvod njegove indukcije i aktuelnosti kroz njega.
B.odnos njegove indukcije prema struji kroz njega.
C.odnos struje kroz njega do njegove indukcije.
D.proizvod njegove indukcije i stope promene struje kroz njega.",D,"Tačan odgovor je pod D: Napon indukovan u induktoru je predstavljen kao proizvod njegove indukcije i stope promene struje kroz njega.

Objašnjenje:

Prema Faradejevom zakonu elektromagnetne indukcije, indukovani napon (elektromotorna sila) u induktoru je proporcionalan stopi promene magnetnog fluksa kroz induktor. Ova relacija se može izraziti sledećom jednačinom:

e = -L * (di/dt)

Gde je:
- e: indukovani napon (elektromotorna sila) u induktoru
- L: induktivnost induktora (merena u henrijima)
- di/dt: stopa promene struje kroz induktor u odnosu na vreme

Predznak minus u jednačini ukazuje na to da je indukovani napon suprotnog smera od promene struje, što je u skladu sa Lencovim zakonom.

Dakle, indukovani napon u induktoru je direktno proporcionalan induktivnosti induktora i stopi promene struje kroz njega, što odgovara tvrdnji pod D.",
"Da li je nezakonito ubistvo koje je počinio ministar zemlje X u inostranstvu čin jure imperii ili jure gestionis?
A.Takvo ponašanje je javni akt (jure imperii)
B.Takvo ponašanje nikada ne privlači imunitet
C.Takvo ponašanje je privatan čin (jure gestionis)
D.Takvo ponašanje je javni čin, ali je zaštićeno imunitetom",C,"Odgovor B je tačan - takvo ponašanje nikada ne privlači imunitet.

Ubistvo koje počini ministar u inostranstvu, čak i ako je počinjeno tokom obavljanja službene dužnosti, smatra se teškim krivičnim delom za koje ne važi imunitet. Imunitet štiti ministre i druge zvaničnike od građanskih tužbi i krivičnog gonjenja za dela počinjena u okviru njihovih službenih ovlašćenja. Međutim, teška krivična dela poput ubistva se ne mogu smatrati delom legitimnih službenih dužnosti i stoga ne uživaju zaštitu imuniteta, bez obzira da li su počinjena u zemlji ili inostranstvu.

Dakle, ministar koji počini ubistvo u inostranstvu može biti krivično gonjen za to delo, jer se ono ne smatra ni javnim aktom (jure imperii) zaštićenim imunitetom, niti privatnim činom (jure gestionis), već teškim krivičnim delom koje je uvek izuzeto od imuniteta.",
