Question,CorrectAnswer,GivenAnswer,Correct
"నటుడు ఆంటోనియో బాండెరాస్ మాతృభాష ఏమిటి?
A.స్పానిష్
B.రష్యన్
C.జర్మన్
D.ఫ్రెంచ్",A,"A. స్పానిష్

ఆంటోనియో బాండెరాస్ స్పెయిన్‌లోని మాలాగాలో జన్మించారు. అతని మాతృభాష స్పానిష్. అతను హాలీవుడ్‌లో విజయవంతమైన కెరీర్‌ను కలిగి ఉన్నప్పటికీ, అతను ఇంగ్లీష్‌ను రెండవ భాషగా నేర్చుకున్నాడు.",
"ఒక ట్యాంక్ త్రిభుజాకార పట్టకం ఆకారంలో ఉంటుంది. త్రిభుజాకార బేస్ వైశాల్యం 116 చదరపు అడుగులు అయితే, మరియు ట్యాంకు 30 అడుగుల ఎత్తు ఉంటే, ట్యాంకు నిండినప్పుడు ఎంత నీరు ఉంటుంది?
A.1725 అడుగులు^3
B.1740 అడుగులు^3
C.3480 అడుగులు^3
D.6960 ft^3",C,"సరైన సమాధానం: A. 1740 అడుగులు^3

వివరణ:
- ట్యాంక్ త్రిభుజాకార పట్టకం ఆకారంలో ఉంది.
- త్రిభుజాకార బేస్ వైశాల్యం = 116 చదరపు అడుగులు
- ట్యాంకు ఎత్తు = 30 అడుగులు
- త్రిభుజాకార పట్టకం యొక్క వాల్యూమ్ = 1/3 × బేస్ ఏరియా × ఎత్తు
- బేస్ ఏరియా = 116 చదరపు అడుగులు
- వాల్యూమ్ = 1/3 × 116 × 30
- వాల్యూమ్ = 1160 అడుగులు^3

కాబట్టి, ట్యాంకు నిండినప్పుడు 1160 అడుగులు^3 నీరు ఉంటుంది.",
"విదేశాల్లోని పదవ దేశ మంత్రి చేసిన చట్టవిరుద్ధమైన హత్య చట్టవ్యతిరేకమైన నేరమా లేక జురే జెస్టియోనిస్ చర్యా?
A.అటువంటి ప్రవర్తన ఒక ప్రజా చర్య (న్యాయప్రచారం)
B.అటువంటి ప్రవర్తన రోగనిరోధక శక్తిని ఎప్పుడూ ఆకర్షించదు
C.అటువంటి ప్రవర్తన ఒక ప్రైవేట్ చర్య (జురే గెస్టియోనిస్)
D.అటువంటి ప్రవర్తన ఒక బహిరంగ చర్య, కానీ రోగనిరోధక శక్తి ద్వారా రక్షించబడుతుంది",C,"C.అటువంటి ప్రవర్తన ఒక ప్రైవేట్ చర్య (జురే గెస్టియోనిస్)

విదేశాల్లోని పదవ దేశ మంత్రి చేసిన చట్టవిరుద్ధమైన హత్య అనేది ఒక ప్రైవేట్ చర్య (జురే గెస్టియోనిస్) అని పరిగణించబడుతుంది. ఇది అతని అధికారిక హోదాతో సంబంధం లేకుండా అతను వ్యక్తిగతంగా చేసిన చర్య. కాబట్టి ఇది చట్టవ్యతిరేకమైన నేరంగా పరిగణించబడుతుంది, అతని అధికారిక హోదాకు సంబంధించిన రోగనిరోధక శక్తి ద్వారా రక్షించబడదు.",
"1999లో వచ్చిన మాగ్నోలియా సినిమా సెట్ ఏ రాష్ట్రంలో ఉంది?
A.కాలిఫోర్నియా
B.దక్షిణ కరోలినా
C.జార్జియా
D.టెక్సాస్",A,"B.దక్షిణ కరోలినా

1999లో విడుదలైన ""మాగ్నోలియా"" సినిమా దక్షిణ కరోలినా రాష్ట్రంలోని లాస్ ఏంజిల్స్ నగరంలో చిత్రీకరించబడింది. ఈ సినిమాలో టామ్ క్రూయిజ్, జూలియన్ మూర్, జాసన్ రాబార్డ్స్, ఫిలిప్ సీమోర్ హాఫ్మన్ మరియు ఇతర ప్రముఖ నటీనటులు నటించారు. పాల్ థామస్ ఆండర్సన్ ఈ సినిమాకు దర్శకత్వం వహించారు.",
"నెదర్లాండ్స్ అధికారిక భాష ఏది?
A.డానిష్
B.స్వీడిష్
C.జర్మన్
D.డచ్",D,"నెదర్లాండ్స్ అధికారిక భాష డచ్ (Dutch).

నెదర్లాండ్స్‌లో డచ్ భాష ప్రధాన భాషగా మాట్లాడబడుతుంది మరియు అధికారిక భాషగా గుర్తించబడింది. ఇది జర్మనిక్ భాషా కుటుంబానికి చెందినది మరియు జర్మన్, ఆఫ్రికాన్స్ వంటి ఇతర భాషలతో దగ్గరి సంబంధం కలిగి ఉంది.

మిగతా ఎంపికలు డానిష్, స్వీడిష్ మరియు జర్మన్ భాషలు వేరే దేశాల అధికారిక భాషలు కానీ నెదర్లాండ్స్‌కు అధికారిక భాషలు కావు.",
"సమీప వెయ్యికి చేరువలో ఉన్న సంఖ్య 47,000. గుండ్రంగా ఉన్న సంఖ్య ఏ సంఖ్య కావచ్చు?
A.46,295
B.46,504
C.47,520
D.47,924",B,"సమీప వెయ్యికి చేరువలో ఉన్న సంఖ్య 47,000.

ఇచ్చిన ఐచ్ఛికాలను పరిశీలిస్తే:

A. 46,295 - ఇది 47,000 కంటే 705 తక్కువ. అయితే, ఇది సమీప వెయ్యి (46,000) కంటే ఎక్కువ.

B. 46,504 - ఇది 47,000 కంటే 496 తక్కువ. ఇది సమీప వెయ్యి (47,000) కంటే తక్కువ మరియు ఇతర ఐచ్ఛికాల కంటే 47,000కు చాలా దగ్గరగా ఉంది.

C. 47,520 - ఇది 47,000 కంటే 520 ఎక్కువ. ఇది సమీప వెయ్యి (48,000) కంటే తక్కువ.

D. 47,924 - ఇది 47,000 కంటే 924 ఎక్కువ. ఇది సమీప వెయ్యి (48,000) కంటే తక్కువ కానీ 47,520 కంటే ఎక్కువ.

కాబట్టి, 47,000కు అత్యంత సమీపంలో ఉన్న సంఖ్య 46,504.",
"ఒక రోగి ఆరవ గర్భాశయ వెన్నుపూస స్థాయిలో వెన్నెముక దెబ్బతినడంతో మెడ విరిగిపోతుంది.
A.లైఫ్ సపోర్ట్ లేకుండా వారు శ్వాస తీసుకోలేరు.
B.వారు నిశ్శబ్దంగా శ్వాస తీసుకోగలుగుతారు.
C.శ్వాసపై ప్రభావాన్ని అంచనా వేయడం అసాధ్యం.
D.శ్వాసపై ఎలాంటి ప్రభావం ఉండదు.",B,"B. వారు నిశ్శబ్దంగా శ్వాస తీసుకోగలుగుతారు.

ఆరవ గర్భాశయ వెన్నుపూస (C6) స్థాయిలో వెన్నెముక దెబ్బతినడం వల్ల శ్వాసక్రియపై ప్రభావం పడుతుంది, కానీ పూర్తిగా శ్వాస నియంత్రణ కోల్పోరు. ఈ స్థాయిలో గాయం ఫ్రెనిక్ నరాన్ని ప్రభావితం చేస్తుంది, ఇది డయాఫ్రమ్ యొక్క కదలికలను నియంత్రిస్తుంది. అయితే, వక్షోరుహ కండరాలు ఇంకా పనిచేస్తాయి, కాబట్టి రోగి ఇంకా శ్వాస తీసుకోగలడు, కానీ పరిమితంగా ఉంటుంది. కాబట్టి, సాధారణంగా లైఫ్ సపోర్ట్ అవసరం లేకుండానే రోగి నిశ్శబ్దంగా శ్వాస తీసుకోగలుగుతారు.",
"మధ్య వయస్కులైన పెద్దలు వృద్ధులు లేదా యువకుల కంటే ఎక్కువగా ____ గా కనిపిస్తారు
A.ఉత్పాదక
B.న్యూరోటిక్
C.అంగీకరించదగినది
D.తధ్యం",A,"D. తధ్యం (Indifferent)

మధ్య వయస్కులు లేదా పెద్దలు సాధారణంగా యువకుల కంటే ఎక్కువగా తధ్యంగా (indifferent) కనిపిస్తారు. ఇది వారి వయస్సు, అనుభవాలు మరియు జీవితంలో ఎదుర్కొన్న సవాళ్ల వల్ల కావచ్చు. కొన్ని సందర్భాల్లో, వారు కొత్త ఆలోచనలు లేదా మార్పులను అంగీకరించడానికి ఇష్టపడకపోవచ్చు, ఇది వారిని తధ్యంగా కనిపించేలా చేస్తుంది.

ఇతర ఎంపికలు ఈ సందర్భానికి సరిగ్గా సరిపోవు:

A. ఉత్పాదక (Productive): ఇది వయస్సుతో ముడిపడి ఉండదు.
B. న్యూరోటిక్ (Neurotic): ఇది వ్యక్తిత్వ లక్షణం, వయస్సుతో సంబంధం లేదు. 
C. అంగీకరించదగినది (Acceptable): ఇది ప్రశ్నకు సమాధానంగా సరిపోదు.",
"భారతదేశం నుండి యునైటెడ్ స్టేట్స్ కు తరలింపును పరిగణనలోకి తీసుకునేటప్పుడు ఈ క్రింది కారకాలలో ఏది రివాకు ""పుల్"" కారకంగా పరిగణించబడుతుంది?
A.దుర్భర పేదరికం[మార్చు]
B.మెరుగైన ఉద్యోగం మరియు అధిక వేతనాలు
C.భారత కుల వ్యవస్థ[మార్చు]
D.ఆమె పరిసరాల్లో హింస..",B,"B.మెరుగైన ఉద్యోగం మరియు అధిక వేతనాలు

భారతదేశం నుండి యునైటెడ్ స్టేట్స్ కు వలసలకు ""పుల్"" కారకంగా పరిగణించబడే అంశం ""మెరుగైన ఉద్యోగం మరియు అధిక వేతనాలు"". అమెరికాలో అధిక జీతాలు, మెరుగైన జీవన ప్రమాణాలు మరియు ఉద్యోగ అవకాశాలు ఉన్నాయి, ఇవి భారతీయులను ఆకర్షిస్తాయి. మిగతా ఎంపికలు ""పుష్"" కారకాలుగా పరిగణించబడతాయి, అంటే అవి భారతదేశంలోని పరిస్థితులు, ఇవి ప్రజలను దేశం నుండి బయటకు నెట్టివేస్తాయి. కానీ ప్రశ్న ""పుల్"" కారకం గురించి అడుగుతుంది, అంటే ప్రజలను యునైటెడ్ స్టేట్స్ వైపు ఆకర్షించే అంశం, అది ""మెరుగైన ఉద్యోగం మరియు అధిక వేతనాలు"".",
"ఈ క్రింది షరతులతో కూడిన ప్రతిపాదన యొక్క పూర్వాపరాలను గుర్తించండి: ఆర్డ్ వార్క్స్ లేదా చిప్ ముంక్ లు తమ మొదటి గేమ్ లను గెలవకపోతే మాత్రమే తేనెటీగలు వారి మొదటి ఆటను గెలుస్తాయి.
A.ఆర్డ్వార్క్స్ తమ మొదటి గేమ్ను గెలవలేదు.
B.తేనెటీగలు తమ మొదటి ఆటలో విజయం సాధించాయి.
C.చిప్ ముంక్ లు తమ తొలి గేమ్ ను గెలవలేదు.
D.ఆర్డ్వార్క్స్ లేదా చిప్ముంక్లు తమ మొదటి గేమ్లను గెలవలేదు.",B,"ఈ ప్రతిపాదన ప్రకారం, ఆర్డ్ వార్క్స్ లేదా చిప్ ముంక్ లు తమ మొదటి గేమ్ లను గెలవకపోతే మాత్రమే తేనెటీగలు వారి మొదటి ఆటను గెలుస్తాయి. కాబట్టి, ఇచ్చిన ప్రతిపాదనకు మరియు షరతులకు సరైన పూర్వాపరాలు:

D. ఆర్డ్వార్క్స్ లేదా చిప్ముంక్లు తమ మొదటి గేమ్లను గెలవలేదు. (పూర్వం)
B. తేనెటీగలు తమ మొదటి ఆటలో విజయం సాధించాయి. (అపరం)

ఇక్కడ, D షరతు నెరవేరితే మాత్రమే B జరుగుతుంది. అంటే, ఆర్డ్వార్క్స్ లేదా చిప్ముంక్లు ఓడిపోతే మాత్రమే తేనెటీగలు గెలుస్తాయి. A మరియు C వాటి వ్యక్తిగత ఫలితాలను సూచిస్తాయి, కానీ ప్రతిపాదనలో ఇవ్వబడిన షరతులను సంయుక్తంగా సంతృప్తి పరచవు.",
