Question,CorrectAnswer,GivenAnswer,Correct
"1999-njy ýylda çykarylan «Magnoliýa» filmi haýsy döwletde setiri bar?
A.Kaliforniýa
B.Günorta Karolina
C.Gürjüstan
D.Teksas",A,1999-njy ýylda çykarylan «Magnoliýa» filmi Kaliforniýa ştatynda düşürilipdir. Bu film režissýor Paul Thomas Andersonyň eseridir we filmiň esasy wakalary Los-Anželesde geçýär.,
"Niderlandlaryň döwlet dili nähili?
A.Daniýa dili
B.Şwed dili
C.Nemes dili
D.Niderland dili",D,"D. Niderland dili

Niderlandlaryň döwlet dili niderland dilidir. Niderland dili german dilleri maşgalasyna degişli bolup, esasan Niderlandda, Belgiýanyň demirgazyk böleginde we Surinamda ulanylýar. Niderland dilinde sözleýänleriň umumy sany 24 milliona golaý bolup, dünýäde iň köp ulanylan dilleriniň biri hasaplanylýar.",
"Aktor Antonio Banderasyň ene dili näme?
A.Ispan dili
B.Rus dili
C.Nemes dili
D.Fransuz dili",A,"Dogry jogap A. Ispan dili.

Antonio Banderas Ispaniýanyň Malaga şäherinde doguldy we onuň ene dili ispan dilidir. Ol ispan kinolarynda oýnamak bilen meşhur boldy we soňra Golliwuda göçüp, ençeme ýokary derejeli filmlerde oýnady. Emma onuň ene dili elmydama ispan dili bolmagynda galýar.",
"Orta ýaşan adamlar özünden uly ýa-da ýaşlara garanyňda ____ ýaly görünýär
A.Generatiw
B.Neýrohirurgiýa
C.Gaýgyly
D.Anyk",A,"Dogry jogap C. Gaýgyly.

Berlen sözlemde, orta ýaşly adamlaryň özlerinden uly ýa-da ýaş adamlara garanyňda nähili görünýändigi barada aýdylýar. Boşlugy iň gowy dolduryp biljek söz ""gaýgyly"" bolup durýar.

A. ""Generatiw"" (dörediji) bu kontekste gabat gelmeýär.
B. ""Neýrohirurgiýa"" (beýni hirurgiýasy) bu ýerde manysyz.  
D. ""Anyk"" sözlemiň many-mazmunyna gabat gelmeýär.

Şeýlelik bilen, orta ýaşly adamlaryň özlerinden uly ýa-da ýaş adamlara garanyňda has gaýgyly ýaly görünýändigi aýdylýar.",
"Daşary ýurtlardaky X ýurduň ministri tarapyndan edilen kanunsyz adam öldürmek hereket iniň imperiýasymy ýa-da kazyýet hereketimi?
A.Şeýle edim-gylym jemagatyň hereketidir (jure imperii)
B.Şeýle edim-gylym hiç haçan immuniteti özüne çekdirýär
C.Şeýle edim-gylym hususy hereketdir (jure gestionis)
D.Şeýle edim-gylym jemgyýetçilik hereketi bolsa-da, immunitet bilen goralýar",C,"Dogry jogap C: Şeýle edim-gylym hususy hereketdir (jure gestionis).

Daşary ýurtlardaky X ýurduň ministri tarapyndan edilen kanunsyz adam öldürmek hereketi hususy hereket (jure gestionis) hasaplanýar, ýagny döwletiň ygtyýarlyklaryny amala aşyrmak bilen bagly däl. 

Beýleki wariantlar dogry däl:

A) Jemagatyň hereketi (jure imperii) döwletiň ygtyýarlyklaryny amala aşyrmak bilen baglanyşykly, ýöne kanunsyz adam öldürmek şeýle hereket däl.

B) Kanunsyz adam öldürmek immuniteti özüne çekdirmeýär. 

D) Kanunsyz adam öldürmek jemgyýetçilik hereketi däl we immunitet bilen goralmaýar.

Şeýlelikde, kanunsyz adam öldürmek hususy hereket bolup, ol üçin immunitet berilmeýär.",
"Bu naharlaryň haýsysy doňuz içegelerinden ýasalýar?
A.haggis
B.çitlinler
C.gaýşat
D.çap suey",B,"Dogry jogap A. Haggis.

Haggis - bu Şotlandiýanyň milli naharydyr. Ol esasan doňzuň içegelerinden, ýüreginden, öýkeninden we beýleki içki organlaryndan ýasalýar. Bular bugdaý ýa-da süýji unundan, soganlardan we ýörite ysly otlardan taýýarlanýar. Soňra bu garyndynyň içine salynyp, birnäçe sagatlap gaýnadylýar.

Beýleki görnüşler:
- Çitlinler - towuk etinden ýasalýar
- Gaýşat - sygyr ýa-da goýun etinden ýasalýar  
- Çap suey - towuk, sygyr ýa-da doňuz etinden ýasalýar, emma içege ulanylmaýar.",
"Negatiw galyndy awtokorrelyasy aşakdakylaryň haýsysy bilen görkezilýär?
A.Galyndylarda aýlawly nusga
B.Galyndylarda alternatiw nusga
C.Galyndylarda doly tötänleýinlik
D.Hemmesi nula golaý bolan galyndylar",B,"Negatiw galyndy awtokorrelyasy aşakdakylaryň bilen görkezilýär:

B. Galyndylarda alternatiw nusga

Negatiw galyndy awtokorrelyasy, galyndylaryň yzygiderli bahalarynda garşylykly ýa-da alternatiw nusganyň bardygyny aňladýar. Bu ýagdaý, galyndylaryň bir bahasynyň ortaça derejeden ýokary bolsa, indiki bahasynyň ortaça derejeden pes bolmagyna ýa-da tersine meýillidigini görkezýär.

Beýleki jogaplar:

A. Galyndylarda aýlawly nusga - bu positiw galyndy awtokorrelyasyny görkezýär.
C. Galyndylarda doly tötänleýinlik - bu galyndy awtokorrelyasynyň ýokdugyny aňladýar.
D. Hemmesi nula golaý bolan galyndylar - bu hem galyndy awtokorrelyasynyň ýokdugyny görkezýär.

Şeýlelik bilen, negatiw galyndy awtokorrelyasy üçin dogry jogap B, ýagny galyndylarda alternatiw nusgadyr.",
"Olaryň sany iň ýakyn müňe ýetip, 47 müňe ýetdi. Haýsy san yuvarlanan san bolup biler?
A.46,295
B.46,504
C.47,520
D.47,924",B,"Dogry jogap B. 46,504 bolmaly.

Sebäbi:
- 46,295 sany 46 müňe ýakynlaşdyrylanda 46,000 bolar.
- 46,504 sany 47 müňe ýakynlaşdyrylanda 47,000 bolar.
- 47,520 sany eýýäm 47 müňden uly, ýöne bize iň ýakyn müňe ýetip 47 müňe ýeten san gerek.
- 47,924 sany hem 47 müňden uly we 48 müňe has ýakyn.

Şeýlelik bilen, 46,504 sany iň ýakyn müňe ýetip, 47 müňe ýeten ýeke-täk san bolup durýar.",
"Olaryň haýsysy gomoseksual proteinleriň amin turşusynyň yzygiderligi esasynda dürli jandarlaryň ewolýusion baglanyşygyny kesgitlemäge mümkinçilik berýär. Adatça, gomoseksual genleriň nukleotid yzygiderligi esasynda baglanyşygyň kesgitlemelerine garanyňda has az dogry?
A.Ümsüm mutasiýalar
B.Jinlik çogdawuklar
C.Gen yzygiderligini üýtgedýän translokasiýa hadysalary
D.Geçmek-aş",A,"Dogry jogap B. Jinlik çogdawuklar.

Jinlik çogdawuklar (synonymous substitutions) proteinleriň amin turşusynyň yzygiderligini üýtgetmeýär, sebäbi olar kodonlaryň üýtgemegine getirýär, ýöne şol bir amin turşusyny kodlaýan başga bir kodona çalşylýar. Şonuň üçin jinlik çogdawuklar esasynda kesgitlenen ewolýusion baglanyşyk, ümsüm mutasiýalar (nonsynonymous substitutions) ýa-da gen yzygiderligini üýtgedýän translokasion hadysalary esasynda kesgitlenenden has az ygtybarly bolup biler. 

Ümsüm mutasiýalar proteinleriň amin turşusynyň yzygiderligini üýtgedip bilýär we geçmek-aş hadysalary genleriň nukleotid yzygiderligini üýtgedip bilýär. Şonuň üçin bu hadysalar gomoseksual proteinleriň amin turşusynyň yzygiderligi esasynda dürli jandarlaryň ewolýusion baglanyşygyny has dogry kesgitlemäge mümkinçilik berýär.",
"Tank üçburç prizma şeklindedir. Eger üçburç bazanyň meýdany 116 inedördül metr bolsa, tankyň beýikligi 30 metr bolsa, onda tankdyň dolanda onuň içinde näçe suw bolardy?
A.1725 ft^3
B.1740 ft^3
C.3480 ft^3
D.6960 ft^3",C,"Bu meseläni çözmek üçin, biz ilki bilen üçburçly prizmanyň göwrümini hasaplamaly. Üçburçly prizmanyň göwrümi aşakdaky formula bilen hasaplanýar:

Göwrüm = Baza meýdany × Beýiklik

Berlen maglumatlar:
- Üçburç bazanyň meýdany = 116 inedördül metr
- Tankiň beýikligi = 30 metr

Göwrümi hasaplalyň:
Göwrüm = 116 m² × 30 m = 3480 m³

Indi biz göwrümi kub futlara öwürmeli, sebäbi jogap wariantlary kub futlarda berlen.
1 m³ = 35.3147 ft³

Netijede, göwrümi kub futlara öwürmek üçin 3480-i 35.3147-ä köpeldýäris:
3480 m³ × 35.3147 ft³/m³ = 122895.156 ft³ ≈ 122895 ft³

Berlen jogap wariantlarynyň arasynda iň ýakyn jogap C) 3480 ft³.

Jogap: C) 3480 ft³.",
