Question,CorrectAnswer,GivenAnswer,Correct
"Ko e ha ʻa e lea fakafonua ʻa ʻAnitonio Banderas?
A.Faka-Sipeini
B.Lūsia
C.Siamane
D.Faka-Falanise",A,"A. Faka-Sipeini

ʻOku fanauʻi ʻa ʻAnitonio Banderas ʻi Sipeini pea ko hono lea fakafonua ko e lea faka-Sipeini.",
"Ko e ha ʻa e lea fakaʻofisiale ʻo Netaleni?
A.Tenimaʻake
B.Sueteni
C.Siamane
D.Faka-Holani",D,"D. Faka-Holani

Ko e lea fakaʻofisiale ʻo Netaleni ko e lea faka-Holani. Neongo ʻoku lahi ʻa e ngaahi lea ʻoku lea ʻaki ʻi Netaleni, ka ko e lea faka-Holani pē ʻoku ʻiloa fakalao ko e lea fakafonua mo fakaʻofisiale.",
"Ko e fe ʻa e tuʻunga ʻoku fokotuʻu ai ʻa e foʻi faiva 1999 Makinolia ʻ?
A.Kalefōnia
B.Kalolaina Saute
C.Siosia
D.Tekisisi",A,"A. Kalefōnia

ʻOku fokotuʻu ʻa e foʻi faiva 1999 Makinolia ʻi Kalefōnia, ʻAmelika. ʻOku fakamatalaʻi ʻi he foʻi faiva ni ʻa e moʻui ʻa e fāmili ʻe taha ʻi Kalefōnia lolotonga ʻa e taʻu 1999 pea mo e ngaahi pole kehekehe ʻoku nau fehangahangai mo ia.",
"Ko e fe ʻi he ngaahi filimi fakamanavahe ko ʻeni spawned e sequels lahi taha?
A.Kaikaila ʻ
B.Ngutu ʻ
C.Halouini ʻ
D.Falaite ko e 13 ʻ",D,"D. Falaite ko e 13

ʻOku ʻi ai ha ngaahi hokohoko ʻe 12 ʻo e filimi Falaite ko e 13, ʻo kamata mei he 1980 ki he 2009. Ko e taha ia ʻo e ngaahi saame filimi fakamanavahe ʻoku fuoloa taha pea ʻoku kei hokohoko atu pē hono faʻu ʻo e ngaahi filimi foʻou. ʻOku ʻikai ke lahi pehē ʻa e ngaahi hokohoko ʻo e ngaahi filimi Kaikaila, Ngutu pe Halouini.",
"ʻOku fakahoko nai ʻa e homicide taʻefakalao ʻe he faifekau ʻo e fonua X ʻi ha ngaue jure imperii pe jure gestionis?
A.Ko e faʻahinga ʻulungaanga pehee ko ha ngaue ia ʻa e kakai (jure imperii)
B.ʻOku ʻikai teitei tohoakiʻi ʻe he faʻahinga ʻulungaanga pehee ʻa e ngaahi hao
C.Ko e faʻahinga ʻulungaanga pehee ko ha ngaue fakafoʻituitui (jure gestionis)
D.Ko e faʻahinga ʻulungaanga pehee ko ha ngaue ia ʻa e kakai ka ʻoku maluʻi ia ʻe he ngaahi hao",C,"C.Ko e faʻahinga ʻulungaanga pehee ko ha ngaue fakafoʻituitui (jure gestionis)

ʻOku ʻikai lau ʻa e fakapoʻuli ko ha ngaue fakapuleʻanga (jure imperii) ka ko ha ngaue fakafoʻituitui (jure gestionis). ʻOku ʻikai maluʻi ʻe he ngaahi hao fakapuleʻanga ʻa e ngaahi ngaue fakafoʻituitui ʻa e kau faifekau hangee ko e fakapoʻuli. ʻOku ʻikai ke nau fakahoko ia ko ha konga ʻo ʻenau ngaahi fatongia fakapuleʻanga ka ko ha hia fakafoʻituitui.",
" ʻOku ʻomi ʻe he meʻangaue fakamaketi mo e fetuʻutaki ko ʻeni ha poupou fakahangatonu pe ko ha fakaʻaiʻai ke poupouʻi ʻa e kau fakatau ke nau fakatau ha koloa/ngaue tokoni:
A.Tuʻuaki.
B.Fetuʻutaki mo e kakaí.
C.Tuʻuaki ʻo e fakatau.
D.Fakamaketi fakahangatonu.",C,"D. Fakamaketi fakahangatonu.

ʻOku ʻomi ʻe he fakamaketi fakahangatonu ha poupou fakahangatonu pe ko ha fakaʻaiʻai ke poupouʻi ʻa e kau fakatau ke nau fakatau ha koloa pe ngaue tokoni. ʻOku kau ʻi he ngaahi founga fakamaketi fakahangatonu ʻa e ngaahi tohi fakahangatonu, ʻimeili, telefoni, mo e fakamaketi ʻi he mītia fakasōsialé. ʻOku fakatefito ʻa e fakamaketi fakahangatonu ʻi hono fakafetuʻutaki fakahangatonu mo e kau fakatau lolotonga ʻa e tuʻuaki, fetuʻutaki mo e kakaí, mo e tuʻuaki ʻo e fakatau ʻoku ʻikai ke nau fakafetuʻutaki fakahangatonu mo e kau fakatau.",
"ʻOku tataki ʻe he kau ako ha fuʻu ʻakau pigment ʻoku fie maʻu ai ke nau fakaʻaongaʻi ha chromatography ʻi ʻolunga mo ha kiʻi ongo siʻisiʻi ʻi he konga ki lalo ʻo e loki ʻi ʻolunga. ʻOku kau ʻi he ngaahi fakatokanga ki he malu ʻa e fakamatala ko ia ko e mata mo e kili irritant pea ʻoku velangofua ʻahu. Ko e fe ʻa e meʻa malu ʻoku totonu ke fai ʻe he kau ako lolotonga hono fakahoko ʻo e fakamalohisino?
A.Ko hono tui ʻo e kofunima retardant ke ʻave ʻa e loki ʻi ʻolunga ki ha fume ʻo kapau ʻe puke ʻe he ongo ʻa e afi
B.Ko hono tuku ʻo e loki ʻi ʻolunga ʻi ha kapineti kuo tapuni mo fakapoʻuli ki he loloa ʻo e pigment mavahevahe
C.Ko hono tui ʻo e kofunima leta mo ʻufiʻufi ʻa e ihu mo e ngutu ʻaki ha kiʻi fakapuli
D.Ko hono tui ʻo e helemeti mo e nitrile-faʻahinga kofunima mo hono tauhi ʻo e ngaahi kane leʻo kotoa pe kuo tapuni",D,"C. Ko hono tui ʻo e kofunima leta mo ʻufiʻufi ʻa e ihu mo e ngutu ʻaki ha kiʻi fakapuli

ʻOku totonu ke tui ʻe he kau ako ʻa e kofunima leta mo ʻufiʻufi ʻa e ihu mo e ngutu ʻaki ha kiʻi fakapuli lolotonga hono fakahoko ʻo e fakamalohisino. ʻOku ʻikai fie maʻu ke nau tui ha kofunima retardant pe tuku ʻa e loki ʻi ʻolunga ʻi ha kapineti kuo tapuni. ʻOku ʻikai fie maʻu foki ke nau tui ha helemeti pe tauhi ʻa e ngaahi kane leʻo kotoa pe kuo tapuni. Ko e kofunima leta mo e kiʻi fakapuli ʻoku fe'unga ia ke maluʻi kinautolu mei he irritation ʻo e mata mo e kili pea mo e ʻahu velangofua.",
"Ko e fe ʻi he ngaahi ʻulungaanga ko ʻeni ʻoku faʻa fenapasi mo e tohotoho fakamalohi?
A.fakaʻaongaʻi ʻo e fuʻu ivi tōtuʻ
B.tomuʻa fakakaukauʻí
C.fakaʻaiʻai fakasekisuale
D.kau ai hono fakaʻaongaʻi ʻo ha meʻatau",C,"A. Fakaʻaongaʻi ʻo e fuʻu ivi tōtuʻa mo e D. kau ai hono fakaʻaongaʻi ʻo ha meʻatau ʻoku faʻa fenapasi mo e tohotoho fakamalohi. 

ʻOku faʻa kau ʻi he tohotoho fakamalohi hono fakaʻaongaʻi ʻo e ivi fakaesino pe ko ha meʻatau ke fakamanamanaʻi pe fakaʻaongaʻi ʻaki ha taha. ʻOku ʻikai ko ha ʻulungaanga lelei ʻeni pea ʻoku ʻikai totonu ke tali ia ʻi ha feituʻu.

Ko e tomuʻa fakakaukauʻi mo e fakaʻaiʻai fakasekisuale ʻoku ʻikai ko ha konga ia ʻo e tohotoho fakamalohi. ʻOku ʻikai ke na kau ai ha ngaahi ngāue fakamālohi pe fakamanamanaʻi.",
"ʻAi ke ʻiloʻi ʻa e antecedent ʻo e ngaahi makatuʻunga ko ʻeni: ʻe toki maʻu pe ʻe he fanga hone ʻenau fuofua vaʻinga kapau ʻoku ʻikai maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga.
A.ʻOku ʻikai ke maʻu ʻe he Aardvarks ʻenau fuofua vaʻinga.
B.Naʻe maʻu ʻe he fanga hone ʻenau fuofua vaʻinga.
C.ʻOku ʻikai ke maʻu ʻe he Chipmunks ʻenau fuofua vaʻinga.
D.ʻOku ʻikai ke maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga.",B,"Ko e tali totonu ko e D. ʻOku ʻikai ke maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga.

ʻOku tau ʻilo mei he makatuʻunga ʻoku pehē: ""ʻe toki maʻu pe ʻe he fanga hone ʻenau fuofua vaʻinga kapau ʻoku ʻikai maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga.""

ʻI he tali B, ʻoku tau ʻilo ai naʻe maʻu ʻe he fanga hone ʻenau fuofua vaʻinga. Ko ia ai, ʻoku tau lava ʻo pehē naʻe pau ke ʻoua naʻa maʻu ʻe he Aardvarks pe ko e Chipmunks ʻa ʻenau fuofua vaʻinga, ʻa ia ko e tali D.",
"Ko e fe ʻi he ngaahi meʻa ko ʻeni ʻe lau ko ha meʻa ""tekeʻ ki he Riva ʻi he taimi ʻoku fakakaukau ai ke hiki mei ʻInitia ki he ʻIunaiteti Siteiti?
A.Abject masiva
B.Ngaue lelei ange mo e vahenga maʻolunga ange
C.Founga fakamatakali ʻa ʻInitia
D.Fetaʻaki ʻi hono kaungaʻapi",B,"B. Ngaue lelei ange mo e vahenga maʻolunga ange

ʻOku ʻi ai e ngaahi ʻuhinga lahi ʻe lava ke fakakaukau ai ha taha ke hiki mei ʻInitia ki he ʻIunaiteti Siteiti, ka ko e taha ʻo e ngaahi ʻuhinga angamaheni taha ko e kumi ha ngaahi faingamālie ngāue lelei ange mo ha vahenga maʻolunga ange. ʻOku ʻikai ko ha meʻa ia ʻoku kaunga ki he masiva lahi, founga fakamatakali ʻa ʻInitia, pe ko e fetaʻaki ʻi hono kaungāʻapi. Ko e kumi ha moʻui lelei ange fakapaʻanga ʻoku angamaheni ia ʻi he kakai tokolahi ʻoku nau hiki mei honau fonua tupuʻanga ki ha fonua kehe.",
